John.1.1 | Kezdetben volt az Ige, és az Ige Istennél volt, és az Ige Isten volt.
John.6.24 | mikor ezért látta a sokaság, hogy sem Jézus, sem tanítványai nincsenek ott, beszálltak ők is a hajókba és elmentek Kapernaumba, keresve Jézust.
John.6.25 | Amikor megtalálták őt a tengeren túl, ezt mondták neki: Mester, mikor jöttél ide?
John.6.26 | Jézus ezt válaszolta nekik: Bizony, bizony mondom nektek: nem azért kerestek engem, mivel jeleket láttatok, hanem azért, mert ettetek ama kenyerekből és jóllaktatok.
John.6.27 | "Munkálkodjatok, ne az eledelért, amely elvész, hanem az eledelért, amely megmarad az örök életre, amelyet az Ember Fia ad majd nektek; mert őt az Atya pecsételte el, az Isten."
John.6.28 | Így szóltak azért neki: Mit tegyünk, hogy az Isten munkáit végezzük?
John.6.29 | Jézus így felelt nekik: Az az Isten munkája, hogy higgyetek abban, akit ő küldött.
John.6.30 | Szólottak azért neki: Micsoda jelt mutatsz tehát te, hogy lássuk és higgyünk neked? Mit művelsz?
John.6.31 | A mi atyáink a mannát ették a pusztában: amint meg van írva: Mennyből való kenyeret adott nekik enni.
John.6.32 | Szólt azért nekik Jézus: Bizony, bizony mondom nektek: nem Mózes adta nektek a mennyei kenyeret, hanem az én Atyám adja nektek az igazi mennyei kenyeret.
John.6.33 | Mert az az Istennek kenyere, amely a mennyből száll alá és életet ad a világnak.
John.6.34 | Szóltak azért neki: Uram, mindenkor add nekünk ezt a kenyeret!
John.6.35 | "Jézus pedig azt mondta nekik: Én vagyok az életnek a kenyere; aki hozzám jön, semmiképpen meg nem éhezik és aki hisz bennem, nem szomjúhozik meg soha."
John.6.36 | De megmondtam nektek, hogy noha láttatok is engem, mégsem hisztek.
John.6.37 | Amit nekem ad az Atya, énhozzám jön, és aki énhozzám jön, azt én semmiképpen ki nem vetem.
John.6.38 | Mert nem azért szállottam le a mennyből, hogy a magam akaratát cselekedjem, hanem annak akaratát, aki elküldött engem.
John.6.39 | Annak pedig, aki elküldött engem, az az akarata, hogy mindabból, amit nekem adott, semmit el ne veszítsek, hanem feltámasszam azt az utolsó napon.
John.6.40 | Mert ez az én Atyámnak akarata, hogy örök élete legyen mindenkinek, aki látja a Fiút és hisz őbenne és én feltámasztom azt az utolsó napon.
John.6.41 | Zúgolódtak azért a zsidók ő ellene, hogy azt mondta: Én vagyok az a kenyér, amely a mennyből szállott alá,
John.6.42 | és szóltak: Nem ez-e Jézus, József fia, akinek ismerjük atyját és anyját? Mi módon mondja hát ez, hogy: A mennyből szállottam alá?
John.6.43 | Jézus így felelt nekik: Ne zúgolódjatok egymás között!
John.6.44 | Senki sem jöhet énhozzám, csak ha az Atya vonja, aki elküldött engem, és én fel támasztom azt az utolsó napon.
John.6.45 | Meg van írva a prófétáknál: És mindnyájan Istentől tanítottak lesztek. Mindenki, aki az Atyától hallott és tanult, énhozzám jön.
John.6.46 | "Nem minthogyha az Atyát valaki látta volna; csak az, aki Istentől van, az látta az Atyát."
John.6.47 | Bizony, bizony mondom nektek: aki hisz, annak örök élete van.
John.6.48 | Én vagyok az életnek kenyere.
John.6.49 | Atyáitok a mannát ették a pusztában és meghaltak.
John.6.50 | Ez az a kenyér, amely a mennyből szállt alá, hogy az ember egyék belőle és meg ne haljon.
John.6.51 | Én vagyok amaz élő kenyér, amely a mennyből szállott alá: ha valaki eszik ebből a kenyérből, él örökké. És az a kenyér, amelyet én adok, az én testem, amelyet odaadok majd a világ életéért.
John.6.52 | Tusakodtak azért a zsidók egymás között: Mimódon adhatja ez nekünk az ő testét eledelül?
John.6.53 | Jézus azért így szólt nekik: Bizony, bizony mondom nektek: ha nem eszitek az Ember Fia testét és nem isszátok az ő vérét, nincsen élet tibennetek.
John.6.54 | Aki eszi az én testemet és issza az én véremet, örök élete van annak, és én feltámasztom azt az utolsó napon.
John.6.55 | Mert az én testem igazi étel és az én vérem igazi ital.
John.6.56 | Aki eszi az én testemet és issza az én véremet, az énbennem marad és én őbenne.
John.6.57 | Amint elküldött engem az élő Atya és én élek az Atya által, úgy az is, aki engem eszik, élni fog én általam.
John.6.58 | "Ez ama kenyér, amely a mennyből szállott alá; nem olyan, amilyet a ti atyáitok ettek és meghaltak; aki ezt a kenyeret eszi, élni fog örökké."
John.6.59 | Ezeket mondta a zsinagógában, amikor tanított Kapernaumban.
John.6.60 | Sokan azért a tanítványai közül, akik mindezt hallották, így szóltak: Kemény beszéd ez. Ki hallgathatja ezt?
John.6.61 | Mivel pedig Jézus tudta önmagában, hogy e miatt zúgolódnak a tanítványai, így szólt nekik: Ti ezen megütköztök?
John.6.62 | Hát ha meglátjátok az Ember Fiát felmenni oda, ahol előbb volt?
John.6.63 | "A lélek az, ami megelevenít, a test nem használ semmit; a beszédek, amelyeket én mondtam nektek, lélek és élet."
John.6.64 | De vannak közöttetek némelyek, akik nem hisznek. Mert Jézus eleitől fogva tudta, kik azok, akik nem hisznek, és ki az, aki elárulja őt.
John.6.65 | És így szólt: Azért mondtam nektek, hogy senki sem jöhet hozzám, csak ha az én Atyámtól adatott meg neki.
John.6.66 | Ettől fogva sokan visszavonultak a tanítványai közül és nem jártak többé vele.
John.6.67 | Jézus azért így szólt a tizenkettőnek: vajjon ti is el akartok menni?
John.6.68 | Felelt neki Simon Péter: Uram, kihez mehetnénk? Örök életnek beszéde van tenálad.
John.6.69 | És mi elhittük és megismertük, hogy te vagy a Krisztus, az élő Isten Fia.
John.6.70 | Jézus így felelt nekik: Nem én választottalak-e titeket, a tizenkettőt? És egy közületek ördög.
John.6.71 | Ezen pedig Júdás Iskáriótest, Simon fiát értette, mert ez szándékozott őt elárulni, jóllehet egy volt a tizenkettő közül.

John.7.1 | És ezek után Galileában járt Jézus, mert nem akart Júdeában járni, mivel a zsidók azon voltak, hogy megöljék őt.
John.7.2 | Közel volt pedig a zsidók ünnepe, a sátoros ünnep.
John.7.3 | Testvérei tehát így szóltak neki: Menj el innen és eredj Júdeába, hadd lássák a tanítványaid is a te dolgaidat, amelyeket cselekszel.
John.7.4 | Mert senki sem cselekszik semmit titokban, aki azt akarja, hogy nyilvánosan elismerjék őt. Ha ilyeneket cselekszel, tedd ismertté magadat a világ előtt.
John.7.5 | Mert a testvérei sem hittek benne.
John.7.6 | "Jézus azért így szólt nekik: Az én időm még nincs itt; a ti időtök pedig mindig készen van,"
John.7.7 | Titeket nem gyűlölhet a világ, de engem gyűlöl, mert én bizonyságot teszek felőle, hogy cselekedetei gonoszak.
John.7.8 | "Ti menjetek fel az ünnepre; én még nem megyek fel erre az ünnepre, mert az én időm még nem telt be."
John.7.9 | Miután pedig ezeket mondta nekik, Galileában maradt.
John.7.10 | Amikor azonban testvérei felmentek, akkor ő is felment az ünnepre, nem nyilvánosan, hanem mintegy titkon.
John.7.11 | A zsidók azért keresték őt az ünnepen és így szóltak: Hol van ő?
John.7.12 | És sok suttogás volt miatta a sokaságban. Egyesek azt mondták, hogy jó ember, mások viszont azt állították: Nem az, hanem ámítja a népet.
John.7.13 | Mindamellett senki sem beszélt ró a nyíltan a zsidóktól való félelem miatt.
John.7.14 | Mikor pedig az ünnepnek már a fele elmúlt, felment Jézus a templomba és tanított.
John.7.15 | Ezen csodálkoztak a zsidók és ezt mondták: Hogyan ért ez az Íráshoz, holott nem tanulta?
John.7.16 | Jézus azért így felelt nekik: Az én tanításom nem az enyém, hanem azé, aki elküldött engem.
John.7.17 | Ha valaki cselekedni akarja az ő akaratát, megismerheti a tanítás felől, vajjon Istentől van-e, vagy én magamtól szólok,
John.7.18 | "Aki magától szól, a maga dicsőségét keresi; aki ellenben annak dicsőségét keresi, aki elküldötte őt, igaz az és nincs abban hamisság."
John.7.19 | Nem Mózes adta-e nektek a törvényt? És mégsem teljesíti közületek senki a törvényt. Miért akartok engem megölni?
John.7.20 | A nép így válaszolt: ördög van benned. Ki akar téged megölni?
John.7.21 | És Jézus így felelt nekik: Egy dolgot cselekedtem és mindnyájan csodálkoztok rajta.
John.7.22 | Mózes adta nektek a körülmetélkedést (nem mintha Mózestől való volna az, hanem az atyáktól) és szombaton körülmetélitek az embert.
John.7.23 | Ha körülmetélhető az ember szombaton, hogy Mózes törvénye meg ne csorbuljon, énrám azért haragusztok, hogy az egész embert meggyógyítottam szombaton?
John.7.24 | Ne látszat után ítéljetek, hanem igazságos ítélettel ítéljetek!
John.7.25 | A jeruzsálemiek közül azért némelyek így szóltak: Nem ez-e az, akit meg akarnak ölni?
John.7.26 | És íme nyíltan beszél, és semmit sem szólnak neki. Talán bizony valóban felismerték a főemberek, ez a Krisztus?
John.7.27 | De erről tudjuk honnan való: mikor pedig eljön a Krisztus, őróla senki sem tudja, honnan való.
John.7.28 | "Ekkor Jézus a templomban tanítva így kiáltott: Engem is ismertek; azt is tudjátok, honnan való vagyok; és én nem magamtól jöttem, de igaz az, aki engem küldött, akit ti nem ismertek."
John.7.29 | Én azonban ismerem őt, mert tőle való vagyok és ő küldött engem.
John.7.30 | El akarták tehát fogni őt, de senki sem vetette rá a kezét, mert még nem jött el az ő órája.
John.7.31 | A sokaság közül pedig sokan hittek benne és azt mondták: Mikor eljön a Krisztus, tehet-e majd több csodát annál, amennyit ez tett?
John.7.32 | "Meghallották a farizeusok, amint a sokaság ezeket suttogta felőle; és szolgákat küldtek a papi fejedelmek és farizeusok, hogy fogják el őt."
John.7.33 | Szólt azért nekik Jézus: Egy kevés ideig még veletek vagyok, de azután majd elmegyek ahhoz, aki elküldött engem.
John.7.34 | "Kerestek majd engem, de nem találtok; és ahol én vagyok, oda ti nem jöhettek."
John.7.35 | Ekkor a zsidók így szóltak maguk között: Hova akar ez menni, hogy mi majd nem találjuk meg őt? vajjon a görögök közé szóródottakhoz akar-e menni és a görögöket tanítani?
John.7.36 | "Mit értett azon a beszéden, amikor azt mondta: Kerestek majd engem és nem találtok meg; és ahol én vagyok, ti oda nem jöhettek?"
John.7.37 | Az ünnep utolsó nagy napján pedig felállott Jézus és így kiáltott: Ha valaki szomjúhozik, jöjjön énhozzám és igyék.
John.7.38 | Aki hisz énbennem, amint az Írás mondta, élő víznek folyamai áradnak ki annak belsejéből.
John.7.39 | Ezt pedig a Lélekről mondta, akit veendők voltak a benne hívők, mert még nem jött el a Lélek, mivel Jézus még nem dicsőíttetett meg.
John.7.40 | Amikor hallották e beszédet, a sokaságból némelyek ezt mondták: Valóban ez ama próféta.
John.7.41 | Mások azt mondták: Ez a Krisztus. Megint mások így szóltak: Csak nem Galileából jön el a Krisztus?
John.7.42 | Hiszen az Írás azt mondta, hogy Dávid magvából és Betlehem városából, Dávid lakóhelyéből jön el a Krisztus.
John.7.43 | Szakadás támadt azért miatta a sokaságban.
John.7.44 | Némelyek pedig közülük el akarták őt fogni, de senki sem vetette rá a kezét.
John.7.45 | Elmentek azért a szolgák a papi fejedelmekhez és farizeusokhoz s azok így szóltak nekik: Miért nem hoztátok el őt?
John.7.46 | Feleltek a szolgák: Soha ember úgy nem szólt, mint ahogy ez az ember szól!
John.7.47 | A farizeusok erre azt feleitek nekik: vajjon titeket is elhitetett?
John.7.48 | vajjon a főemberek vagy a farizeusok közül hitt-e benne valaki?
John.7.49 | De ez a sokaság, amely nem ismeri a törvényt, átkozott!
John.7.50 | Szólt nekik Nikodémus, aki régebben elment hozzá s aki közülük való volt:
John.7.51 | vajjon a mi törvényünk elítéli-e az embert, mielőtt ki nem hallgatja és meg nem tudja, mit cselekedett?
John.7.52 | És azok így feleltek neki: vajjon te is galileai vagy? Tudakozódjál utána és győződjél meg ró:a, hogy Galileából nem támad próféta.
John.7.53 | És elment kiki a maga házába. (A házasságtörő asszonyról szóló elbeszélés (vagyis a 7: 53—8:11. versek) valamely elveszett evangéliumból származik. Ezt a történetet később iktatták be egyes másolók János evangéliumába, a jelenlegi helyére.)

John.8.1 | Jézus pedig elment az Olajfák hegyére.
John.8.2 | "Jókor reggel azonban ismét ott volt a templomban, és az egész nép odament hozzá; és ő leülve, tanította őket."
John.8.3 | Az írástudók és farizeusok pedig egy asszonyt vittek hozzá, akit házasságtörésen értek. És középre állítva,
John.8.4 | így szóltak neki: Mester, ezt az asszonyt tetten érték, mint házasságtörőt.
John.8.5 | Mózes pedig a törvényben azt parancsolta nekünk, hogy az ilyeneket meg kell kövezni. Hát te mit mondasz?
John.8.6 | Ezt pedig azért mondták, hogy kísértsék őt, hogy legyen mivel vádolniuk. Jézus pedig lehajolva, az ujjával írt a földre.
John.8.7 | De mikor tovább faggatták, felegyenesedve azt mondta nekik: Aki közületek nem bűnös, az vessen rá először követ.
John.8.8 | És újra lehajolva, írt a földre.
John.8.9 | Azok pedig ennek hallatára és mivel lelkiismeretük vádolta őket, egymásután eltávoztak, a vénektől kezdve mind az utolsókig, úgyhogy egyedül Jézus maradt ott és az asszony, középen állva.
John.8.10 | Mikor pedig Jézus felegyenesedett és senkit sem látott az asszonyon kívül, így szólt neki: Asszony, hol vannak a te vádlóid? Senki sem kárhoztat téged?
John.8.11 | "Ő pedig azt mondta: Senki, Uram. Jézus pedig így szólt neki: Én sem kárhoztatlak; eredj el és többé ne vétkezzél!"
John.8.12 | "Ismét szólt azért hozzájuk Jézus: Én vagyok a világ világossága; aki engem követ, nem járhat a sötétségben, hanem övé lesz az élet világossága."
John.8.13 | A farizeusok azért így szóltak neki: Te magadról teszel bizonyságot: a te bizonyságtételed nem igaz.
John.8.14 | "És Jézus azt felelte nekik: Ha magam teszek is bizonyságot magamról, az én bizonyságtételem igaz, mert tudom, honnan jöttem és hová megyek; ti pedig nem tudjátok, honnan jövök és hová megyek."
John.8.15 | Ti test szerint ítéltek. Én nem ítélek senkit.
John.8.16 | De ha ítélek is, az én ítéletem igaz, mert nem vagyok egyedül, hanem én és az Atya, aki küldött engem.
John.8.17 | A ti törvényetekben is meg van írva, hogy két ember bizonyságtétele igaz.
John.8.18 | Én vagyok, aki bizonyságot teszek magamról, és bizonyságot tesz rólam az Atya, aki elküldött engem.
John.8.19 | "Szóltak azért neki: Hol van a te Atyád? Felelt Jézus: Sem engem nem ismertek, sem az én Atyámat; ha engem ismernétek, az én Atyámat is ismernétek."
John.8.20 | "Ezeket a beszédeket mondta Jézus a kincstartó helyen, mikor a templomban tanított; és senki sem fogta el őt, mert még nem jött el az ő órája."
John.8.21 | Ismét azt mondta azért nekik Jézus: Én elmegyek és ti majd kerestek engem, és meg fogtok halni bűneitekben. Ahova én megyék, oda ti nem jöhettek.
John.8.22 | Szóltak azért a zsidók: vajjon megöli magát, hogy azt mondja: Ahova én megyek, oda ti nem jöhettek?
John.8.23 | "És szólt nekik: Ti alulról valók vagytok, én pedig felülről való vagyok; ti ebből a világból valók vagytok; én nem vagyok ebből a világból való."
John.8.24 | Azért mondtam nektek, hogy meghaltok bűneitekben. Mert ha nem hiszitek, hogy én vagyok, meghaltok bűneitekben.
John.8.25 | Szóltak azért neki: Kicsoda vagy te? És Jézus így felelt: Egyáltalán miért is beszélek még veletek?
John.8.26 | Sok mondani- és ítélnivalóm van felőletek. De igaz az, aki elküldött engem. És én azokat hirdetem a világnak, amiket tőle hallottam.
John.8.27 | Nem értették meg, hogy az Atyáról beszélt nekik.
John.8.28 | Szólt azért nekik Jézus: Mikor majd felemeltétek az Ember Fiát, akkor megtudjátok, hogy én vagyok és hogy én semmit sem cselekszem magamtól, hanem amint az Atya tanított engem, úgy beszélek.
John.8.29 | És aki elküldött engem, velem van. Nem hagyott engem egyedül, mert én mindenkor azokat cselekszem, amik neki kedvesek.
John.8.30 | Mikor ezeket mondta, sokan hittek benne.
John.8.31 | "Szólt azért Jézus azokhoz a zsidókhoz, akik hittek benne: Ha megmaradtok az én beszédemben, valóban az én tanítványaim vagytok;"
John.8.32 | és megismeritek az igazságot, és az igazság szabadokká tesz titeket.
John.8.33 | Feleltek neki: Ábrahám magva vagyunk és sohasem szolgáltunk senkinek. Hogyan mondod te, hogy: Szabadokká lesztek?
John.8.34 | Felelt nekik Jézus: Bizony, bizony mondom nektek, hogy mindaz, aki bűnt cselekszik, szolgája a bűnnek.
John.8.35 | A szolga pedig nem marad örökre a házban: a fiú ott marad örökre.
John.8.36 | Azért ha a Fiú megszabadít titeket, valósággal szabadok lesztek.
John.8.37 | "Tudom, hogy Ábrahám magva vagytok; de meg akartok engem ölni, mert az én beszédemnek nincs helye bennetek."
John.8.38 | "Én azt hirdetem, amit az én Atyámnál láttam; ti is azt cselekszitek azért, amit a ti atyátoktól hallottatok."
John.8.39 | Feleltek és ezt mondták neki: A mi atyánk Ábrahám. Szólt nekik Jézus: Ha Ábrahám gyermekei volnátok, Ábrahám cselekedeteit cselekednétek.
John.8.40 | Ámde ti most meg akartok engem ölni, azt az embert, aki az igazságot szóltam nektek, amelyet az Istentől hallottam. Ábrahám ezt nem cselekedte.
John.8.41 | "Ti a ti atyátok cselekedeteit cselekszitek. Szóltak azért neki: Mi nem paráznaságból születtünk; egy Atyánk van: az Isten."
John.8.42 | "Jézus ezt mondta nekik: Ha Isten volna a ti Atyátok, szeretnétek engem, mert én az Istentől jöttem ki és vagyok itt; mert nem is magamtól jöttem, hanem ő küldött engem."
John.8.43 | Miért nem értitek az én beszédemet? Mert nem bírjátok hallgatni az én szómat.
John.8.44 | "Ti az ördögatyától valók vagytok és a ti atyátok kívánságait akarjátok cselekedni. Gyilkos volt az kezdettől fogva és nem állott meg az igazságban; mert nincs benne igazság. Mikor hazugságot mond, a magáéból beszél; mert hazug ő és a hazugságnak atyja."
John.8.45 | De mivel én az igazságot mondom, nem hisztek nekem.
John.8.46 | Közületek kicsoda bizonyíthat rám bűnt? Ha pedig igazságot szólok, miért nem hisztek nekem?
John.8.47 | Aki az Istentől van, hallja az Isten beszédeit, Ti azért nem halljátok, mert nem vagytok az Istentől valók.
John.8.48 | Feleltek azért a zsidók és ezt mondták neki: Nem jól mondjuk-e, hogy te samaritánus vagy és ördög van benned?
John.8.49 | Felelt Jézus: Nincs bennem ördög, hanem tisztelem az én Atyámat és ti gyaláztok engem.
John.8.50 | "Pedig én nem keresem a magam dicsőségét; van, aki keresi és megítéli."
John.8.51 | Bizony, bizony mondom nektek: ha valaki megtartja az én beszédemet, nem lát halált soha.
John.8.52 | "Szóltak azért neki a zsidók: Most értettük meg, hogy ördög van benned. Ábrahám meghalt, a próféták is; és te azt mondod: Ha valaki megtartja az én beszédemet, nem ízleli meg a halált soha."
John.8.53 | vajjon te nagyobb vagy a mi atyánknál, Ábrahámnál, aki meghalt? A próféták meghaltak. Ki akarsz te lenni?
John.8.54 | Felelt Jézus: Ha én dicsőítem magamat, az én dicsőségem semmi. Az én Atyám az, aki dicsőít engem. Ti pedig azt mondjátok róla: Ő a mi Istenünk.
John.8.55 | És ti nem ismertétek meg őt, de én ismerem. És ha azt mondanám, hogy nem ismerem, hozzátok hasonlóvá, hazuggá lennék. De ismerem őt és az ő beszédét megtartom.
John.8.56 | "Ábrahám, a ti atyátok ujjongott, hogy meglátja az én napomat; látta is és örvendezett."
John.8.57 | Ekkor a zsidók azt mondták neki: Még nem vagy ötven esztendős és láttad Ábrahámot?
John.8.58 | Szólt nekik Jézus: Bizony, bizony mondom nektek, hogy mielőtt Ábrahám lett, én vagyok.
John.8.59 | Köveket ragadtak azért, hogy megdobálják. Jézus azonban elrejtőzött és kiment a templomból. (Az 59. vers végén egyes kéziratokban még ez is olvasható: átment közöttük és így eltávozott.)

John.9.1 | És elmenőben látott egy embert, aki születésétől fogva vak volt.
John.9.2 | "És megkérdezték a tanítványai: Mester, ki vétkezett; ez az ember, vagy a szülei, hogy vakon született?"
John.9.3 | Felelt Jézus: Sem ez nem vétkezett, sem a szülei, hanem azért született vakon, hogy nyilvánvalókká legyenek benne Isten cselekedetei.
John.9.4 | Nekünk annak dolgait kell cselekednünk, aki elküldött engem, amíg nappal van. Eljön az éjtszaka, amikor senki sem munkálkodhatik.
John.9.5 | Míg a világban vagyok, a világ világossága vagyok.
John.9.6 | Ahogy ezeket mondta, a földre köpött, nyálából sarat csinált és a sarat rákente a vak ember szemére.
John.9.7 | "És így szólt neki: Menj el, mosakodjál meg a Siloám-tavában (ami azt jelenti: „küldött""). Elment azért és megmosakodott és mikor megjött, látott."
John.9.8 | A szomszédok azért és akik azelőtt látták, hogy koldus volt, így szóltak: Nem ez-é az, aki itt szokott ülni és koldulni?
John.9.9 | Némelyek azt mondták: Ez az! mások pedig: Nem, csak hasonlít hozzá. Ő azt mondta: Én vagyok az.
John.9.10 | Szóltak azért neki: Mimódon nyílt meg hát a szemed?
John.9.11 | Ő így felelt: Az az ember, akit Jézusnak mondanak, sarat csinált, szememre kente és azt mondta nekem: Menj el a Siloám-tavához és mosakodjál meg. Én tehát elmentem, megmosakodtam, és megjött a szemem világa.
John.9.12 | Szóltak azért néki: Hol van ő? Az így felelt: Nem tudom.
John.9.13 | Elvitték őt, aki előbb még vak volt, a farizeusokhoz.
John.9.14 | Aznap pedig, mikor Jézus a sarat csinálta és megnyitotta annak szemét szombat volt.
John.9.15 | Akkor újra kérdezték őt a farizeusok, mimódon jött meg a látása, ő pedig azt mondta nekik: Sarat tett a szememre és én megmosakodtam és látok.
John.9.16 | Szóltak azért némelyek a farizeusok közül: Nem Istentől való ez az ember, mert nem tartja meg a szombatot. Mások ezt mondták: Mimódon tehet bűnös ember ilyen jeleket? És meghasonlás volt köztük.
John.9.17 | Újra szóltak a vaknak: Te mit mondasz ő felőle, hogy megnyitotta a szemedet? Ő pedig azt mondta: Azt, hogy próféta.
John.9.18 | Nem hitték azért a zsidók róla, hogy vak volt és megjött a látása, míg elő nem hívták annak szüleit, akinek megjött a látása.
John.9.19 | És megkérdezték őket: Ez a ti fiatok, akiről azt mondjátok, hogy vakon született? Akkor mimódon lát most?
John.9.20 | Feleltek nekik az ő szülei és ezt mondták: Tudjuk, hogy ez a mi fiúnk és hogy vakon született,
John.9.21 | de hogy most mimódon lát, azt nem tudjuk. Azt sem tudjuk, ki nyitotta meg a szemét. Elég idős már, kérdezzétek meg tőle. Ő majd beszél magáról.
John.9.22 | Ezeket mondták a szülei, mivel féltek a zsidóktól, mert a zsidók már megegyeztek, hogy ha valaki Krisztusnak vallja őt, azt ki kell zárni a zsinagógából.
John.9.23 | Ezért mondták az ő szülei: Elég idős már, őt kérdezzétek meg.
John.9.24 | Ekkor másodszor is szólították azt az embert, aki vak volt s azt mondták neki: Adj dicsőséget az Istennek. Mi tudjuk, hogy ez az ember bűnös.
John.9.25 | "Felelt azért és ezt mondta: Hogy bűnös-e, nem tudom; egyet tudok, hogy noha vak voltam, most látok."
John.9.26 | Ekkor újra így szóltak neki: Mit tett veled? Hogyan nyitotta meg a szemedet?
John.9.27 | Felelt nekik: Már mondtam nektek és ti nem hallgattatok rá. Miért akarjátok újra hallani? Tán csak nem akartok ti is az ő tanítványai lenni?
John.9.28 | "És szidalmazták őt s azt mondták: Te vagy az ő tanítványa; mi pedig Mózes tanítványai vagyunk."
John.9.29 | "Mi tudjuk, hogy Mózeshez szólt az Isten; erről pedig azt sem tudjuk, honnét való."
John.9.30 | Felelt az ember s ezt mondta nekik: Éppen az a csodálatos ebben, hogy ti nem tudjátok, honnét való, és az én szememet megnyitotta.
John.9.31 | "Tudjuk, hogy az Isten nem hallgatja meg a bűnösöket; csak ha valaki istenfélő és az ő akaratát cselekszi, azt hallgatja meg."
John.9.32 | öröktől fogva nem hallott az ember olyant, hogy valaki megnyitotta volna vakon születettnek a szemét.
John.9.33 | Ha ez nem volna Istentől való, semmit sem cselekedhetett volna.
John.9.34 | Feleltek és így szóltak neki: Te mindenestül bűnben születtél, és te tanítasz minket? És kivetették őt.
John.9.35 | Meghallotta Jézus, hogy kivetették azt, és mikor megtalálta őt, ezt mondta neki: Te hiszel az Ember Fiában? (A 35. versben egyes kéziratokban az Ember Fiában szavak helyett: az Isten Fiában szavak olvashatók.)
John.9.36 | És ő így felelt: Ki az, Uram, hogy higgyek benne?
John.9.37 | Jézus azt mondta neki: Láttad is őt, és ő az, aki veled beszél.
John.9.38 | Az pedig szólt: Hiszek, Uram. És imádta őt.
John.9.39 | "És szólt Jézus: Ítélni jöttem erre a világra, hogy a nem látók lássanak; és a látók vakokká legyenek."
John.9.40 | És meghallotta ezt néhány farizeus, akik vele voltak és azt mondták neki: Talán csak nem vagyunk mi is vakok?
John.9.41 | Felelt nekik Jézus: Ha vakok volnátok, nem volna bűnötök! ámde azt mondjátok: Mi látunk, — azért megmarad a ti bűnötök.

John.10.1 | Bizony, bizony mondom nektek: Aki nem az ajtón megy be a juhok aklába, hanem máshonnan hág be, tolvaj az és rabló.
John.10.2 | Aki ellenben az ajtón megy be, a juhok pásztora az.
John.10.3 | "Ennek az ajtónálló ajtót nyit és a juhok hallgatnak hangjára; és a maga juhait nevükön szólítja és kivezeti őket."
John.10.4 | És amikor mind kiereszti a juhait, előttük megy és a juhok követik őt, mert ismerik a hangját.
John.10.5 | Idegent pedig nem követnek, hanem elfutnak attól, mert nem ismerik az idegenek hangját.
John.10.6 | Ezt a példázatot mondta nekik Jézus, de ők nem értették, mi az, amit mondott nekik.
John.10.7 | Újra szólt azért nekik Jézus: Bizony, bizony mondom nektek, én vagyok a juhok ajtaja.
John.10.8 | "Mindazok, akik előttem jöttek, tolvajok és rablók; de nem hallgattak rájuk a juhok."
John.10.9 | "Én vagyok az ajtó: ha valaki rajtam át megy be, megtartatik; bemegy és kimegy és legelőt talál."
John.10.10 | "A tolvaj csak azért jön, hogy lopjon, öljön és pusztítson; én azért jöttem, hogy életük legyen és bővölködjenek."
John.10.11 | Én vagyok a jó pásztor: a jó pásztor életét adja a juhokért.
John.10.12 | Aki béres és nem pásztor, akinek a juhok nem tulajdonai, amikor látja, hogy jön a farkas, otthagyja a juhokat és elfut, és a farkas elragadozza és elszéleszti a juhokat.
John.10.13 | A béres pedig azért fut el, mert béres és nincs gondja a juhokra.
John.10.14 | "Én vagyok a jó pásztor; és úgy ismerem az enyéimet és engem is úgy ismernek az enyéim,"
John.10.15 | amint ismer engem az Atya és én is ismerem az Atyát. És életemet adom a juhokért.
John.10.16 | "Más juhaim is vannak nekem, amelyek nem ebből az akolból valók: azokat is vezetnem kell, és hallgatnak majd az én hangomra; és lesz egy nyáj, egy pásztor."
John.10.17 | Azért szeret engem az Atya, mert én leteszem az én életemet, hogy újra felvegyem azt.
John.10.18 | Senki sem veszi azt el éntőlem, hanem én teszem le magamtól. Van hatalmam, hogy letegyem, és van hatalmam, hogy ismét felvegyem. Ezt a parancsolatot vettem az én Atyámtól.
John.10.19 | Újra meghasonlás támadt a zsidók között e beszédek miatt
John.10.20 | És sokan mondták közülök: ördög van benne és megháborodott. Mit hallgattok rá?
John.10.21 | Mások azt mondták: Ezek nem ördöngösnek a beszédei. vajjon ördög megnyithatja-e a vakok szemét?
John.10.22 | Akkor Jeruzsálemben a templomszentelés ünnepét ülték. Tél volt.
John.10.23 | És Jézus a templomban, Salamon csarnokában járt.
John.10.24 | Körülvették azért a zsidók és így szóltak neki: Meddig tartasz még bizonytalanságban bennünket? Ha te vagy a Krisztus, mondd meg nekünk nyíltan.
John.10.25 | Fejelt nekik Jézus: Megmondtam nektek, de nem hiszitek. A cselekedetek, melyeket én cselekszem az én Atyám nevében, azok tesznek bizonyságot rólam.
John.10.26 | De ti nem hisztek, mert nem az én juhaim közül valók vagytok. Amint megmondtam nektek.
John.10.27 | Az én juhaim hallgatnak az én hangomra és én ismerem őket és ők követnek engem.
John.10.28 | És én örök életet adok nekik, és soha el nem vesznek és nem ragadja ki senki őket a kezemből.
John.10.29 | Az én Atyám, aki őket nekem adta, nagyobb mindenkinél. És senki sem ragadhatja ki őket az én Atyám kezéből.
John.10.30 | Én és az Atya egy vagyunk.
John.10.31 | Ismét köveket ragadtak a zsidók, hogy megkövezzék.
