Mark.1.1 | Jézus Krisztusról, az Isten Fiáról szóló evangéliom kezdete.
Mark.6.37 | Jézus pedig ezt mondta nekik: Adjatok nekik ti enni. És válaszoltak neki: Menjünk és vegyünk kétszáz dénárért kenyeret, hogy enni adjunk nekik?
Mark.6.38 | Ő pedig azt mondta nekik: Hány kenyeretek van? Menjetek, nézzétek meg. És amikor megtudták, így szóllak: öt, és két halunk.
Mark.6.39 | Akkor megparancsolta nekik, hogy üljenek le mind csoportonként a zöld pázsitra.
Mark.6.40 | Letelepedtek azért csoportonként százával és ötvenével.
Mark.6.41 | Ő pedig vette az öt kenyeret és a két halat, és feltekintett az égre, hálát adott és megtörte a kenyereket és odaadta tanítványainak, hogy tegyék eléjük és a két halat is elosztotta mindnyájuknak.
Mark.6.42 | Ettek azért mindnyájan és jóllaktak,
Mark.6.43 | és felszedték a maradékot, tizenkét tele kosárral és a halakból is.
Mark.6.44 | Akik pedig a kenyerekből ettek, mintegy ötezeren voltak férfiak.
Mark.6.45 | És mindjárt meghagyta tanítványainak, hogy szálljanak hajóba és menjenek át előtte a túlsó partra Betsaida felé, míg elbocsátja a sokaságot.
Mark.6.46 | Miután pedig elbúcsúzott tőlük felment a hegyre, hogy imádkozzék.
Mark.6.47 | És amikor beesteledett, a hajó a tenger közepén volt, ő pedig egymaga a szárazon.
Mark.6.48 | És amint látta, hogy vesződnek az evezéssel, — mert a szél szembe fújt, — az éjtszaka negyedik őrváltása idején odament hozzájuk, a tengeren járva. És el akart haladni mellettük.
Mark.6.49 | Mikor pedig azok látták, hogy a tengeren jár, kísértetnek vélték és felkiáltottak,
Mark.6.50 | mert mindnyájan látták őt és megrémültek. De Ő azonnal megszólította őket és mondta nekik: Bízzatok! Én vagyok! Ne féljetek!
Mark.6.51 | Ekkor beszállt hozzájuk a hajóba és elállt a szél. Ők pedig szerfelett csodálkoztak magukban.
Mark.6.52 | Mert nem okultak a kenyerek megsokasításán, mivel a szívük megkeményedett.
Mark.6.53 | És átkelve a szárazföldre, eljutottak Genezáretbe és kikötöttek.
Mark.6.54 | De mihelyt kiszálltak a hajóból, azonnal megismerték őt,
Mark.6.55 | és azt az egész környéket befutották, kezdték a betegeket ágyakon odahordani, ahol hallomásuk szerint tartózkodott.
Mark.6.56 | És ahová bement: falvakba, városokba vagy tanyákra, a betegeket kitették a terekre és kérték őt, hogy azok legalább a ruhája szegélyét érinthessék. És ahányan csak érintették, meggyógyultak.

Mark.7.1 | És hozzágyűltek a farizeusok és néhány Jeruzsálemből jött írástudó.
Mark.7.2 | Ezek látták, hogy tanítványai közül némelyek tisztátalan vagyis mosdatlan kézzel esznek kenyeret. —
Mark.7.3 | "Mert a farizeusok és általában a zsidók addig nem esznek, míg kezüket egy maroknyi vízzel meg nem mossák; így tartják meg a vének hagyományát."
Mark.7.4 | "És mikor a piacról hazamennek, mosakodás nélkül nem esznek; és sok egyéb dolog is van, aminek megtartását átvették, poharak, korsók, rézedények — és ágyak — megmosását. — (A 4. versben gondolatjel közé tett szavak a legrégibb kéziratokban nincsenek meg.)"
Mark.7.5 | Ekkor megkérdezték őt a farizeusok és az írástudók: Miért nem élnek a te tanítványaid a vének hagyománya szerint, hanem tiszta talán kézzel esznek kenyeret?
Mark.7.6 | Ő pedig azt mondta nekik: Helyesen prófétált felőletek, képmutatók felől, Ésaiás, amint meg van írva: Ez a nép szájával tisztel engem, de a szíve távol van tőlem.
Mark.7.7 | Pedig hiába tisztelnek engem, ha emberi parancsolatokat tanítanak isteni tanítás gyanánt.
Mark.7.8 | "Az Isten parancsolatát elhagyjátok, de az emberek hagyományát megtartjátok. (A 8. vers végén egyes kéziratokban még ez olvasható: korsóknak és poharaknak mosását; és sok egyéb effélét is cselekesztek.)"
Mark.7.9 | Majd így szólt nekik: Ti szépen félreteszitek az Isten parancsolatát azért, hogy a magatok hagyományát tartsátok meg.
Mark.7.10 | Mert Mózes azt mondta: Tiszteld atyádat és anyádat: És: Aki atyját vagy anyját szidalmazza, halállal haljon meg.
Mark.7.11 | Ti pedig azt mondjátok: Ha valaki ezt mondja atyjának vagy anyjának: Korbán (azaz: áldozati ajándék) az, amivel segíthetnélek,
Mark.7.12 | akkor már nem engeditek, hogy atyjával vagy anyjával valami jót tegyen.
Mark.7.13 | így teszitek érvénytelenné az Isten beszédét a ti hagyományotokkal, amelyet tanítotok. És sok effélét is cselekesztek.
Mark.7.14 | És magához hívta ismét a sokaságot és így szólt nekik: Hallgassatok rám mindnyájan és értsétek meg:
Mark.7.15 | Nincsen semmi az emberen kívül, ami beléje jutva, tisztátalanná tenné őt, hanem ami az emberből kijön, az teszi tisztátalanná az embert.
Mark.7.16 | Ha valakinek van füle a hallásra, hallja!
Mark.7.17 | És mikor a sokaságot elhagyta és bement egy házba, megkérdezték őt a tanítványai a példázat felől.
Mark.7.18 | És válaszolt nekik: Ti is ennyire értelmetlenek vagytok? Nem értitek, hogy semmi sem teheti tisztátalanná az embert, ami kívülről jut bele?
Mark.7.19 | Mert nem a szívébe jut, hanem a gyomrába, ahonnét természetes úton távozik. Így nyilvánított ő tisztának minden eledelt.
Mark.7.20 | Azt mondta továbbá: Ami az emberből kijön, az teszi tisztátalanná az embert.
Mark.7.21 | Mert belülről, az ember szívéből származnak a gonosz gondolatok, paráznaságok, lopások, gyilkosságok,
Mark.7.22 | házasságtörések, kapzsiságok, gonoszságok, álnokság, bujaság, irigység, káromlás, gőg, oktalanság:
Mark.7.23 | mindezek a gonoszságok belülről erednek és tisztátalanná teszik az embert.
Mark.7.24 | És felkelt és elment onnan Tírus és Szidon határába. És amikor bement egy házba, azt akarta, hogy senki se tudja meg, de nem maradhatott titokban.
Mark.7.25 | Mert hamarosan hallott felőle egy asszony, akinek leányában tisztátalan lélek volt, és odament és lábához borult.
Mark.7.26 | Ez az asszony pedig pogány volt, szír-feníciai származású. És kérte őt, hogy űzze ki leányából az ördögöt.
Mark.7.27 | Jézus azonban azt mondta neki: Hadd lakjanak jól először a fiak, mert nem helyes a fiak kenyerét elvenni és az ebeknek vetni.
Mark.7.28 | "Ám az így felelt neki: Úgy van, Uram; de hiszen az ebek is esznek az asztal alatt a fiak morzsáiból."
Mark.7.29 | "És azt mondta neki: E beszédért menj el; az ördög kiment a te leányodból."
Mark.7.30 | És mikor hazaért, leányát az ágyon fekve találta és az ördög kiment belőle.
Mark.7.31 | Azután ismét eltávozott Tírus határából, és elment Szidonon át, a galileai tengerhez a Tíz város vidékén keresztül.
Mark.7.32 | És odavittek hozzá egy nehéz beszédű süketet és kérték, hogy tegye rá a kezét.
Mark.7.33 | Mikor pedig félrevonta őt a sokaságból, ujját a fülébe dugta és nyálával illette annak a nyelvét.
Mark.7.34 | Majd feltekintett az égre, fohászkodott és ezt mondta neki: Effata, azaz: Nyílj meg!
Mark.7.35 | És megnyílt a füle és nyelve köteléke nyomban megoldódott, úgyhogy értelmesen beszélt.
Mark.7.36 | "És megparancsolta nekik, hogy senkinek se mondják el; de mennél jobban tiltotta, annál inkább híresztelték."
Mark.7.37 | "És szerfelett elcsodálkoztak, és ezt mondták: Mindent jól cselekedett; a süketeket is hallókká teszi, a némákat is beszélőkké."

Mark.8.1 | Azokban a napokban ismét igen nagy volt a sokaság és mivel nem volt mit enniök, magához szólította Jézus a tanítványait és ezt mondta nekik:
Mark.8.2 | "Szánakozom e sokaságon, mert már harmadnapja, hogy velem vannak és nincs mit enniük;"
Mark.8.3 | és ha éhen bocsátom őket haza, kidőlnek az úton, Mert némelyek közülük messziről jöttek.
Mark.8.4 | Tanítványai pedig így feleltek neki: Honnan elégíthetné meg valaki ezeket kenyérrel itt a pusztában?
Mark.8.5 | És megkérdezte tőlük: Hány kenyeretek van? Azok pedig szóltak: Hét.
Mark.8.6 | Akkor megparancsolta a sokaságnak, hogy telepedjenek le a földre. És miután vette a hét kenyeret, hálát adott, megtörte és a tanítványainak adta, hogy tegyék eléjük. És a sokaság elé tették.
Mark.8.7 | Volt egy kevés haluk is. És miután megáldotta, azt mondta, hogy tegyék eléjük azokat is.
Mark.8.8 | Ettek azért és jóllaktak és felszedték a maradék darabokat hét kosárral.
Mark.8.9 | Számuk pedig mintegy négyezer volt. Azután elbocsátotta őket.
Mark.8.10 | És azonnal hajóra szállt tanítványaival és Dalmanuta vidékére ment
Mark.8.11 | Majd kimentek a farizeusok és vitatkozni kezdtek vele, és mennyei jelt kívántak tőle, hogy kísértsék őt.
Mark.8.12 | Ő pedig lelkében felfohászkodva, ezt mondta: Miért kíván jelt ez a nemzedék? Bizony mondom nektek: nem adatik jel ennek a nemzedéknek.
Mark.8.13 | És otthagyva őket, ismét hajóra szállt és a túlsó partra ment.
Mark.8.14 | De elfelejtettek kenyeret vinni, úgyhogy csak egy kenyér volt velük a hajóban.
Mark.8.15 | És intette őket, Vigyázzatok, őrizkedjetek a farizeusok kovászától és Heródes kovászától!
Mark.8.16 | Ekkor egymás között tanakodtak, hogy nincs kenyerük.
Mark.8.17 | Jézus pedig tudta ezt, és azt mondta nekik: Mit tanakodtok, hogy nincs kenyeretek? Mégsem veszitek észre és nem értitek? Mégis kemény a szívetek?
Mark.8.18 | Van szemetek és nem láttok? Van fületek és nem hallotok? És nem emlékeztek?
Mark.8.19 | Mikor az öt kenyeret megtörtem az ötezernek, hány kosarat szedtetek tele a darabokkal? Feleltek neki: Tizenkettőt.
Mark.8.20 | Mikor pedig a hetet a négyezernek, hány kosarat szedtetek tele a darabokkal? Azok pedig mondták: Hetet.
Mark.8.21 | És ő ezt mondta nekik: Mégsem értitek?
Mark.8.22 | Azután Betsaidába mentek. És egy vakot vittek hozzá és kérték, hogy érintse meg.
Mark.8.23 | Ekkor ő kézen fogta a vakot, kivezette a falun kívül, majd megnyálazva a szemét, rátette a kezét és megkérdezte tőle: vajjon látsz-e valamit?
Mark.8.24 | Az pedig feltekintve, így szólt: Látom az embereket, úgy látom őket, mint valami járkáló fákat.
Mark.8.25 | Azután ismét rátette kezét a szemére. És az világosan látott, meggyógyult, és tisztán látott mindent.
Mark.8.26 | Azután hazaküldte őt, és ezt mondta: A faluba pedig ne menj be! (A 26. vers végén egyes kéziratokban még ez olvasható: És senkinek el ne mondd a faluban.)
Mark.8.27 | "És elment Jézus a tanítványaival a Cézárea Filippi mellett levő falvakba; és útközben megkérdezte tanítványaitól: Kinek mondanák engem az emberek?"
Mark.8.28 | "Ők pedig így feleltek: Keresztelő Jánosnak; és némelyek Illésnek, némelyek pedig valamelyik prófétának."
Mark.8.29 | És ő megkérdezte őket: Ti pedig kinek mondotok engem? Erre Péter így felelt neki: Te vagy a Krisztus!
Mark.8.30 | És rájuk parancsolt, hogy senkinek se szóljanak felőle
Mark.8.31 | És kezdte őket tanítani, hogy az Ember Fiának sokat kell szenvednie és a vénektől, a papi fejedelmektől és írástudóktól megvettetnie és megöletnie és harmadnapon feltámadnia.
Mark.8.32 | És ezt nyíltan mondta. Ekkor Péter magához vonta és elkezdte dorgálni.
Mark.8.33 | De ő megfordult, tanítványaira tekintett és megfeddette Pétert e szavakkal: Távozz tőlem, Sátán! Mert nem az Isten dolgaira gondolsz, hanem az emberek dolgaira.
Mark.8.34 | Majd a sokaságot tanítványaival együtt magához szólította és azt mondta nekik: Ha valaki én utánam akar jönni, tagadja meg magát és vegye fel az ő keresztjét és kövessen engem.
Mark.8.35 | "Mert aki meg akarja tartani az ő életét, elveszíti azt; aki pedig elveszíti az ő életét énérettem és az evangéliumért, megmenti azt."
Mark.8.36 | Mert mit használ az embernek, ha az egész világot megnyeri, de életét elveszíti?
Mark.8.37 | vajjon mit adhat az ember váltságul az ő életéért?
Mark.8.38 | Mert ha valaki szégyel engem és az én beszédeimet e parázna és bűnös nemzedékben, az Ember Fia is szégyellni fogja azt, mikor eljön az ő Atyja dicsőségében a szent angyalokkal.

Mark.9.1 | Azután így szólt nekik: Bizony mondom nektek, hogy vannak némelyek az itt állók között, akik nem ízlelnek halált addig, amíg meg nem látják, hogy az Isten országa eljön hatalommal.
Mark.9.2 | És hat nap múlva magához vette Jézus Pétert, Jakabot és Jánost, és felvitte őket csupán magukat egy magas hegyre. És elváltozott előttük,
Mark.9.3 | úgyhogy ruhája olyan tündöklő fehér lett, amilyenhez hasonlót ruhafestő a földön nem fehéríthet.
Mark.9.4 | És megjelent nekik Illés Mózessel együtt és beszélgettek Jézussal,
Mark.9.5 | Ekkor Péter megszólalt és azt mondta Jézusnak: Mester, jó nekünk itt lennünk, készítsünk itt három sátrat: neked egyet, Mózesnek is egyet, Illésnek is egyet.
Mark.9.6 | Mert nem tudta mit beszél, mivel megrémültek.
Mark.9.7 | És felhő támadt, amely beborította őket és a felhőből szó hangzott, amely ezt mondta: Ez az én szeretett Fiam: őt hallgassátok.
Mark.9.8 | És egyszerre, amint szétnéztek, senkit sem láttak maguk körül, egyedül Jézust.
Mark.9.9 | Mikor pedig a hegyről leszállottak, megparancsolta nekik, hogy senkinek se beszéljék el, amit láttak, csak amikor az Ember Fia a halálból feltámad.
Mark.9.10 | És ezt a szót megtartották magukban, de tanakodtak egymás között, hogy mit jelent a halálból feltámadni.
Mark.9.11 | És megkérdezték őt: Miért mondják az írástudók, hogy előbb Illésnek kell eljönnie?
Mark.9.12 | Ő pedig azt mondta nekik: Illés csakugyan előbb jön el és mindent helyreállít. De hogyan van az Ember Fiáról megírva, hogy sokat kell szenvednie és megvetést tűrnie.
Mark.9.13 | De mondom nektek, hogy Illés is eljött és azt cselekedték vele, amit akartak, amint meg van írva felőle.
Mark.9.14 | És mikor a tanítványokhoz értek, nagy sokaságot láttak körülöttük, és írástudókat, akik vitatkoztak velük.
Mark.9.15 | És mihelyt meglátta őt az egész sokaság, elcsodálkozott és eléje futott és köszöntötte őt.
Mark.9.16 | Ő pedig megkérdezte tőlük: Mit vitatkoztok ezekkel?
Mark.9.17 | És valaki a sokaságból így felelt: Mester, idehoztam hozzád a fiamat, akiben néma lélek van.
Mark.9.18 | És ahol csak megragadja, földhöz veri és tajtékot túr, fogát csikorgatja és megmerevedik. Szóltam hát tanítványaidnak, hogy űzzék ki azt, de nem tudták.
Mark.9.19 | Ő pedig így felelt nekik: Óh hitetlen nemzedék, meddig leszek még veletek? Meddig szenvedjelek el titeket? Hozzátok ide elém!
Mark.9.20 | És odavitték hozzá. És mihelyt megpillantotta őt, a lélek azonnal szaggatta, úgyhogy a földre esett és tajtékot túrva fetrengett.
Mark.9.21 | És megkérdezte az apjától: Mennyi ideje, hogy ez megesett vele? Az pedig szólt: Gyermeksége óta.
Mark.9.22 | És gyakran lökte tűzbe is, vízbe is, hogy elpusztítsa őt. De ha tehetsz valamit, légy segítségül nekünk és könyörülj rajtunk.
Mark.9.23 | "Jézus pedig azt mondta neki: „Ha tehetsz valamit""? — Minden lehetséges a hivőnek!"
Mark.9.24 | A gyermek atyja pedig — könnyhullatással — tüstént így kiáltott: Hiszek! Légy segítségül az én hitetlenségemnek. (A 24. versben gondolatjel közé tett szó a legrégibb kéziratokban nincs meg.)
Mark.9.25 | Mikor pedig Jézus látta, hogy a sokaság még inkább összetódul, megdorgálta a tisztátalan lelket és ezt mondta neki: Te néma és süket lélek, parancsolom neked: menj ki belőle és többé bele ne menj!
Mark.9.26 | Ekkor az kiáltás és erős szaggatás közt kiment, a gyermek pedig olyan lett, mint egy halott, úgyhogy sokan azt mondták, meghalt.
Mark.9.27 | Jézus azonban megragadta a kezét, felemelte őt, és az felkelt.
Mark.9.28 | Miután pedig bement a házba, tanítványai megkérdezték őt külön: Miért nem űzhettük ki ezt mi?
Mark.9.29 | Ő pedig azt mondta nekik: Ezt a fajtát semmivel sem lehet kiűzni, csak imádsággal.
Mark.9.30 | És onnét távozva, Galileán mentek át. És nem akarta, hogy valaki megtudja.
Mark.9.31 | Mert tanította tanítványait és ezt mondta nekik: Az Ember Fia az emberek kezébe adatik és megölik őt, de ha megölték, harmadnap feltámad.
Mark.9.32 | Ám ők nem értették meg ezt a mondást, de féltek őt meg kérdezni.
Mark.9.33 | És elmentek Kapernaumba. És odahaza megkérdezte tőlük: miről vitatkoztatok útközben?
Mark.9.34 | De ők hallgattak, mert az úton arról vitatkoztak egymással, hogy ki a legnagyobb.
Mark.9.35 | És amikor leült, odaszólította a tizenkettőt és ezt mondta nekik: Ha valaki első akar lenni, legyen mindenki között az utolsó és mindenkinek a szolgája.
Mark.9.36 | És előfogott egy kis gyermeket, közéjük állította, majd ölébe vette és ezt mondta nekik:
Mark.9.37 | "Aki az ilyen gyermekek közül egyet befogad az én nevemért, engem fogad be; és aki engem befogad, nem engem fogad be, hanem azt, aki engem elküldött."
Mark.9.38 | János pedig így szólt hozzá: Mester, láttunk valakit, aki a te neveddel ördögöket űz ki, aki nem követ minket, és eltiltottuk őt, mivelhogy nem követ minket.
Mark.9.39 | Jézus pedig szólt: Ne tiltsátok el őt, mert senki sincs, aki csodát tesz az én nevemben és mindjárt ócsárolhatna engem.
Mark.9.40 | Mert aki nincs ellenünk, velünk van.
Mark.9.41 | Mert aki innotok ad egy pohár vizet az én nevemben, mivel ti a Krisztuséi vagytok, bizony mondom nektek, hogy nem veszti el jutalmát.
Mark.9.42 | Aki pedig bűnre csábít egyet e kicsinyek közül, akik hisznek, jobb annak, ha malomkövet kötnek a nyakára és a tengerbe vetik.
Mark.9.43 | És ha bűnre visz téged a kezed, vágd le azt. Jobb neked csonkán bemenned az életre, mint két kezeddel menned a gyehennára, az olthatatlan tűzre,
Mark.9.44 | ahol az ő férgük meg nem hal és a tűz el nem alszik.
Mark.9.45 | És ha a lábad visz bűnre téged, vágd le azt. Jobb neked sántán bemenned az életre, mintha két lábaddal vetnek a gyehennára, (A 45. és 47. vers végére is odaírták egyes kéziratokban ezt: az olthatatlan tűzre.)
Mark.9.46 | ahol az ő férgük meg nem hal és a tűz el nem alszik.
Mark.9.47 | És ha a szemed csábít bűnre téged, vájd ki azt. Jobb neked félszemmel bemenned az Isten országába, mintha két szemeddel vetnek a gyehennára,
Mark.9.48 | ahol az ő férgük meg nem hal és a tűz el nem alszik.
Mark.9.49 | Mert mindenki tűzzel sózatik meg — és minden áldozat sóval sózatik meg. — (A 49. versben gondolatjel közé tett szavak a legrégibb kéziratokban nincsenek meg.)
Mark.9.50 | Jó a só, de ha a só ízét veszti, mivel adtok ízt neki? Legyen bennetek só és legyetek békében egymással.

Mark.10.1 | "És felkelve, elment onnan Júdea határába és a Jordánontúlra, és ismét sokaság gyűlt hozzá; ő pedig szokása szerint ismét tanította őket."
Mark.10.2 | És a farizeusok odamentek hozzá, megkérdezték kísértve őt, hogy szabad-e férjnek feleségét elbocsátania.
Mark.10.3 | Ő pedig azt felelte nekik: Mit parancsolt nektek Mózes?
Mark.10.4 | Ők pedig azt mondták: Mózes megengedte, hogy válólevelet írjunk és elváljunk.
Mark.10.5 | És Jézus így válaszolt: A ti szívetek keménysége miatt írta nektek ezt a parancsolatot.
Mark.10.6 | De a teremtés kezdete óta férfiúvá és asszonnyá teremtette őket az Isten.
Mark.10.7 | Ezért a férfi elhagyja az ő atyját és anyját és ragaszkodik az ő feleségéhez
Mark.10.8 | és lesznek ketten egy testté. Azért többé nem két test ők, hanem egy.
Mark.10.9 | Amit tehát az Isten egybeszerkesztett, ember el ne válassza.
Mark.10.10 | És odahaza a tanítványai ismét meg kérdezték őt e dolog felől.
Mark.10.11 | "Ő pedig így felelt nekik: Aki elbocsátja a feleségét és mást vesz el, házasságtörést követ el ellene;"
Mark.10.12 | ha pedig a feleség hagyja el az ő férjét és mással kel egybe, házasságtörést követ el.
Mark.10.13 | És kis gyermekeket vittek hozzá, hogy kezét rájok tegye. A tanítványok pedig feddették azokat, akik odavitték.
Mark.10.14 | Mikor azonban Jézus ezt látta, megharagudott és ezt mondta nekik: Engedjétek, hogy a kis gyermekek hozzám jöjjenek, ne tiltsátok el őket, mert ilyeneké az Isten országa.
Mark.10.15 | Bizony mondom nektek: aki nem úgy fogadja az Isten országát, mint egy kis gyermek, semmiképpen sem megy be abba.
Mark.10.16 | Azután ölébe vette azokat, rájuk tette és megáldotta őket.
Mark.10.17 | És mikor útnak indult, odafutott hozzá egy ember, térdre borult előtte és megkérdezte tőle: Jó Mester, mit cselekedjem, hogy az örök életet elnyerjem?
Mark.10.18 | Jézus pedig így válaszolt neki: Miért mondasz engem jónak? Senki sem jó, csak egy: az Isten.
Mark.10.19 | "A parancsolatokat tudod: Ne ölj; Ne paráználkodjál; Ne lopj; Hamis tanúbizonyságot ne tégy; Ne rabolj; Tiszteld atyádat és anyádat."
Mark.10.20 | Ő pedig azt mondta neki: Mester, mindezeket megtartottam ifjúságomtól fogva.
Mark.10.21 | "Jézus pedig rátekintett, megkedvelte őt és azt mondta neki: Egy fogyatkozásod van; eredj el, add el minden vagyonodat és oszd ki a szegényeknek és kincsed lesz a mennyben. Azután jöjj és kövess engem, — felvéve a keresztet, — (A 21. versben gondolatjel közé tett szavak a legrégibb kéziratokban nincsenek meg.)"
Mark.10.22 | Az pedig elszomorodott e beszéden, és búsan távozott, mert nagy vagyona volt.
Mark.10.23 | Jézus pedig körültekintve, így szólt tanítványaihoz: Milyen nehezen mennek, be az Isten országába, akik gazdagok!
Mark.10.24 | A tanítványok pedig megdöbbentek az ő beszédén, de Jézus újra megszólalt és ezt mondta nekik:. Gyermekeim, milyen nehéz — azoknak, akik a gazdagságban bíznak — az Isten országába bejutni! (A 24. versben gondolatjel közé tett szavak a legrégibb kéziratokban nincsenek meg.)
Mark.10.25 | Könnyebb a tevének a tű fokán átmenni, mint a gazdagnak bejutni az Isten országába.
Mark.10.26 | Azok pedig szerfelett zavarba jöttek és így szóltak egymás között: Hát akkor kicsoda üdvözülhet?
Mark.10.27 | "Jézus pedig rájuk tekintett és ezt mondta: Embereknél lehetetlen ez, de az Istennél nem; mert az Istennél minden lehetséges."
Mark.10.28 | És Péter kezdte mondani neki: íme, mi mindent elhagytunk és követtünk téged.
Mark.10.29 | Jézus pedig ezt mondta: Bizony mondom nektek: senki sem hagyta el házát, fiútestvéreit vagy nőtestvéreit, anyját, atyját vagy feleségét vagy gyermekeit vagy szántóföldjeit énérettem és az evangéliumért úgy,
Mark.10.30 | "hogy ne kapna százannyit most ebben az időben: házakat, fiútestvéreket és nőtestvéreket, és anyát, gyermekeket és szántóföldeket, ha mindjárt üldöztetésekkel is; a jövendő világban pedig örök életet."
Mark.10.31 | Sok utolsó lesz elsővé és sok első utolsóvá.
Mark.10.32 | "Úton voltak és mentek fel Jeruzsálembe; és előttük haladt Jézus, és ők csodálkoztak; és akik követték őt, féltek. Ekkor ismét maga mellé vette a tizenkettőt, kezdte nekik mondani, minek kell vele megtörténnie:"
Mark.10.33 | "íme felmegyünk Jeruzsálembe és az Ember Fiát a papi fejedelmek és írástudók kezébe adják, halálra ítélik ós kiszolgáltatják a pogányoknak;"
Mark.10.34 | és csúfot űznek belőle és leköpdösik, megostorozzák és megölik, de harmadnap feltámad.
Mark.10.35 | És odajárultak hozzá Jakab és János, a Zebedeus két fia és azt mondták: Mester, szeretnők, ha teljesítenéd kérésünket.
Mark.10.36 | Ő pedig megkérdezte tőlük: Mit kívántok, hogy tegyek veletek?
Mark.10.37 | Azok pedig ezt mondták neki: Add meg nekünk, hogy egyikünk a jobb, másikunk pedig a balkezed felől üljön a te dicsőségedben.
Mark.10.38 | Jézus azonban azt mondta nekik: Nem tudjátok, mit kértek. Kiihatjátok-e azt a poharat, amelyet én kiiszom? És megkeresztelkedhettek-e azzal a keresztséggel, amellyel én megkeresztelkedem?
Mark.10.39 | Azok pedig azt mondták neki: Megtehetjük. Jézus azonban így szólt hozzájuk: A poharat ugyan, amelyet én kiiszom, kiisszátok és a keresztséggel, amellyel én megkeresztelkedem, megkeresztelkedtek,
Mark.10.40 | de az én jobb és balkezem felől való ülést nem az én dolgom megadni, hanem azoké lesz az, akiknek elkészíttetett.
Mark.10.41 | Mikor ezt a tíz tanítvány meghallotta, haragudni kezdtek Jakabra és Jánosra.
Mark.10.42 | Jézus pedig magához szólította őket és azt mondta nekik: Tudjátok, hogy azok, akik a pogányok között fejedelmeknek számítanak, uralkodnak rajtuk és az ő nagyjaik hatalmaskodnak felettük.
Mark.10.43 | "De nem így lesz közöttetek; hanem aki nagy akar lenni közöttetek, az legyen a ti szolgátok;"
Mark.10.44 | és aki közöttetek első akar lenni, legyen mindenkinek szolgája.
Mark.10.45 | Mert az Ember Fia nem azért jött, hogy neki szolgáljanak, hanem hogy ő szolgáljon és adja az ő életét váltságul sokakért.
Mark.10.46 | Majd Jerikóba értek. És mikor ő és tanítványai és nagy sokaság Jerikóból kimentek, Timeus fia, Bartimeus, egy vak koldus, ott ült az út mellett.
Mark.10.47 | És mikor meghallotta, hogy az a názáreti Jézus, kiáltozni kezdett: Dávid Fia, Jézus, könyörülj rajtam:
Mark.10.48 | Erre sokan rátámadtak, hogy hallgasson. De ő annál jobban kiáltozott: Dávid Fia, könyörülj rajtam!
Mark.10.49 | Akkor Jézus megállott és azt mondta: Hívjátok ide. És odahívták a vakot e szavakkal: Bízzál! Kelj fel! Hívat téged.
Mark.10.50 | Az pedig felsőruháját ledobva, felugrott és odament Jézushoz.
Mark.10.51 | És Jézus így szólt hozzá: Mit akarsz, hogy cselekedjem veled? A vak pedig azt mondta neki: Mester, hogy lássak.
Mark.10.52 | "És Jézus így szólott hozzá: Eredj el; a te hited megtartott téged. És azonnal megjött a szemevilága és követte őt az úton."

Mark.11.1 | És mikor Jeruzsálem felé, Betfágéba és Betániába, az Olajfák hegyéhez közeledtek, elküldött kettőt a tanítványai közül
Mark.11.2 | és így szólt nekik: Menjetek abba a faluba, amely előttetek van és amint abba beértek, ott mindjárt találtok egy megkötött szamárcsikót, amelyen még sohasem ült ember: Oldjátok el azt és hozzátok ide.
Mark.11.3 | És ha valaki azt mondja nektek: Miért teszitek ezt? mondjátok: Az Úrnak van rá szüksége, de mindjárt visszaküldi ide.
Mark.11.4 | Elmentek azért és megtalálták a szamárcsikót az ajtóhoz kötve kívül az utcán és eloldották.
Mark.11.5 | Az ott állók közül pedig némelyek így szóltak nekik: Mit műveltek, hogy eloldjátok a szamárcsikót?
Mark.11.6 | Ők pedig úgy feleltek nekik, amint Jézus megparancsolta. És elbocsátották őket.
Mark.11.7 | És odavezették a szamárcsikót Jézushoz, majd ráterítették felsőruháikat, ő pedig felült rá.
Mark.11.8 | Sokan pedig felsőruháikat leterítették az útra, mások meg zöld ágakat vagdaltak a mezőn.
Mark.11.9 | Akik pedig előtte mentek és akik követték, így kiáltottak: Hozsánna! Áldott, aki jön az Úr nevében!
Mark.11.10 | Áldott a mi atyánknak, Dávidnak eljövendő országa. Hozsánna a magasságban!
Mark.11.11 | Így vonult be Jézus Jeruzsálembe, a templomba és miután mindent megnézett köröskörül, mivel az idő már későre járt, kiment Betániába a tizenkettővel.
Mark.11.12 | És másnap, mikor Betániából kijöttek, megéhezett.
Mark.11.13 | És meglátva messziről egy fügefát, amely leveles volt, odament, hátha talál rajta valamit. De mikor odaért, nem talált rajta mást, csak levelet. Mert nem volt ideje a fügeérésnek.
Mark.11.14 | Akkor megszólalt és ezt mondta annak: Soha többé ne egyék rólad gyümölcsöt senki! És hallották ezt a tanítványai.
Mark.11.15 | "Így érkeztek Jeruzsálembe. És amikor bement a templomba, kezdte kiűzni azokat, akik a templomban adtak-vettek; a pénzváltók asztalait és a galambárusok székeit pedig felforgatta,"
Mark.11.16 | és nem engedte, hogy bárki bármit is vigyen a templomon keresztül.
Mark.11.17 | Azután így tanította őket: Nincs-e megírva: Az én házamat imádság házának fogják nevezni minden nép közötti? Ti pedig rablók barlangjává tettétek azt.
