1Cor.1.1 | Pál, Krisztus Jézusnak Isten akaratából elhívott apostola, és Szósztenes atyafi,
1Cor.9.25 | "Mindenki, aki résztvesz a versenyben, mindenben önmegtartóztató; azok ugyan azért, hogy romlandó koszorút nyerjenek, mi pedig, hogy romolhatatlant."
1Cor.9.26 | "Én tehát úgy futok, mint aki előtt nem bizonytalan a cél; úgy küzdök, mint aki nem levegőt vagdos,"
1Cor.9.27 | hanem megsanyargatom testemet és szolgává teszem, hogy míg másoknak prédikálok, magam valami módon méltatlanná ne legyek.

1Cor.10.1 | Nem akarom pedig, hogy ne tudjátok, atyámfiai, hogy atyáink mindnyájan a felhő alatt voltak és mindnyájan a tengeren mentek át,
1Cor.10.2 | és mindnyájan megkeresztelkedtek Mózesre a felhőben és a tengerben,
1Cor.10.3 | és mindnyájan ugyanazt a lelki eledelt ették,
1Cor.10.4 | "és mindnyájan ugyanazt a lelki italt itták; mert ittak a lelki sziklából, amely követte őket: ez a szikla pedig a Krisztus volt."
1Cor.10.5 | De többségüket nem kedvelte az Isten, elhullottak ugyanis a pusztában.
1Cor.10.6 | Mindezek pedig példákul történtek számunkra, hogy ne kívánjunk gonosz dolgokat, amint azok kívántak.
1Cor.10.7 | Se bálványimádók ne legyetek, mint azok közül némelyek, amint meg van írva: Leült a nép enni, inni és felkelt játszani.
1Cor.10.8 | Se pedig ne paráználkodjunk, mint azok közül némelyek paráználkodtak és elhullottak egy nap huszonháromezeren.
1Cor.10.9 | Se az Urat ne kísértsük, mint azok közül némelyek kísértették és a kígyók által elpusztultak.
1Cor.10.10 | Se pedig ne zúgolódjatok, mint azok közül némelyek zúgolódtak és elvesztek a pusztító által.
1Cor.10.11 | Mindezek pedig példaképen estek rajtuk, megírattak pedig a mi tanulságunkra, akikhez az időknek vége elérkezett.
1Cor.10.12 | Azért aki azt gondolja, hogy áll, vigyázzon, hogy el ne essék!
1Cor.10.13 | "Csak emberi kísértés esett rajtatok; de hű az Isten, aki nem hagy titeket feljebb kísértetni, mint elszenvedhetitek; sőt a kísértéssel együtt a menekvést is megadja majd, hogy elszenvedhessétek."
1Cor.10.14 | Ezért, szeretteim kerüljétek a bálványimádást!
1Cor.10.15 | Úgy beszélek hozzátok, mint értelmes emberekhez: ítéljétek meg ti, amit mondok.
1Cor.10.16 | A hálaadás pohara, amelyet megáldunk, nem a Krisztus vérével való közösségünk-e? A kenyér, amelyet megtörünk, nem a Krisztus testével való. közösség-e?
1Cor.10.17 | "Mert egy kenyér, egy test vagyunk sokan; mert mindnyájan az egy kenyérből részesedünk."
1Cor.10.18 | Nézzétek a test szerint való Izraelt! Akik az áldozatot eszik, Vajjon nincsenek-e közösségben az oltárral?
1Cor.10.19 | Mit mondok tehát? Hogy a bálványáldozat valami, vagy hogy a bálvány valami?
1Cor.10.20 | Sőt, hogy amit a pogányok áldoznak, azt az ördögöknek áldozzák és nem Istennek. Nem akarom pedig, hogy ti az ördögökkel legyetek közösségben.
1Cor.10.21 | "Nem ihatjátok az Úr poharát és az ördögök poharát; nem lehettek részesei az Úr asztalának és az ördögök asztalának."
1Cor.10.22 | Vagy haragra ingereljük az Urat? Erősebbek vagyunk talán nála?
1Cor.10.23 | Minden szabad — de nem minden használ. Minden szabad, de nem minden épít.
1Cor.10.24 | Senki se keresse a maga hasznát, hanem kiki a másét.
1Cor.10.25 | Mindazt, amit a mészárszékben árulnak, egyétek meg, és semmit se tudakozódjatok a lelkiismeret miatt.
1Cor.10.26 | Mert az Úré a föld és annak teljessége.
1Cor.10.27 | Ha pedig a hitetlenek közül valaki meghív titeket és el akartok menni, mindent, amit elétek tesznek, egyetek meg, és semmit se tudakozódjatok a lelkiismeret miatt.
1Cor.10.28 | De ha valaki ezt mondja nektek: Ez áldozati hús! — ne egyétek meg a miatt, aki erre figyelmeztetett, és a lelkiismeret miatt. (A 28. vers végén egyes kéziratokban ott találjuk a 26. verset.)
1Cor.10.29 | De nem a tulajdon lelkiismeretet értem, hanem a másikét. Mert miért kárhoztassa az én szabadságomat a más lelkiismerete?
1Cor.10.30 | Ha pedig én hálaadással veszek részt, miért szidalmaznak engem azért, amiért én hálát adok?
1Cor.10.31 | Azért akár esztek, akár isztok, akármit cselekesztek, mindent az Isten dicsőségére cselekedjetek.
1Cor.10.32 | Ne botránkoztassátok meg sem a zsidókat, sem a görögöket, sem az Isten egyházát,
1Cor.10.33 | amint én is mindenkinek mindent kedvére teszek, nem keresve a magam javát, hanem a többségét, hogy megtartassanak,

1Cor.11.1 | Legyetek az én követőim, mint én is a Krisztusé.
1Cor.11.2 | Dicsérlek pedig titeket, atyámfiai, hogy rólam mindenben megemlékeztek és a rendeléseket úgy tartjátok meg, amint meghagytam nektek.
1Cor.11.3 | "Akarom pedig, hogy tudjátok, hogy minden férfinak feje a Krisztus; az asszonynak pedig feje a férfi; a Krisztusnak pedig feje az Isten."
1Cor.11.4 | Minden férfi, aki fedett fővel imádkozik vagy prófétál, megcsúfolja az ő fejét.
1Cor.11.5 | Viszont minden asszony, aki fedetlen fővel imádkozik vagy prófétál, szintén megcsúfolja az ő fejét, mert egy és ugyanaz, mintha megnyírták volna.
1Cor.11.6 | Mert ha az asszony nem fedi be a fejét, nyiratkozzék is meg. Ha pedig éktelen az asszonynak, hogy nyírassa vagy borotváltassa a haját, akkor fedje be a fejét.
1Cor.11.7 | Mert a férfinak nem kell a fejét befednie, mivel ő az Isten képe és dicsőségének mása, de az asszony a férfi dicsőségének mása.
1Cor.11.8 | Mert nem a férfi van az asszonyból, hanem az asszony a férfiból.
1Cor.11.9 | Mert nem is a férfi teremtetett az asszonyért, hanem az asszony a férfiért.
1Cor.11.10 | Ezért kell az asszonynak az angyalok miatt hatalmi jelt viselnie a fején.
1Cor.11.11 | Mindazonáltal sem asszony nincs férfi nélkül, sem férfi nincs asszony nélkül az Úrban.
1Cor.11.12 | Mert amint az asszony a férfiból van, úgy a férfi is asszony által van, mindez pedig Istentől.
1Cor.11.13 | Ítéljétek meg magatokban: illik-e, hogy az asszony födetlen fővel imádkozzék Istenhez?
1Cor.11.14 | Vajjon maga a természet is nem arra tanít titeket, hogy csúfság a férfinak, ha nagy a haja?
1Cor.11.15 | Viszont az asszonynak ékessége, ha nagy haja van, mert a haj fátyol gyanánt adatott neki. —
1Cor.11.16 | Ha azonban valaki erről vitatkozni akar, az ilyesmi nem szokásunk sem nekünk, sem az Isten gyülekezeteinek.
1Cor.11.17 | Mikor pedig ezt rendelem, nem dicsérlek titeket, mivel nem javatokra, hanem károtokra gyűltök egybe.
1Cor.11.18 | Mert először is azt hallom, hogy mikor egybegyűltök a gyülekezetben, szakadások vannak közöttetek, és ezt valami részben hiszem is.
1Cor.11.19 | Mert kell, hogy pártoskodások is legyenek közöttetek, hogy így a kipróbáltak nyilvánvalókká legyenek közöttetek.
1Cor.11.20 | "Mikor tehát egybegyűltök egy helyre, nem lehet úrvacsorával élni;"
1Cor.11.21 | mert kiki a saját vacsoráját veszi elő az étkezésnél és az egyik éhezik, a másik pedig dőzsöl.
1Cor.11.22 | Hát nincsenek házaitok arra, hogy egyetek és igyatok? Vagy lenézitek az Isten gyülekezetét és megszégyenítitek azokat, akiknek semmijök sincsen? Mit mondjak nektek? Dicsérjelek ezért titeket? Nem dicsérlek.
1Cor.11.23 | Mert én az Úrtól vettem, amit nektek elétek is adtam, hogy az Úr Jézus azon az éjtszakán, amelyen elárultatott, vette a kenyeret,
1Cor.11.24 | "és hálát adott, megtörte és ezt mondotta: Vegyétek, egyétek! Ez az én testem, amely tiérettetek megtöretik; ezt cselekedjétek az én emlékezetemre."
1Cor.11.25 | Hasonlóképen a pohárt is vette, miután vacsorált, és ezt mondotta: E pohár amaz új szövetség az én vérem által, ezt cselekedjétek, valamennyiszer isszátok az én emlékezetemre.
1Cor.11.26 | Mert valamennyiszer eszitek e kenyeret és isszátok e pohárt, az Úrnak halálát hirdessétek, amíg eljön.
1Cor.11.27 | Aki tehát méltatlanul eszi e kenyeret, vagy issza az Úr poharát, vétkezik az Úr teste és vére ellen.
1Cor.11.28 | Próbálja meg tehát az ember magát, és úgy egyék abból a kenyérből és úgy igyék abból a pohárból.
1Cor.11.29 | Mert aki méltatlanul eszik és iszik, ítéletet eszik és iszik magának, mivel nem becsüli meg az Úr testét.
1Cor.11.30 | Azért van köztetek olyan sok erőtelen és beteg s ezért alusznak sokan.
1Cor.11.31 | Mert ha helyesen ítélnők meg magunkat, nem esnénk ítélet alá.
1Cor.11.32 | De mikor az Úr ítél minket, megfenyít, hogy a világgal együtt el ne kárhozzunk.
1Cor.11.33 | Azért, atyámfiai, ha evésre egybegyűltök, egymást megvárjátok.
1Cor.11.34 | Ha valaki éhezik, otthon egyék, hogy ne ítéletre gyűljetek egybe. A többiről majd akkor rendelkezem, ha odamegyek hozzátok.

1Cor.12.1 | A lelki ajándékokra nézve pedig, atyámfiai, nem akarom, hogy tudatlanok legyetek.
1Cor.12.2 | Tudjátok, hogy mikor pogányok voltatok, valami vonzott és sodort titeket a néma bálványokhoz.
1Cor.12.3 | "Azért tudtotokra adom nektek, hogy senki, aki Isten Lelke által beszél, nem mondja: „Átkozott a Jézus!"" és senki sem mondhatja: ,Úr a Jézus!"" csak a Szentlélek által."
1Cor.12.4 | A kegyelmi ajándékokban pedig különbség van, de ugyanaz a Lélek.
1Cor.12.5 | "A szolgálatokban is különbség van, de ugyanaz az Úr;"
1Cor.12.6 | és különbség van az isteni erő munkáiban is, de ugyanaz az Isten, aki mindezt munkálja mindenkiben.
1Cor.12.7 | A Lélek kijelentése azonban kinek-kinek a gyülekezet hasznára adatik.
1Cor.12.8 | "Némelyiknek ugyanis bölcsesség beszéde adatik a Lélek által; a másiknak pedig Isten ismeretének beszéde ugyanazon Lélek szerint;"
1Cor.12.9 | "egyiknek hit ugyanazon Lélek által, másiknak pedig gyógyítás kegyelmi ajándékai azon egy Lélek által;"
1Cor.12.10 | "némelyiknek csodatevő erők munkái; némelyiknek meg prófétálás; némelyiknek pedig a lelkek között való különbségtevés; másiknak nyelveken szólás; ismét másnak pedig a nyelveken szólás megmagyarázása."
1Cor.12.11 | De mindezt egy és ugyanaz a Lélek munkálja, és osztogatja mindenkinek külön-külön, amint akarja.
1Cor.12.12 | Mert amint a test egy, bár sok tagja van, a testnek pedig valamennyi tagja, noha sokan vannak, mégis mind egy test, úgy a Krisztus is.
1Cor.12.13 | Mert hiszen egy Lélek által mi mindnyájan egy testté kereszteltettünk, akár zsidók, akár görögök, akár szolgák, akár szabadok, és mindnyájan egy Lélekkel itattattunk meg.
1Cor.12.14 | Mert a test sem egy tag, hanem sok.
1Cor.12.15 | Ha ezt mondaná a láb: Mivel nem kéz vagyok, nem vagyok a testből való, Vajjon azért nem a testből való volna-e?
1Cor.12.16 | És ha a fül ezt mondaná: Mivel nem vagyok szem, nem vagyok a testből való, — Vajjon azért nem a testből való volna-e?
1Cor.12.17 | Ha az egész test szem, hol a hallás? Ha az egész hallás, hol a szaglás?
1Cor.12.18 | Most pedig az Isten rendelte a testben a tagokat, egyenként mindegyiket, a-mint akarta.
1Cor.12.19 | Ha pedig mindnyájan egy tag volnának, hol volna a test?
1Cor.12.20 | így azonban sok tag van ugyan, de egy test.
1Cor.12.21 | Nem mondhatja pedig a szem a kéznek: Nincs rád szükségem, — vagy viszont a fej a lábaknak: Nincs rátok szükségem!
1Cor.12.22 | Sőt sokkal inkább: a testnek éppen azok a tagjai szükségesek, amelyek gyengébbeknek látszanak,
1Cor.12.23 | és amelyeket a test kevésbbé nemes tagjainak tartunk, azokat nagyobb tisztességgel vesszük körül, és amelyek ékesség nélkül valók bennünk, azokat részesítjük nagyobb megbecsülésben.
1Cor.12.24 | viszont amelyek ékesek bennünk, azoknak nincs erre szükségük. De az Isten úgy szerkesztette egybe a testet, hogy az alacsonyabb rendűnek nagyobb tisztességet adott,
1Cor.12.25 | hogy ne legyen meghasonlás a testben, hanem a tagok kölcsönösen gondoskodjanak egymásról.
1Cor.12.26 | "És így ha szenved egy tag, vele együtt szenvednek a tagok mind; ha megbecsülésben részesül egy tag, vele együtt örülnek a tagok mind."
1Cor.12.27 | Ti pedig a Krisztus teste vagytok és tagjai rész szerint.
1Cor.12.28 | Mégpedig némelyeket rendelt az Isten az egyházban először apostolokul, másodszor prófétákul, harmadszor tanítókul, — azután csodatevő erőket, azután gyógyítás kegyelmi ajándékait, szegények megsegítését, kormányzást, nyelveken szólás különféle nemeit.
1Cor.12.29 | Vajjon mindnyájan apostolok-e, Vajjon mindnyájan próféták-e, Vajjon mindnyájan tanítók-e? Vajjon van-e mindnyájuknak csodatevő erejük?
1Cor.12.30 | Vajjon van-e mindnyájuknak gyógyításra való kegyelmi ajándékuk? Vajjon mindnyájan beszélnek-e nyelveken? Vajjon mindnyájan tudják-e magyarázni?
1Cor.12.31 | Törekedjetek pedig a nagyobb kegyelmi ajándékokra. És ezenfelül egy még kiválóbb útat mutatok nektek.

1Cor.13.1 | Ha embereknek vagy angyaloknak nyelvén szólok is szeretet pedig nincsen énbennem, olyanná lettem, mint a zengő érc vagy a pengő cimbalom.
1Cor.13.2 | "És ha jövendőt tudok is mondani és minden titkot és minden bölcsességét ismerek is; és ha teljes hitem van is úgyannyira, hogy hegyeket mozdíthatok el, szeretet pedig nincsen énbennem, semmi vagyok."
1Cor.13.3 | És ha minden vagyonomat a szegények táplálására költöm és ha testemet a tűzre adom is, szeretet pedig nincsen énbennem, semmi hasznom abból.
1Cor.13.4 | "A szeretet hosszútűrő, jóságos; a szeretet nem irigykedik, a szeretet nem kérkedik, nem fuvalkodik fel."
1Cor.13.5 | "Nem cselekszik éktelenül, nem keresi a maga hasznát, nem gerjed haragra, nem rója fel a gonoszt;"
1Cor.13.6 | "nem örül a hamisságnak, de együtt örül az igazsággal;"
1Cor.13.7 | mindent elfedez, mindent hisz, mindent remél, mindent eltűr.
1Cor.13.8 | "A szeretet soha el nem fogy; de legyenek bár jövendőmondások, eltöröltetnek, vagy akár nyelveken szólások, megszűnnek, vagy akár ismeret, eltöröltetik."
1Cor.13.9 | Mert csak rész szerint ismerünk és rész szerint prófétálunk.
1Cor.13.10 | De mikor eljön a tökéletesség, ami rész szerint való, elmúlik.
1Cor.13.11 | "Mikor gyermek voltam, úgy szóltam, mint gyermek, úgy gondolkodtam, mint gyermek, úgy értettem, mint gyermek; miután pedig férfivá lettem, elhagytam a gyermekhez illő dolgokat."
1Cor.13.12 | "Mert most tükör által homályosan látunk, akkor pedig színről-színre; most rész szerint ismerem Istent, akkor pedig úgy ismerem majd, amint én is megismertettem."
1Cor.13.13 | "Most azért megmarad a hit, a remény, a szeretet, e három; ezek közül pedig legnagyobb a szeretet."

1Cor.14.1 | Törekedjetek a szeretetre és buzgón kívánjátok a lelki ajándékokat, de leginkább azt, hogy prófétáljatok.
1Cor.14.2 | Mert aki nyelveken szól, nem emberekhez szól, hanem Istenhez. Mert senki sem érti, és a Lélek által szól titkokat.
1Cor.14.3 | Aki ellenben prófétál, emberekhez szól azok építésére, intésére és vigasztalására.
1Cor.14.4 | Aki nyelveken szól, magát építi, aki pedig prófétál, a gyülekezetet építi.
1Cor.14.5 | Szeretném ugyan, ha mindnyájan szólnátok nyelveken, de még inkább, hogy prófétáljatok, mert nagyobb az, aki prófétál, mint az, aki nyelveken szól, hacsak meg nem magyarázza, hogy a gyülekezet épüljön.
1Cor.14.6 | Ha már most, atyámfiai, hozzátok megyek és nyelveken szólok, mit használok nektek, ha egyúttal kijelentésben vagy ismeretben vagy prófétálásban vagy tanításban nem szólok hozzátok?
1Cor.14.7 | Hiszen ha az élettelen hangszerek, akár fuvola, akár citera nem adnak megkülönböztethető hangokat, mimódon ismerjük meg, mit fuvoláznak, vagy mit játszanak a citerán?
1Cor.14.8 | Mert ha a trombita bizonytalan hangot ad, kicsoda készül a harcra?
1Cor.14.9 | "így van veletek is, mikor nyelveken szóltok; ha nem beszéltek értelmesen, mimódon értik meg azt, amit szóltok? Csak a levegőbe fogtok beszélni."
1Cor.14.10 | Ki tudja, hány különféle nyelv van a világon? És közülük egy sincs értelem nélkül.
1Cor.14.11 | Ha tehát én a nyelv értelmét nem ismerem, akkor a beszélőnek idegen leszek és a beszélő is idegen lesz előttem.
1Cor.14.12 | így ti is, minthogy lelki ajándékokra törekedtek, a gyülekezet építésére igyekezzetek, hogy gyarapodjatok.
1Cor.14.13 | Azért aki nyelveken szól, imádkozzék, hogy meg is magyarázhassa azt.
1Cor.14.14 | Mert ha nyelveken szólással imádkozom, lelkem ugyan imádkozik, de értelmem gyümölcstelen.
1Cor.14.15 | "Mit tegyek tehát? Imádkozni fogok a Lélek indításából, de imádkozni fogok értelemmel is; énekelek a Lélek által, de énekelek értelemmel is."
1Cor.14.16 | Mert ha a Lélek által adsz hálát, az ott levő be nem avatott hogyan fog a te hálaadásodra Áment mondani, mikor azt sem tudja, mit beszélsz?
1Cor.14.17 | Mert jóllehet te szépen adsz hálát, a másik azonban nem épül.
1Cor.14.18 | "Hálát adok az én Istenemnek, hogy mindnyájatoknál jobban tudok nyelveken szólni;"
1Cor.14.19 | de a gyülekezetben inkább akarok öt szót szólani értelemmel, hogy másokat is tanítsak, mintsem tízezer szót nyelveken.
1Cor.14.20 | Atyámfiai, ne legyetek gyermekek gondolkodásban, hanem a rosszaságban legyetek kiskorúak, a gondolkodásban pedig érettek legyetek.
1Cor.14.21 | A törvényben meg van írva: Más nyelveken és idegenek ajkával fogok szólani a néphez, és így sem hallgatnak rám, — azt mondja az Úr.
1Cor.14.22 | "A nyelveken szólás tehát nem a hívők számára jel, hanem a hitetlenek számára; a prófétálás pedig nem a hitetlenek, hanem a hívők számára jel."
1Cor.14.23 | Amikor tehát az egész gyülekezet egybegyűl és mindnyájan nyelveken szólnak, ha a be nem avatottak vagy hitetlenek bemennek, nem azt fogják-e mondani, hogy őrjöngtök?
1Cor.14.24 | Viszont ha valamennyien prófétálnak és akkor megy be egy hitetlen vagy be nem avatott, annak mindenki a lelkére beszél, azt mindenki megvizsgálja,
1Cor.14.25 | és így az ő szíve titkai nyilvánvalókká lesznek, úgyhogy arcra borulva imádja Istent, és hirdeti, hogy valóban Isten lakik bennetek.
1Cor.14.26 | Mint legyen hát, atyámfiai? Mikor egybegyűltök, mindegyiteknek van zsoltára, tanítása, kijelentése, nyelveken szólása, magyarázata. Minden épülésre történjék.
1Cor.14.27 | Ha valaki nyelveken szól, kettő vagy legfeljebb három legyen, még pedig egymás után, és egy magyarázza meg.
1Cor.14.28 | "Ha pedig nincs, aki megmagyarázza, hallgasson a gyülekezetben; csak magának szóljon és az Istenhez."
1Cor.14.29 | A próféták pedig ketten vagy hárman szóljanak, a többiek pedig ítéljék meg.
1Cor.14.30 | De ha közben egy másik ott ülő nyer kijelentést, az első hallgasson el.
1Cor.14.31 | Mert egyenként mindnyájan prófétálhattok, hogy mindenki tanuljon és intést nyerjen.
1Cor.14.32 | És a prófétalelkek engednek a prófétáknak.
1Cor.14.33 | Mert Isten nem a rendetlenségnek, hanem a békességnek Istene. Mint a szentek minden gyülekezetében,
1Cor.14.34 | "az asszonyok hallgassanak a gyülekezetekben; mert nem engedhető meg nekik, hogy beszéljenek, hanem engedelmesek legyenek, amint a törvény is mondja."
1Cor.14.35 | Ha pedig tanulni akarnak valamit, kérdezzék meg otthon a férjüket. Mert illetlen az asszonynak beszélni a gyülekezetben.
1Cor.14.36 | Vajjon titőletek származott-e az Isten beszéde? Vagy csak hozzátok jutott-e el?
1Cor.14.37 | Ha valaki azt gondolja, hogy ő próféta vagy Lélektől ihletett, vegye fontolóra, hogy mindaz, amit nektek írok, az Úr parancsolata.
1Cor.14.38 | Ha valaki ezt nem ismeri el, ő sem ismertetik el.
1Cor.14.39 | Ezért, atyámfiai, törekedjetek a prófétálásra és a nyelveken szólást se tiltsátok.
1Cor.14.40 | Minden ékesen és jó renddel legyen.

1Cor.15.1 | Eszetekbe juttatom pedig, atyámfiai, az evangéliomot, amelyet hirdettem nektek, amelyet el is fogadtatok, amelyben állotok is,
1Cor.15.2 | amely által üdvözültök is, ha megtartjátok úgy, ahogy én hirdettem nektek, hacsak nem hiába lettetek hivőkké.
1Cor.15.3 | Mert azt adtam elétek főképen, amit én is úgy vettem, hogy Krisztus meghalt a mi bűneinkért, az Írások szerint
1Cor.15.4 | és hogy eltemettetett, és hogy feltámadott a harmadik napon, az Írások szerint,
1Cor.15.5 | és hogy megjelent Kéfásnak, azután a tizenkettőnek,
1Cor.15.6 | azután megjelent egyszerre ötszáznál több atyafinak, akik közül a legtöbben mind máig élnek, bár néhányan elhunytak,
1Cor.15.7 | azután megjelent Jakabnak, azután mind az apostoloknak.
1Cor.15.8 | Legutoljára pedig valamennyi között mint egy idétlennek, nekem is megjelent.
1Cor.15.9 | Mert én vagyok legkisebb az apostolok között, aki nem vagyok méltó arra, hogy apostolnak neveztessem, mert üldöztem az Isten egyházát.
1Cor.15.10 | "De Isten kegyelme által vagyok, ami vagyok; és az ő hozzám való kegyelme nem lett hiábavaló, sőt többet munkálkodtam, mint azok mindnyájan, de nem én, hanem az Istennek velem levő kegyelme."
1Cor.15.11 | Akár én azért, akár azok, így prédikálunk és ti így lettetek hívőkké.
1Cor.15.12 | Ha tehát Krisztusról azt hirdetik, hogy feltámadt a halottak közül, hogyan mondják némelyek köztetek, hogy nincs a halottaknak feltámadása?
1Cor.15.13 | Hiszen ha a halottaknak nincs feltámadása, akkor Krisztus sem támadt fel.
1Cor.15.14 | Ha pedig Krisztus nem támadt fel, akkor hiábavaló a mi prédikálásunk, de hiábavaló a ti hitetek is.
1Cor.15.15 | Sőt Isten hamis tanúinak is bizonyulunk, mivel az Isten felől azt vallottuk, hogy feltámasztotta a Krisztust, akit nem támasztott fel, ha csakugyan nem támadnak fel a halottak.
1Cor.15.16 | Mert ha a halottak nem támadnak fel, akkor Krisztus sem támadt fel.
1Cor.15.17 | "Ha pedig Krisztus nem támadt fel, hiábavaló a ti hitetek: még mindig bűneitekben vagytok;"
1Cor.15.18 | sőt akkor azok is elvesztek, akik Krisztusban aludtak el.
1Cor.15.19 | Ha csak ebben az életben reménykedünk a Krisztusban, minden embernél nyomorultabbak vagyunk.
1Cor.15.20 | Ámde Krisztus feltámadt a halottak közül és zsengéjük lett azoknak, akik elaludtak.
1Cor.15.21 | Miután ugyanis ember által van a halál, ember által van a halottak feltámadása is.
1Cor.15.22 | Mert amint Ádámban mindnyájan meghalnak, úgy Krisztusban mindnyájan megeleveníttetnek.
1Cor.15.23 | "Mindenki pedig a maga rendje szerint. A zsenge a Krisztus; azután következnek, akik a Krisztuséi az ő eljövetelekor;"
1Cor.15.24 | azután a vég, mikor átadja a királyságot az Istennek és Atyának, mikor majd eltöröl minden birodalmat, minden hatalmat és erőt.
1Cor.15.25 | Mert neki addig kell uralkodnia, míg valamennyi ellenségét lába alá veti.
1Cor.15.26 | Mint utolsó ellenség töröltetik el a halál.
1Cor.15.27 | Mert mindent az ő lába alá vetett. Mikor pedig azt mondja, hogy neki minden alávettetett, nyilvánvaló, hogy csak Ő nem, aki neki mindent alávetett.
1Cor.15.28 | Mikor pedig minden alávettetett, akkor maga a Fiú is alávettetik annak, aki neki mindent alávetett, hogy az Isten legyen minden mindenekben.
1Cor.15.29 | Különben mit cselekesznek azok, akik halottakért keresztelkednek meg? Ha a halottak egyáltalán nem támadnak fel, miért is keresztelkednek meg értük?
1Cor.15.30 | Mi is miért vállaljuk a veszedelmet minden pillanatban?
1Cor.15.31 | "Naponként halálos veszedelemben vagyok; oly igaz ez, atyámfiai, mint a veletek való dicsekvésem a Krisztus Jézusban, a mi Urunkban."
1Cor.15.32 | Ha emberi módon küzdöttem Efezusban a fenevadakkal, mi hasznom belőle? Ha a halottak nem támadnak fel, akkor együnk, igyunk, mert holnap úgyis meghalunk!
1Cor.15.33 | Ne tévelyegjetek! A jó erkölcsöt megrontják a rossz társaságok!
1Cor.15.34 | Legyetek valóban józanok és ne vétkezzetek. Mert némelyek nem ismerik Istent, — a ti megszégyenítéstekre mondom ezt.
1Cor.15.35 | De azt mondja valaki: Mimódon támadnak fel a halottak? És milyen testtel jönnek elő?
1Cor.15.36 | Balgatag! Amit vetsz, nem elevenedik meg, csak ha előbb megrothad.
1Cor.15.37 | És abban, amit elvetsz, nem azt a testet veted el, amely majd kikél, hanem a puszta magot, talán búzáét vagy más egyébét.
1Cor.15.38 | De az Isten olyan testet ád annak, amilyet elhatározott, mégpedig mindenféle magnak a maga testét.
1Cor.15.39 | Nem minden test ugyanaz a test, hanem más az emberek teste, más a barmok teste, más a madaraké, megint más a halaké.
1Cor.15.40 | "És vannak mennyei testek és földi testek; de más a mennyeiek fényessége, más a földieké."
1Cor.15.41 | Más a napnak fényessége, más a holdnak fényessége, és más a csillagok fényessége. Mert csillag a csillagtói különbözik fényességben.
1Cor.15.42 | "Éppen így a halottak feltámadása is. Elvettetik romlandóságban, feltámasztatik romolhatatlanságban;"
1Cor.15.43 | "elvettetik ékesség nélkül, feltámasztatik dicsőségben; elvettetik erőtlenségben, feltámasztatik erőben;"
1Cor.15.44 | elvettetik földi test, feltámasztatik lelki test. Ha van földi test, van lelki test is.
1Cor.15.45 | "így is van megírva: Lett az első ember, Ádám, élő lénnyé; az utolsó Ádám megelevenítő Lélekké."
1Cor.15.46 | De nem a lelki ember az első, hanem a földi, azután a lelki.
1Cor.15.47 | "Az első ember földből való, földi; a második ember mennyből való."
1Cor.15.48 | Amilyen ama földi, olyanok a földiek is, és amilyen ama mennyei, olyanok a mennyeiek is.
1Cor.15.49 | És amint hordoztuk a földinek ábrázatát, hordozni fogjuk a mennyeinek ábrázatát is.
1Cor.15.50 | Atyámfiai, azt pedig állítom: test és vér nem örökölheti Isten országát, sem a romlandóság nem örökli a romolhatatlanságot.
1Cor.15.51 | Íme, titkot mondok nektek: nem mindnyájan aluszunk el, de mindnyájan elváltozunk,
1Cor.15.52 | nagy hirtelen, egy szempillantás alatt, az utolsó trombitaszóra, — mert trombita fog szólani, és a halottak feltámadnak romolhatatlanságban, és mi elváltozunk.
1Cor.15.53 | Mert szükség, hogy ez a romlandó test romolhatatlanságot öltsön magára és e halandó test halhatatlanságot öltsön magára.
1Cor.15.54 | Mikor pedig ez a romlandó test romolhatatlanságba öltözik, és e halandó halhatatlanságba öltözik, akkor beteljesül az ige, amely meg van írva: Elnyeletett a halál diadalra.
1Cor.15.55 | Halál, hol a te diadalmad? Halál, hol a te fúlánkod?
1Cor.15.56 | A halál fúlánkja pedig a bűn, a bűn ereje pedig a törvény.
1Cor.15.57 | De hála az Istennek, aki a diadalt adja nekünk a mi Urunk Jézus Krisztus által.
1Cor.15.58 | Ezért, szeretett atyámfiai, erősen álljatok, rendíthetetlenül, buzgólkodjatok mindenkor az Úr dolgában, mint akik tudjátok, hogy a ti munkátok nem hiábavaló az Úrban.

1Cor.16.1 | Ami a szentek számára való gyűjtést illeti, amint a galáciai gyülekezeteknek rendeltem, ti is úgy cselekedjetek.
1Cor.16.2 | A hét első napján mindenitek tegye félre és gyűjtse össze azt, ami módjában van, hogy ne akkor történjék a gyűjtés, amikor odamegyek.
1Cor.16.3 | Mikor pedig megérkezem, a ti megbízott embereiteket fogom levéllel elküldeni, hogy ajándékotokat Jeruzsálembe vigyék.
1Cor.16.4 | Ha pedig érdemes lesz, hogy én is elmenjek, velem együtt jönnek.
1Cor.16.5 | Hozzátok pedig akkor megyek, ha átutazom Macedónián, mert Macedónián átutazom,
1Cor.16.6 | nálatok azonban talán ott maradok, vagy ott is telelek, hogy ti segítsetek el oda, ahova majd megyek.
1Cor.16.7 | Mert nemcsak átutazóban akarlak látni titeket, de remélem, hogy egy-ideig nálatok maradok, ha az Úr engedi.
1Cor.16.8 | Efezusban pedig pünkösdig maradok,
