Acts.1.1 | Első könyvemet Teofilus, mindazokról a dolgokról írtam, amelyeket Jézus cselekedett és tanított
Acts.7.9 | A pátriárkák pedig irigységből eladták Józsefet Egyiptomba, de az Isten vele volt
Acts.7.10 | és megszabadította őt minden nyomorúságából és adott neki kedvességet és bölcsességet Egyiptom királya, a fáraó, előtt. Ez kormányzóul rendelte őt Egyiptom és az ő egész háza fölé.
Acts.7.11 | Azután éhínség következett Egyiptom és Kánaán egész földjére és nagy nyomorúság, úgyhogy a mi atyáink nem találtak eledelt.
Acts.7.12 | Mikor pedig meghallotta Jákob, hogy Egyiptomban még van élelem, elküldte először a mi atyáinkat.
Acts.7.13 | A második alkalommal megismertette magát József az Ő testvéreivel, úgyhogy ismeretessé lett József származása a fáraó előtt.
Acts.7.14 | És József érte küldött és magához hívatta atyját, Jákobot és egész, hetvenöt lélekből álló nemzetségét.
Acts.7.15 | "Így ment le Jákob Egyiptomba; ott halt meg ő és a mi atyáink."
Acts.7.16 | Onnan Sikembe vitték és ott helyezték el abba a sírba, amelyet Ábrahám vásárolt ezüst pénzen Einmór fiaitól Sikemben.
Acts.7.17 | Mikor pedig elközelgett az ígéret ideje, amelyet Isten esküvel ígért Ábrahámnak, megnövekedett a nép és megsokasodott Egyiptomban,
Acts.7.18 | amíg csak más király nem támadt Egyiptomban, aki nem ismerte Józsefet.
Acts.7.19 | Ez a mi nemzetségünkkel álnokul bánt, sanyargatta a mi atyáinkat, hogy magzataikat kitegyék, hogy azok ne maradjanak életben.
Acts.7.20 | Akkor született Mózes, aki kedves volt az Isten előtt. Ezt három hónapig atyja házában tartották.
Acts.7.21 | Mikor pedig kitették, a fáraó leánya magához vette és felnevelte őt saját fiaként.
Acts.7.22 | És megtanították Mózest az egyiptomiak minden bölcsességére, úgyhogy hatalmas volt beszédeiben és cselekedeteiben.
Acts.7.23 | Mikor pedig negyvenedik évét betöltötte, arra indította a szíve, hogy meglátogassa atyjafiait, az izraelitákat.
Acts.7.24 | És mikor látta, hogy az egyiket bántalmazzák, megvédte azt és megölte az egyiptomit, bosszút állott azért, akit bántalommal illettek.
Acts.7.25 | "És azt gondolta, hogy atyjafiai majd megértik, hogy Isten az ő keze által ad nekik szabadulást; de azok nem értették meg."
Acts.7.26 | "Másnap meg olyankor jelent meg közöttük, mikor összevesztek és békességre intette őket: Férfiak, ti atyafiak vagytok; miért bántjátok egymást?"
Acts.7.27 | De az, aki az ő felebarátját bántalmazta, így utasította őt el: Ki tett téged fejedelemmé és bíróvá közöttünk?
Acts.7.28 | Csak nem akarsz engem is megölni, mint ahogy megölted tegnap az egyiptomit?
Acts.7.29 | E beszédre Mózes elmenekült és jövevény lett Midián földjén, ahol két fia született.
Acts.7.30 | És negyven esztendő elteltével megjelent neki a Sinai hegy pusztájában az Úr angyala a csipkebokor tüzes lángjában.
Acts.7.31 | Mikor meglátta Mózes, elcsodálkozott ezen a látomáson. De mikor odament, hogy megszemlélje, így hangzott az Úr szava hozzá:
Acts.7.32 | Én vagyok a te atyáidnak Istene, Ábrahámnak Istene, Izsáknak Istene és Jákobnak Istene. Mózes pedig megrémült és nem mert odanézni.
Acts.7.33 | Az Úr pedig így szólt neki: Oldozd le lábadról sarudat, mert a hely, amelyen állasz, szent föld.
Acts.7.34 | Jól láttam népemnek nyomorúságát Egyiptomban, hallottam sóhajtozásukat és azért szállottam le, hogy megszabadítsam őket. Most azért jöjj: elküldelek téged Egyiptomba.
Acts.7.35 | Ezt a Mózest, akit megtagadtak e szavakkal: Ki tett téged fejedelemmé és bíróval ezt az Isten fejedelmül és szabadítóul küldte angyal keze által, aki megjelent neki a csipkebokorban.
Acts.7.36 | Ez hozta ki őket, csodákat és jeleket tett Egyiptom földjén és a Vörös-tengeren és a pusztában negyven esztendeig.
Acts.7.37 | Ez az a Mózes, aki Izrael fiainak ezt mondta: Prófétát támaszt majd nektek az Isten atyátok fiai közül olyat, mint én.
Acts.7.38 | Ez az, aki ott volt a gyülekezettel a pusztában a Sinai hegyen vele beszélő angyallal és a mi atyáinkkal, aki élő igéket vett, hogy velünk közölje.
Acts.7.39 | A mi atyáink nem akartak engedelmeskedni neki, hanem eltaszították maguktól és szívükben Egyiptom felé fordultak.
Acts.7.40 | És ezt mondták Áronnak: Készíts nekünk isteneket, akik előttünk járjanak, mert nem tudjuk, mi történt ezzel a Mózessel, aki minket Egyiptom földjéről kihozott.
Acts.7.41 | És borjúképet készítettek azokban a napokban és áldozatot vittek a bálványnak és gyönyörködtek kezük alkotásaiban.
Acts.7.42 | Az Isten pedig elfordult és odaadta őket, hogy szolgáljanak az ég seregének, amint meg van írva a próféták könyvében: Vájjon áldozati barmokat és áldozatokat hoztatok-e nekem negyven esztendeig a pusztában, Izrael házal
Acts.7.43 | Sőt inkább hordoztátok a Mólok sátorát és a ti isteneteknek, Romfának csillagát, a képéket, amelyeket készítettetek, hogy azokat imádjátok: elviszlek azért titeket Babilonon túl.
Acts.7.44 | A tanúbizonyság sátora pedig a mi atyáinknál volt a pusztában, amint parancsolta az, aki azt mondta Mózesnek, hogy azt ama mintára készítse, amelyet látott.
Acts.7.45 | Ezt a mi atyáink átvették, be is hozták Józsuával, mikor hatalmukba vették a pogányok földjét, akiket kiűzött az Isten a mi atyáink színe elől. így volt ez egészen Dávidnak napjaiig.
Acts.7.46 | Ez kegyelmet talált az Isten előtt és könyörgött, hogy hajlékot találhasson Jákob Istenének.
Acts.7.47 | Házat azonban Salamon épített neki.
Acts.7.48 | De a Magasságos nem kézzel csinált templomban lakik, amint a próféta mondja:
Acts.7.49 | A menny az én királyi székem, a föld pedig lábam zsámolya. Milyen házat építhettek nekem? azt mondja az Úr. Vagy melyik az én nyugalmam helye?
Acts.7.50 | Nem az én kezem alkotta-e mindezeket?
Acts.7.51 | Kemény nyakú és körülmetéletlen szívű és fülű emberek, ti mindenkor ugyanúgy ellene szegültök a Szentléleknek, mint atyáitok.
Acts.7.52 | A próféták közül kit nem üldöztek a ti atyáitok? És megölték azokat, akik előre hirdették annak az igaznak eljövetelét, akinek most árulóivá és gyilkosaivá lettetek ti,
Acts.7.53 | akik a törvényt angyalok rendelésére vettétek és mégsem tartottátok meg.
Acts.7.54 | Mikor pedig ezeket hallották, nagy haragra lobbantak szívükben és fogaikat csikorgatták ellene.
Acts.7.55 | Ő azonban teljes volt Szentlélekkel, a mennyre függesztette tekintetét, látta Isten dicsőségét és Jézust Istennek jobbja felől állani,
Acts.7.56 | és szólt: íme látom a megnyílt eget és az Ember Fiát Isten jobbja felől állani.
Acts.7.57 | "Ekkor azok hangosan kiáltoztak, fülüket bedugták és egyakarattal rárohantak;"
Acts.7.58 | majd kiűzték őt a városból, és megkövezték. A tanúk pedig felsőruháikat egy Saul nevű ifjú lábához rakták le.
Acts.7.59 | Így kövezték meg Istvánt, aki imádkozott és ezt mondta: Uram, Jézus, vedd magadhoz az én lelkemet!
Acts.7.60 | Majd térdre esve, hangosan így kiáltott: Uram, ne tulajdonítsd nekik ezt a bűnt! És amikor ezt mondotta, elaludt.

Acts.8.1 | Saul pedig szintén helyeselte az ő megölését. És azon a napon nagy üldözés támadt a jeruzsálemi gyülekezet ellen, úgyhogy az apostolokat kivéve mindnyájan szétszóródtak Júdea és Samária vidékeire.
Acts.8.2 | Istvánt pedig kegyes férfiak eltemették és nagyon megsiratták.
Acts.8.3 | Saul pedig pusztította az egyházat, házról házra járt, elővonszolt férfiakat, nőket és tömlöcbe vetette azokat.
Acts.8.4 | Azok tehát szétszóródtak, elmentek, és hirdették az igét.
Acts.8.5 | Fülöp pedig lement Samária egyik városába, és hirdette nekik a Krisztust.
Acts.8.6 | És a sokaság szívvel-lélekkel figyelt azokra, amiket Fülöp mondott, mikor hallotta és látta a jeleket, amelyeket cselekedett.
Acts.8.7 | Mert sokakból, akikben tisztátalan lelkek voltak, azok nagy kiáltozással kimentek. Sok gutaütött és sánta pedig meggyógyult,
Acts.8.8 | és nagy öröm támadt abban a városban.
Acts.8.9 | Egy Simon nevű ember már régebben varázslással foglalkozott abban a városban és megigézte Samária népét, mert valami rendkívül nagynak állította magát.
Acts.8.10 | "Kicsinytől nagyig mindenki figyelt rá és azt mondták: Ez az Istennek ama „csodaereje"", amelyet ,,nagy”-nak mondanak."
Acts.8.11 | Azért figyeltek rá, mivel már jó ideje ámította őket varázslásával.
Acts.8.12 | De miután hittek Fülöpnek, aki az Isten országáról és a Jézus Krisztus nevéről szóló evangéliomot hirdette, megkeresztelkedtek, mind a férfiak, mind a nők.
Acts.8.13 | És Simon maga is hitt, megkeresztelkedett, állhatatosan Fülöppel maradt és csodálkozott, látva a jeleket és nagy csodákat, amelyek történtek.
Acts.8.14 | Mikor pedig a Jeruzsálemben levő apostolok meghallották, hogy Samária befogadta az Isten igéjét, elküldöttek hozzájuk Pétert és Jánost.
Acts.8.15 | Mikor ezek lementek, könyörögtek értük, hogy vegyenek Szentlelket.
Acts.8.16 | Mert még senkire közülük nem szállott rá, csak meg voltak keresztelve az Úr Jézus nevére.
Acts.8.17 | Akkor kezüket rájuk tették, és azok vették a Szentlelket.
Acts.8.18 | Mikor pedig látta Simon, hogy a Szentlélek az apostolok kézrátétele által adatik, pénzt kínált nekik,
Acts.8.19 | és azt mondta: Adjátok nekem is ezt a hatalmat, hogy akire ráteszem a kezem, Szentlelket vegyen.
Acts.8.20 | De Péter így szólt neki: Vesszen a pénzed veled együtt, mivel azt gondoltad, hogy az Isten ajándéka pénzen megvehető.
Acts.8.21 | Nincs neked részed, sem örökséged ebben a dologban, mert a szíved nem tiszta az Isten előtt.
Acts.8.22 | Térj meg azért ebből a gonoszságodból és kérd az Urat, talán megbocsátja szíved gondolatát.
Acts.8.23 | Mert látom, hogy keserű méregben és az álnokság kötelékében leledzel.
Acts.8.24 | Simon pedig ezt felelte: Könyörögjetek értem az Úrnak, hogy semmi ne jöjjön rám azokból, amiket mondtatok.
Acts.8.25 | Azok tehát, miután bizonyságot tettek és hirdették az Úr igéjét, visszafordultak Jeruzsálembe és a samaritánusok sok falujában prédikálták az evangéliumot.
Acts.8.26 | Az Úr angyala pedig így szólt Fülöpnek: Kelj fel és menj dél felé, arra az útra, amely Jeruzsálemből Gázába megy alá. Járatlan ez.
Acts.8.27 | Ekkor felkelt és elment. És íme volt egy szerecsen férfi, a szerecsenek királyasszonyának, a kandakénak udvari főembere és egész kincstárának felügyelője, aki felment imádkozni Jeruzsálembe.
Acts.8.28 | Ez visszatérőben kocsiján ült és Ésaiás prófétát olvasta.
Acts.8.29 | Szólt pedig a Lélek Fülöpnek: Menj oda és csatlakozzál ehhez a kocsihoz.
Acts.8.30 | Fülöp ekkor odafutott és hallotta, amint Ésaiás prófétát olvasta és megkérdezte: vajjon érted-e, amit olvasol?
Acts.8.31 | Ő pedig ezt válaszolta: Hogyan érteném, ha valaki meg nem magyarázza nekem? És kérte Fülöpöt, hogy szálljon fel és üljön melléje.
Acts.8.32 | Az írásnak az a szakasza pedig, amelyet olvasott, ez volt: Mint juh, mészárszékre vitetett, és mint ahogyan a bárány néma az ő nyírója előtt, úgy nem nyitotta meg száját,
Acts.8.33 | Mikor megalázta magát, ítélete elvétetett róla. Az ő nemzetségét pedig ki sorolja fel? Mert elvétetik a földről az ő élete.
Acts.8.34 | Ekkor az udvari főember így szólt Fülöpnek: Kérlek, kiről mondja ezt a próféta? Magáról vagy másvalakiről?
Acts.8.35 | Fülöp pedig megnyitotta száját, és elkezdve ezen az íráson, hirdette neki Jézust.
Acts.8.36 | Amint így az úton tovább haladtak, vízhez értek. És szólt az udvari főember: ímhol a víz! Mi gátol engem, hogy megkeresztelkedjem?
Acts.8.37 | Fülöp pedig azt mondta: Ha teljes szívedből hiszel, akkor lehet. Az pedig így válaszolt: Hiszem, hogy Jézus Krisztus az Isten Fia.
Acts.8.38 | "És megállíttatta a kocsit és mind a ketten leszálltak a vízbe, Fülöp és az udvari főember; és megkeresztelte őt."
Acts.8.39 | De mikor a vízből kiléptek, az Úr Lelke elragadta Fülöpöt, úgyhogy az udvari főember nem látta többé, és továbbment az útján örömmel.
Acts.8.40 | Fülöp pedig egyszerre csak Azótusba került és szertej árva, hirdette az evangéliomot minden városnak, míg Cézáreába nem ért.

Acts.9.1 | Saul pedig még fenyegetéstől és öldökléstől lihegve az Úr tanítványai ellen, elment a főpaphoz,
Acts.9.2 | és leveleket kért tőle Damaskusba a zsinagógákhoz, hogy ha olyanokat talál, akik ennek az útnak követői, akár férfiakat, akár nőket, fogva vigye Jeruzsálembe.
Acts.9.3 | És amint ment, történt, hogy közeledett Damaskushoz és nagy hirtelen mennyei világosság sugározta őt körül.
Acts.9.4 | És földre esve, szót hallott, amely ezt mondta neki: Saul, Saul, miért üldözöl engem?
Acts.9.5 | És így felelt: Kicsoda vagy, Uram? Ő pedig ezt mondta: Én vagyok Jézus, akit te üldözöl. (Az 5. vers végére egyes fordításokba a 26. rész 14. verséből még beírták: Nehéz neked az ösztöke ellen rugódoznod.)
Acts.9.6 | De kelj fel, menj be a városba és majd megmondják neked, mit kell cselekedned.
Acts.9.7 | A vele utazó férfiak pedig némán álltak, mivel hallották ugyan a szót, de senkit sem láttak.
Acts.9.8 | "Saul pedig felkelt a földről, de mikor szemét kinyitotta, semmit sem látott; ezért kézenfogva vezették be Damaskusba."
Acts.9.9 | És három napig nem látott, nem evett és nem ivott.
Acts.9.10 | Volt pedig egy tanítvány Damaskusban, névszerint Anániás, akihez az Úr így szólt látomásban: Anániás! Ő pedig ezt mondta: Íme, itt vagyok, Uram,
Acts.9.11 | "Az Úr pedig így szólt neki: Kelj fel, menj el az Egyenes utcába és Júdás házában kérdezősködjél egy Saul nevű tárzusi ember felől; mert íme ő imádkozik,"
Acts.9.12 | és látomásban úgy látta, hogy egy Anániás nevű férfi jön be és teszi rá a kezét, hogy újból lásson.
Acts.9.13 | Anániás azonban ezt felelte: Uram, sok embertől hallottam e férfi felől, mennyi gonoszságot művelt Jeruzsálemben a te szentjeid ellen.
Acts.9.14 | És itt is meghatalmazása van a papi fejedelmektől, hogy mindazokat megkötözze, akik a te nevedet segítségül hívják.
Acts.9.15 | Szólt pedig neki az Úr: Menj el, mert ő választott edényem, hogy hordozza az én nevemet a pogányok és királyok és Izrael fiai előtt.
Acts.9.16 | Mert én megmutatom majd neki, mennyit kell szenvednie az én nevemért.
Acts.9.17 | Ekkor Anániás elment és belépve a házba, rátette a kezét és ezt mondta: Atyámfia, Saul, az Úr küldött engem, Jézus, aki megjelent neked az úton, amelyen jöttél, hogy újból láss és megteljesedjél Szentlélekkel.
Acts.9.18 | És egyszerre mintha pikkelyek estek volna le szeméről, újból látott. Ekkor felkelt és megkeresztelkedett.
Acts.9.19 | És miután evett, megerősödött. Ezután néhány napig a damaskusi tanítványokkal volt.
Acts.9.20 | És azonnal hirdette a zsinagógákban Jézust, hogy ő az Isten Fia,
Acts.9.21 | És mindnyájan megdöbbentek, akik hallották és szóltak: Nem ez-é az, aki pusztította Jeruzsálemben azokat, akik ezt a nevet hívják segítségül és ide is azért jött, hogy fogva vigye őket a papi fejedelmekhez?
Acts.9.22 | Saul azonban mindjobban megteljesedett erővel és zavarba hozta a damaskusi zsidókat, mert erősen bizonyította, hogy ez a Krisztus.
Acts.9.23 | Több nap elteltével. azonban a zsidók tanácsot tartottak, hogy megöljék.
Acts.9.24 | Saulusnak azonban tudomására jutott az ő fondorlatuk. És őrizték a kapukat éjjel-nappal, hogy megöljék.
Acts.9.25 | A tanítványok pedig éjjel magukhoz vették őt és alábocsátották a kőfalon, kosárban eresztve le.
Acts.9.26 | "Mikor pedig Saul Jeruzsálembe érkezett, a tanítványokhoz próbált csatlakozni; de mindnyájan féltek tőle, mivel nem hitték, hogy ő tanítvány."
Acts.9.27 | Barnabás azonban maga mellé vette őt, elvitte az apostolokhoz és elbeszélte nekik, hogyan látta az úton az Urat, miként beszélt vele és mimódon tanított Damaskusban nagy bátorsággal a Jézus nevében.
Acts.9.28 | És ki- és bejáratos volt köztük Jeruzsálemben.
Acts.9.29 | "Nagy bátorsággal tanított az Úr nevében, és beszélt, sőt vitázott a görögül beszélő zsidókkal; azok pedig igyekeztek őt megölni."
Acts.9.30 | Mikor azonban ezt az atyafiak megtudták, levitték őt Cézáreába és elküldték Tárzusba.
Acts.9.31 | Az egyháznak tehát egész Júdeában, Galileában és Samáriában békessége volt és épült. Az Úr félelmében járt és a Szentlélek vigasztalása által egy re gyarapodott.
Acts.9.32 | Történt pedig, hogy Péter, miután mindnyájukat sorra járta, elment a Liddában lakó szentekhez is.
Acts.9.33 | Talált pedig ott egy Éneás nevű embert, aki nyolc esztendő óta ágyban feküdt gutaütötten.
Acts.9.34 | És szólt neki Péter: Éneás, meggyógyít téged a Jézus Krisztus. Kelj fel, vesd meg magad az ágyadat. És nyomban felkelt.
Acts.9.35 | És látták őt mindnyájan a Liddában és Sárónban lakók, akik megtértek az Úrhoz.
Acts.9.36 | Joppéban pedig volt egy nőtanítvány, névszerint Tábita, ami lefordítva ezt jelenti: Dorkás, azaz: zerge. Ez gazdag volt jócselekedetekben és alamizsnákban, amelyeket osztogatott.
Acts.9.37 | "Azokban a napokban pedig megbetegedett és meghalt; és miután megmosták, kiterítették a felső szobában."
Acts.9.38 | Lidda pedig közel volt Joppéhoz, és mikor a tanítványok hallották, hogy Péter ott van, két férfit küldtek hozzá azzal a kéréssel: Jöjj késedelem nélkül hozzánk!
Acts.9.39 | Ekkor Péter felkelt és elment velük. Mihelyt odaért, felvezették őt a felső szobába és eléje álltak az özvegyasszonyok mindnyájan, sírva mutogatták a ruhákat és öltözeteket, amelyeket Dorkás készített, amíg velük együtt volt.
Acts.9.40 | Péter pedig mindenkit kiküldött, azután térdre esett és imádkozott. Majd a holttesthez fordulva így szólt: Tábita, kelj fel! Az pedig felnyitotta szemét és mikor meglátta Pétert, felült.
Acts.9.41 | Ez odanyújtotta neki a kezét, talpra állította, beszólította a szenteket és özvegyeket és élve vezette őt eléjük.
Acts.9.42 | És tudomást szerzett erről az egész Joppe, és sokan hittek az Úrban.
Acts.9.43 | Ezután több napig ott maradt Joppéban egy Simon nevű tímárnál.

Acts.10.1 | Volt pedig Cézáreában egy Kornélius nevű férfiú, százados, az úgynevezett itáliai csapatból.
Acts.10.2 | Ez kegyes és istenfélő ember volt egész házanépével együtt, sok alamizsnát osztogatott a népnek és szüntelen könyörgött Istenhez.
Acts.10.3 | Ez az ember világosan látta látomásában a napnak mintegy kilencedik órája körül, hogy az Isten angyala bemegy hozzá és ezt mondja neki: Kornélius!
Acts.10.4 | Ő pedig rátekintett és megrémültén így szólt: Mit kívánsz, Uram? Az pedig így válaszolt neki: A te imádságaid és alamizsnáid felszálltak Isten elé emlékeztetőül.
Acts.10.5 | Most azért küldj Joppéba embereket és hívasd magadhoz Simont, akit Péternek hívnak.
Acts.10.6 | Egy Simon nevű tímárnál van szálláson, akinek háza a tengerparton van.
Acts.10.7 | Amint pedig elment az angyal, aki vele beszélt, szólított kettőt a szolgái közül és egy kegyes katonát azok közül, akik hűségesen szolgálták.
Acts.10.8 | És miután mindent elmondott nekik, elküldötte őket Joppéba.
Acts.10.9 | Másnap pedig, míg azok úton voltak és közeledtek a városhoz, felment Péter a ház felső részére imádkozni, hat óra tájban.
Acts.10.10 | Közben azonban megéhezett és enni kívánt. De míg az ételt készítették, elragadtatás szállta meg,
Acts.10.11 | és látta, hogy az ég megnyílik és valami nagy lepedőhöz hasonló edényféle, négy sarkánál fogva lebocsátva, ereszkedik a földre.
Acts.10.12 | Ebben ott volt a föld mindenféle négylábú csúszó-mászó állata és az égi madarak.
Acts.10.13 | "Majd szó hangzott őhozzá: Kelj fel, Péter; vágd le és egyél!"
Acts.10.14 | Péter azonban így szólt: Semmiképpen sem, Uram, mert én soha semmiféle közönségeset vagy tisztátalant nem ettem
Acts.10.15 | És ismét szó hangzott hozzá másodszor is: Amit az Isten tisztává tett, azt te ne tartsd tisztátalannak.
Acts.10.16 | Ez pedig három ízben történt így s azután az edény azonnal felvitetett az égbe.
Acts.10.17 | Amint pedig Péter magában tűnődött, hogy mi lehet az a látomás, amelyet látott, íme a férfiak, akiket Kornélius küldött, megtudakolták Simon házát, ott álltak a kapu előtt.
Acts.10.18 | És bekiáltva, kérdezősködtek, hogy vajjon Simon, akit Péternek hívnak, ott van-e szálláson.
Acts.10.19 | És míg Péter a látomás felől gondolkodott, így szólt hozzá a Lélek: Íme, három férfi keres téged.
Acts.10.20 | Kelj fel azért, menj le és minden habozás nélkül menj el velük, mert én küldtem őket.
Acts.10.21 | Péter tehát lement a férfiakhoz és így szólt hozzájuk: Íme, én vagyok az, akit kerestek. Mi járatban vagytok?
Acts.10.22 | Ők pedig szóltak: Kornélius százados, igaz és istenfélő férfiú, aki mellett az egész zsidó nép jó bizonyságot tesz, egy szent angyaltól azt az utasítást kapta, hogy hívasson téged a házához és meghallgassa, ami mondanivalód van.
Acts.10.23 | Péter pedig behívta és szállásra fogadta őket. Másnap pedig felkelt Péter és elment velük, sőt a joppéi atyafiak közül is velük mentek némelyek.
Acts.10.24 | Így jutottak el másnap Cézáreába. Kornélius pedig összegyűjtötte rokonait és jóbarátait, és már várta őket
Acts.10.25 | És amint Péter belépett, Kornélius eléje ment és imádattal borult lábához.
Acts.10.26 | Péter azonban felemelte és ezt mondta: Kelj fel. én magam is ember vagyok.
Acts.10.27 | És beszélgetve vele, bement és sok embert talált ott együtt,
Acts.10.28 | akiknek ezt mondta: Ti tudjátok, menynyire tilalmas zsidónak más nemzetbelivel barátkozni, vagy ahhoz bemenni. De nekem az Isten megmutatta, hogy senkit se mondjak közönséges vagy tisztátalan embernek.
Acts.10.29 | Ezért el is jöttem ellenmondás nélkül, mivel hívtál. Kérdeni tehát: miért hívattatok engem?
Acts.10.30 | "És Kornélius így szólt: Negyednapja körülbelül ebben az órában, kilenc órakor, imádkoztam a házamban; és íme egy férfiú állott meg előttem fényes ruhában,"
Acts.10.31 | aki ezt mondta: Kornélius, a te imádságod meghallgattatásra talált és alamizsnáid az Isten színe előtt emlékezetben vannak.
Acts.10.32 | Küldj el azért Joppéba és hívasd magadhoz Simont, akit Péternek hívnak. Ez Simon tímár házában van szálláson a tengerparton. (A 32. vers végén egyes kéziratokban még ez olvasható: Ő, miután eljön, szól neked.)
Acts.10.33 | Ezért azonnal elküldtem hozzád és te jól tetted, hogy eljöttél. Most tehát mi mindnyájan az Isten színe előtt állunk, hogy meghallgassuk mindazt, amit az Úr parancsolt neked.
Acts.10.34 | Péter pedig megnyitotta száját és ezt mondta: Most értem igazán, hogy nem személyválogató az Isten,
Acts.10.35 | hanem minden nemzetben kedves előtte, aki féli őt és igazságot cselekszik.
Acts.10.36 | Ismeritek az igét, amelyet Izrael fiainak küldött, amikor békességet hirdetett a Jézus Krisztus által — ő mindeneknek Ura!
Acts.10.37 | Ti tudjátok azt, ami történt az egész Júdeában, Galileától kezdve ama keresztség után, amelyet János hirdetett.
Acts.10.38 | "Hogyan kente fel Isten a názáreti Jézust Szentlélekkel és hatalommal, és hogyan járt szerte jót téve és meggyógyítva mindenkit, aki az ördög hatalma alatt volt; mert az Isten volt vele."
Acts.10.39 | És mi vagyunk tanúi mindannak, amit ő mind a zsidók tartományában, mind Jeruzsálemben cselekedett. Őt megölték, fára feszítették, —
Acts.10.40 | de az Isten feltámasztotta harmadnapra és megadta neki, hogy nyilván megjelenjék,
Acts.10.41 | nem az egész népnek, hanem az Istentől előre választott tanúknak, nekünk, akik együtt ettünk és ittunk vele, miután feltámadott a halottak közül.
Acts.10.42 | És ő megparancsolta nekünk, hogy hirdessük a népnek és tegyünk bizonyságot, hogy ő az Istentől rendelt bírája élőknek és holtaknak.
Acts.10.43 | Erről a próféták mind bizonyságot tesznek, hogy bűneinek bocsánatát veszi az ő neve által mindenki, aki hisz őbenne.
Acts.10.44 | Mikor még Péter ezt a beszédet mondta, leszállt a Szentlélek mindazokra, akik hallgatták az igét.
Acts.10.45 | És csodálkoztak a zsidóságból való hívek, mindazok, akik Péterrel együttjöttek, hogy a pogányokra is kitöltetett a Szentlélek ajándéka.
Acts.10.46 | Mert hallották, hogy nyelveken beszélnek és magasztalják az Istent. Akkor Péter így szólt:
Acts.10.47 | Vájjon megtagadhatja-e valaki a vizet ezektől, hogy meg ne keresztelkedjenek, holott éppúgy vették a Szentlelket, mint mi?
Acts.10.48 | És megparancsolta, hogy keresztelkedjenek meg a Jézus Krisztus nevében. Akkor kérték, hogy maradjon náluk néhány napig

Acts.11.1 | Meghallották azonban az apostolok és a Júdeában levő atyafiak, hogy a pogányok is befogadták az Isten beszédét.
Acts.11.2 | Mikor azért felment Péter Jeruzsálembe, vitába szálltak vele a zsidók közül valók, akik ezt mondták:
Acts.11.3 | Körülmetéletlen emberekhez mentél be és együttettél velük.
Acts.11.4 | Ekkor Péter sorjában magyarázni kezdte nekik a történteket:
Acts.11.5 | Én Joppe városában imádkoztam, mikor elragadtatásban látomást láttam, valami nagy lepedőhöz hasonló alászálló edényfélét, amely négy sarkánál fogva leeresztetett az égből s egészen hozzám ért le.
Acts.11.6 | Amikor közelebbről megnéztem, láttam abban a föld négylábú állatait, a vadakat, a csúszómászókat és az égi madarakat.
Acts.11.7 | Majd szót is hallottam, amely azt mondta nekem: Kelj fel, Péter, vágd le és egyél!
Acts.11.8 | Én azonban szóltam: Semmiképpen sem, Uram, mert még soha közönséges vagy tisztátalan nem került a számba.
Acts.11.9 | De a szó másodízben is így felelt nekem az égből: Amit az Isten tisztává tett, azt te ne tartsd tisztátalannak.
Acts.11.10 | "Ez pedig három ízben történt; majd ismét felvonatott az egész az égbe."
Acts.11.11 | És íme hamarosan három férfi érkezett a házhoz, amelyben voltam, akiket Cézáreából küldtek hozzám.
Acts.11.12 | Szólt pedig nekem a Lélek, hogy menjek el velük minden habozás nélkül. De eljött velem ez a hat atyafi is, akikkel bementünk annak a férfiúnak házába.
Acts.11.13 | Ő pedig elbeszélte nekünk, hogyan látta, amint az angyal megállott az ő házában és azt mondta neki: Küldj el Joppéba és hívasd magadhoz Simont, akit Péternek hívnak.
Acts.11.14 | Ő olyan igéket hirdet neked, amelyek által mind te, mind a te egész házadnépe üdvözültök.
Acts.11.15 | Mikor pedig elkezdtem beszólni, leszállt rájuk a Szentlélek, amint ránk is leszállt kezdetben.
Acts.11.16 | Ekkor eszembe jutott az Úr szava, aki megmondta: János ugyan vízzel keresztelt, ti azonban Szentlélekkel fogtok megkereszteltetni.
Acts.11.17 | Ha tehát az Isten ugyanazt az ajándékot adta nekik, mint nekünk is, akik hivőkké lettünk az Úr Jézus Krisztusban, — ki vagyok én, hogy az Istent ebben megakadályozhattam volnál
Acts.11.18 | Ezek hallatára azután megnyugodtak és dicsőítették az Istent, és ezt mondták: E szerint hát a pogányoknak is adott az Isten megtérést az életre.
Acts.11.19 | Azok pedig, akik szétszóródtak az Istvánért támadt üldözés miatt, eljutottak Feniciáig, Ciprusig és Antiókhiáig, de senkinek sem prédikálták az igét, csak a zsidóknak.
Acts.11.20 | Volt azonban közöttük néhány ciprusi és cirénei férfiú, akik mikor Antiókhiába lementek, prédikáltak a görögöknek is, hirdetve az Úr Jézust.
Acts.11.21 | És az Úr keze velük volt, úgyhogy nagy sokaság tért meg az Úrhoz, és lett hivővé.
Acts.11.22 | Elhatott pedig a hír felőlük a jeruzsálemi gyülekezet fülébe. És kiküldték Barnabást egész Antiókhiáig.
Acts.11.23 | Mikor ez odaért és látta az Isten kegyelmét, örvendezett és intette mindnyájukat, hogy állhatatos szívvel maradjanak meg az Úrban.
Acts.11.24 | Mert derék ember volt, Szentlélekkel és hittel teljes. És nagy sokaság csatlakozott az Úrhoz.
