Matt.1.1 | Jézus Krisztusnak, Dávid fiának, Ábrahám fiának nemzetségkönyve.
Matt.8.9 | "Mert én is felsőbbség alá vetett ember vagyok, nekem is vannak alárendelt katonáim. És ha egyiknek azt mondom: Menj! elmegy; ha a másiknak: Jöjj! idejön és ha a szolgámnak szólok: Tedd ezt! Megteszi."
Matt.8.10 | Mikor pedig Jézus ezt hallotta, elcsodálkozott és így szólt az őt követőknek: Bizony mondom nektek, ilyen nagy hitet nem találtam Izraelben senkinél.
Matt.8.11 | De mondom nektek, hogy sokan eljönnek napkeletről és napnyugatról és asztalhoz telepednek Ábrahámmal, Izsákkal és Jákobbal együtt a mennyek országában.
Matt.8.12 | Ennek az országnak fiai pedig kivettetnek a külső sötétségre, s ott lesz sírás és fogcsikorgatás.
Matt.8.13 | És szólt Jézus a századoshoz: Eredj el és legyen neked a te hited szerint. És meggyógyult a szolga abban az órában.
Matt.8.14 | És mikor Jézus Péter házába ment, látta, hogy annak napa fekszik és lázas.
Matt.8.15 | És megérintette az ő kezét, amire elhagyta őt a láz, úgyhogy felkelt és szolgált nekik.
Matt.8.16 | Az est beálltával pedig sok ördöngöst vittek hozzá s Ő egy szavával kiűzte a gonosz lelkeket és meggyógyított minden beteget,
Matt.8.17 | hogy beteljesedjék, amit Ésaiás próféta mondott, mikor így szólt: Ő vette el a mi erőtlenségünket és Ő hordozta betegségeinket.
Matt.8.18 | Mikor pedig Jézus látta maga körül a sokaságot, megparancsolta, hogy menjenek át a túlsó partra.
Matt.8.19 | Ekkor egy írástudó odament és így szólt hozzá: Mester, követlek, akárhová mégy.
Matt.8.20 | És felelt neki Jézus: A rókáknak van barlangjuk és az égi madaraknak van fészkük, de az Ember Fiának nincs hová fejét lehajtania.
Matt.8.21 | Egy másik tanítványa pedig ezt mondta neki: Uram, engedd meg nekem, hogy előbb elmenjek és eltemessem az atyámat.
Matt.8.22 | De Jézus így szólt hozzá: Kövess engem! hadd temessék el a halottak az ő halottaikat.
Matt.8.23 | És mikor hajóra szállt, követték őt tanítványai.
Matt.8.24 | És íme, nagy vihar támadt a tengeren, úgyhogy a hajón átcsaptak a hullámok. Ő pedig aludt.
Matt.8.25 | Ekkor tanítványai odamentek hozzá és felkeltették ezekkel a szavakkal: Uram, ments meg, elveszünk!
Matt.8.26 | És Ő így felelt nekik: Mit féltek, kicsinyhitűek? Ekkor felkelt, megdorgálta a szeleket és a tengert és nagy csendesség lett.
Matt.8.27 | Az emberek pedig elcsodálkoztak és így szóltak: Kicsoda ez, hogy mind a szelek, mind a tenger engednek neki?
Matt.8.28 | És mikor a túlsó partra ért, a gadarénusok földjére, két ördöngös ment eléje, akik a sírboltokból jöttek ki s olyan veszedelmesek voltak, hogy senki sem mert járni azon az úton.
Matt.8.29 | És íme így kiáltottak: Mit akarsz velünk, Isten Fia? Azért jöttél ide, hogy idő előtt meggyötörj minket?
Matt.8.30 | Tőlük távol pedig nagy disznócsorda legelészett.
Matt.8.31 | Az ördögök pedig kérték őt: Ha kiűzöl minket, küldj abba a disznócsordába.
Matt.8.32 | És ő azt mondta nekik: Menjetek. Azok pedig kimentek és belementek a disznókba. És íme az egész csorda a meredekről a tengerbe rohant és odaveszett a vízben.
Matt.8.33 | A pásztorok pedig elfutottak és beérve a városba, hírül adtak mindent, azt is, ami az ördöngösökkel történt.
Matt.8.34 | És íme az egész város kiment Jézus elé és mihelyt meglátták, kérték őt, hogy távozzék el határukból.

Matt.9.1 | És hajóra szállva, átkelt és a maga városába ment.
Matt.9.2 | És íme hoztak hozzá egy ágyban fekvő gutaütött embert. Mikor Jézus látta az ő hitüket, így szólt a gutaütöttnek: Bízzál, fiam! Megbocsáttattak a te bűneid.
Matt.9.3 | És íme némelyek az írástudók közül így szóltak magukban: Ez káromolja Istent.
Matt.9.4 | Jézus pedig ismerve gondolataikat, ezt mondta: Miért gondoltok gonoszt a szívetekben?
Matt.9.5 | Mert mi könnyebb, ezt mondani: Megbocsáttattak a te bűneid! vagy ezt mondani: Kelj fel és járj!?
Matt.9.6 | Hogy pedig megtudjátok, hogy az Ember Fiának van hatalma a földön a bűnöket megbocsátani, akkor így szólt a gutaütöttnek: Kelj fel, vedd az ágyadat és eredj haza.
Matt.9.7 | Ekkor az felkelt és hazament.
Matt.9.8 | Amikor a sokaság ezt látta, megdöbbent és dicsőítette Istent, aki ilyen hatalmat adott az embereknek.
Matt.9.9 | És mikor Jézus onnan tovább ment, látott egy embert ülni a vámszedőhelyen, akinek Máté volt a neve és így szólt neki: Kövess engem! Az pedig felkelt és követte őt.
Matt.9.10 | Mikor pedig asztalhoz telepedett a házban, íme sok vámszedő és bűnös ment oda és Jézussal meg tanítványaival az asztalhoz telepedtek.
Matt.9.11 | Látva ezt a farizeusok, így szóltak a tanítványainak: Miért eszik a ti mesteretek a vámszedőkkel és bűnösökkel együtt?
Matt.9.12 | Mikor ezt Jézus meghallotta, azt mondta nekik: Nem az egészségeseknek van szükségük orvosra, hanem a betegeknek.
Matt.9.13 | Menjetek el, tanuljátok meg mit jelent ez: Irgalmasságot akarok és nem áldozatot. Mert nem az igazakat hívogatni jöttem, hanem a bűnösöket.
Matt.9.14 | Akkor odamentek hozzá János tanítványai és ezt kérdezték: Mi az oka, hogy mi és a farizeusok böjtölünk, a te tanítványaid pedig nem böjtölnek.
Matt.9.15 | És Jézus így válaszolt nekik: vajjon gyászolhat-e a násznép addig, amíg velük van a vőlegény? De eljönnek a napok, mikor elvétetik tőlük a vőlegény, és akkor böjtölni fognak.
Matt.9.16 | Senki sem tesz pedig új posztóból foltot az ócska ruhára, mert a folt tovább szakítja a ruhát és nagyobb szakadás támad.
Matt.9.17 | "Új bort sem töltenek régi tömlőkbe; különben a tömlők szétszakadnak és a bor kiömlik, a tömlők is tönkremennek; hanem az új bort új tömlőkbe töltik és mind a kettő megmarad."
Matt.9.18 | Mikor ezeket mondta nekik, íme egy elöljáró odalépett hozzá és leborult előtte, és így szólt: Az én leányom éppen most halt meg, de jöjj, tedd rá a kezedet és megelevenedik.
Matt.9.19 | Ekkor Jézus felkelt és követte őt tanítványaival együtt.
Matt.9.20 | És íme egy asszony, aki tizenkét év óta vérfolyásban szenvedett, hátulról hozzáférkőzött és megérintette ruhája szegélyét.
Matt.9.21 | Mert ezt mondta magában: Ha csak a ruháját érintem is, meggyógyulok.
Matt.9.22 | "Jézus pedig megfordult, rátekintett és ezt mondta: Bízzál, leányom; a te hited megtartott téged. És meggyógyult az asszony attól az órától fogva."
Matt.9.23 | Mikor pedig Jézus az elöljáró házába érkezett és látta a fuvolásokat meg a zajongó sokaságot,
Matt.9.24 | így szólt: Távozzatok innen, mert a leányka nem halt meg, csak alszik. És kinevették őt.
Matt.9.25 | Miután pedig eltávolították a sokaságot, bement, megfogta a leányka kezét, mire az felkelt.
Matt.9.26 | És elterjedt ez a hír az egész vidéken.
Matt.9.27 | És mikor Jézus tovább ment onnan, két vak követte őt és kiáltozva ezt mondta: Könyörülj rajtunk, Dávid fia!
Matt.9.28 | Mikor pedig bement a házba, odamentek hozzá a vakok, és Jézus így szólt nekik: Hiszitek, hogy én ezt megtehetem? Azok ezt mondták neki: Hisszük Uram!
Matt.9.29 | Akkor megérintette szemüket, és ezt mondta: Legyen nektek a ti hitetek szerint.
Matt.9.30 | És megnyílt a szemük. Ekkor Jézus rájuk parancsolt: Vigyázzatok, hogy senki meg ne tudja!
Matt.9.31 | De ők eltávozva, elterjesztették a hírét azon az egész vidéken.
Matt.9.32 | Mikor pedig ezek elmentek, íme egy ördöngös némát vittek hozzá.
Matt.9.33 | "És miután az ördögöt kiűzte, megszólalt a néma; és a sokaság csodálkozott és ezt mondta: Sohasem láttak ilyent Izraelben."
Matt.9.34 | A farizeusok pedig ezt mondták: Az ördögök fejedelme által űzi ki az ördögöket.
Matt.9.35 | Így járta be Jézus a városokat mind és a falvakat, tanított az ő zsinagógáikban és hirdette az Isten országának evangéliumát és gyógyított minden betegséget és minden erőtlenséget.
Matt.9.36 | Mikor pedig látta a sokaságot, könyörületességre indult rajtuk, mert elgyötörtek és elhagyatottak voltak, mint a pásztor nélkül való juhok.
Matt.9.37 | Akkor azt mondta tanítványainak: Az aratnivaló sok, de a munkás kevés.
Matt.9.38 | Kérjétek azért az aratás Urát, hogy küldjön munkásokat az ő aratásába.

Matt.10.1 | És előszólította tizenkét tanítványát hatalmat adott nekik a tisztátalan lelkek felett, hogy kiűzzék azokat és gyógyítsanak minden betegséget és minden erőtlenséget.
Matt.10.2 | A tizenkét apostol nevei pedig ezek: Első Simon, akit Péternek hívnak, és testvére András, és Jakab, a Zebedeus fia és testvére János,
Matt.10.3 | Fülöp és Bertalan, Tamás és Máté, a vámszedő, Jakab, az Alfeus fia, és Taddeus,
Matt.10.4 | Simon, a kánaáni és Júdás, az Iskáriótes, aki el is árulta őt.
Matt.10.5 | Ezt a tizenkettőt küldte ki Jézus és megparancsolta nekik: Pogányok útjára ne térjetek és a samaritánusok városába ne menjetek be,
Matt.10.6 | hanem menjetek inkább Izrael házának elveszett juhaihoz.
Matt.10.7 | "Elmenve pedig, hirdessétek; Elközelített a mennyek országa!"
Matt.10.8 | Betegeket gyógyítsatok, halottakat támasszatok, poklosokat tisztítsatok, ördögöket űzzetek. Ingyen vettétek, ingyen adjátok.
Matt.10.9 | Ne szerezzetek aranyat, se ezüstöt, se rézpénzt az erszényetekbe,
Matt.10.10 | "se úti táskát, se két öltözet ruhát, se sarut, se botot; mert méltó a munkás az ő táplálékára."
Matt.10.11 | Amikor egy városba vagy faluba mentek, tudakozzátok meg, hogy ki méltó abban és maradjatok ott, amíg továbbmentek.
Matt.10.12 | Amikor pedig bementek a házba, köszöntsétek azt.
Matt.10.13 | És ha méltó a ház, szálljon rá a ti békességetek, ha pedig nem méltó, a ti békességetek rátok térjen vissza.
Matt.10.14 | És ha valaki nem fogad be titeket és nem hallgatja meg a ti beszédeteket, mikor kimentek abból a házból vagy városból, lábatok porát is verjétek le.
Matt.10.15 | Bizony mondom nektek: az ítélet napján könnyebb lesz Sodoma és Gomora földjének, mint annak a városnak.
Matt.10.16 | "Íme én elküldelek titeket, mint juhokat, a farkasok közé; legyetek azért okosak, mint a kígyók és szelídek, mint a galambok."
Matt.10.17 | "De óvakodjatok az emberektől; mert törvényszékekre adnak és zsinagógáikban megkorbácsolnak titeket,"
Matt.10.18 | sőt helytartók és királyok elé hurcolnak titeket énérettem, bizonyságul maguknak és a pogányoknak.
Matt.10.19 | "De mikor azok kezébe adnak titeket, ne aggodalmaskodjatok, hogyan vagy mit szóljatok; mert megadatik nektek abban az órában, mit mondjatok."
Matt.10.20 | Mert nem ti vagytok, akik szóltok, hanem a ti Atyátok Lelke az, aki szól bennetek.
Matt.10.21 | Halálra adja pedig testvér a testvérét, atya a gyermekét, és gyermekek támadnak szüleik ellen és megölik őket.
Matt.10.22 | "És gyűlöletesek lesztek mindenki előtt az én nevemért; de aki mindvégig állhatatos marad, az megtartatik."
Matt.10.23 | Mikor pedig az egyik városban üldöznek titeket, fussatok a másikba. Mert bizony mondom nektek: be sem járjátok Izrael minden városát, mikor eljön az Ember Fia.
Matt.10.24 | A tanítvány nem áll fölötte a tanítónak, sem a szolga az ő urának.
Matt.10.25 | Elég a tanítványnak, ha olyan, mint a tanítója és a szolgának, ha olyan, mint az ő ura. Ha a ház urát Belzebubnak hívták, mennyivel inkább az ő házanépét?
Matt.10.26 | "Azért ne féljetek tőlük! Mert nincs oly rejtett dolog, ami napfényre ne jönne; és oly titok, amely ki ne tudódnék."
Matt.10.27 | "Amit a sötétben mondok nektek, a világosságban mondjátok; és amit fülbe súgva hallotok, a háztetőkről hirdessétek."
Matt.10.28 | "És ne féljetek azoktól, akik a testet ölik meg, a lelket pedig meg nem ölhetik; hanem attól féljetek inkább, aki mind a lelket, mind a testet elvesztheti a gyehennában."
Matt.10.29 | Nemde két verebecskét lehet venni egy fillérért? És egy sem esik azok közül a földre a ti Atyátok akarata nélkül.
Matt.10.30 | Nektek pedig még a fejetek hajszálai is mind számon vannak.
Matt.10.31 | Ne féljetek azért: ti sok verebecskénél drágábbak vagytok.
Matt.10.32 | "Azért aki vallást tesz rólam az emberek előtt, én is vallást teszek arról az én mennyei Atyám előtt;"
Matt.10.33 | aki pedig megtagad engem az emberek előtt, én is megtagadom azt az én mennyei Atyám előtt.
Matt.10.34 | Ne gondoljátok, hogy azért jöttem, hogy békességet bocsássak e földre. Nem jöttem, hogy békességet bocsássak, hanem hogy fegyvert.
Matt.10.35 | Mert azért jöttem, hogy meghasonlást támasszak az ember és az ő atyja, a leány és az ő anyja, a meny és az ő napa között,
Matt.10.36 | és hogy az embernek ellensége legyen a házanépe.
Matt.10.37 | "Aki jobban szereti atyját vagy anyját, mint engem, nem méltó hozzám; és aki jobban szereti fiát vagy leányát, mint engem, nem méltó hozzám."
Matt.10.38 | És aki nem veszi fel az ő keresztjét és úgy nem követ engem, nem méltó hozzám.
Matt.10.39 | "Aki megtalálja az ő életét, elveszti azt; és aki elveszti az ő életét énérettem, megtalálja azt."
Matt.10.40 | Aki titeket befogad, engem fogad be, és aki engem fogad be, azt fogadja be, aki engem küldött.
Matt.10.41 | Aki prófétát fogad be, mivel az próféta, próféta jutalmát kapja, és aki igaz embert fogad be, mivel az igaz ember, igaznak jutalmát kapja.
Matt.10.42 | És aki e kicsinyek közül egynek, mivel az tanítvány, inni ad csak egy pohár hideg vizet is, bizony mondom nektek, semmiképpen sem fogja elveszíteni jutalmát.

Matt.11.1 | Amikor Jézus bevégezte a tizenkét tanítványnak adott utasítást, elment onnan, hogy tanítson és prédikáljon az ő városaikban.
Matt.11.2 | Mikor pedig János meghallotta a tömlöcben Krisztus cselekedeteit, üzenetet küldött neki tanítványai által:
Matt.11.3 | Te vagy-e az Eljövendő, vagy mást várjunk?
Matt.11.4 | És Jézus így felelt nekik: Menjetek el és jelentsétek Jánosnak, amiket hallotok és láttok:
Matt.11.5 | A vakok látnak és a sánták járnak, a poklosok megtisztulnak és a siketek hallanak, a halottak feltámadnak, a szegényeknek pedig az evangéliumot hirdetik.
Matt.11.6 | És boldog, aki énbennem meg nem botránkozik.
Matt.11.7 | Mikor pedig azok elmentek, Jézus beszélni kezdett Jánosról a sokaságnak: Miért mentetek ki a pusztába? Szél ingatta nádszálat látni?
Matt.11.8 | Hát miért mentetek ki? Puha ruhákba öltözött embert látni? íme, akik puha ruhákat viselnek, a királyok palotáiban vannak.
Matt.11.9 | De hát miért mentetek ki? Prófétát látni? Bizony, mondom nektek, még prófétánál is nagyobbat.
Matt.11.10 | ő az, akiről meg van írva: Íme elküldöm az én követemet te előtted, aki elkészíti előtted a te útadat.
Matt.11.11 | Bizony mondom nektek: az asszonyoktól születettek között nem támadt nagyobb Keresztelő Jánosnál, pedig a mennyek országában a legkisebb is nagyobb őnála.
Matt.11.12 | Keresztelő János napjaitól fogva mind mostanig a mennyek országa erővel tör utat és az erősek ragadják azt el.
Matt.11.13 | Mert a próféták mindnyájan és a törvény Jánosig prófétáltak.
Matt.11.14 | És ha el akarjátok fogadni: Illés ő, aki eljövendő.
Matt.11.15 | Akinek füle van a hallásra, halijai
Matt.11.16 | De kihez hasonlítsam ezt a nemzedéket? Hasonló azokhoz a gyermekekhez, akik a piacon ülnek és így kiáltoznak társaiknak:
Matt.11.17 | "Fuvoláztunk nektek és nem táncoltatok; gyászéneket éne keltünk, és nem sírtatok."
Matt.11.18 | Mert eljött János, aki se nem eszik, se nem iszik és azt mondják: Ördög van benne!
Matt.11.19 | Eljött az Ember Fia, aki eszik és iszik és ezt mondják: íme a nagyétű és részeges ember, a vámszedők és bűnösök barátja! És cselekedeteiből igazolódott az isteni bölcsesség. (A 19. versben egyes kéziratokban a cselekedeteiből szó helyett: gyermekeitől szó olvasható (Lk.7:35))
Matt.11.20 | Ekkor korholni kezdte azokat a városokat, amelyekben legtöbb csodája történt, hogy nem tértek meg:
Matt.11.21 | Jaj neked, Korázin! Jaj neked, Betsaida! Mert ha Tírusban és Szidonban történtek volna azok a csodák, amelyek bennetek végbementek, régen megtértek volna zsákruhában és hamuban!
Matt.11.22 | De mondom nektek: Tírusnak és Szidonnak könnyebb lesz az ítélet napján, mint nektek.
Matt.11.23 | "És te, Kapernaum, vájjon az égig fogsz felmagasztaltatni? A pokolig fogsz le vettetni; mert ha Sodomában történtek volna azok a csodák, amelyek benned végbementek, mind a mai napig megmaradt volna."
Matt.11.24 | De mondom nektek, hogy Sodorna földjének könnyebb lesz az ítélet napján, mint neked.
Matt.11.25 | Abban az időben Jézus ezt mondta: Hálát adok neked, Atyám, mennynek es földnek Ura, hogy elrejtetted ezeket a bölcsek és értelmesek elől és kinyilatkoztattad a tanulatlanoknak.
Matt.11.26 | Igen, Atyám, mert így volt kedves te előtted.
Matt.11.27 | Mindent nekem adott át az én Atyám és senki sem ismeri a Fiút, csak az Atya, és az Atyát sem ismeri senki, csak a Fiú és akinek a Fiú ki akarja nyilatkoztatni.
Matt.11.28 | Jöjjetek énhozzám mindnyájan, akik megfáradtatok és meg vagytok terhelve, és én nyugodalmat adok nektek.
Matt.11.29 | Vegyétek fel magatokra az én igámat és tanuljátok meg tőlem, hogy én szelíd és alázatos szívű vagyok, és nyugodalmat találtok lelketeknek.
Matt.11.30 | Mert az én igám jó, és az én terhem könnyű.

Matt.12.1 | Abban az időben a vetéseken haladt át Jézus szombatnapon. Tanítványai pedig megéheztek és kezdték a kalászokat szaggatni és enni.
Matt.12.2 | Mikor ezt a farizeusok látták, így szóltak neki: Íme a te tanítványaid azt cselekszik, amit szombatnapon nem szabad cselekedni.
Matt.12.3 | ő pedig azt mondta nekik: Nem olvastátok, mit cselekedett Dávid, mikor megéhezett ő és akik vele voltak?
Matt.12.4 | Hogyan ment be az Isten házába és ették meg a felrakott szent kenyereket, amelyeket nem lett volna szabad megennie sem neki, sem azoknak, akik vele voltak, hanem csak a papoknak?
Matt.12.5 | Vagy nem olvasta tok a törvényben, hogy szombatnapon megszegik a papok a szombatot a templomban és mégsem vétkeznek?
Matt.12.6 | Mondom nektek: a templomnál nagyobb van itt.
Matt.12.7 | Ha pedig tudnátok, mit jelent ez: Irgalmasságot akarok és nem áldozatot: nem kárhoztattátok volna az ártatlanokat.
Matt.12.8 | Mert a szombatnak is ura az Ember Fia.
Matt.12.9 | Mikor eltávozott onnan, az ő zsinagógájukba ment.
Matt.12.10 | És íme volt ott egy bénakezű ember. És hogy vádolhassák Jézust, megkérdezték tőle: Szabad-e szombatnapon gyógyítani?
Matt.12.11 | Ő pedig így szólt nekik: Kicsoda közületek az az ember, aki ha van egy juha és az szombatnapon verembe esik, meg nem fogja és ki nem húzza azt?
Matt.12.12 | Pedig mennyivel drágább az ember a juhnál. Szabad tehát szombatnapon jót cselekedni.
Matt.12.13 | Akkor így szólt annak az embernek: Nyújtsd ki a kezedet! És kinyújtotta, mire olyan éppé lett, mint a másik.
Matt.12.14 | A farizeusok pedig kimentek és tanácsot tartottak ellene, hogyan pusztíthatnák el őt.
Matt.12.15 | Mikor ezt Jézus észrevette,- visszavonult onnan. És sokan követték őt, és mindnyájukat meggyógyította.
Matt.12.16 | És szigorúan meghagyta nekik, hogy őt ismertté ne tegyék,
Matt.12.17 | hogy beteljesedjék Ésaiás próféta mondása, aki így szólt:
Matt.12.18 | Íme az én szolgám, akit választottam, akit én szeretek, akiben gyönyörködöm: Lelkemet adom őbelé és ítéletet hirdet a pogányoknak.
Matt.12.19 | "Nem civódik és nem kiált; az utcákon senki sem hallja szavát."
Matt.12.20 | A megrepedezett nádszálat nem töri el és a pislogó mécsest nem oltja ki, míg diadalra nem viszi az igazságot.
Matt.12.21 | És az ő nevében reménykednek majd a pogányok.
Matt.12.22 | Akkor egy vak és né ma ördöngöst hoztak eléje és ő meggyógyította, úgyhogy a vak és néma látott is, beszélt is.
Matt.12.23 | És az egész sokaság elcsodálkozott s ezt mondta: Talán csak nem ez a Dávid fia?
Matt.12.24 | A farizeusok pedig ennek hallatára így szóltak: Ez csak Belzebubnak, az ördögök fejedelmének segítségével űzi ki az ördögöket.
Matt.12.25 | Jézus pedig, aki ismerte gondolataikat, így szólt nekik: Minden ország, amely önmagával meghasonlik, elpusztul és egyetlen város vagy háznép sem marad fenn, amely önmagával meghasonlik.
Matt.12.26 | Ha pedig a Sátán űzi ki a Sátánt, akkor meghasonlott önmagával. Hogyan állhat fenn tehát az ő országa?
Matt.12.27 | És ha Belzebub segítségével űzöm ki az ördögöket, a ti fiaitok kinek a segítségével űzik ki? Azért ők lesznek a ti bíráitok!
Matt.12.28 | Ha pedig én az Isten Lelkének segítségével űzöm ki az ördögöket, akkor bizonyára elérkezett hozzátok az Isten országa.
Matt.12.29 | Vagy hogyan hatolhat be bárki az erős ember házába és hogyan rabolhatja el annak javait, ha előbb meg nem kötözi az erős embert s így rabolja ki annak házát?
Matt.12.30 | Aki nincs velem, ellenem van, és aki nem gyűjt velem, tékozol.
Matt.12.31 | Azt mondom azért nektek: minden bűn és káromlás megbocsáttatik az embereknek, de a Lélek ellen mondott káromlás nem bocsáttatik meg.
Matt.12.32 | Még az is részesül bocsánatban, aki az Ember Fia ellen szól, de aki a Szent Lélek ellen szól, az nem részesül bocsánatban sem ezen, sem a jövendő világon.
Matt.12.33 | Vagy tegyétek a fát jóvá és akkor a gyümölcse is jó, vagy tegyétek a fát rosszá és akkor a gyümölcse is rossz. Mert gyümölcséről lehet megismerni a fát.
Matt.12.34 | Mérges kígyók fajzatai Hogyan is szólhatnátok gonosz létetekre jót? Mert a szív teljességéből szól a száj.
Matt.12.35 | A jó ember a maga jó kincseiből hozza elő a jókat, és a gonosz ember a maga gonosz kincseiből hozza elő a gonosz dolgokat.
Matt.12.36 | De mondom nektek: minden haszontalan beszédért, amelyet beszélnek az emberek, számot adnak majd az ítélet napján.
Matt.12.37 | Mert beszédedből ítéltetel majd igaznak, és beszédedből ítéltetel bűnösnek.
Matt.12.38 | Ekkor az írástudók és farizeusok közül némelyek újból megszólaltak: Mester, jelt szeretnénk tőled látni.
Matt.12.39 | Ő pedig ezt felelte nekik: E gonosz és parázna nemzedék jelt kíván, de nem adatik neki, csak a Jónás próféta jele.
Matt.12.40 | Mert amint Jónás három nap, három éjjel volt a cethal gyomrában, úgy lesz az Ember Fia is három nap, három éjjel a föld szívében.
Matt.12.41 | A ninivei férfiak az ítéletkor majd együtt támadnak fel ezzel a nemzedékkel és elítélik ezt, mivel ők megtértek Jónás prédikálására. És íme Jónásnál nagyobb van itt!
Matt.12.42 | Dél királynője majd felkel az ítéletkor e nemzedékkel és elítéli ezt, mert ő eljött a föld széléről, hogy hallhassa Salamon bölcsességét. És íme Salamonnál nagyobb van itt!
Matt.12.43 | Mikor pedig a tisztátalan lélek kimegy az emberből, víz nélküli helyeken kóborol, nyugalmat keres, de nem talál.
Matt.12.44 | Akkor ezt mondja: Visszatérek az én házamba, ahonnét kijöttem, És odaérve, üresen, kisöpörve és felékesítve találja azt.
Matt.12.45 | Akkor elmegy és vesz maga mellé más hét lelket, még nála is gonoszabbakat: és bemennek és ott laknak. És annak az embernek utolsó állapota rosszabb lesz az elsőnél. így lesz ezzel a gonosz nemzedékkel is.
Matt.12.46 | Mikor pedig még szólott a sokasághoz, íme az ő anyja és testvérei künn megálltak és beszélni akartak vele.
Matt.12.47 | Ekkor valaki így szólt neki: Íme a te anyád és testvéreid odakünn állanak és szólni akarnak veled.
Matt.12.48 | Ő azonban így felelt annak, aki őt meg szólította: Ki az én anyám és kik az én testvéreim?
Matt.12.49 | És kinyújtván kezét az ő tanítványaira, ezt mondta: íme az én anyám és az én testvéreim!
Matt.12.50 | Mert aki cselekszi az én mennyei Atyám akaratát, az fiútestvérem, nőtestvérem és anyám.

Matt.13.1 | Azon a napon Jézus kiment a házból, leült a tenger mellett.
Matt.13.2 | "És nagy sokaság gyűlt hozzá, úgyhogy a hajóba ment és leült; az egész sokaság pedig a parton állott."
Matt.13.3 | És sokat beszélt nekik példázatokban: íme, kiment a magvető vetni.
Matt.13.4 | És mikor vetett, némelyik mag az útfélre esett, és a madarak eljöttek és megették azt.
Matt.13.5 | Némelyik pedig köves helyre esett, ahol nem sok földje volt, úgyhogy hamarosan felnőtt, mivel nem volt mélyen a földben.
Matt.13.6 | De mikor a nap felkelt, a hőség megütötte és mivel nem volt gyökere, elszáradt.
Matt.13.7 | Némelyik pedig a tövisek közé esett és a tövisek felnövekedtek és megfojtották azt.
Matt.13.8 | Némelyik pedig a jó földbe esett és termést hozott, az egyik százannyit, a másik hatvanannyit, ismét másik harmincannyit.
Matt.13.9 | Akinek van füle a hallásra, hallja!
Matt.13.10 | A tanítványok pedig hozzámentek és ezt mondták neki: Miért szólasz hozzájuk példázatokban?
Matt.13.11 | Ő pedig ezt felelte nekik: Nektek megadatott, hogy ismerjétek a mennyek országának titkait, azoknak pedig nem adatott meg.
Matt.13.12 | "Mert akinek van, annak adatik, úgyhogy bővölködik; de akinek nincs, attól még az is elvétetik, amije van."
Matt.13.13 | Azért beszélek nekik példázatokban, mert látván, nem látnak, és hallván, nem hallanak, sem nem értenek.
Matt.13.14 | "És beteljesedett rajtuk Ésaiás jövendölése, amely ezt mondja: Hallván halljatok és ne értsetek; és nézvén nézzetek és ne lássatok:"
Matt.13.15 | mert megkövéredett ennek a népnek a szíve, és fülükkel nehezen hallottak és szemüket behunyták, hogy szemükkel ne lássanak, fülükkel ne halljanak, szívükkel ne értsenek és meg ne térjenek és én meg ne gyógyítsam őket.
Matt.13.16 | A ti szemetek pedig boldog, mert lát, és fületek, mert hall.
Matt.13.17 | "Mert bizony mondom nektek, hogy sok próféta és igaz ember kívánta látni, amiket ti láttok és nem látták; és hallani, amiket ti hallotok és nem hallották."
Matt.13.18 | Ti most azért halljátok meg a magvetőről szóló példázat magyarázatát!
Matt.13.19 | Amikor valaki hallja a mennyek országáról szóló igét, de nem érti, eljön a gonosz és kiragadja a szívébe vetett magot. Ez az, amelyik az útfélre esett.
Matt.13.20 | A köves talajra hullott mag pedig az, aki mikor az igét hallja, mindjárt nagy örömmel fogadja azt,
Matt.13.21 | "de nincsen gyökere benne, hanem csak ideig való; mihelyt pedig nyomorúság vagy üldözés támad az ige miatt, azonnal megtántorodik."
Matt.13.22 | A tövisek közé esett mag pedig az, aki hallgatja ugyan az igét, de a világ gondja és a gazdagság csalárdsága megfojtja az igét, úgyhogy nem terem gyümölcsöt.
Matt.13.23 | "A jó földbe esett mag pedig az, aki hallja és érti az igét; ez gyümölcsöt is terem, némelyik százannyit, némelyik hatvanannyit, némelyik pedig harmincannyit."
Matt.13.24 | Más példázatot is adott eléjük e szavakkal: Hasonló a mennyek országa ahhoz az emberhez, aki jó magot vetett a földjébe,
Matt.13.25 | de mikor az emberek aludtak, eljött az ellensége és konkolyt vetett a búza közé és eltávozott.
Matt.13.26 | Mikor pedig felnőtt a vetés és termést hozott, akkor meglátszott a konkoly is.
Matt.13.27 | A gazda szolgái pedig előállottak és így szóltak neki: Uram, nemde tiszta magot vetettél a te földedbe? Honnan van azért benne konkoly?
Matt.13.28 | ő pedig azt mondta nekik: Valamelyik ellenségem cselekedte ezt. A szolgák erre azt mondták neki: Akarod-e, hogy elmenjünk és összeszedjük a konkolyt?
Matt.13.29 | ö azonban így szólt: Nem. Mert mikor összeszeditek a konkolyt, azzal együtt esetleg a búzát is kiszaggatjátok.
Matt.13.30 | Hadd nőjön együtt mind a kettő az aratásig. Az aratás idején majd szólok az aratóknak: Szedjétek össze először a konkolyt és kössétek kévébe, hogy megégessétek, a búzát pedig takarítsátok be a csűrömbe.
Matt.13.31 | Más példázatot is adott eléjük e szavakkal: Hasonló a mennyek országa a mustármaghoz, amelyet az ember vesz és elvet a földjébe.
