Heb.1.1 | Az Isten hajdan sokszor és sokféleképen szólott az atyáknak a próféták által,
Heb.11.1 | A hit pedig bizodalom azokban, amiket remélünk és meggyőződés a nem látott valóságokról.
Heb.11.2 | Mert ezzel szereztek jó bizonyságot a régiek.
Heb.11.3 | Hit által értjük meg, hogy a világot Isten teremtette igéje által úgy, hogy ami látható, a láthatatlanból állott elő.
Heb.11.4 | "Hit által mutatott be Ábel becsesebb áldozatot Istennek, mint Kain; ez által nyert bizonyságot afelől, hogy ő igaz, mert Isten bizonyságot tett az ő áldozati ajándékairól, és hite által még holta után is szól."
Heb.11.5 | Hit által vitetett fel Énók, hogy ne lásson halált és nem találták meg, mert az Isten felvitte őt. Mert mielőtt felvitetett, bizonyságot nyert afelől, hogy kedves volt Isten előtt.
Heb.11.6 | Hit nélkül pedig lehetetlen Istennek tetszeni, mert aki Isten elé akar járulni, hinnie kell, hogy van Isten és megjutalmazza azokat, akik őt keresik.
Heb.11.7 | "Hit által intetett meg Nóé a még nem látott események felől és istenfélelemmel készítette a bárkát házanépe megmentésére; és ezáltal ítélte meg a világot és a hitből való igazságnak örökösévé lett."
Heb.11.8 | Hit által engedelmeskedett Ábrahám, mikor elhívatott, hogy menjen ki arra a helyre, amelyet örökölnie kell. És kiment, nem tudva, hová megy.
Heb.11.9 | Hit által költözött az ígéret földjére, mint idegenbe, ahol sátrakban lakott Izsákkal és Jákobbal, ugyanannak az ígéretnek örököstársaival.
Heb.11.10 | Mert várta a várost, amelynek erős fundámentoma van, amelynek építője és alkotója az Isten.
Heb.11.11 | Hit által nyert erőt Sára is, hogy gyermeke legyen, jóllehet idős volt, minthogy hűnek tartotta azt, aki az ígéretet tette.
Heb.11.12 | Azért attól az egytől, még pedig mintegy elhalttól, oly sokan származtak, mint az ég csillagai és mint a tenger partján a föveny, amely megszámlálhatatlan.
Heb.11.13 | Hitben haltak meg mindezek, mert nem nyerték el az ígéreteket, hanem csak távolról látták és üdvözölték azokat és vallást tettek arról, hogy idegenek és vándorok a földön.
Heb.11.14 | Mert akik így beszélnek, nyíltan kijelentik, hogy hazát keresnek.
Heb.11.15 | És ha arra a hazára gondoltak volna, amelyből kijöttek, lett volna idejük a visszatérésre.
Heb.11.16 | "így azonban jobb után vágyódnak, tudniillik mennyei után; azért nem szégyenli őket az Isten, hogy Istenüknek neveztessék, mert készített nekik várost."
Heb.11.17 | Hit által mutatta be áldozatul Ábrahám Izsákot, mikor próbára tétetett és egyetlen fiát vitte áldozatul ő, aki az ígéreteket nyerte:
Heb.11.18 | neki mondatott ez: Akik Izsáktól származnak, azokat nevezik a te magodnak.
Heb.11.19 | Úgy gondolkozott, hogy Istennek van hatalma, hogy a halálból is feltámassza, épen ezért őt példaképen visszanyerte.
Heb.11.20 | Hit által áldotta meg Izsák a jövendő dolgokra nézve is Jákobot és Ézsaut.
Heb.11.21 | Hit által áldotta meg a haldokló Jákob József mindegyik fiát, és botja végére hajolva imádta az Istent.
Heb.11.22 | Hit által emlékezett meg élete végén József Izrael fiainak kivonulásáról és rendelkezett az ő tetemei felől.
Heb.11.23 | "Hit által rejtegették Mózest az ő szülei születése után három hónapig, mivel látták, hogy szép a gyermek; és nem féltek a király parancsától."
Heb.11.24 | Hit által tiltakozott Mózes, mikor felnövekedett, hogy a fáraó leánya fiának mondják,
Heb.11.25 | "inkább választva az Isten népével való együtt nyomorgást, mint a bűn ideig-óráig való gyönyörűségét;"
Heb.11.26 | mert Egyiptom kincseinél nagyobb gazdagságnak tartotta a Krisztusért való gyalázatot, mivel a megjutalmazásra tekintett.
Heb.11.27 | Hit által hagyta el Egyiptomot, nem félt a király haragjától, mert erős szívű volt, mint aki látja azt, aki láthatatlan.
Heb.11.28 | Hit által rendelte a húsvéti bárányt és a vérrel való meghintést, hogy az öldöklő ne érintse az ő elsőszülötteiket.
Heb.11.29 | Hit által keltek át a Verestengeren, mint valami szárazföldön, amit mikor az egyiptomiak megpróbáltak, elnyelettek.
Heb.11.30 | Hit által omlottak le Jerikó kőfalai, midőn hét napig körüljárták azokat.
Heb.11.31 | Hit által nem veszett el az engedetlenekkel együtt Ráháb, a parázna nő, mivel befogadta a kémeket békességgel.
Heb.11.32 | És mit mondjak még? Hiszen kifogynék az időből, ha szólnék Gedeonról, Bárákról, Sámsonról, Jeftéről, Dávidról, Sámuelről és a prófétákról,
Heb.11.33 | akik hit által országokat győztek le, igazságot tettek, ígéreteket nyertek, oroszlánok száját tömték be,
Heb.11.34 | tűz erejét oltották ki, megmenekültek kard élétől, felerősödtek betegségből, erősekké lettek a háborúban, megszalasztották az idegenek seregeit.
Heb.11.35 | "Asszonyok feltámadás által visszanyerték halottaikat; másokat kínpadra vontak, de ők visszautasították a szabadulást, hogy jobb feltámadásban részesüljenek."
Heb.11.36 | "Mások pedig megcsúfoltatások és megostorozások próbáját szenvedték el, sőt még bilincseket és börtönt is;"
Heb.11.37 | "megkövezték őket, kínpróbát szenvedtek, szétfűrészelték, kardélre hányták őket, juhok és kecskék bőrében bujdostak, nélkülözve, nyomorgattatva, gyötörtetve;"
Heb.11.38 | ők, akikre nem volt méltó a világ, pusztákon és hegyeken bujdostak, meg barlangokban és a föld hasadékaiban.
Heb.11.39 | És mindezek, noha hit által jó bizonyságot nyertek, nem kapták meg az ígéretet.
Heb.11.40 | Mivel Isten felőlünk valami jobbról gondoskodott, hogy nélkülünk tökéletességre ne jussanak.

Heb.12.1 | "Azért mi is, kiket a tanúbizonyságoknak ilyen nagy fellege vesz körül, tegyünk félre minden akadályt és megkörnyékező bűnt, és állhatatossággal fussuk meg az előttünk levő küzdőteret;"
Heb.12.2 | nézzünk a hit fejedelmére és elvégezőjére, Jézusra, aki az előtte levő öröm helyett, nem törődve a gyalázattal, keresztet szenvedett és az Isten királyi székének jobbjára ült.
Heb.12.3 | Gondoljatok azért arra, aki ilyen ellene való támadást szenvedett el a bűnösöktől, hogy el ne csüggedjetek, és lelketekben el ne aléljatok.
Heb.12.4 | Mert a bűn ellen való tusakodásban még nem állottatok ellen vérig.
Heb.12.5 | És elfeledkeztetek-é az intésről, amely nektek, mint fiaknak szól: Fiam, ne vesd meg az Úr fenyítését, se el ne csüggedj, ha dorgál téged.
Heb.12.6 | "Mert akit szeret az Úr, megfenyíti; megostoroz pedig mindenkit, akit fiává fogad."
Heb.12.7 | "Szenvedjétek el a fenyítést! Úgy bánik veletek az Isten, mint fiaival; mert melyik fiú az, akit nem fenyít meg az atyja?"
Heb.12.8 | Ha pedig fenyítés nélkül valók vagytok, amiben mindenki részesül, fattyak vagytok és nem fiak.
Heb.12.9 | Aztán: testi atyáink fenyítettek ugyan minket és mi becsültük őket — vajjon nem sokkal inkább engedelmeskednünk kell-é a lelkek Atyjának, hogy éljünk?
Heb.12.10 | Mert azok ugyan kevés ideig, tetszésük szerint fenyítettek, ő pedig javunkra, hogy szentségében részesüljünk.
Heb.12.11 | Az első pillanatban ugyan semmiféle fenyítés sem látszik örvendetesnek, hanem keservesnek, ámde utóbb az igazság békességes gyümölcsével fizet azoknak, akik abban edződtek.
Heb.12.12 | Ezért a lecsüggesztett kezeket és az ellankadt térdeket erősítsétek meg,
Heb.12.13 | és egyenes ösvényt készítsetek lábaitoknak, hogy a sánta el ne botoljék, sőt inkább meggyógyuljon.
Heb.12.14 | Törekedjetek mindenki irányában békességre és a szent életre, amely nélkül senki sem látja meg az Urat.
Heb.12.15 | Vigyázzatok arra, hogy az Isten kegyelmétől senki el ne essék, hogy a keserűségnek valamely gyökere, felnövekedve, bajt ne okozzon és általa sokan meg ne fertőztessenek.
Heb.12.16 | Ne legyen senki parázna vagy istentelen, mint Ézsau, aki egy ételért eladta elsőszülöttségi jogát.
Heb.12.17 | Mert tudjátok, hogy azután, mikor örökölni akarta az áldást, elvettetett, mert nem talált többé módot a megtérésre, noha könnyhullatással kereste azt.
Heb.12.18 | Mert nem járultatok megtapintható hegyhez, sem lángoló tűzhöz, sűrű homályhoz, sötétséghez, szélvészhez,
Heb.12.19 | trombitaharsogáshoz és szózatok hangjához, amelyet akik hallottak, kérték, hogy többet ne szóljon hozzájuk,
Heb.12.20 | mert nem bírták el, ami parancsolva volt: Még ha állat ér is a hegyhez, meg kell kövezni! —
Heb.12.21 | "és olyan rettenetes volt a látvány, hogy Mózes is így szólt: Megijedtem és remegek; —"
Heb.12.22 | hanem Sión hegyéhez járultatok, az élő Isten városához, a mennyei Jeruzsálemhez és az angyalok ezreihez,
Heb.12.23 | az elsőszülöttek ünnepi seregéhez és egyházához, akik beírattak a mennyekben, és mindenek bírájához, Istenhez és a tökéletességre jutott igazak lelkeihez,
Heb.12.24 | és az új szövetség közbenjárójához, Jézushoz és a meghintés véréhez, amely kegyelmesebben beszél, mint az Ábel vére.
Heb.12.25 | "Vigyázzatok, hogy vissza ne utasítsátok őt, amikor szól; mert ha nem menekültek meg azok, akik visszautasították őt, aki a földön adott isteni intést, mennyivel kevésbé mi, ha elfordulunk attól, aki a mennyből szól hozzánk."
Heb.12.26 | Az ő szava akkor megrendítette a földet, most pedig ezt hirdeti: Még egyszer megrázom nemcsak a földet, hanem az eget is.
Heb.12.27 | Az a ,,még egyszer” pedig jelenti azoknak megváltoztatását, amelyek mint teremtett dolgok, megrendülhetnek, hogy megmaradjanak azok, amelyek nem rendülhetnek meg soha.
Heb.12.28 | "Azért, mivel olyan országot nyertünk, amely rendíthetetlen, legyünk háládatosak és így szolgáljunk az Istennek, neki tetsző módon, kegyességgel és félelemmel;"
Heb.12.29 | mert a mi Istenünk megemésztő tűz.

Heb.13.1 | Az atyafiúi szeretet maradjon meg.
Heb.13.2 | A vendégszeretetről el ne feledkezzetek, mert ezáltal némelyek, tudtukon kívül, angyalokat vendégeltek meg.
Heb.13.3 | Emlékezzetek meg a foglyokról, mintha velük együtt ti is foglyok volnátok, a gyötrődőkről, mint akik magatok is testben vagytok.
Heb.13.4 | "Becsülje meg mindenki a házasságot és legyen szeplőtelen a házastársi ágy; mert a paráznákat és házasságtörőket megítéli az Isten."
Heb.13.5 | "Kapzsiság nélkül való legyen az életetek; elégedjetek meg azzal, amitek van, mert ő mondta: Nem hagylak el, sem el nem távozom tőled!"
Heb.13.6 | Azért bízvást mondjuk: Az Úr az én segítségem: nem félek. Ember mit árthat nekem?
Heb.13.7 | Emlékezzetek meg elöljáróitokról, akik Isten igéjét hirdették nektek: figyeljetek életük végére és kövessétek hitüket.
Heb.13.8 | Jézus Krisztus tegnap és ma és mindörökké ugyanaz.
Heb.13.9 | "Különböző és idegen tanítások által ne engedjétek félrevezettetni magatokat; mert jó dolog, hogy kegyelemmel erősíttessék meg a szív, nem eledelekkel, amelyek semmit sem használtak azoknak, akik azokkal éltek."
Heb.13.10 | Van oltárunk, amelyről nincs joguk enni azoknak, akik a sátorban szolgálnak.
Heb.13.11 | Mert amely állatok vérét a főpap a szenthelybe beviszi a bűnért, azoknak testét megégetik a táboron kívül.
Heb.13.12 | Ezért Jézus is a kapun kívül szenvedett, hogy megszentelje tulajdon vére által a népet.
Heb.13.13 | Menjünk ki tehát őhozzá a táboron kívül és hordozzuk az ő gyalázatát.
Heb.13.14 | Mert nincs itt maradandó városunk, hanem az eljövendőt keressük.
Heb.13.15 | Ezért mindenkor ő általa vigyük Isten elé a dicséretnek áldozatát, vagyis az ő nevéről vallást tevő ajkak gyümölcsét.
Heb.13.16 | A jótékonyságról és adakozásról pedig el ne feledkezzetek, mert ilyen áldozatokban gyönyörködik az Isten.
Heb.13.17 | Engedelmeskedjetek elöljáróitoknak és hallgassatok rájuk, mert ők vigyáznak lelketekre, mint számadók, hogy ezt örömmel tegyék és ne kedvetlenül, mert ez nektek nem válnék javatokra.
Heb.13.18 | Imádkozzatok értünk. Mert meg vagyunk győződve, hogy jó lelkiismeretünk van, és igyekszünk mindenben tisztességesen forgolódni.
Heb.13.19 | Különösképen pedig az a kérésem, tegyétek meg ezt, hogy mihamarabb visszaadassam nektek.
Heb.13.20 | A békesség Istene pedig, aki kihozta a halálból a juhok nagy pásztorát örök szövetség vére által, a mi Urunkat, Jézust,
Heb.13.21 | tegyen készségessé titeket minden jóra, hogy cselekedjétek az ő akaratát, és azt munkáljátok magatokban, ami kedves ő előtte a Jézus Krisztus által, akinek dicsőség örökkön-örökké! Ámen.
Heb.13.22 | Kérlek pedig titeket, atyámfiai, szívleljétek meg ezt az intő beszédet, hiszen csak röviden írtam nektek.
Heb.13.23 | Legyen tudtotokra, hogy atyánkfia, Timótheus kiszabadult, akivel ha hamarosan megjön, meglátogatlak titeket.
Heb.13.24 | Köszöntsétek minden elöljárótokat és a szenteket mind. Köszöntenek titeket az Itáliából valók.
Heb.13.25 | Kegyelem mindnyájatokkal!
