Rom.1.1 | Pál, Jézus Krisztus szolgája, elhívott apostol, kiválasztva az Isten evangéliumának hirdetésére,
Rom.8.23 | De nemcsak ez, hanem mi is, a Lélek zsengéjének birtokosai, mi magunk is sóhajtozunk magunkban, és várjuk a fiúvá fogadtatást, testünk megváltását.
Rom.8.24 | "Mert reménységre tarttattunk meg; a reménység pedig, ha látható, nem reménység; mert amit lát az ember, miért remélje is azt?"
Rom.8.25 | Ha pedig azt reméljük, amit nem látunk, békességes tűréssel várjuk azt.
Rom.8.26 | Hasonlóképen pedig a Lélek is segítségére van a mi erőtlenségünknek. Mert azt, amit imádságunkban kérnünk kell, nem tudjuk úgy kérni, amint kell, de maga a Lélek esedezik értünk kimondhatatlan fohászkodásokkal.
Rom.8.27 | Ám aki a szíveket vizsgálja, tudja mi a Lélek gondolata, mert Isten szerint esedezik a szentekért.
Rom.8.28 | Tudjuk pedig, hogy azoknak, akik Istent szeretik, minden javukra van, mint akik az ő végzése szerint hivatalosak.
Rom.8.29 | Mert akiket eleve ismert, eleve el is rendelte, hogy azok az ő Fiának képmására formáltassanak, hogy ő első szülött legyen sok atyafi között.
Rom.8.30 | "Akiket pedig eleve elrendelt, azokat el is hívta; és akiket elhívott, azokat meg is igazította; akiket pedig megigazított, azokat meg is dicsőítette."
Rom.8.31 | Mit mondjunk azért ezekre? Ha Isten velünk, kicsoda ellenünk?
Rom.8.32 | Aki az ő tulajdon Fiának sem kedvezett, hanem őt mindnyájunkért odaadta, hogyne ajándékozna nekünk mindent vele együtt?
Rom.8.33 | Kicsoda vádolja az Isten választottait? Hiszen Isten az, aki megigazít.
Rom.8.34 | Kicsoda az, aki kárhoztat? Hiszen Krisztus Jézus az, aki meg halt, sőt fel is támadott, aki az Isten jobbján van aki esedezik is érettünk.
Rom.8.35 | Kicsoda szakíthat el minket a Krisztus szeretetétől? Nyomorgatás vagy szorongattatás vagy üldözés vagy éhség vagy mezítelenség vagy veszedelem vagy fegyver?
Rom.8.36 | "Amint meg van írva: Teéretted öldökölnek minket minden nap; olyannak tekintenek, mint a vágójuhokat."
Rom.8.37 | De mindezekben diadalmaskodunk Ő általa, aki minket szeretett.
Rom.8.38 | Mert meg vagyok győződve, hogy sem halál, sem élet, sem angyalok, sem fejedelemségek, sem hatalmasságok, sem jelenvalók, sem következendők,
Rom.8.39 | sem magasság, sem mélység, sem semmi más teremtmény nem szakíthat el minket az Isten szeretetétől, amely a mi Urunk Jézus Krisztusban van.

Rom.9.1 | Igazságot szólok Krisztusban, nem hazudok, lelkiismeretem velem együtt tesz bizonyságot a Szentlélek által,
Rom.9.2 | hogy nagy az én szomorúságom és szüntelen való az én szívem fájdalma.
Rom.9.3 | Mert kívánnám, ha én magam Krisztustól elszakítva átkozott lennék atyámfiaiért, test szerint való rokonaimért,
Rom.9.4 | az izraelitákért, akiké a fiúvá fogadtatás és a dicsőség és a szövetségek meg a törvényadás és az istentisztelet és az ígéretek,
Rom.9.5 | akiké az atyák és akik közül való test szerint a Krisztus, aki mindenek felett örökké áldandó Isten. Ámen.
Rom.9.6 | Mindazáltal nem lehet, hogy az Isten beszéde hiábavalóvá lett volna. Mert nem mindnyájan izraeliták azok, akik Izraeltől valók,
Rom.9.7 | "sem nem mindnyájan Ábrahám gyermekei, akik az ő magvából valók; hanem: Izsák által hívatik el a te magod."
Rom.9.8 | Azaz nem a test szerint való gyermekek az Isten gyermekei, hanem az ígéret gyermekei számíttatnak magnak.
Rom.9.9 | Mert ígéret beszéde ez: Ez időtájban eljövök és Sárának fia lesz.
Rom.9.10 | "Sőt nemcsak ő, hanem Rebeka is példa, aki ugyan egytől, Izsáktól, a mi atyánktól fogant méhében ikreket;"
Rom.9.11 | mert mikor még meg sem születtek és semmi jót vagy rosszat nem cselekedtek, — hogy az Istennek választáson alapuló végzése megálljon, nem cselekedetekből, hanem az elhívó akaratából, —
Rom.9.12 | "megmondatott neki: A nagyobbik szolgál majd a kisebbiknek;"
Rom.9.13 | amint meg van írva: Jákobot szerettem, Ézsaut pedig gyűlöltem.
Rom.9.14 | Mit mondjunk tehát? vajjon nem igazságtalanság-e ez az Istentől? Semmiképen!
Rom.9.15 | Mert Mózesnek ezt mondja: Könyörülök azon, akin könyörülök és irgalmazok annak, akinek irgalmazok.
Rom.9.16 | Azért nem attól függ, aki akarja, sem attól, aki fut, hanem a könyörülő Istentől.
Rom.9.17 | Mert azt mondja az írás a fáraónak: Azért támasztottalak téged, hogy megmutassam rajtad hatalmamat és hogy hirdessék az én nevemet az egész földön.
Rom.9.18 | Azért akin akar, könyörül, akit pedig akar, megkeményít.
Rom.9.19 | Mondhatnád azért nekem: Miért hibáztat mégis engem? Hiszen az ő akaratának kicsoda állhat ellent?
Rom.9.20 | De hát kicsoda vagy te, ember, hogy perbe szállsz az Istennel? vajjon mondja-e a készítmény a készítőjének: Miért formáltál engem így?
Rom.9.21 | vajjon a fazekasnak nincs hatalma az agyagon, hogy ugyanabból az anyagból némely edényt ékességre, némelyet pedig közönséges használatra készítsen!
Rom.9.22 | Ha pedig Isten meg akarta mutatni az ő haragját és meg akarta ismertetni az ő hatalmát, és ezért nagy béketűréssel elszenvedte a harag edényeit, amelyek pusztulásra készültek,
Rom.9.23 | hogy megismertesse dicsőségének gazdagságát az irgalom edényein, amelyeket eleve elkészített a dicsőségre, mit szólhatsz ellene?
Rom.9.24 | Bennünket is ilyenekül hívott el, nemcsak a zsidók, hanem a pogányok közül is.
Rom.9.25 | amint Hóseásnál is mondja: Hívom a nemnépemet népemnek és a nemszeretettet szeretettnek.
Rom.9.26 | És lesz, hogy azon a helyen, ahol ezt mondták nekik: Ti nem vagytok az én népem, ott az élő Isten fiainak fogják őket hívni.
Rom.9.27 | Ésaiás pedig ezt kiáltja Izrael felől: Ha Izrael fiainak száma annyi volna is, mint a tenger fövénye, csak a maradék tartatik meg.
Rom.9.28 | Mert az Úr az ő beszédét teljesen és gyorsan valóra váltja a földön.
Rom.9.29 | És amint Ésaiás előre megmondta: Ha a Seregek Ura nem hagyott volna nekünk magot, olyanokká lettünk volna, mint Sodorna, és Gomorához lettünk volna hasonlók.
Rom.9.30 | Mit mondunk tehát? Azt, hogy a pogányok, akik nem törekedtek igazságra, elnyerték az igazságot, még pedig a hitből való igazságot.
Rom.9.31 | Izrael ellenben, bár az igazság törvényére törekedett, nem jutott el erre a törvényre.
Rom.9.32 | Miért? Azért, mert nem hit által törekedtek arra, hanem úgy, mint ha cselekedetek által volna elnyerhető. Beleütköztek a megütközés kövébe,
Rom.9.33 | amint meg van írva: Íme, a meg ütközés kövét és megbotránkozás szikláját teszem Siónba, és aki hisz benne, meg nem szégyenül.

Rom.10.1 | Atyámfiai, szívem szerint kívánom és könyörgök Istenhez Izraelért, hogy üdvözüljenek.
Rom.10.2 | Mert bizonyságot teszek felőlük, hogy van bennük buzgóság Isten iránt, de nem a helyes ismeret szerint.
Rom.10.3 | Mivel ugyanis az Isten igazságát nem ismerték, és a magukét igyekeztek érvényesíteni, az Isten igazságának nem engedelmeskedtek.
Rom.10.4 | Mert a törvény vége Krisztus minden hivőnek megigazulására.
Rom.10.5 | Mert Mózes a törvényből való igazságról ezt írja: Aki cselekszi azt, él általa.
Rom.10.6 | A hitből való igazság pedig így szól: Ne mondd a te szívedben: Ki megy fel a mennybe? (tudniillik azért, hogy a Krisztust lehozza)
Rom.10.7 | vagy: Ki száll le a mélységbe? (tudniillik azért, hogy Krisztust a halottak közül fel hozza),
Rom.10.8 | hanem mit mond? Közel van hozzád az ige, a te szádban és szívedben, azaz a hitnek amaz igéje, amelyet mi hirdetünk.
Rom.10.9 | Mert ha száddal Úrnak vallod Jézust és szívedben hiszed, hogy az Isten feltámasztotta őt a halottak közül, megtartatol!
Rom.10.10 | Mert szívvel hiszünk, hogy meg igazuljunk, szájjal teszünk pedig vallást, hogy meg tartassunk.
Rom.10.11 | Mert az írás ezt mondja: Senki sem szégyenül meg, aki őbenne hisz.
Rom.10.12 | Mert nincs különbség zsidó és görög között. Mert ugyanaz az Ura mindenkinek, aki gazdagon megáld mindenkit, aki őt segítségül hívja.
Rom.10.13 | Mert mindenki, aki segítségül hívja az Úr nevét, megtartatik.
Rom.10.14 | De hát hogyan hívják segítségül azt, akiben nem hittek? Hogyan higgyenek pedig abban, aki felől nem hallottak? Ámde hogyan halljanak igehirdető nélkül?
Rom.10.15 | De hogyan hirdessék az igét, ha nem küldetnek? Amint meg van írva: Mily kedvesek azoknak lábai, akik a jó hír örömüzenetét hozzák!
Rom.10.16 | Csakhogy nem mindenki engedelmeskedett az evangéliumnak. Mert Ésaiás ezt mondja: Uram, ki hitt a mi prédikálásunknak?
Rom.10.17 | Azért a hit hallásból van, a hallás pedig Krisztus igéje által.
Rom.10.18 | De kérdem: talán nem hallották? Sőt minden bizonnyal az egész földre elhatott a hangjuk és a föld kerekségének határáig az ő beszédük.
Rom.10.19 | De kérdem ismét: Izrael talán nem ér tette meg? Először Mózes mondja: Féltékennyé teszlek titeket oly nép által, amely nem nép, értelmetlen néppel haragítlak titeket.
Rom.10.20 | "Ésaiás pedig bátran ezt mondja: Megtaláltak azok, akik nem kerestek engem; nyilvánvalóvá lettem azoknak, akik nem kérdezősködtek felőlem."
Rom.10.21 | Izraelről pedig így szól: Egész nap kiterjesztettem kezemet az engedetlenkedő és ellenmondó népre.

Rom.11.1 | Kérdem tehát: vajjon elvetette-é Isten az ő népéti Semmiképpen! Mert én is izraelita vagyok, Ábrahám magvából, Benjámin nemzetségéből való.
Rom.11.2 | Nem vetette el Isten az ő népét, amelyet eleve ismert. Vajjon nem tudjátok, mit mond az írás Illés történetében? Mimódon tesz panaszt Istennél Izrael ellen, amikor így szól:
Rom.11.3 | "Uram, prófétáidat megölték és oltáraidat lerombolták; egyedül csak én maradtam meg, és most életemre törnek."
Rom.11.4 | De mit mond neki az isteni felelet? "Meghagytam magamnak hétezer embert, akik nem hajtottak térdet Baálnak."
Rom.11.5 | így azért most is van maradék, a kegyelemből való kiválasztás szerint.
Rom.11.6 | Hogyha pedig kegyelemből, akkor nem cselekedetekből, különben a kegyelem nem volna többé kegyelem. (A 6. vers végén egyes kéziratokban még ez olvasható: Hogyha pedig cselekedetekből, akkor nem kegyelemből: különben a cselekedet nem volna többé cselekedet.)
Rom.11.7 | Hogyan van hát? Amit Izrael keres, azt nem nyerte el, a kiválasztottak ellenben elnyerték. A többiek pedig megkeményíttettek,
Rom.11.8 | amint meg van írva: Az Isten kábultság lelkét adta nekik: szemet, hogy ne lássanak, fület, hogy ne halljanak, mind e mai napig.
Rom.11.9 | "Dávid is ezt mondja: Legyen az ő asztaluk tőrré és hálóvá, csapdává és megtorlássá számukra;"
Rom.11.10 | szemük sötétüljön el, hogy ne lássanak és hátukat görnyeszd meg mindenkorra.
Rom.11.11 | Ezért azt mondom: vajjon azért botlottak-e meg, hogy elessenek? Semmiképen! Hanem az ő elestük miatt lett az üdvösség a pogányoké, hogy Isten féltékennyé tegye Izraelt.
Rom.11.12 | Ha pedig az ő elestük gazdagság a világnak, és az ő kudarcuk gazdagság a pogányoknak, mennyivel inkább az ő teljes számban való megtérésük.
Rom.11.13 | Mert nektek mondom, pogányoknak: mivel én a pogányok apostola vagyok, szolgálatomat azzal dicsőítem,
Rom.11.14 | ha valami módon féltékenyekké teszem véreimet és megmentek közülük némelyeket.
Rom.11.15 | Mert ha az ő elvettetésük a világ megbékélése, mi lesz akkor az ő befogadtatásuk, ha nem-élet a halálból?
Rom.11.16 | Ha pedig a tészta zsengéje szent, akkor a tészta is az, és ha a gyökér szent, az ágak is azok.
Rom.11.17 | Ha pedig némely ágak kitörettek, te viszont vad olajfa létedre beoltattál azok közé és részese lettél az olajfa gyökerének és nedvének,
Rom.11.18 | ne kevélykedjél az ágakkal szemben. Ha pedig kevélykedel, tudd meg, hogy nem te hordozod a gyökeret, hanem a gyökér hordoz téged.
Rom.11.19 | De te azt mondod: Az ágak azért törettek ki, hogy én oltassam be.
Rom.11.20 | Úgy van. Hitetlenségük miatt törettek ki azok, te pedig hit által állasz. Fel ne fuvalkodjál, hanem félj.
Rom.11.21 | Mert ha az Isten a természetes ágakat nem kímélte, téged sem fog kímélni.
Rom.11.22 | "Vedd fontolóra azért Isten jóságát és keménységét: azok iránt, akik elestek, keménységét; irántad pedig jóságát, ha megmaradsz az ő jóságában, különben te is kivágatol."
Rom.11.23 | Sőt azok is, ha nem maradnak meg a hitetlenségben, ismét beoltatnak, mert az Istennek van hatalma, hogy ismét beoltsa őket.
Rom.11.24 | Mert ha te a természettől vad olajfából kivágattál és természet ellenére beoltattál a szelíd olajfába, mennyivel inkább be fognak oltatni tulajdon olajfájukba azok, akik természettől fogva odavalók!
Rom.11.25 | Hogy ne a saját bölcsességetekre építsetek, nem akarom, hogy ne tudjátok, atyámfiai, ezt a titkot: A megkeményedés Izraelre nézve csak rész szerint való, amíg a pogányok teljes számban bemennek,
Rom.11.26 | "és így az egész Izrael megtartatik, amint meg van írva: Eljön Sionból a Szabadító és elfordítja Jákobtól a gonoszságokat;"
Rom.11.27 | és ez nekik az én szövetségem, mikor eltörlöm bűneiket.
Rom.11.28 | Az evangéliumot tekintve ugyan Isten ellenségei tiérettetek, de a kiválasztást tekintve szeretettek az atyákért.
Rom.11.29 | Mert megbánhatatlanok az Isten ajándékai és az ő el hívása.
Rom.11.30 | Mert amint ti egykor engedetlenek voltatok Istennel szemben, most pedig irgalmat nyertetek az ő engedetlenségük miatt:
Rom.11.31 | aképen ezek is most engedetlenekké lettek, hogy a nektek jutott irgalom által most ők is irgalmat nyerjenek.
Rom.11.32 | Mert az Isten mindenkit engedetlenség alá rekesztett, hogy mindenkin könyörüljön.
Rom.11.33 | Óh Isten gazdagságának, bölcsességének és tudományának mélysége! Mily kikutathatatlanok az ő ítéletei és kinyomozhatatlanok az ő útai!
Rom.11.34 | Mert ki ismer te az Úr értelmét? Vagy ki volt az ő tanácsadója?
Rom.11.35 | Vagy ki adott előbb neki, hogy visszafizesse annak?
Rom.11.36 | Mert őtőle, ő általa és őreá nézve van minden, övé a dicsőség mindörökké. Ámen.

Rom.12.1 | Kérlek azért titeket, atyámfiai, az Isten irgalmára, hogy szánjátok oda testeteket élő, szent és Istennek kedves áldozatul. Ez legyen a ti okos istentiszteletetek.
Rom.12.2 | És ne szabjátok magatokat e világhoz, hanem formálódjatok át a ti elmétek megújulásával, hogy megítélhessétek, mi az Istennek jó, kedves és tökéletes akarata.
Rom.12.3 | Mert a nekem adott kegyelem által mondom mindenkinek közöttetek, hogy ne gondoljon többet magáról, mint amennyit kell, ha nem józanul gondolkozzék a hitnek az Istentől adott mértéke szerint.
Rom.12.4 | Amint ugyanis egy testben sok tagunk van, de minden tagnak nem ugyanaz a rendeltetése,
Rom.12.5 | aképen sokan egy test vagyunk a Krisztusban, egyenként pedig egymásnak is tagjai.
Rom.12.6 | Minthogy azért különböző ajándékaink vannak a nekünk adott kegyelem szerint, ha prófétálás, a hit szabálya szerint teljesítsük,
Rom.12.7 | ha szolgálat, a szolgálatban, ha tanító, a tanításban,
Rom.12.8 | "ha intő, az intésben; az adakozó szelídségben, az elöljáró szorgalommal; a könyörülő jókedvvel cselekedje"
Rom.12.9 | A szeretet képmutatás nélkül való legyen. Iszonyodjatok a gonosztól, ragaszkodjatok a jóhoz.
Rom.12.10 | Atyafiúi szeretettei egymás iránt gyengédek, tisztelet adásban egymást megelőzők legyetek. 1
Rom.12.11 | "A jó igyekezetben ne legyetek restek; Lélekben buzgók legyetek, mint akik az Úrnak szolgáltok."
Rom.12.12 | "A reménységben örvendezők, a háborúságban tűrők, az imádkozásban állhatatosak;"
Rom.12.13 | "a szentek szükségeire adakozók legyetek; a vendégszeretetet gyakoroljátok."
Rom.12.14 | Áldjátok üldözőiteket, áldjátok és ne átkozzátok.
Rom.12.15 | Örüljetek az örülőkkel és sírjatok a sírókkal.
Rom.12.16 | "Egymással egyetértésben éljetek; ne kevélykedjetek, hanem az alázatosakhoz szabjátok magatokat. Ne legyetek bölcsek ti magatokban."
Rom.12.17 | Senkinek rosszal rosszért ne fizessetek. A tisztességre legyen gondotok minden ember előtt.
Rom.12.18 | Ha lehetséges, amennyiben rajtatok áll, minden emberrel békességben éljetek.
Rom.12.19 | "Magatokért bosszút ne álljatok, szeretteim, hanem adjatok helyet az Isten haragjának; mert meg van írva: Enyém a bosszúállás, én megfizetek, — ezt mondja az Úr."
Rom.12.20 | "Ha te hát éhezik a te ellenséged, adj ennie; ha szomjazik, adj innia, mert ha ezt cselekszed, eleven szenet gyűjtesz a fejére."
Rom.12.21 | Ne engedd, hogy a gonosz legyőzzön, hanem te győzd le a gonoszt jóval.

Rom.13.1 | Mindenki engedelmeskedjék a felettes hatalmaknak, mert nincs hatalom, csak Istentől s amely hatalmak vannak, azokat Isten rendelte.
Rom.13.2 | "Azért aki ellene támad a hatalomnak, Isten rendelésének támad ellene; akik pedig ez ellen támadnak, önmaguknak szereznek ítéletet."
Rom.13.3 | Mert az elöljáróktól nem kell félnie annak, aki jót cselekszik, hanem csak annak, aki gonoszat cselekszik. Akarod-e pedig, hogy ne kelljen félned a hatalomtól? A jót cselekedd és dicséretet nyersz tőle.
Rom.13.4 | "Mert Isten szolgája ő a te javadra. Ha viszont a rosszat cselek szed, félj, mert nem ok nélkül viseli a fegyvert; mert Isten szolgája, hogy az ő haragjával sújtsa azt, aki gonoszt cselekszik."
Rom.13.5 | Ezért nemcsak a harag elkerülésére, hanem a lelkiismeretért is szükséges engedelmeskedni.
Rom.13.6 | Mert azért fizettek adót is, mivel Isten szolgái azok, akik éppen ebben a tisztükben fáradoznak.
Rom.13.7 | "Adjátok meg tehát mindenkinek, amivel tartoztok: akinek az adóval, az adót; akinek a vámmal, a vámot; akinek a félelemmel, a félelmet; akinek a tisztelettel, a tiszteletet."
Rom.13.8 | Senkinek semmivel ne tartozzatok, csak azzal, hogy egymást szeressétek. Mert aki szereti felebarátját, a törvényt betöltötte.
Rom.13.9 | Mert ez: Ne paráználkodjál, ne ölj, ne lopj, hamis tanú bizonyságot ne szólj, ne kívánd, és ha valami más parancsolat van, ebben az igében foglalható egybe: Szeresd felebarátodat, mint tenmagadat.
Rom.13.10 | Mert a szeretet nem tesz rosszat a felebaráttal. Azért a törvény betöltése a szeretet.
Rom.13.11 | Ezt cselekedjük, mivel tudjuk az időt, hogy itt van már az óra, hogy az álomból felserkenjetek. Mert most közelebb van hozzánk az üdvösség, mint mikor hívőkké lettünk.
Rom.13.12 | Az éjtszaka elmúlt, a nappal pedig elközelgett: vessük le tehát a sötétség cselekedeteit és öltözzük fel a világosság fegyvereit.
Rom.13.13 | "Mint nappal, tisztességben járjunk, nem dobzódásokban és részegségekben, nem bujálkodásokban és feslettségekben, nem civódásban és irigységben;"
Rom.13.14 | hanem öltözzétek fel az Úr Jézus Krisztust és a testet ne tápláljátok bűnös kívánságokra.

Rom.14.1 | A hitben erőtlent fogadjátok be, de ne azért, hogy vélekedéseiről vitatkozzatok.
Rom.14.2 | "Némely ember azt hiszi, hogy mindent megehet; a hitben erőtlen pedig csak főzeléket eszik."
Rom.14.3 | "Aki mindent megeszik, ne nézze le azt, aki nem eszik meg mindent; viszont aki nem eszik meg mindent, ne ítélje meg azt, aki mindent megeszik, mert az Isten őt is befogadta."
Rom.14.4 | Ki vagy te, hogy megítéled a más szolgáját? Tulajdon urának áll vagy esik, de meg fog állani, mert az Úr megerősítheti, hogy megálljon.
Rom.14.5 | "Ez az egyik napot különbnek tartja a másiknál; az pedig minden napot egy formának tart. Minden ember legyen teljesen bizonyos a maga meggyőződése felől."
Rom.14.6 | Aki az egyik napot a másiknál többre tartja, az Úrért teszi. És aki eszik, az Úrért eszik, mert hálát ad az Istennek, és aki nem eszik, az Úrért nem eszik és hálát ad az Istennek.
Rom.14.7 | Mert közülünk senki sem él önmagának és senki sem hal önmagának.
Rom.14.8 | "Mert ha élünk, az Úrnak élünk; ha meghalunk, az Úrnak halunk meg. Ezért akár élünk, akár meg halunk, az Úréi vagyunk."
Rom.14.9 | Mert azért halt meg és elevenedett meg Krisztus, hogy mind holtakon, mind élőkön uralkodjék.
Rom.14.10 | Te pedig miért ítéled meg a te atyádfiát? Te meg miért nézed le a te atyádfiát? Hiszen mindnyájan odaállunk majd Isten ítélőszéke elé.
Rom.14.11 | Mert meg van írva: Élek én, szól az Úr, hogy meg fog előttem hajolni minden térd és minden nyelv az Istent magasztalja.
Rom.14.12 | Azért mindegyikünk maga ad majd számot magáról az Istennek.
Rom.14.13 | Ezért többé ne ítélkezzünk egymás fölött, hanem inkább úgy ítéljetek, hogy ne adjatok okot atyátokfiainak megütközésre vagy megbotránkozásra.
Rom.14.14 | "Tudom és meg vagyok győződve az Úr Jézusban, hogy semmi sem tisztátalan ön magában; hanem bármi annak tisztátalan, aki tisztátalannak tartja azt."
Rom.14.15 | Mert ha a te atyádfia az ételed miatt megszomorodik, többé nem jársz el szeretettel. Ne döntsd romlásba ételeddel azt, akiért Krisztus meg halt.
Rom.14.16 | Ne engedjétek azért, hogy legszentebb javatokat káromolják.
Rom.14.17 | Mert az Isten országa nem evés, nem ivás, hanem igazság, békesség és Szentlélek által való öröm.
Rom.14.18 | Mert aki ebben szolgál Krisztusnak, az kedves Isten előtt és az emberek megbecsülik.
Rom.14.19 | Azért tehát törekedjünk azokra, amik a békességre és egymás építésére valók.
Rom.14.20 | Ne rontsd le az ételért az Isten munkáját. Minden tiszta ugyan, de rossz annak az embernek, aki botránkozással eszik.
Rom.14.21 | "Jó nem enni húst és nem inni bort, sem semmit nem tenni, amiben atyádfia megütközik. (A 21. vers végén egyes kéziratokban még ez olvasható; vagy megbotránkozik vagy erőtelen.)"
Rom.14.22 | A te hitedet őrizd meg Isten előtt magadnak. Boldog, aki nem ítéli el magát abban, amit helyesel.
Rom.14.23 | Aki pedig kételkedik, ha eszik, elítéltetett, mert nem hitből teszi. Ami pedig nincs hitből, bűn az.

Rom.15.1 | Tartozunk pedig mi az erősek, hogy az erőtlenek gyengeségeit hordozzuk és ne magunknak kedvezzünk.
Rom.15.2 | Mindegyikünk tudniillik az ő fele barátjának kedvezzen, annak javára, építésére éljen.
Rom.15.3 | Mert Krisztus sem kedvezett magának, hanem amint meg van írva: Gyalázóid gyalázásai hullottak rám.
Rom.15.4 | Mert mindaz, ami régen megíratott, a mi tanulságunkra íratott meg, hogy állhatatosság által és az Írások vigasztalása által reménységünk legyen.
Rom.15.5 | Az állhatatosság és vigasztalás Istene pedig adja meg nektek, hogy közöttetek egyetértés legyen egymás iránt a Krisztus Jézus szerint,
Rom.15.6 | hogy egy szívvel, egy szájjal dicsőítsétek az Istent és a mi Urunk Jézus Krisztusnak Atyját.
Rom.15.7 | Azért fogadjátok be egy mást, amint Krisztus is be fogadott minket az Isten dicsőségére.
Rom.15.8 | Ezt pedig úgy értem, hogy Krisztus szolgájává lett a zsidóknak, hogy megmutassa az Isten igaz-voltát, és megerősítse az atyáknak tett ígéreteket.
Rom.15.9 | A pogányok pedig irgalmáért dicsőítik az Istent, amint meg van írva: Magasztallak azért téged a pogányok között, és dicséretet éneklek a te nevednek.
Rom.15.10 | És ismét azt mondja: Őrüljetek, ti pogányok, az ő népével együtt.
Rom.15.11 | És ismét: Dicsérjétek az Urat, mind ti pogányok, és magasztalják őt mind a népek.
Rom.15.12 | "Ésaiás pedig így szól: Lesz Isainak sarja, aki fel is kel, hogy uralkodjék a pogányokon; benne reménykednek a pogányok."
Rom.15.13 | A reménység Istene pedig töltsön be titeket minden örömmel és békességgel a hit által, hogy bővölködjetek a reménységben a Szentlélek ereje által.
Rom.15.14 | Meg vagyok pedig győződve magam is felőletek, atyámfiai, hogy telve vagytok minden jósággal, telve minden ismerettel, úgyhogy egymást inteni is tudjátok.
Rom.15.15 | Itt-ott mégis merészebben írtam nektek, atyámfiai, mintegy emlékeztetve titeket arra a kegyelemre, amelyben Isten engem avégre részesített, hogy
Rom.15.16 | a Jézus Krisztus szolgája legyek a pogányok között, így végzem az Isten evangéliumának szent szolgálatát, hogy a pogányok áldozata kedves és a Szentlélek által megszentelt legyen.
Rom.15.17 | Dicsekedhetem tehát a Krisztus Jézusban az Istenért végzett munkámmal.
Rom.15.18 | Mert nem merek semmiről se beszélni, amit nem Krisztus cselekedett volna általam a pogányok megtérítésére, szóval és tettel,
Rom.15.19 | jelek és csodák ereje által, a Lélek ereje által úgyannyira, hogy Jeruzsálemtől és környékétől kezdve Illiriáig betöltöttem a Krisztus evangéliumának szolgálatát.
Rom.15.20 | Becsületbeli dolognak tartottam azonban, hogy az evangéliumot ne hirdessem ott, ahol Krisztus neve már felhangzott, hogy idegen alapra, ne építsek,
Rom.15.21 | "ha nem amint megíratott: Azok látják meg, akiknek ő felőle nem adtak hírt; és akik nem hallották, azok értik meg. (A 21. vers végén egyes kéziratokban még ez olvasható: vagy megbotránkozik vagy erőtelen.)"
Rom.15.22 | Ezért gyakran akadályozva is voltam a hozzátok való menetelben,
Rom.15.23 | most pedig, mivel már nincs munkamezőm e tartományokban és sok esztendő óta vágyódom arra, hogy elmehessek hozzátok,
Rom.15.24 | ha Hispániába utazom, meglátogatlak titeket. Mert remélem, hogy átutazóban meg láthatlak, és ti majd elsegítetek oda, ha előbb valamennyire felüdültem köztetek.
Rom.15.25 | Most pedig Jeruzsálembe indulok a szentek szolgálatára.
Rom.15.26 | Macedónia és Ahája ugyanis jónak látta, hogy némi gyűjtést rendezzenek a jeruzsálemi szentek között levő szegényeknek.
Rom.15.27 | Mert jónak látták és tartoznak is vele. Mert ha a pogányok azok lelki javaiban részesültek, viszont ők is tartoznak nekik szolgálni földi javaikkal.
Rom.15.28 | Ha tehát ezt majd elvégzem, és nekik a gyűjtött összeget átadom, titeket útba ejtve, megyek át Hispániába.
Rom.15.29 | És tudom, hogy mikor hozzátok megyek, Krisztus evangélioma áldásának teljességével érkezem oda.
Rom.15.30 | Kérlek pedig titeket, atyámfiai, a mi Urunk Jézus Krisztusra és a Lélek szeretetére, imádságaitokban tusakodjatok velem együtt énérettem az Isten előtt,
Rom.15.31 | hogy megszabaduljak a hitetlen júdeaiaktól, és hogy a jeruzsálemi szolgálatom kedves legyen a szentek előtt,
Rom.15.32 | hogy örömmel mehessek hozzátok az Isten akaratából és veletek együtt megújuljak
Rom.15.33 | A békességnek Istene pedig legyen mindnyájatokkal. Ámen.

Rom.16.1 | Ajánlom nektek Fébét, a mi testvérünket, aki a kenkreai gyülekezet szolgálóleánya,
Rom.16.2 | hogy fogadjátok őt az Úrban szentekhez illően és legyetek segítségére, ha valami dologban rátok szorul. Mert ő is sokaknak volt a segítője, nekem magamnak is.
Rom.16.3 | Köszöntsétek Priszkát és Akvílát, akik nekem munkatársaim a Krisztus Jézusban,
Rom.16.4 | akik énérettem életüket kockáztatták, akiknek nemcsak én tartozom hálával, hanem a pogányok minden gyülekezete is.
Rom.16.5 | És köszöntsétek azt a gyülekezetet, amely az ő házukban van. Köszöntsétek szeretett Epenétusomat, aki Ázsia tartományában először lett Krisztusban hívővé.
Rom.16.6 | Köszöntsétek Máriát, aki sokat munkálkodott érettetek.
Rom.16.7 | Köszöntsétek Andronikust és Juniást, az én rokonaimat és fogolytársaimat, akiknek jó hírük van az apostolok között s akik nálam is előbb lettek Krisztus híveivé.
Rom.16.8 | Köszöntsétek Ampliátust, akit szeretek az Úrban.
Rom.16.9 | Köszöntsétek Orbánt, munkatársunkat a Krisztusban és az én szeretett Sztáhisomat.
Rom.16.10 | Köszöntsétek Apellest, Krisztus kipróbált hívét. Köszöntsétek az Arisztobulus házanépéből valókat.
Rom.16.11 | Köszöntsétek Heródiont, az én rokonomat. Köszöntsétek a Nárcisszus házanépéből azokat, akik az Úrban vannak.
