2Kgs.1.1 | Elszakada pedig Moáb, Akhábnak halála után, az Izráeltől.
2Kgs.6.13 | Monda a Király: Menjetek el és lássátok meg hol vagyon, hogy reá küldjek és elhozassam őtet. És megjelenték néki mondván: Ám Dótánban vagyon.
2Kgs.6.14 | És külde oda lovakat és szekereket és nagy sereget: kik elmenének éjjel, és körülvevék a várost.
2Kgs.6.15 | Felkelvén pedig jó-reggel az Isten emberének szolgája, kiméne és ímé a seregek körülvették vala a várost, és a lovak és a szekerek. És monda néki az ő szolgája: jaj, jaj, édes uram! mit cselekedjünk?
2Kgs.6.16 | Felele ő: Ne félj. Mert többen vagynak a kik velünk vagynak, hogynem mint a kik ő velek.
2Kgs.6.17 | És könyörge Elizeus, és monda: Óh Uram! nyisd meg kérlek az ő szemeit, és meglátá! és íímé a hogy rakva vala tüzes lovagokkal és szekerekkel Elizeus körül.
2Kgs.6.18 | És mikor azok ő reá alámennének, könyörge Elizeus az Úrnak, mondván: Verd meg, kérlek, ezt anépet vaksággal. És megveré őket vaksággal az Elizeus kívánsága szerint.
2Kgs.6.19 | Monda azért néki Elizeus: Nem ez az út, sem a város: jertek el én utánnam, és ahoz a férjfiúhoz viszlek titeket a kit kerestek. Így vivé őket Samariába.
2Kgs.6.20 | Lőn pedig, mikor bémentek volna Samariába; monda Elizeus: Óh Uram nyisd meg ezeknek szemeiket, hogy láddanak. És megnyitá az Úr az ő szemeiket, és látának; és ímé Samariának közepette valának.
2Kgs.6.21 | Monda pedig az Izráel Királya Elizeusnak, mikor látta volna őket: Levágassam é őket? Levágassam é, édes Atyám?
2Kgs.6.22 | És monda: Ne vágasd. Azokat vágasd le, kiket a te fegyvereddel és kézíveddel fogtál ; sőt inkább tégy kenyeret és vizet eleikbe, hogy egyenek és igyanak, azután menjenek el az ő urokhoz.
2Kgs.6.23 | Készíte azért nékik nagy lakodalmat: és minekutánna ettek és ittak volna, elbocsátá őket. Ők pedig elmenének az ő urokhoz; és többé nem kezdének a Síriabeli seregek az Izráel földére menni.
2Kgs.6.24 | Lőn pedig azután, öszvegyüjté Banhadád Síriának Királya minden seregeit, és felméne és megszállá Samariát.
2Kgs.6.25 | Lőn azért igen nagy éhség Samariában; mert ime mind addig alatta valának a városnak, mígnem egy szamár fejet nyolczvan ezüst garason vennének: és egy véka galambganéjt öt ezüst garason.
2Kgs.6.26 | És lőn mikor az Izráel Királya a kerítésen széllyeljárna, egy asszony kiálta ő hozzá, mondván: Légy segítséggel, uram Király!
2Kgs.6.27 | A Király monda:; Az Úr nem segít meg téged: én pedig mimódon segíthetnélek meg? A szérűről é vagy a sajtóról segéljelek meg?
2Kgs.6.28 | Monda annakfelette néki a Király: Mit akarsz? Monda az: Ez asszony modotta vala nékem: Add ide a te fiadat, hogy együk meg őtet ma, az én fiamat pedig holnap együk meg.
2Kgs.6.29 | Megfőzénk azért az én fiamat és megettük őtet. Másodnap mondék néki: Add ide a te fijadat, hogy azt is együk meg, és ő elrejté az ő fiját.
2Kgs.6.30 | Mikor azért hallotta volna a Király az asszony beszédét; megszaggatá az ő ruháit, mikor a kerítésen előmenne, mellyet mikor a község meglátott volna, ímé zsákruha vala az ő testén belől.
2Kgs.6.31 | És monda a Király: Bátor az Isten így büntessen meg, vagy annál is inkább, ha Elizeusnak a Sáfát fijának feje ma el nem esik!
2Kgs.6.32 | (Elizeus pedig ül vala az ő házában és együtt ülnek vala vele a Vének): És elküldé a Király egy férjfiat elől; minekelőtte pedig hozzá jutott volna a követ, monda Elizeus a Véneknek: Látjátok é hogy ide küldött a gyilkosnak fija, hogy fejemet vétesse? Lássátok meg, hogy mikor eljövénd a követ, zárjátok bé az ajtót, és szorítsátok meg őtet az ajtóban: Avagy nem az ő ura lábainak csúszogása vagyon é ő utánna.
2Kgs.6.33 | Mikor még velek beszélne, ímé a követ alámegyen hozzá, és monda: Ímé e veszedelem az Úrtól vagyon, miért várnám tovább az Urat.

2Kgs.7.1 | Monda pedig Elizeus: halljátok meg az Úrnak beszédét. ezt mondja az Úr: Holnap illyenkor egy köböl zsemlyelisztet veszenk egy sikluson; és két köböl árpát egy sikluson, Samariának kapujában.
2Kgs.7.2 | És felelvén egy Főember, kinek kezéhez támaszkodik vala a Király, az Isten emberének monda: Ímé ha az Úr ablakokat csinálna is az égen, valyon meglehetne é ez? És monda Elizeus: Ímé te szemeiddel meglátod, de nem eszel benne.
2Kgs.7.3 | Valának pedig négy bélpoklos férjfiaak a kapu előtt, kik egymásnak mondának: Miért maradunk itt, hogy meghaljunk éhen?
2Kgs.7.4 | Ha azt végezzük, hogy a városba bémenjünk, éhség vagyon a városban, és ott meghalunk; ha pedig itt maradunk, úgy is meghalunk. Jertek el azért, szökjünk el a Siriabeliek táborokba, ha életünket megengedik, éljünk, ha pedig megölne, haljunk meg.
2Kgs.7.5 | Felekének azért viradta előtt, hogy a Siriabeliek táborának széléig, és ímé nem vala ott senki.
2Kgs.7.6 | Mert az Úr azt cselekedte vala, hogy a Siriabelieknek táborok hallana szekereknek zörgését és lovak lábainak dobogását, azaz, nagy seregnek ropogását; és mondának egymásnak: Ímé az Izráel Királya bérben fogatta meg ellnünk a Hitteusok Királyit és az Égyiptombeliek Királyit, hogy reánk jönnének.
2Kgs.7.7 | És felkelvén; elfutának bésetétüléskor: és elhagyák mind sátoraikat, mind lovaikat, mind szamaraikat (a mint a tábor vala,) és elfutának, hogy életeket megtarthatnák.
2Kgs.7.8 | Mikor azért a bélpoklosok a táboron mind végig mentek volna, menvén eg sátorba, evének és ivának, és elvinének onnét ezüstöt, aranyat és ruhákat, és elmenvén elrejték azokat: és megtérvén más sátorba menének bé, és abból is hozának, és elmenvén elrejték.
2Kgs.7.9 | Mondának pedig egymásnak: Nem igazán cselekeszünk; ez a mai nap örömmondásnak napja, és mi hallgatunk é? Ha mi viradtát várjuk, e hamisságért megbüntetnek: most azért jertek, menjünk el és tegyük hírré a Király házában.
2Kgs.7.10 | Elmenének annakokáért, és kiáltának a váos kapunállójának, és hirré tevék nékik, modván: Elmentünk vala a Siriabelieknek táborokba és ímé nem vala ott sneki: embereknek szava sem hallatik, hanem csak a lovak és szamarak vagynak kötve, és a sátorok a képen vagynak, a mint elhagyták.
2Kgs.7.11 | Kiáltának azért a kapunállók, és hírré tevék ottben a Király házában.
2Kgs.7.12 | És felkele éjszaka a Király, és monda az ő szolgáinak: Megmondom néktek, mit végeztek felőlünk a Siriabeliek: Tudják, hogy éhek vagyunk, ezokáért mentek ki a táborból hogy elrejtezzenek a mezőn, mondván: Mikor kijövéndenek a városból, fogjuk meg ugyan elevenen őket, és menjünk bé a városba.
2Kgs.7.13 | Akkor felele egy az ő szolgái közzűl, és monda: Válasszanak öt ovakat azok közzűl, mellyek maradtak a városban (mivelhogy azok szinte úgy éheznek mit az Izráelnek sokasága, melly megmaradott a városban, azok, mondom, szinte úgy vagynak, mint az Izráelnek sokasága melly immár megemésztetett,) és küldjünk el, hogy lássák meg, ha így vagyon.
2Kgs.7.14 | Választának azért két szekeres lovakat, mellyeken két szolgáit elküldé a Király a Siriabeliek táborok után, mondván: Menjetek el és lássátok meg.
2Kgs.7.15 | És elmenvén azok, utánnok menének mind a Jordánig, és ímé az egész út rakva vala ruhákkal, edényekkel, mellyeket a Siriabeliek elhánytak vala a sietség miatt: megtérvén azért a követek, megmondák a Királynak.
2Kgs.7.16 | És kimenvén a nép, zsákmányt vete a Siriabeliek táborában: és egy köböl zsemlyelisztt egy sikluson vesznek vala, és két köböl árpát egy sikluson, az Úrnak beszéde szerint.
2Kgs.7.17 | A Király pedig hagyta vala a kapun ama Főembert, kinek kezéhez szokott vala támaszkodni, és eltapodá a nép őtet a kapuban, és meghala, a mit megmondotta vala az Isten embere: a ki ezt megmondotta vala, mikor a Király aláment volna hozzá.
2Kgs.7.18 | A képen lőn, mondom, a mint az Isten embere a Királynak megmondotta vala: Két köböl árpát egy sikluson adnak és egy köböl zsemlyelisztet egy sikluson, holnap illyenkor Samariának kapujában.
2Kgs.7.19 | És ezt felelte vala a Főember az Isten emberének, mondván: Ha az Úr ablakokat csinálna is az égen, valyon meglehetne é ez? és ő azt mondotta vala: Ímé te meglátod szemeiddel, de abban nem eszel.
2Kgs.7.20 | Úgy lőn azért néki: mert eltapodá őtet a nép a kapuban, és meghala.

2Kgs.8.1 | Elizeus pedig szóla annak az asszonynak, kinek fiját feltámasztotta vala, mondván: Kelj fel és menj el a te házadnépével egyetembe, és menj olly helyre, a hol megmaradhass; mert az Úr éhséget hívott e földre, és el is jő hét esztendeig.
2Kgs.8.2 | Felkele azért az asszony, és az Istn emberének beszéde szerint cselekedék: mert elméne az ő cselédjével együtt; és lakék a Filiszteusok földében hét esztendeig.
2Kgs.8.3 | Lőn pedig hét esztendő elmulva, megtére az asszony a Filiszteusok földéből, és kiméne, hogy panaszolkodnék a Királynak az ő házáért és szántóföldeiért.
2Kgs.8.4 | A Király pedig szóla Géházinak, az Isten embere szolgájának, mondván: Beszéld meg, kérlek, nékem mind azokat a csudálatos dolgokat, mellyeket Elizeus cselekedett.
2Kgs.8.5 | És mikor beszélené a Királynak, mimódon feltámasztotta vona a halottat, ímé az asszony, kinek a gyermekét feltámasztotta vala, kiált vala a Királyra az ő házáért és szőntóföldeiért; és monda Gézáhi: Uram Király; ez az asszony és ez az ő fija, kit feltámasztott Elizeus.
2Kgs.8.6 | Akkor megkérdé a Király az asszonyt, ki megbeszélé néki: és ada a Király ő mellé egy udvari szolgát, mondván: Adasd meg néki minden jószágát és a szántóföldnek minden hasznát az időtől fogva, mellyben elment vona, mind ez ideig valót.
2Kgs.8.7 | Annakutánna méne Elizeus Damaskusba: Benhadád pedig a Siriabeli Király beteg vala, és hírré tevék néki, mondván: Az Isten embere ide jött.
2Kgs.8.8 | És monda a Király Hazáelnek: Végy ajándékot kezedbe, és menj eleibe az Isten emberének, és kérdj tanácsot az Úrtól ő általa, mondván: Meggyógyulok é ebből a betegségből?
2Kgs.8.9 | Eleibe méne azért Házael, és ajándékokat viszen vala kezében Damaskusbeli mindenféle drága marhából negyven tevék terhét; és elméne, és megálla előtte, és monda: A te fijad Benhadád a Siriabeli Király külde engemet hozzád, mondván: Valyon meggyógyulok é ebből a betegségből?
2Kgs.8.10 | Felele néki Elizeus: Menj el mond meg néki: Minden kétség nélkűl meggyógyulhatnál; de megjelentette nékem az Úr, hogy ő meghal.
2Kgs.8.11 | És jólleheet magát megtartóztatná és megmértéklené sok ideig, mind azáltal végre síra az Isten embere.
2Kgs.8.12 | És monda Hazáel: Miért sír az én uram? Felele: Mert tudom a veszedelmet, mellyet cselekeszel az Izráel fijain: Az ő erős városait megégeted, az ő ifjait fegyverrel levágatod, és kis gyermekeit a földhöz vered, és terhes asszonyait ketté vágod.
2Kgs.8.13 | És monda Házael: Micsoda eb volna a te szolgád, hogy illyen nagy dolgot cselekednék? Felele Elizeus: Megjelentette nékem az Úr, hogy te lészesz Siirának Királya.
2Kgs.8.14 | És elméne Elizeustól, és méne az ő urához, és az monda néki: Mit monda néked Elizeus? és monda; Ezt mondá nékem, hogy meggyógyulsz.
2Kgs.8.15 | Lőn pedig másodnapon, vőn valami temérdek ruhát és bémártván azt vízbe, teríté az ő orczájára, és meghala; és uralkodék Hazáel ő helyette.
2Kgs.8.16 | Jórámnak pedig Akháb fijának az Izráel Királyának ötödik esztendejében, mikor Jósafát volna Júdának Királya, uralkodni kezde Jórám a Jósafát fija, Júdának Királya.
2Kgs.8.17 | Harminczkét esztendős vala mikor uralkodni kezde: és nyolcz ezstendeig uralkodék Jérusálemben.
2Kgs.8.18 | És jára az Izráel Királyainak útjokon, a miképen cselekedtek vala az Akháb házából valók: mert az Akháb leánya vala néki felesége, és gonoszúl cselekedék az Úrnak szemei előtt.
2Kgs.8.19 | Nem akará mindazálta az Úr elveszteni Júda országát, Dávidért az ő szolgájáért: a miképen meegigérte vala néki, hogy szövétneket adna néki és az ő fijának mind örökké.
2Kgs.8.20 | Az ő idejében szakada el Edom a Júda birodalmától; és Királyt emeléken magoknak.
2Kgs.8.21 | Általméne azért Jórám Seirbe minden szekereivel; és mikor éjjel felkelt volna, és megverte volna az Edombelieket, kikkörűlvették volna őtet, és a szekereknek Fejedelmeit, elfuta a nép kiki az ő hajlékába.
2Kgs.8.22 | Ismét elszakada Edom a Júda birodalmától mind e mai napig; ugyanazon időben elszakada Libna is.
2Kgs.8.23 | Jórámnak pedig több dolgai és minden cselekedetei nemde nincsenek é megírva a Júda Királyainak dolga felől való Krónika könyvben?
2Kgs.8.24 | És elaluvék Jórám az ő attyaival, és eltemetteték az ő attyaival Dávidnak városában; és uralkodék Akházia az ő fija ő helyette.
2Kgs.8.25 | Jórámnak Akhábnak az Izráel Királya fijának tizenkettődik esztendejében kezde uralkodni Akházia, Jórámnak a Júdabeli Királynak fija.
2Kgs.8.26 | Huszonkét esztendős vala Akházia, mikor uralkodni kezdett, és esztendeig uralkodott Jérusálemben: az ő annyának neve Athália vala, Omrinak az Izráelbeli Királynak leánya.
2Kgs.8.27 | Jára pedig az Akháb házának útán és gonoszúl cselekedék az Úr szemei előtt mind az Akháb háza: mert az Akháb házának veje vala.
2Kgs.8.28 | Hadba is méne Jórámmal az Akháb fijával, a Siriabeli Király Hazáel ellen, Rémóth Gileádba, és a Siriabeliek Jórámot megsebesitették.
2Kgs.8.29 | Annakokáért megtére Jórám Király, hogy meggyógyíttatná magát Jezréelben a sebekből, mellyeket rajta tettek vala a Siriabeliek ráma altt, mikor harczolna Hazáel ellen, a Siriabeli Király ellen. Akházia pedig Jórámnak fija, a Júdabeli Király aláméne, hogy meglátogatná Jórámot Akhábnak fiját Jezréelben, mivelhogy beteg vala.

2Kgs.9.1 | Elzeus Próféta pedig szólíta eget a Próféták fijai közzűl, és monda néki: Övezd fel derekadat, és vedd kezedbe e korsócska olajt, és menj el Rámóth Gileádba.
2Kgs.9.2 | És menj bé oda, és lásd meg hol vagyon Jéhu, Jósafátnak a Nimsi fijának fija. Mikor pedig oda jutándasz, költsd fel őtet az ő attyafiai közzűl, és vidd bé a belső kamarába.
2Kgs.9.3 | Akkor vedd elő e korsócska olajt, és töltsd fejére ezt mondván: Ezt mondja az Úr: Tégedet kentelek Királlyá Izráelen; és az ajtot megnyitván fuss el, és semmit ott ne mulass.
2Kgs.9.4 | Elméne azért az ifjú a Prófétának tanítványa Rámóth Gileádba.
2Kgs.9.5 | Ki mikor bément volna, ímé a seregeknek Fejedelmei veszteg ülnek vala, akkor monda: Beszédem vagyon veled, óh Fejedelem! És monda Jéhu: Kivel vagyon beszéded mindnyájunk közzűl? És monda: Te veled, óh Fejedelem!
2Kgs.9.6 | Felkele azért és béméne a házba, és fejére tölté az olajt, és monda néki: Ezt mondja az Izráelnek Ura Istene: Királlyá kentelek téged az Úrnak népén az Izráelen;
2Kgs.9.7 | Hogy elveszessed Akhábnak a te uradnak háznépét: mert bosszút álok az én szolgáimnak a Prófétáknak vérekért és mind az Úr szolgáinak vérekért Jézabelen.
2Kgs.9.8 | És elvész egészen Akhábnak háza és kigyomlálom mind az Akhábhoz tartozókat, még a falra hugyozót is, mind a bérekesztettet mind az elhagyattat Izráelben:
2Kgs.9.9 | És ollyaná teszem az Akháb házát mint Jéroboámnak a Nébát fijának házát; és mint Baásának az Ahia fijának házát.
2Kgs.9.10 | Jézabelt pedig az ebek eszik meg Jezréelnek mezején: és nem lészen ki eltemsse őtet. És megnyitván az ajtót, elfuta.
2Kgs.9.11 | Jéhu pedig kijöve az ő Urának szolgáihoz és mondának néki: Békességes é a dolog? Miért jött e bolond te hozzád? Felele nékik: Ti emséritek e férjfiat és tudjátok az ő beszédét.
2Kgs.9.12 | És mondának: Nincs abban semmi! Jelentsd meg, kérlek, nékünk. Monda ő: Így s így szóla nékem, mondván: Ezt mondja az Úr: Királlyá kentelek téged Izráelen.
2Kgs.9.13 | Azért nagy sietséggel kiki mind ragadá az ő ruháját, és alá helyhezteték a grádicsnak felső részére, és trombitát fúvának, mondván: Jéhu uralkodik!
2Kgs.9.14 | Pártot üte azért Jéhu, Jósafátnak a Nimsi fijának fija, Jórám ellen, (Jórám pedig megszállotta vala rámóth Gileádot az egész Izráellel, Hazáel ellen a Siriabeli Király ellen.
2Kgs.9.15 | És megtért vala Jórám Király, hogy magát meggyógyittatná Jezréelben a sebekből, mellyeket tettek vala rajta a Siriabeliek, mikor Hazáel ellen a Siriabeli Király ellen harczolna) és monda Jéhu: Ha tetszik néktek, ne hagyjatok senkit kimenni a városból, ki elemenjen és hírré tegye ezt Jezréelben.
2Kgs.9.16 | És felüle Jéhu és elméne Jezréelbe, mert ott fekszik vala Jórám: Akházia is a Júda Királya aláment vala, hogy meglátogatná Jórámot.
2Kgs.9.17 | Az őrálló pedig, a ki Jezréelben a tornyon áll vala, mikor látná a Jéhu seregét, hogy jőne, monda: Valami sereget látok. És monda Jórám: Válassz egy lovagot és küldj eleikbe, és mondja ezt: Békességes é a dolog?
2Kgs.9.18 | Elméne azért a lovag Jéhu eleibe és monda: Azt kérdi a Király: Békességes és a dolog? Felele Jéhu: Mi gondof vagyon a békességgel? Kerülj hátam megé. Megjelenté pedig ezt az őrálló, mondván: Szinte hozzájok méne a követ, de nem tért vissza.
2Kgs.9.19 | Elküldé azért más lovagot is, ki hozzájok méne, és mona: Azt kérdi a Király: Békességes é a dolog: Felele Jéhu: Mi gondod vagyon a békességgel? kerülj hátam megé.
2Kgs.9.20 | Hírré tevé azért az őrálló, mondván: szinte hozzájok méne, de vissza nem tért. Az ő járása szinte ollyan, mint Jéhunak a Nimsi fijának járása; mert nagy sebbel jár.
2Kgs.9.21 | Akkor monda Jórám: Fogd bé a lovakat. Béfogák azért a lovakat, és kiméne Jórám az Izráel Királya és Akházia a Júda Királya: Kiki mind az ő szekerében kimenének, mondom, Jéhu eleibe, és előtalálák őtet a Jezréelbeli Nábótnak mezejében.
2Kgs.9.22 | Mikor pedig meglátta volna Jórám Jéhut, monda: Békességes é a dolog, Jéhu? Felele ő: Micsoda békesség, holott mégis Jézabelnek a te anyádnak paráznaságai és varázslásai felette igen sokak?
2Kgs.9.23 | Hamarsággal azért megtérité Jórám az ő kezét és futni kezde, és monda Akháziának: Árultatás ez Akházia!
2Kgs.9.24 | Jéhu pedig meghúzván az ívet, Jórámot hátba lövé a hát lapoczkák között, és általméne a nyíl a szívén; és ledűle a szekérben.
2Kgs.9.25 | Monda pedig Bidkárnak az ő Hadnagyának: Fogjad őtet és vessed a Jezréelbeli Nábótnak mezejére: mert jusson eszedbe, hogy egyszer ketten Akháb után az ő attya után megyünk vala lovon egyebekkel egybe; kik fők valának, és az Úr illyen jövendőt monda ő ellene.
2Kgs.9.26 | Ne éljek, ha a Nábót vérét és az ő fijainak véreket, mellyet tegnap estve láttam, meg nem keresem, azt mondja az Úr: Azokáért megfizetek néked ezena szántóföldön, azt mondja az Úr: Most azért fogjad őtet és vesd a szántóföldre, az Úrnak beszéde szerint.
2Kgs.9.27 | Akházia pedig Júdának Királya mikor látta volna, futni kezde a kert házának útán; és utánna menvén Jéhu monda: Ezt is vágjátok le a szekérben, és megsebesíték őtet, Gúrnak hágójánál, melly Jibleám mellett vagyon: és Megiddóba szaladván, ott meghala.
2Kgs.9.28 | És az ő szolgái elvivék őtet szekrén Jérusálembe, és eltemeték az ő koporsójában az ő attyaival, Dávidnak városában.
2Kgs.9.29 | Akházia pedig uralkodni kezdett vala Júdában, Jórámnak az Akháb fijának tizenegyedik esztendejében.
2Kgs.9.30 | Méne azért Jéhu Jezréelbe; Jézabel pedig mikor meghallotta volna, megékesíté kenettel orczáját, megékesíté fejét is, és az ablakról néz vala alá.
2Kgs.9.31 | És mikor Jéhu bémenne a kapun, ama monda: Békességes éa te jöveteled, óh Zimri, uradnak gyilkosa?
2Kgs.9.32 | Ő pedig feltkeintvén az ablakra: monda: Kicsoda vagoyn ott, a ki velem tartja? kicsoda? És alátekinte két vagy három Főember.
2Kgs.9.33 | És monda azoknak: Vessétek alá őtet. És aláveték: és az ő véréből mind a falra, mind a lovakra fecskendezék; és eltapodtatá őtet.
2Kgs.9.34 | Bémenvén pedig oda, evék és ivék, és monda: Lássátok meg amaz átkoztat, és temessétek el; mert Király leánya.
2Kgs.9.35 | Elmenvén azért, hogy eltemetnék őtet, semmit benne meg nem találának, hanem csak a feje kaponyáját, a lábaival és kezeivel egybe.
2Kgs.9.36 | És megtérvén megmondák néki, és monda: Ez az Úrnak beszéde, mellyet szólott vala az ő szolgája Thesbites Illyés által, mondván: Az ebek eszik meg Jézabelnek testét, Jezréelnek földén.
2Kgs.9.37 | És ollyan lészen a Jézabel teste, mint a mezőben való ganéj Jezréel földén annyira hogy senki nem mondhatja: Ez a Jézabel!

2Kgs.10.1 | Valának pedig Akhábnak hetven fijai Samariában, és levelet ira Jéhu, és elküldé Samariába Jezréelnek Fejedelmeihez, a Vénekhez és az Akháb fijainak Tútoraihoz illyen parancsolattal:
2Kgs.10.2 | Most azért mihelyt e levél hozzátok jut, mivelhogy veletek vagynak a ti uratoknak fijai a szekerekkel, lovakkal, az erős várossal és fegyverekkel egybe.
2Kgs.10.3 | Lássátok meg, a ki jobb és a ki inkább tetszik a ti uratoknak fijai közzűl néktek, és ültessétek azt az ő attyának királyiszékibe: és hadakozzatok a ti uratoknak házáért.
2Kgs.10.4 | Kik megreettenének felette igen, és mondának: ímé két Királyok ő előtte meg nem maradhattak, mi azért mimódon maradhatunk meg.
2Kgs.10.5 | Elküldének annakokáért mind a Király házának, mind a városnak Fejedelmei, és azok a Vének és a Tútorok Jéhuhoz, mondván: Te szolgáid vagyunk mi, azért valamit parancsolsz nékünk, azt cselekesszük: Mi senkit Királlyá nem teszünk, a mi néked tetszik azt cselekedjed!
2Kgs.10.6 | Íra azért nékik levelet másodszor is, mondván: Ha velem tartjátok és az én beszédemnek engedtek, szedjétek fejeket a férjfiaknak a ti uratok fijainak, és jöjjetek hozzám holnap illyenkor Jezréelbe. A Király fijai pedig a hetven férjfiak valának a városnak fő-fő polgárainál, kik azokat nevelik vala.
2Kgs.10.7 | És mikor a levél hozzájok jutott vona, fogák a Király fijait, és megölék a hetven férjfiakat, és az ő fejeket kosárba rakák, és ő hozzá küldék Jezréelbe.
2Kgs.10.8 | Elméne pedig a követ, ki megjelenté néki, mondván: Elhozták a Király fijainak fejeiket, és monda: Rakjátok két rakásba azokat a kapu előtt reggelig.
2Kgs.10.9 | És mikor reggel kiment olna, megálla, és monda az egész népnek: Igazak vagyok ti: Ímé én ütöttem pártot az én Uram ellen és megöltem őtet: mert ki ölte volna meg mind ezeket.
2Kgs.10.10 | Vegyétek esztekbe ebből azért, hogy semi el nem ulik hijába az Úrnak beszédében, mellyet az Úr szólott Akháb háza ellen; de véghezvivé az Úr, a mit megmondotta z ő szolgája Illyés által.
2Kgs.10.11 | Azután levágá Jéhu mind azokat, kik megmaradtak vala Akhábnak házából Jezréelben és minden Főembereit, minden rokonságait, és minden Papjait, míglen semmi maradékát nem hagyá:
2Kgs.10.12 | Mert felkelvén elindula és méne Samariába: és mikor a pásztoroknak juhnyíró házok mellé jutott volna az úton:
2Kgs.10.13 | Előtalálá Jéhu Akháziának a Júda Királyának attyafiait, és monda: Kicsodák vagytok? Felelének azok: Akháziának attyafiai vagyunk, és alájöttünk hogy a Királyt és a Királynéasszony fijait köszöntenénk.
2Kgs.10.14 | És monda: Fogjátok meg őket elevenen. És megfogák őket elevenen, és megölék őket a juhnyíró háznak kútja mellett, tudniillik negyvenkét férjfiakat, és senkit meg nem hagya közzűlök.
2Kgs.10.15 | Annakutánna elméne onnét és előtalálá Jónadábot a Rekháb fiját, kinek köszönne, és monda néki: A vagy nem ollyan szíved szerint szeretsz é te engem mint én téged? Felele Jónadáb: Úgy szeretlek. És monda: Adjad kezedet tehát. És néki nyutá kezét, és felülteté őtet maga mellé a szekérbe.
2Kgs.10.16 | És monda néki: Jer velem, és lásd meg, mint állok bosszút az Úrért. Felülteté, mondom, őtet a szekérbe.
2Kgs.10.17 | És juta Samariába, és levágá mind azokat, kik az Akháb nemzetségéből megmaradtak vala Samairában, mígnem mind elveszté azt az Úrnak beszéde szerint, mellyet szólott vala Illyésnek.
2Kgs.10.18 | Öszvegyüjté pedig Jéhu az egész népet, és monda néki: Akháb kevéssé szolgálta a Baált: Jéhu sokkal jobban szolgálja.
2Kgs.10.19 | Most azért a Baálnak minden Próféáit, minden Papjait és minden szolgáit hívjátok hozzám, senki el ne maradjon; mert nagy áldozatot akarok tenni a Baálnak: Valaki elmarad, meg kell halni annak. Jéhu pedig ezt álnoksággal cselekeszi vala, hogy elvesztené a Baál tisztelőit.
2Kgs.10.20 | És monda Jéhu: Tegyetek gyülést a Baálnak. És gyülést tőnnek.
2Kgs.10.21 | Elkülde annakfelette Jéhu egész Izráelbe, és eljövének mind a Baál tisztelői, és senki el nem marada, a ki el nem jött volna; és bémenének a Baál templomába, és megtelék a Baál temploma mindenestől.
2Kgs.10.22 | Akkor monda annak, ki a ruhákkal bír vala: Hozz ruhákat ki mind a Baál tisztelőinek. És hoza nékik ruhákat.
2Kgs.10.23 | Annakutánna béméne Jéhu és Jónadáb Rékábnak fija a Baál templomába, és monda a Baál tisztelőinek: Tudakozzátok meg, és lássátok meg jól, hogy valamiképen ne legyen itt veletek az Úr szolgái közzűl valaki, hanem csak a Baál tisztelői.
2Kgs.10.24 | Bémenének, mondom, hogy ajándékokkal és égőáldozatokkal áldoznánka; Jéhu pedig szerzett vala magának kivűl nyolczvan férjfiakat, kiknek ezt mondotta vala: Ha valaki egyet elszalasztánd az emberek közzűl kiket én kezetekbe aok, annak meg kell érette halni.
2Kgs.10.25 | Mikor pedig elvégezték volna az égőáldozatot, monda Jéhu a vitézeknek és Hadnagyoknak: Menejetek bé, vágjátok le őket, csak egy is bennek ki ne szaladjon. És levágák őket éles fegyverrel és elhányák az ő hottesteket a vitézek és a hadnagyok. Azután eljárák mind a Baál templomának városát.
2Kgs.10.26 | És kihordván a Baál templomának bálványait, megégeték azokat.
2Kgs.10.27 | Leronták a Baálnak képét is mint templomostól, és azt kamaraszékké csinálák mind e mai napig.
2Kgs.10.28 | Kiveszté azért Jéhu a Baált Izráelből.
2Kgs.10.29 | De mindazáltal Jéroboámnak, a Nébát fijának bűneitől, ki vétekbe ejté az Izráelt, el nem szakada Jéhu; tudniillik az arany borjuktól, mellyek Béthelben és Dánban valának.
2Kgs.10.30 | Monda azért az Úr Jéhunak: Mivelhogy szorgalmatosan megcselekedted azt, a mi nékem tetszett, és az én szívemnek kivánsága szerint cselekedtél az Akháb házával: a te fijaid negyedízig ülnek az Izráel királyiszékiben.
2Kgs.10.31 | Jéhu pedig nem igyekezék azon, hogy az Izráel Urának Isstenének törvényében járna teljes szívéből, és el nem szakada Jéróboám bűneitől, ki bűnbe ejté az Izráelt.
2Kgs.10.32 | Abban az időben kezde az Úr pusztítani Izráelben: és megveré őket Hazáel Izráelnek minden határában,
2Kgs.10.33 | A Jordán vízétől fogva napkelet felé, a Gileádbelieknek, a Gád nemzetségének, a Rőben nemzetségének, Manasse nemzetségének egész földöket; Aróertől fogva, (melly az Arnon patak mellett vagyon) mind Gileádot, mind Básánt.
2Kgs.10.34 | Jéhunak több dolgai pedig és minden cselekedetei, és minden erőssége, nemde níncsenek é megírva az Izráel Királyainak dolgaik felől való Krónika könyvben.
2Kgs.10.35 | És elaluvék Jéhu az ő attyaival, és eltemeték őtet Samariában. És uralkodék Joákház az ő fija helyette.
2Kgs.10.36 | A napok pedig, mellyekben uralkodott Jéhu Izráelen Samariában, huszonnyolcz esztendőt tésznek.

2Kgs.11.1 | Athália pedig Akháziának annya, látván, hogy megholt vala az ő fija, felkele és megölé mind a királyi magot.
