Acts.1.1 | Az első könyvemet irtam Theófile, mind azokról a mellyeket Jézus kezdett cselekedni és tanitani,
Acts.6.11 | Akkor rendelének valmai embereket, kik azt mondanák, hogy ők hallották ő tőle káromló beszédeket Mózes ellen, és az Isten ellen.
Acts.6.12 | És felzenditék a községet, a Véneket, és az Írástudókat, és őtet megsarkalván megfogák, és vivék a Tanácsházba.
Acts.6.13 | És állatának hamis tanúkat, kik ezt mondának: Ez ember nem szünik meg káromló beszédeket szólni e szent hely ellen és az Isten törvénye ellen.
Acts.6.14 | Mert hallottuk tőle e mondást, hogy ama Názáretbeli Jézus ezt a helyet elrontja, és elváltoztatja a czeremóniákat, mellyeket adott nékünk Mózes.
Acts.6.15 | Akkor az ő szemeiket reá vetném, mindenek kik a tanácsban valának, láták hogy ollyan volna az ő orczája, mint az Isten Angyalának orczája.

Acts.7.1 | Monda pedig a Főpap: Ugy vagynak é tehát ezek?
Acts.7.2 | Ő pedig monda: Férjfiak atyámfiai és Atyák halljátok meg: A dicsőségnek Istene megjelenék a mi atyánknak Ábrahámnak, mikor Mésopotámiában volna, minekelőtte laknék Kárránban.
Acts.7.3 | És monda néki: Eredj ki a te földedből, a te nemzetséged közzűl, és menj el arra a földre, a mellyet megmondok néked.
Acts.7.4 | Akkor kiméne a Káldeusok földökből és lakozék Kárránban. És onnét minekutánna megholt az ő attya, kihozta őtet e földre, a mellyen ti most laktok.
Acts.7.5 | És nem adott néki abban örökséget, csak egy lábnyomnyit is, jóllehet igérte vala, hogy azt néki adná örökségűl, és az ő magvának ő utánna, holott magzatja nem volna.
Acts.7.6 | Az Isten pedig igy szólott vala: A te magod zsellér lészen az idegen földön, hol szolgálat alá vettetik és nyomorgattatik négyszáz esztendeig.
Acts.7.7 | De azt a népet, a mellynek szolgálni fognak, én megbüntetem, ezt mondja az Isten, és azután kijőnek, és szolgálnak nékem ez helyen.
Acts.7.8 | És adta nékik a körűlmetélkedésnek szövetségét; és e képen Ábrahám nemzé Izsákot, és azt körűlmetélé nyolczanapon: Izsák pedig nemzé Jákóbot, és Jákób a tizenkét Pátriárkákat.
Acts.7.9 | A Pátriárkák pedig irigységből indittatván, Józsefet eladák Égyiptomba, de Isten vala ő vele.
Acts.7.10 | És megszabaditá őtet minden nyomorúságiból, és ada néki kedvet és bölcseséget Faraó előtt az Égyiptombeli Király előtt, ki őtet Égyiptomon és az ő egész házán Fejedelemmé tevé.
Acts.7.11 | Következék pedig nagy éhség egész Égyiptomra és Kanaán földére, és nag nyomorusá, és nem találnak vala eledelt a mi atyáink.
Acts.7.12 | Mikor hallotta volna pedig Jákób, hogy Égyiptomban gabona volna, elküldé először a mi atyáinkat.
Acts.7.13 | És a második bémenetelekben megesmérék az ő attyafiai Józsefet, és Faraó megtudá a József nemzetségét.
Acts.7.14 | És József elküldvén hivatá az ő attyát Jákóbot és minden nemzetségét, mintegy hetvenöt embert.
Acts.7.15 | Elméne azért Jákób Égyiptomba, és meghala ő és a mi atyáink.
Acts.7.16 | Kik elvitetének Sikembe, és helyheztetének a koporsóban, mellyet Ábrahám vett vala ezüstpénzen az Emmor fijaitól, ki Sikem fija vala.
Acts.7.17 | Mikor pedig elközelgetne az igéretnek ideje, melléyrt Isten megesküdt vala Ábrahámnak, megnevekedék a nép és megsokasodék Égyiptomban.
Acts.7.18 | Mind addig mignem más Király támada, ki nem esméri vala Józsefet.
Acts.7.19 | És a mi nemzetségünket álnoksággal körűlvevén, a mi atyáinkat nyomorgatta, úgy hogy az ő gyermekeiket is elhánynák, hogy meg ne szaporodnának.
Acts.7.20 | Akkor születék Mózes, ki Istentől szép ábrázattal felékesittetett volt, és tartatott az ő attya házában három hónapig.
Acts.7.21 | És mikor azt elvetették volna, a Faraó leánya felvevé és feltartá azt fija gyanánt.
Acts.7.22 | És Mózes tanittaték az Égyiptombelieknek minden bölcseségekre, és hatalmas vala beszédben és cselekedetben.
Acts.7.23 | Mikor pedig negyven esztendős volna Mózes, gondolá szivében hogy meglátogatná az ő attyafiait az Izráel fijait.
Acts.7.24 | És mikor látná, hogy egy Zsidó bosszúsággal illettetnék, megoltalmazá azt, és az Égyiptombeli embert megölvén, bosszút álla azért, a ki bosszúsággal illettetik vala.
Acts.7.25 | Azt állitja vala pedig, hogy az ő attyafiai értik, hogy az Isten az ő keze által adna nékik szabadulást; de azok nem értik vala.
Acts.7.26 | Másodnapon ismét hozzájok méne, mikor azok egybevesztek volna, és inti vala azokat békességre, ezt mondván: Férjfiak, atyafiak vagytok ti, miért illetitek egymást bosszúsággal.
Acts.7.27 | Az pedig ki az ő felebarátját bosszúsággal illeti vala, semmit nem gondola Mózessel, ezt mondván: Ki tett téged Fejedelemmé és Biróvá mi rajtunk?
Acts.7.28 | Nemde meg akarsz-é te engemet ölni, miképen tegnap megöléd az Égyiptombeli embert?
Acts.7.29 | E beszédre pedig Mózes elfuta, és lőn jövevény a Mádián földén, a hol két fijai születének.
Acts.7.30 | Negyven esztendő pedig eltelvén, megjelenék néki a Sinai hegynek pusztájában az Úrnak Angyala, a csipkebokornak tüzes lángjában.
Acts.7.31 | Mózes pedig mikor azt látta volna, csudálkozék a látáson: és mikor oda menne hogy azt meglátná, lőn az Úrnak szava ő hozzá, ezt mondván:
Acts.7.32 | Én vagyok a te Atyáidnak amaz Istenek, Ábrahámnak Istene, Izsáknak Istene és Jákóbnak Istene: Mózes pedig megrémülvén nem meri vala nézni.
Acts.7.33 | Monda pedig néki az Úr: Oldozd le a te saruidat lábaidról: mert a hely, a mellyen állasz, szent föld.
Acts.7.34 | Látván láttam az én népemnek nyomorúságát, melly Égyiptomban vagyon, és az ő fohászkodásokat hallottam, és azért szállottam le, hogy őket megszabaditsam; most azért jöjj ide, elküldelek tégedet Égyiptomba.
Acts.7.35 | Ezt a Mózest, a kit megtagadának, ezt mondván: Ki tett tégedet Fejedelemmé és Biróvá? ezt, mondom, az Isten fejedelmül, szabaditóul bocsátá az Angyal által, a ki megjelent néki a csipkebokorban.
Acts.7.36 | E hozta ki őket, nagy csudákat és jeleket tévén Égyiptomnak földében, és a veres tengerben, és a pusztában negyven &amp; esztendeig.
Acts.7.37 | Ez ama Mózes, ki az Izráel fijainak ezt mondotta: Prófétát támaszt néktek az Úr a ti Istentek, a ti atyátokfiai közzűl, mint engemet, őtet hallgassátok.
Acts.7.38 | Ez az, ki az Izráel Gyülekezetiben volt a pusztában, az Angyallal egybe, a ki néki szól vala a Sinai hegyen, és a mi atyáinkkal, és a ki az Istennek élő beszédit vette, mellyeket nékünk megjelentene.
Acts.7.39 | Kinek nem akartak engedni a mi atyáink, hanem azt megveték, és az ő szivekben Égyiptom felé fordulának.
Acts.7.40 | Ezt mondván Áronnak: Csinálj Isteneket nékünk: kik előttünk járjanak: mert ama Mózesnek, ki minket kihozott Égyiptomnak földéből, nem tudjuk micsoda dolga történék.
Acts.7.41 | És az napokon borjúképet öntének, és a bálványnak áldozának, és gyönyörködének az ő kezeiknek csinálmányokban.
Acts.7.42 | Az Isten pedig elfordula tőlök, és adá őket az égnek seregének tiszteletire, a mint meg vagyon irva a Próféták könyvökben: Valyon Izráelnek háza, áldoztatok-é nékem véres áldozatokkal és egyébféle áldozatokkal a pusztában negyven esztendeig?
Acts.7.43 | Sőt inkább hordoztátok a Molok bálványnak sátorát, és a ti Istenteknek a Remfának csillagát, melly képeket csináltatok, hogy azokat imádnátok: Azért elviszlek titeket Babilónián túl.
Acts.7.44 | A mi atyáinknak volt sátorok, az Isten bizonyságtételének Sátora, a pusztában, a mint parancsolta vala az, a ki mondotta vala Mózesnek, hogy csinálná azt annak példájára, a mellyet látott vala.
Acts.7.45 | Mellyet is a mi atyáink béhoztak Jósuéval a pogányoknak birodalmokban, kiket az Isten kiüzött a mi atyáink elől, mind a Dávidnak idejéig.
Acts.7.46 | Ki az Istennek kedvében volt, és könyörgött, hogy a Jákób Istenének Sátorának helyét megtalálná.
Acts.7.47 | Salamon épite pedig néki házat.
Acts.7.48 | De ama felséges Isten kézzel csinált templomokban nem lakik, mint a Próféta mondja:
Acts.7.49 | A mennyország nékem ülőszékem, a föld pedig az én lábaimnak zsámolyok. Micsoda házat csinálhattok nékem? ezt mondja az Úr; vagy hol vagyon az én nyugodalmamnak helye?
Acts.7.50 | Nem az én kezem épitette-é mind ezeket?
Acts.7.51 | Kemény nyakú és körűlmetéletlen szivű és fülű emberek, ti mindenkor a Szent Léleknek ellene igyekeztek; mint a ti atyáitok, ti azonképen.
Acts.7.52 | A Próféták közzűl kit nem kergettek a ti atyáitok? megölték mondom, azokat, a kik eleve hirdették amaz Igaznak eljövetelét, kinek ti most árulóivá és gyilkosivá lettetek.
Acts.7.53 | Kik a törvényt vettétek az Angyalok szolgálatjok által, és meg nemtartottátok!
Acts.7.54 | Mikor pedig ezeket hallották volna, az ő szivekben dühösködnek vala, és az ő fogaikat csikorgatják vala ellene.
Acts.7.55 | Mivelhogy pedig Szent Lélekkel teljes vala, a mennybe függesztvén az ő szemeit, látá az Istennek dicsőségét, és Jézust állani az Istennek jobbján.
Acts.7.56 | És monda: Ímé látok megnyilatkozott egeket, és látom, hogy az embernek fija áll az Istennek jobbja felől!
Acts.7.57 | Felkiáltván peig azok nagy felszóval, az ő füleiket bédugák, és mindnyájan reá rohanának.
Acts.7.58 | És őtet a városból kiüzvén kövezik vala, a tanubizonyságok pedig az ő felsőruháikat lerakták vala egy ijfu lábainál, kinek neve Saulus vala.
Acts.7.59 | Megkövezék azért Istvánt, ki imádkozik vala, és ezt mondja vala: Uram Jézus, vegyed az én lelkemet!
Acts.7.60 | Térdre esvén pedig, nagy felszóval kiált vala: Uram! ne tulajdonitsd nékik e bűnt. És mikor ezt mondotta volna, elaluvék.

Acts.8.1 | Saulusnak is pedig akaratja vala Istvánnak halálán. És támada az időben nagy háborúság a Jérusálembeli Gyülekezet ellen, és mindnyájan eloszlának Júdeának és Samariának tartományiba; az Apostoloktól megválva.
Acts.8.2 | Kivivék pedig egyenlő akarattal Istvánnak testét az istenfélő férjfiak, és felette nagy sirást tőnek ő rajta.
Acts.8.3 | Saulus pedig pusztitja vala az Anyaszentegyházat, minden házakba bémenvén, és mind férjfiakat, mind asszonyokat erővel vonván, hányja vala azokat a tömlöczbe.
Acts.8.4 | Azok annakokáért eloszolván széllyel járnak vala, az Isten beszédét hirdetvén.
Acts.8.5 | Filep pedig mikor ment volna Samariának városába, prédikálja vala nékik a Krisztust.
Acts.8.6 | A sokaság pedig egyenlőképen figyelmezik vala azokra, a mellyeket Filep mond vala, hallván és látván a jeleket, a mellyeket cselekeszik vala;
Acts.8.7 | Mert a tisztátalan lelkek sokakból kimennek vala, a kikben valának, kiáltván nagy szóval; sok gutaütött emberek pedig és sánták gyógyulának meg.
Acts.8.8 | És nagy öröm vala abban a városban.
Acts.8.9 | Egy ember pedig, kinek neve vala Simon, abban a városban az előtt gyakorlotta vala az ördögi tudományt, és Samariának népét elámitotta vala, ezt mondván, hogy ő valami nagy volna.
Acts.8.10 | Kit hallgatnak vala mindnyájan, kicsinytől fogva nagyig, ezt mondván: Ez az Istennek ama nagy ereje;
Acts.8.11 | Azért hallgatják vala pedig őtet: mert sok időtől fogva az ördögi mesterséggel őket elámitotta vala.
Acts.8.12 | Minekuttánna pedig hittek volna Filepnek, ki azokat hirdeti vala, mellyek az Istennek országára, és a Jézus Krisztusnak nevére való dolgok volnának, megkeresztelkednek vala, mind férjfiak, mind asszonyok.
Acts.8.13 | Simoon pedig ő is hűn, és megkeresztelkedvén Fileppel vala; és látván hogy jelek és isteni nagy erők lésznek vala, álmélkodik vala.
Acts.8.14 | Mikor pedig hallották volna az Apostolok, a kik Jérusálemben valának, hogy Samaria bévette volna az Isten beszédét, küldék azokhoz Pétert és Jánost.
Acts.8.15 | Kik mikor oda mentek volna, könyörgének azokért, hogy Szent Lelket vennének.
Acts.8.16 | (Mert ez még senkinek azok közzűl nem adatott vala, hanem csak megkeresztelkedtek vala az Úr Jézus nevébe.)
Acts.8.17 | Annakokáért kezeiket fejekre veték, és vőnek azok Szent Lelket.
Acts.8.18 | Mikor pedig látta volna Simon, hogy az Apostolok kezeiknek fejekre való vettetések által adatnék a Szent Lélek, kinálá őket pénzzel.
Acts.8.19 | Ezt mondván: Adjátok nékem is e hatalmat, hogy valakire vetem az én kezeimet, Szent Lelket végyen.
Acts.8.20 | Péter pedig monda néki: A te pénzed veled egybe vesszen el, ki azt állitottad, hogy az Istennek ajándéka pénzen vétethetik.
Acts.8.21 | Nincsen néked részed, sem örökséged e dologban: mert a te szived nem tiszta az Isten előtt.
Acts.8.22 | Térj meg azért a te gonoszságodból, és kérjed az Istent, talán megbocsáttatik néked a te szivednek gondolatja.
Acts.8.23 | Mert látom, hogy te keserűséges méregben, és álnokságnak kötelében helyheztettél.
Acts.8.24 | Felelvén pedig Simon monda: Könyörögjetek ti én érettem az Úrnak, hogy valamelly ezek közzűl, a mellyeket mondotok, engem meg ne környékezzen.
Acts.8.25 | Amazok annakokáért minekutánna bizonyságot tettek volna, és hirdették volna az Istennek beszédét: megtérének Jérusálembe, és a Samaritánusoknak sok faluikban prédikálák az Évangyéliomot.
Acts.8.26 | Az Úrnak pedig Angyala szóla Filepnek, mondván: Kelj fel és menj el dél felé, a járatlan úton, melly Jérusálemből Gáza városába alá megyen.
Acts.8.27 | Ő annakokáért felelvén elméne; és imé egy Szerecsen Főember, Szerecsenország Királynéasszonyának, Kandakesnek komornyikja, ki minden gazdagságávl bir vala, és ment vala Jérusálembe imádkozni.
Acts.8.28 | Megyen vala haza, ülvén az ő szekerében, és olvassa vala Ésaiás Prófétát.
Acts.8.29 | Monda pedig az Isten Lelke Filepnek: Járulj oda és menj közelebb a szekérhez.
Acts.8.30 | Filep azért oa futamodván, hallá, hogy az olvasná Ésaiás Prófétát és monda: Valjon értet-é a mit olvassz?
Acts.8.31 | És monda az: Mimódon érthetném, hanemha valaki megmagyarázná nékem? És kéré Filepet, hogy felülne és ő mellé ülne.
Acts.8.32 | Az Írásnak pedig verse, a mellyet olvas vala, e vala: Miképen a juh, úgy viteték a mészárszékre; és mint a bárány az őtet megnyirő előtt megnémúl, azonképen nem nyitotta fel az ő száját.
Acts.8.33 | Az ő alázatosságában az ő itéleti elvétetett; és az ő idejét kicsoda mondhatja meg? noha eltöröltetik e földről az ő élete.
Acts.8.34 | Felelvén peig a Főember Filepnek, monda: Kérlek téged: kiről mondja ezt a Próféta? magáról-é? vagy másról valakiről?
Acts.8.35 | Akkor Filep az ő száját megnyitván, és elkezdvén ez iráson, hirdeté néki a Jézust.
Acts.8.36 | És mikor mennének az úton, jutának egy vizhez: akkor monda néki a Főember: Ímhol a viz: micsoda tilt meg a keresztségtől engemet?
Acts.8.37 | Filep pedig monda: Ha teljes szivből hissz, meglehet. Az pedig felelvén, monda: Hiszem a Jézus Krisztust Isten Fijának lenni.
Acts.8.38 | És megállitá a szekeret, és leszállának mindketten a vizbe, Filep és a Főember: és Filep megkeresztelé őtet.
Acts.8.39 | És mikor a vizből kijöttek volna, az Úrnak Lelke elragadá Filepet, és többé nem látá őtet a Főember: mert megyen vala az ő útján örömmel.
Acts.8.40 | Filep pedig találtaték Azótus városában, és az ő útában menvén hirdeti vala az Évangyéliomot minden városoknak, miglen jutna Czézárea városába.

Acts.9.1 | Saulus pedig mégis dühösködvén fenyegetésekkel és öldökléssel az Úrnak tanitványai ellen, méne a Főpaphoz.
Acts.9.2 | És kéré ő tőle leveleket Damaskusba a zsinagógáknak; hogyha találna valakiket a tudománynak követőit, vagy férjfiakat, vagy asszonyokat, fogva hozná Jérusálembe.
Acts.9.3 | És mikor menne, közelgete Damaskushoz, és nagy hirtelenséggel mennyei világosság körűlvevé őtet.
Acts.9.4 | És mikor a földre leesett volna, halla szózatot, melly ezt mondja vala néki: Saul, Saul, mit kergetsz engemet?
Acts.9.5 | És monda: Kicsoda vagy Uram? Az Úr pedig mond: Én vagyok a Jézus, a kit te kergetsz. Nehéz néked az ösztön ellen rúgodoznod.
Acts.9.6 | És az félvén és rettegvén, monda: Uram! mit akarsz hogy cselekedjem? Monda az Úr néki: Kelj fel és menj bé a városba, és megmondják néked mit kelljen cselekedned.
Acts.9.7 | A férjfiak pedig, kik Saulussal elindultak vala, állanak vala elálmélkodván, kik jóllehet hallják vala a szót, de senkit nem látnak vala.
Acts.9.8 | Felkelvén pedig Saulus a földről, és felnyitván az ő szemeit, senkit nem lát vala; azért kézen fogva vezérelvén őtet, bévivék Damaskusba.
Acts.9.9 | Hol volt, semmit nem látván, harmadnapig, és nem evett, sem ivott.
Acts.9.10 | Vala pedig egy tanitvány Damaskusban, kinek Anániás vala neve, kinek monda látásban az Úr: Anánia! És az monda: Imhol vagyok Uram!
Acts.9.11 | Akkor az Úr monda néki: Kelj fel, és menj el az utczára, melly Egyenes utczának neveztetik, és keresd meg Júdásnak házában a Tárzusbeli Saulust; mert ám imádkozik.
Acts.9.12 | (És látá Saulus látásban, hogy az Anániás nevü férjfiú ő hozzá menne, és az ő kezét reá vetné, hogy látna.)
Acts.9.13 | Felele pedig Anániás: Uram sok embertől hallottam e férjfiú felől, melly sok bosszusággal illeti a te szenteidet, kik Jérusálemben vagynak.
Acts.9.14 | Sőt itt is vagoyn hatalma a Papifejedelmektől, hogy mindeneket megkötözzön, valakik a te nevedet segitségül hivják.
Acts.9.15 | Monda pedig néki az Úr: Eredj el; mert ő nékem választott edényem, hogy az én nevemet elvigye a Pogányoknak, Királyoknak, és az Izráel fijainak eleikbe;
Acts.9.16 | Mert én megmutatom néki, melly sokat kelljen néki az én nevemért szenvedni.
Acts.9.17 | Elméne azért Anániás, és béméne a házba, és az ő kezeit Saulusra vetvén, monda: Saul atyámfia, az Úr küldött engemet; (a Jézus, a ki megjelent néked az úton, a mellyen jösz vala) hogy a te szemeid megnyiljanak, és bételjesedjél Szent Lélekkel.
Acts.9.18 | És azonnal leesék az ő szeméről a hályog, mint valami halnak a héja, és mindjárt megjöve szeme világa, és felkelvén megkeresztelkedék.
Acts.9.19 | És mikor evett volna, megerősödék. És vala Saulus egynehány napokon a tanitványokkal, kik Damaskusban valának.
Acts.9.20 | És azonnal prédikálá a zsinagógákban a Krisztust, hogy ő Istennek Fija volna.
Acts.9.21 | Álmélkodnak vala pedig mindnyájan, valakik az ő tanitását hallják vala, és ezt mondják vala: Nemde nem ez-é a ki Jérusálemben háborgatja vala azokat, kik ezt a nevet segitségül hivják vala, és ide is azért jött, hogy azokat fogva vinné a Papifejedelmekhez?
Acts.9.22 | Saulus pedig annál inkább erőt vészen vala, és szégyeniti vala a Zsidókat, a kik Damaskusban laknak vala, szent Irás bizonyságainak egybevaló vettetésekkel megerősitvén, hogy az volna ama Krisztus.
Acts.9.23 | Sok idő mulva pedig a Zsidók tanácsot tartának, hogy őtet megölnék.
Acts.9.24 | De megérté Saulus, hogy utánna leselkednének; őrizik vala pedig a kapukat mind éjjel nappal, hogy őtet megölhetnék.
Acts.9.25 | A tanitványok azért őtet felvévén éjjel, a kőfalon bocsáták ki, lebocsátván őtet egy kosárban.
Acts.9.26 | És mikor Saulus Jérusálembe ment volna, a tanitványok mellé akarja vala magát adni, de mindnyájan félnek vala tőle, és nem hiszik vala, hogy ő tanitvány volna.
Acts.9.27 | Barnabás pedig őtet maga mellé vévén, vivé az Apostolokhoz, és megbeszélé nékik, mimódon az úton látta volna az urat, és hogy szólott volna néki, és hogy Damaskusban nagy bátorsággal tanittot volna a Jézus nevében.
Acts.9.28 | Ő velek vala azért Jérusálemben.
Acts.9.29 | És nagy bátorsággal tanit vala az Úr Jézusnak nevében, és vetekedik vala a Görögökkel; azok pedig igyekeznek vala őtet megölni.
Acts.9.30 | Mellyet mikor eszekbe vettek volna az atyafiak, vivék őtet Czézáreába, és onnét bocsáták Tárzusba.
Acts.9.31 | A Gyülekezetnek azért egész Júdeában, Galileában, és Samariában békességek vala, és épülnek vala az Úrnak félelmében, és a Szent Léleknek vigasztalásában előmenvén, sokasodnak vala.
Acts.9.32 | Történék pedig hogy Péter, mikor minden városokat járna, menne a Szentekhez is, kik valának Lidda városban.
Acts.9.33 | Talála pedig ott eg Éneás nevü embert, ki nyolcz esztendőtől fogva ágyban fekszik vala, ki gutaütött ember vala.
Acts.9.34 | És monda néki Péter: Énea, gyógyitson meg tégedet a Jézus Krisztus; kelj fel, és magad vesd meg a te ágyadat. Az pedig azonnal felkele.
Acts.9.35 | És láták őtet mindnyájan a kik laknak vala Liddában és Sáronában, és megtérének az Úrhoz.
Acts.9.36 | Joppéban pedig vala egy tanitványi asszony, kinek neve vala Tábitha, melly (görögűl Dorkás) ha megmagyarázod, ezt tészi: Vadkecske. Ez gazdag vala jó cselekedetekkel és alamizsnákkal, mellyeket osztogatott vala.
Acts.9.37 | Történék pedig az napokban, hogy betgség miatt meghalna, kit mikor megmostak volna, helyhezteték a felházban.
Acts.9.38 | Mivelhogy pedig Lidda Joppéhoz közel vala, a tanitványok meghallván hogy Péter ott volna, két férjfiakat küldének ő hozzá, kérvén őtet, hogy késedelem nélkül hozzájok menne.
Acts.9.39 | Felkelvén azért Péter, elméne azokkal, kit, mihelyt oda juta, felvivének a felházba; és eleibe állának néki minden özvegy asszonyok, sirván és mutogatván a ruhákat és öltözeteket, mellyeket Dorkás csinált, mig velek együtt volt.
Acts.9.40 | És mindeneket kiküldvén, Péter térdre esvén imádkozék, és a holttesthez fordúlván, monda: Tábitha kelj fel. Az pedig felnyitá az ő szemeit, és Pétert látván, felüle.
Acts.9.41 | És Péter kezét néki nyujtván, felemelé őtet; és szólitván az özvegyeket és a szenteket, elevenen adá nékik azt.
Acts.9.42 | E dolog pedig egész Joppénak tudtára lőn, és sokan hivének az Úrban.
Acts.9.43 | És sok ideig marada Péter Joppéban, egy Simon nevü Szíjgyártónál.

Acts.10.1 | Vala pedig Czézáreában egy ember, kinek neve Kornélius vala, ki százados vala, a seregből való, mellyet Olasz seregnek neveznek vala.
Acts.10.2 | Jámbor és istenfélő az ő egész háznépével egybe és sok alamizsnát osztogat vala a községnek.
Acts.10.3 | Ki mikor szüntelen könyörgene Istennek, látá látás által nagy nyilván, a napnak mintegy kilencz óráján, hogy az Istennek Angyala bé menne ő hozzá, és ezt mondaná néki: Kornéli!
Acts.10.4 | És az ő szemeit reá függesztvén és megrémülvén, monda: Mi dolog Uram? és monda néki: a te könyörgésed és alamizsnáid felmentek Istennek eleibe emlékezetnek okáért.
Acts.10.5 | Most azért küldj el valakiket Joppéba; és hivasd Simont, ki neveztetik Péternek.
Acts.10.6 | Ő szálláson vagyon egy Simon nevü Szijgyártónál, kinek háza a tenger mellett vagyon; az megtanit téged, mit kelljen néked cselekedned.
Acts.10.7 | Minekutánna pedig elment volna az Angyal, a ki szól vala Kornéliussal, szólita kettőt az ő szolgái közzűl és egy jámbort vitézlő embert azok közzűl, a kik szüntelen ő vele valának.
Acts.10.8 | És mikor mindeneket eleikbe adott volna, elküldé őket Joppéba.
Acts.10.9 | Másodnapon pedig, mikor azok mennének és közelgetnének a városhoz, felméne Péter a háznak felső részére, hogy imádkoznék hat óra tájban.
Acts.10.10 | történék pedig, hogy igen megéheznék, és akara enni. És mikor készitenék az ételt, az ő elméje elragadtaték.
Acts.10.11 | És látá hogy az ég megnyilatkozott, és ő hozzá alájőne valami edény, mintegy nagy lepedő négy szegeleténél fogva felköttetve, melly a földre bocsáttatik vala alá.
Acts.10.12 | Mellyben valának mindenféle földi négylábú állatok, vadak, mászó állatok, és égi madarak.
Acts.10.13 | És szózat adaték ő hozzá: Kelj fel Péter, öljed és egyél.
Acts.10.14 | Monda pedig Péter: Nem eszem Uram: mert soha nem ettem semmi közönségest, vagy tisztátalan állatot.
Acts.10.15 | Akkor ismét szó adaték ő hozzá másodszor is: A mit Isten megtisztitott, te azt ne mondjad tisztátalannak.
Acts.10.16 | Ez pedig háromszor lőn: és ismét felviteték az edény az égbe.
Acts.10.17 | Mikor pedig Péter magában gondolkodnék, micsoda volna a látás, a mellyet látott vala, imé a férjfiak, kiket Kornélius küldött vala, mikor megtudakoztak volna a Simon házáról, elérkezének az ajtó eleibe.
Acts.10.18 | És egy embert kiszólitván, megtudakozák ha Simon, ki vezeték nevéről Péternek nevezetetnék, ott volna-é szálláson?
Acts.10.19 | Mikor pedig Péter gondolkodnék a látás felől, monda néki a Szent Lélek: Ímé három férjfiak kersnek tégedet!
Acts.10.20 | Kelj fel azért, eredj alá, és minden kételkedés nélkül menj el ő velek; mert én küldöttem őket te hozzád.
Acts.10.21 | Alámenvén azért Péter a férjfiakhoz, kiket Kornélius küldött vala ő hozzá, monda: Ímé én vagyok, a kit ti kerestek; miért jöttetek?
Acts.10.22 | És ők mondának: Kornélius Százados, ki igaz és istenfélő, kinek az egész Zsidó nemzetség jó bizonyság, az Istentől a szent Angyal által megintetett, hogy tégedet házához hivatna, és tőled valami dolgokról hallana.
Acts.10.23 | Béhiván azért azokat, szállására béfogadá. Másodnap pedig elméne Péter ő vele, és a Joppébeli Atyafiak közzűl is némellyek követék őtet.
Acts.10.24 | Másodnapon pedig jutának Czézáreába. Kornélius pedig várja vala őket, egybegyüjtvén az ő rokonit és jó barátit.
Acts.10.25 | Mikor pedig bément volna Péter, eleibe menvén Kornélius, és az ő lábainál leesvén, tisztelé őtet.
Acts.10.26 | Péter pedig felemelé őtet mondván: Kelj fel, én magam is ember vagyok.
Acts.10.27 | És ő vele beszélgetvén béméne, és talála sok egybegyült embereket.
Acts.10.28 | És monda nékik: Ti tudjátok, hogy tilalms Zsidóknak pogánnyal barátkozni, vagy hozzá menni; de az Isten megmutatá nékem, hogy senkit ne mondanék megfertéztetett vagy tisztátalan embernek.
Acts.10.29 | Annakokáért minden ellentartás nélkül eljöttem a hivatalra: Azt kérdem azért, miért hivattatok engem?
Acts.10.30 | Akkor Kornélius monda: Negyednappal az előtt mind ez óráig éhen voltam, és kilencz órakor az én házamban imádkozom vala, és imé egy megálla én előttem fényes ruhában.
Acts.10.31 | És monda: Kornéli! a te imádságidat meghallgata az Isten, és a te alamizsnálkodásid emlékezetben vagynak ő nála.
Acts.10.32 | Küldj el azért Joppéba, és hivasd Simont, kinek vezeték neve Péter; ő szállást tart a Szíjgyártó Simon házánál a tenger mellett: ki minekutánna eljövénd, szól néked.
Acts.10.33 | Azonnal azért elküldöttem hozzád, és te jól tetted hogy eljöttél. Most azért mindnyájan mi az Isten előtt állunk, hogy meghallgassuk mind azokat, a mellyeket Isten néked mondott.
Acts.10.34 | Akkor Péter megnyitván az ő száját, monda: Bizonnyal látom, hogy az Isten nem személyválogató;
Acts.10.35 | Hanem minden nemzetségben kedves néki akár kicsoda, a ki őtet féli és igazságot cselekeszik.
Acts.10.36 | Mellyet megjelentett az Izráel fijainak, hirdetvén békességet a Jézus Krisztus által, ki mindeneknek Ura.
Acts.10.37 | Ti jól tudjátok a mi lett egész Júdeában, Galileában elkezdetvén a keresztség után, mellyet prédikálott Keresztelő János.
Acts.10.38 | Miképen a Názáretbeli Jézust az Isten megkente Szent Lélekkel és hatalommal, ki széllyel járt jól tévén, és mindeneket, kik ördög hatalma alatt voltak meggyógyitván: mert Isten vala ő vele.
Acts.10.39 | És mindeneknek, mellyeket mind a Zsidóknak tartományokban, mind Jérusálemben cselekedett, mi bizonyságai vagyunk, kit megölének, felfeszitvén a fára.
Acts.10.40 | Ezt az Isten feltámasztá harmadnapon, és azt mivelte, hogy ő megjelenjék nyilván.
Acts.10.41 | Nem mind az egész községnek, hanem a bizonyságoknak, kiket ő az előtt választott vala, tudniillik nékünk, kik ettünk és ittunk ő vele együtt, minekutánna feltámadott a halálból.
