Gen.1.1 | Kezdetben teremté Isten a mennyet és a földet.
Gen.17.16 | És megáldom őtet, és adok ő tőle néked fiat, megáldom, mondom, őtet, és lészen népekké, nemzetségeknek Királyai származnak ő tőle.
Gen.17.17 | Akkor burúla Ábrahám az ő orczájára, és mosolygván monda az ő szivében: avagy száz esztendős embernek lészen é gyermeke? avagy Sára kilenczven esztendős lévén, szűlhet-é?
Gen.17.18 | És monda Ábrahám az Istennek: Vajha Ismáel élne te előtted.
Gen.17.19 | Kinek monda az Isten: Kétség nélkül a te feleséged Sára szűl tenéked fiat, és nevezed azt Izsáknak, és megerősítem az én szövetségemet ő vele örökkévaló szövetségűl az ő utánna való magvának.
Gen.17.20 | Ismáel felől is meghallgattalak tégedet, ímé megáldom őtet, és gyümölcsözővé tészem őtet, igen megsokasítom őtet; tizenkét Fejedelmeket nemz és nagy néppé tészem őtet.
Gen.17.21 | Az én szövetségemet pedig megerősítem Izsákkal, kit néked szűl Sára ez időkorban a más esztendőben.
Gen.17.22 | És mikor elvégezte volna vele való beszélését, felméne az Isten Ábrahámtól.
Gen.17.23 | Vevé azért Ábrahám Ismáelt az ő fiját, és minden házában született szolgákat, és a kiket pénzen vett vala, minden féjfiat ki az ő házából való vala, és ugyanazon napon az ő féjfiúi testeknek bőrének elejét elmetszé, a mint ő vele szólott vala az Isten.
Gen.17.24 | Ábrahám pedig kilenczvenkilencz esztendős vala, mikor ő maga az ő férjfiúi testének elejét elmeetszé.
Gen.17.25 | Ismáel pedig az ő fija tizenhárom esztendős vala, mikor az ő féjfiúi testének bőrének elejét elmetszék.
Gen.17.26 | Mind egy napon metéltetett körűl Ábrahám és Ismáel az ő fija.
Gen.17.27 | És minden ő házanépa, házánál született szolga, és minden idegentől vett szolga, ő vele együtt körülmetéltetének.

Gen.18.1 | Megjelenék pedig őnéki az Úr a Mamrénak mezején, és ő ül vala az ő sátorának ajtajában; mikor a nap immár felmelegedett volna.
Gen.18.2 | És mikor felemelte volna az ő szemeit, tekinte, és íme három féjfiak állanak vala ő előtte, kiket mikor látott volna, futamodék azoknak elejekbe a sátornak ajtajától, és meghajtá magát a föld felé.
Gen.18.3 | És monda: Jó Uram, ha kedves vagyok te előtted, kérlek ne kerüld el a te szolgádat.
Gen.18.4 | Hozzanak, kérlek egy kevés vizet, és mossátok meg a ti lábaitokat, és nyugodjatok a fa alatt.
Gen.18.5 | Azonközben hozok egy darab kenyeret is, és erősítsétek meg étellel a ti szíveteket, azután úgy menjetek el, mivelhogy én hozzám ti szolgátokhoz bétértetetk. És mondanák: Cselekedjél úgy a mint szólál.
Gen.18.6 | Azért sietve bémenvén Ábrahám a sátorba Sárához, monda: Siess, végy három mérték zsemlyelisztet, gyurd meg, és süss pogácsákat a hamu alatt.
Gen.18.7 | Ábrahám pedig futa az ő barmainak nyájához, és hoza gyermekded kövér borjút, és adá a szolgának, ki siete azt elkészíteni.
Gen.18.8 | És illyen módon vévén vajat és tejet, és a borjút, mellyet készített vala, azokat elejekbe tevé: ő pedig áll vala a fal alatt ő mellettek, és evének.
Gen.18.9 | És mondanának nékie: Hol vagyon Sára a te feleséged? Ki felele: Im e sátorban vagyon.
Gen.18.10 | Monda pedig azok közzűl egy: Kétség nélkűl, megtérek t ehozzád ez időkorban esztendő mulva, és ímé a te feleségednek Sárának fija lészen. Sára pedig hallgat vala a sátornak ajtajában, melly vala az Angyalnak háta megett.
Gen.18.11 | Ábrahám pedig és Sára vén emberek valának és idősök; és Sárában megszünt vala az asszonyoknak természetek.
Gen.18.12 | Mosolyodék azért Sára ő magában, mondván: Minekutánna megvénhedtem, mimódon adnám magamat testi gyönyörűségre? annakfelette az én uram is megvénhedett.
Gen.18.13 | Akkor monda az Úr Ábrahámnak: Miért mosolyodék Sára ezt mondván: Valyon lehetséges-é hogy én szüljek, holott én megvénhedtem?
Gen.18.14 | A vagy eltitkoltathatik-é valami az Úr előtt? A megmondott időre megtérek te hozzád ez időkorbank, és lészen Sárának fija.
Gen.18.15 | Sára pedig megtagadá, mondván: Nem mosolyodtam, mivelhogy fél vala. De monda az Úr: Nem mondasz igazat, mert mosolyodtál.
Gen.18.16 | Azután felkelvén onnét azok a férjfiak, Sodoma felé néznek vala. Ábrahám pedig mégyen vala velek hogy őket elkisérné.
Gen.18.17 | És monda az Úr: A vagy eltitkoljam é én Ábrahámtól a mit akarok cselekedni?
Gen.18.18 | Ábrahámtól mondom, kitől nagy és hatalmas nép származik; és kiben megáldatnak a földnek minden nemzetségei.
Gen.18.19 | Mert tudom hogy ő megparancsolja az ő fijainak és az ő háznépének ő utánna, hogy megőrizzék az Úrnak útát, és cselekedjenek igazságot és ítéletet, hogy megadja az Úr Ábrahámnak a mit néki igért.
Gen.18.20 | Monda azért az Úr: Sodomának és Gomorának kiáltása mivelhogy megsokasodott, és az ő bűnök igen megnehezedett.
Gen.18.21 | Alámegyek most és meglátom, ha az én hozzám jutott kiáltás szerint valóban cselekedtek, hogyha nem, hogy megtudjam.
Gen.18.22 | Mikor pedig a férjfiak onnét elmentek volna, menének Sodomába: Ábrahám pedig még az Úr előtt áll vala.
Gen.18.23 | És hozzá járulván Ábrahám monda: A vagy elveszted é az igazat is a gonosszal egybe?
Gen.18.24 | Talán vagynak ötven igazak abban a városban avagy elveszted-é, és nem kedvezel-é a helynek az ötven igazakért a kik vagynak a városban?
Gen.18.25 | Távol legyen tőled hogy illyen dolgot cselekednél, hogy elveszítsd az igazat az istentelennel, és úgy járjon az igaz mint az istentelen; távol legyen ez tőled; avagy az egész földnek bírája nem cselekednék é itéletet?
Gen.18.26 | És monda az Úr: Ha találandok Sodomában a városon belől ötven igazat, mind az egész helynek megkegyelmezek azokért.
Gen.18.27 | És felelvén Ábrahám, monda: Ím most kivánnék szólani az én Uramnak, noha én por és hamu vagyok.
Gen.18.28 | Talán az ötven igazaknak lészen öt hijjok; avagy elveszted é az egész várost ez ötért? És monda: Nem vesztem el ha találandok ott negyvenötöt.
Gen.18.29 | Ismét szóla Ábrahám, és monda: Talán találtatnak ott negyvenen; és monda: Nem vesztem el e negyvenért.
Gen.18.30 | És monda Ábrahám: Kérlek ne haragudjék meg az én Uram ha szólok: talán találtatnak ott harminczan. Felele az Úr: Nem vesztem el ha találok ott harminczat.
Gen.18.31 | Monda ismét: Ímé még kivánnék szólani az én Uramnak: taán találtatnak ott húszan. Felele az Úr. Nem vesztem el ez húszért.
Gen.18.32 | Monda végezetre: Ne haragudjék kérlek az én Uram ha szólok csak egyszer: talán találtatnak ott izen. Felele: Nem vesztem el e tízért.
Gen.18.33 | És elméne az Úr, minekutánna elvégezte volna Ábrahámmal való beszélését; Ábrahám pedig megtére az ő helyére.

Gen.19.1 | És mikor ama két Angyal Sodomába jutott volna, estve, Lót ül vala Sodomának kapujában, kiket mikor látott volna, felkelvén elejekbe méne, és az ő orczájával a föld felé hajla.
Gen.19.2 | És monda: Mostan immár én Uraim kérlek, térjetek a ti szolgátoknak házához, és háljatok ott, mossátok meg lábaitokat; és reggel felkelvén úgy menjetek el a ti útatokra. Kik mondanák: Nem megyünk, hanem az útczán hálunk.
Gen.19.3 | De mikor igen kényszeritené őket, bétérvén ő hozzája, bémenének az ő házába, és szerze nékiek lakodalmat, és pogácsákat is süte, és evének.
Gen.19.4 | Minekelőtte pedig lefeküdni mennének, a városnak férjfiai, tudniillik Sodomának férjfiai körűlvevék a házat, kicsinytől nagyig mind az egész község a városnak egy szélétől fogva a más széléig.
Gen.19.5 | És szólíták Lótot, mondván néki: Hol vagynak ama féjfiak, kik te hozzád jövének ez éjjel? hozd ki azokat mi hozzánk, hogy esmérjük őket.
Gen.19.6 | Akkor kiméne ő hozzájok Lót az ajtó eleibe, és maga után bézárá az ajtót.
Gen.19.7 | És monda nékiek: Kérlek Atyámfiai; ne cselekedjetek illyen gonoszságot.
Gen.19.8 | Ímé vagynak énnékem két leányaim, kik még férjfiat nem esmértek, kihozom azokat ti hozzátok, és cselekedjetek azokkal a mint néktek tetszik, csakhogy ez emberek ellen ne vétkezzetek, mivelhogy ezek jöttek az én házamnak árnyéka alá.
Gen.19.9 | Kik felelének: Eredj el innét. Ismét mondanának: Ez egyedűl itt a mi városunkban jövevény lévén, ő szabna-é minékünk törvényt? Majd gonoszbúl cselekedünk te veled hogy nem azokkal. És reá rohanának arra a férjfiúra, Lótra felette igen, és az ajtót akarják vala bérontani.
Gen.19.10 | És kinyújtván azok a férjfiak az ő kezeket, béragadák Lótot magokhoz a házba, és az ajtót bezárák.
Gen.19.11 | A férjfiakat pedig, kik a ház ajtaja előtt állanak vala, megverék vaksággal kicsinytől nagyig, annyira hogy az ajtónak keresésében megfáradának.
Gen.19.12 | És mondanák a férjfiak Lótnak: Vagyon-é itt e városban valaki hozzád tartozó, akár vőd, akár fijaid és leányadik? mindeneket, kik te hozzád tartozók, vígy ki e helyből.
Gen.19.13 | Mert mi majd elvesztjük e helyet, mivelhogy ezeknek kiáltások nagy az Úr előtt; mert az Úr küldött minket, hogy elveszítsük e várost.
Gen.19.14 | Kimenvén azért Lót, szóla az ő vőinek, kik az ő leányait elvették vala, és monda: Keljetek fel, menjetek ki e helyből, mert majd elveszti az Úr e várost; de az ő vőinek láttaték csak tréfálódni.
Gen.19.15 | És mikor hajnal feljött volna, az Angyalok erőltetik vala Lótot, mondván: Kelj fel, vegyed feleségedet és a te jelenvaló két leányaidat, hogy el ne vessz e városnak büntetésében.
Gen.19.16 | És mikor késedelmeznék, fogák a férjfiak az ő kezét és az ő feleségének kezét és két leányainak kezeket, mivelhogy az Úr kedvezne őnéki; és kivivék őtet: és hagyák őtet a városon kivűl.
Gen.19.17 | És mikor kivitték volna őket, monda az egyik: szaladj el, tartsd meg a te életedet, hátra ne tekints, és sehol az egész mezőn meg ne állj, ama hegyre szaladj, hogy el ne vessz.
Gen.19.18 | És monda Lót nékiek: Ne édes Uram.
Gen.19.19 | Ímé mostan a te szolgád kedvet talált te előtted, és naggyá tetted a te irgalmasságodat, mellyet cselekedtél én velem az én életemnek megtartásában. - Én pedig nem szaladhatok ama hegyre, netalán elér engemet a veszedelem, és meghalok.
Gen.19.20 | Imhol közel vagyon egy város, hadd fussak oda, kicsiny város az, hadd szaladjak kérlek oda, lám kicsiny város az; hogy éljen az én lelkem.
Gen.19.21 | Monda azért nékie: Ím megtekintelek e dologban is, hogy el ne veszítsem azt a várost a mellyről szólottál.
Gen.19.22 | Siess, szaladj oda, mert nem cselekedhetek addig semmit, míg oda nem jutsz: azért nevezék azt a várost Soárnak.
Gen.19.23 | A nap immár feltámadott vala, mikor Lót Soárba juta.
Gen.19.24 | És bocsáta az Úr Sodomára és Gomorára kénköves tüzet az Úrtól az égből.
Gen.19.25 | És elsüllyeszté a városokat, és mind azt az egész lapáczot, és mind a városoknak lakosait, a földnek fűvét is.
Gen.19.26 | És mikor az ő felesége hátratekintett volna, sóbálvánnyá változék.
Gen.19.27 | És felkele Ábrahám reggel és oda a helyre méne, holott az Úr előtt állott vala.
Gen.19.28 | És mikor tekintett volna Sodoma és Gomora felé, és mind az egész lapácznak tartoánya felé; látá hogy felméne annak a tartaománynak füstje, mint a kemenczének füstje.
Gen.19.29 | És lett mikor elvesztené az Isten annak a lapácznak városait, megemlékezék az Isten Ábrahámról, és kiküldé Lótot a veszedelemből, mikor elsüllyesztené a városokat, a mellyekben lakott vala Lót.
Gen.19.30 | Lót pedig felméne Soárból, hogy lakoznék a hegyen, és ő vele együtt az ő két leányai, mert fél vala lakni Soárban, és lakozék egy barlangban ő és az ő két leányai.
Gen.19.31 | És monda az ő nagyobbik leánya a kissebbiknek: A mi atyánk megvénhedett, és nincsen e földön férjfiú ki mi hozzánk béjöhetne az egész földnek szokása szerint.
Gen.19.32 | Nosza adjunk bort inni a mi atyánknak, és háljunk ő vele, és támasszunk magot a mi atyánktól.
Gen.19.33 | Adának azért inni bort az ő attyoknak éjszaka, és bémenvén, a nagyobbik hála az ő attyával, ő pedig nem érzé meg, sem azt mikor az mellé feküdne, sem azt mikor felkelne.
Gen.19.34 | Másodnapon pedig monda a nagyobbik a kisebbiknek; Ímé én ez elmult éjjel háltam az én atyámmal, adjunk bort inni néki ez éjjel is, és menj bé, hálj ő vele, és támasszunk magot a mi atyánktól.
Gen.19.35 | Adának azért az éjszaka is az ő attyoknak inni bort, és felkelvén a kissebbik is hála az ő attyával; ő pedig nem érzé meg sem mikor az oda feküdne, sem mikor felkelne.
Gen.19.36 | És teherbe esének a Lót két leányai az ő attyoktól.
Gen.19.37 | És szüle a nagyobbik fiat, és nevezé azt Moábnak, ez a Moábiták attyok mind e napig.
Gen.19.38 | A kissebbik is szüle fiat és nevez azt Bemhamminak, ez a Hammonitáknak attyok mind e mai napig.

Gen.20.1 | És elmenvén Ábrahám innét dél felől való tartományba, lakozék Kádes és Súr között, és lakék mint jövevény Gérárban.
Gen.20.2 | És monda Ábrahám Sára felől az ő felesége felől: Én hugom ő. Elkülde azért Abimélek Gérának Királya, és elviteté Sárát.
Gen.20.3 | Méne pedig Abimélekhez Isten álomban éjszaka, és monda néki: Ímé ezennel meghalsz ez asszonyért a melyet elhozattál, mivelhogy őnéki férje vagyon.
Gen.20.4 | Abimélek pedig nem illete vala Sárát, és monda: Uram az igaz és ártatlan népet is megölöd-é?
Gen.20.5 | A vagy nem ő mondotta-é énnékem: én hugom ő; Sára is pedig azt mondotta énnékem: én bátyám ő; az én szívemnek ártatlanságában, és az én kezeimnek tisztaságában, míveltem ezt.
Gen.20.6 | És monda az Isten nékie álomban: Én is tudom hogy a teszívednek ártatlanságában mívelted ezt, azért tartóztattalak én is, hogy ne vétkeznél én ellenem, azért nem engedtem hogy illetnéd azt.
Gen.20.7 | Mostan azért add meg az embernek az ő feleségét, mert Próféta ő: és imádkozik te éretted, és élsz; hogyha pedig meg nem adándod, tudd meg hogy bizonnyal meghalsz, mind te, ind pedig valami hozzád tartozó.
Gen.20.8 | Felkele azért Abimélek reggel, és előhívatá minden szolgáit, és megbeszélé mind e beszéedeket az ő hallásokra, és azok igen megrémülének.
Gen.20.9 | Azután hívatá Abimélek Ábrahámot, és monda néki: Mit cselekedtél mi velünk? És mit vétkeztem te ellened? hogy én reám és az én országomra illyen nagy bűnt hoztál; ollyat cselekedtél ellenem, mellyet nem kellett volna cselekdned.
Gen.20.10 | Annakfelette monda Abimélek Ábrahámnak: Mire nézve mívelted e dolgot?
Gen.20.11 | Felele Ábrahám: Mert így gondolom vala: bizony nincsen az isteni félelem ez helyen, megölnek azért engemet az én feleségemért.
Gen.20.12 | Bizonnyal pedig énnékem hugom is, mert az én atyámnak leánya, de nem az én atyám leánya; és nékem adatott feleségűl.
Gen.20.13 | És mikor az Isten kibujdostatat engemet az én atyámnak házából, akkor mondám őnéki: Illyen irgalmasságot cselekedjél én velem, mindenütt valahová megyünk, azt mondjad én felőlem: én bátyám ez.
Gen.20.14 | Akkor Abimélek vett juhokat, ökröket, szolgákat és szolgálóleányokat, és adá azokat Ábrahámnak, és megadá néki Sárát az ő feleségét.
Gen.20.15 | És monda Abimélek: Ímé az én tartományom te előtted vagyon, a hol tenéked jónak tetszik, ott lakjál.
Gen.20.16 | Sárának pedig monda: Ímé adtam a te bátyádnak ezer ezüst siklust: És ímé ő mind azoknak szemeiknek béfedezője, kik veled vagynak, mind pedig egyebeknek; és azután okos légy.
Gen.20.17 | Könyörge azért Ábrahám az Istennek, és meggyógyítá Isten Abiméleket, és az ő feleségét, és az ő szolgálóleányait hogy szülnének.
Gen.20.18 | Mert az Úr erősen bezárta vala az Abimélek háznépének méhét, Sáráért az Ábrahám feleségéért.

Gen.21.1 | Ezek után meglátogatá az Úr Sárát, a mint mondotta vala, és az Úr a képen cselekedék Sárával a miképen szólott vala.
Gen.21.2 | Mert fogada az ő méhében, és szüle Sára Ábrahámnak fiat az ő vénségében, azon időben, mellyet mondott vala néki az Isten.
Gen.21.3 | És nevezé Ábrahám az ő fiját, a ki néki született vala, a kit néki szült vala Sára, Izsáknak:
Gen.21.4 | És körúlmetélé Ábrahám az ő fiját Izsákot, mikor nyolczadnapi volna, a mint parancsolta vala néki az Isten.
Gen.21.5 | Ábrahám pedig száz esztendős vala, mikor néki születék Izsák az ő fija.
Gen.21.6 | És monda Sára: Nevetést szerzett az Isten énnékem: valaki azt hallándja, én velem együtt nevetvén örül.
Gen.21.7 | Ismét monda: Kimondotta volna Ábrahámnak hogy Sára fiakat szoptatna? mivelhogy az ő vénségében szültem fiat.
Gen.21.8 | Mikor pedig felnevekedett volna a gyermek, a téjtűl elválasztaték; és Ábrahám szerze nagy lakodalmat, a melly nap a téjtől elválasztaték Izsák.
Gen.21.9 | Mikor látta volna pedig Sára az égyiptombeli Hágárnak fiját, kit szült vala Ábrahámnak, hogy csufolná Izsákot,
Gen.21.10 | Monda Ábrahámnak: Küld el e szolgálóleányt mind az ő fijával egybe, mert nem lészen örökös e szolgálóleánynak fija az én fiammal Izsákkal együtt.
Gen.21.11 | Ábrahámnak pedig e dolog felette igen nehéznek tetszik vala, az ő fijáért.
Gen.21.12 | De monda az Insten Ábrahának: Ne tessék néked nehéznek a gyermeknek és a szolgálóleányának dolga; valamint mondott néked Sára, engedj az ő szavának, mert Izsákról neveztetik néked a te magod.
Gen.21.13 | Mindazáltal a szolglóleány fiját is nagy néppé teszem mivelhogy ő a te magod.
Gen.21.14 | Felkele azért Ábrahám jó reggel, és vett kenyeret és egy tömlő vizet, és adá Hágárnak, felvetvén azt az ő vállára, a gyermeket is vevé, és kibocsátá a szolgálóleányt, ki elméne, és bujdosék a Beerseba pusztájában.
Gen.21.15 | És mikor a viz elfogyott volna a tömlőből, letevé a gyermeket egy fa alatt.
Gen.21.16 | És elmenvén leüle ellenébe a gyermeknek távol, úgymint egy kézívből való lövésnyire: mert azt mondja vala: nem akarom látni mikor a gyermek meghal, és ellenébe ülvén, nagy felszóval síra.
Gen.21.17 | Meghallá pedig Isten a gyermeknek szavát, azért az Istennek angyala szólítván mennyből Hágárt, monda néki: Mi lelt téged Hágár? ne félj, mert az Isten meghallotta a gyermeknek szavát a helyből a hol vagyon.
Gen.21.18 | Kelj fel, vedd fel a gyermeket, és fogd kézen őtet, mert én nagy néppé teszem őtet.
Gen.21.19 | És megnyitá Isten az ő szemeit, és láta egy kútfejet, oda méne azért, és megtölté a tömlőt vízzel, és inni ada a gyeermeknek.
Gen.21.20 | És vala Isten a gyermekkel, lakik vala pedig a pusztában, és vala kézíves.
Gen.21.21 | Lakozék mondom a Párán pusztájában, és vett néki feleséget az ő annya Égyiptom földéből.
Gen.21.22 | És lett az időben, hogy szólna Abimélek és Pikhól az ő seregének hadnagya Ábrahámnak illyen szókkal: Az Isten vagyon te veled mindenekben, valamellyeket cselekszel.
Gen.21.23 | Mostan azért esküldj meg énnékem az Istenre itt, hogy sem én ellenem, sem fiam, sem unokám ellen álnokságot nem cselekeszel, hanem a minémű irgalmassággal cselekedtem én te veled, ollyan irgalmassággal cselekeszel én velem és e tartománnyal, mellyben jövevény voltál.
Gen.21.24 | És onda Ábrahám: Én megesküszöm.
Gen.21.25 | Megdorgálá pedig Ábrahám Abiméleket a kútért, mellyet erővel elvettek vala az Abimélek szolgái.
Gen.21.26 | És monda Abimélek: Nem tudom kicsoda mívelte e dolgot; te is nem mondottad meg énnékem, nem is hallottam ez előtt e dolgot, hanem e mai napon.
Gen.21.27 | Vett azért Ábrahám juhokat, barmokat, és adá Abiméleknek; és ők ketten szövetséget szerzének.
Gen.21.28 | És állata Ábrahám az ő nyájából hét juhokat félfelé.
Gen.21.29 | És monda Abimélek Ábrahámnak: Mire valóke hét juhok mellyeket félfelé állatál?
Gen.21.30 | És felele Ábrahám: Hogy elvegyed e hét juhokat én tőlem, hogy legyenek énnékem bizonyságul, hogy én ástam ezt a kútat.
Gen.21.31 | Azért nevezék egyenlő akarattal azt a helyet Beersebának, mivelhogy mindketten ott esküdtek vala meg.
Gen.21.32 | És minekutánna szövetséget tettek volna Beersebában, felkele Abimélek és Pikhól az ő népének hadnagya, és megtérének a Filiszteusok tartományába.
Gen.21.33 | És ültete Ábrahám fákat Beersebában, és segítségűl hívá ott az örökkévaló erős Úrnak nevét.
Gen.21.34 | És a Filiszteusok tartományában sok ideig lakék Ábrahám mint jövevény.

Gen.22.1 | És lett ezeknek utánna, az Isten megkisérte Ábrahámot, és monda nékie: Ábrahám! Ki felele: Ímhol vagyok én.
Gen.22.2 | És monda: Vegyed mostan a te fijadat, ama te egyetlenegyedet, a kit szeretsz, tudniillik Izsákot, és mej el Mórijának földére, és áldozd meg ott őtet égő áldozatúl a hegyek közzűl egyen, a mellyet mondándok néked.
Gen.22.3 | Felkele azért Ábrahám jó reggel, és megnyergelé az ő szamarát, és vevé maga mellé két szolgáját, Izsákot is az ő fiját; és mikor az égő áldozathoz fákat hasogatott volna, felkele és elindula a helyre, mellyet néki mondott vala az Isten.
Gen.22.4 | Harmadnapon felemelé az ő szemeit Ábrahám, és látá távol a helyet.
Gen.22.5 | És monda Ábrahám az ő szolgáinak: Maradjatok itt a szamárral, én pedig és e gyermek elmegyünk amoda és minekutánna imádkozándunk, megtérünk hozzátok.
Gen.22.6 | Vevé azért Ábrahám az égő áldozatra való fákat; és adá azokat Izsáknak az ő fijának vállára, ő maga pedig viszi vala kezében a tüzet, és a fegyvert, és ugy mennek vala ketten együtt.
Gen.22.7 | És megszólitván Izsák Ábrahámot az ő attyát, monda: Édes Atyám! Ki monda: Ímhol vagyok édes fiam. És monda Izsák: Ímhol vagyon a tűz és a fa; de hol vagyon az áldozatra való állat?
Gen.22.8 | Felele Ábrahám: Az Isten gondot visel az égőáldozatra való állatra édes fiam; és mennek vala ketten együtt.
Gen.22.9 | És mikor jutottak volna a helyre, mellyet Isten néki mondott vala, készíte ott Ábrahám oltárt, a fát reája raká, és megkötözé Izsákot az ő fiját, és felveté őtet az oltárra, a fára felül.
Gen.22.10 | És kinyújtván Ábrahám az ő kezét, vevé az ő fegyverét hogy az ő fiját megölné.
Gen.22.11 | Akkor szólítá őtet az Úrnak Angyala az égből, és monda: Ábrahám! Ábrahám! ki felele: Ímhol vagyok én,
Gen.22.12 | És monda: Ne nyujtsd ki a te kezedet e gyermekre, és ne bántsad őtet: mert most esmértem meg hogy féled te az Istent, hogy nem kedvezél a te fijadnak, a te egyetlenegyednek én érettem.
Gen.22.13 | És mikor felemelte volna Ábrahám az ő szemeit, látá hogy egy kos akadt meg szarvánál fogva a szövevényben a háta megett, és elmenvén Ábrahám, előhozá a kost, és azt áldozá meg égőáldozatúl az ő fija helyett.
Gen.22.14 | Annakokáért nevezé Ábrahám azt a helyet illy névvel: Az Úr gondot visel. Azért mondják most is példabeszédben: az Úrnak hegyén gondot viselnek róla.
Gen.22.15 | Szólítá azután az Úrnak Angyala Árbrahámot másodszor is az égből.
Gen.22.16 | És monda: Én magamra esküszöm azt mondja az Úr: mivelhogy e dolgot cselekedéd, és nem kedvezél a te fijadnak, a te egyetlenegyednek.
Gen.22.17 | Hogy gazdagon megáldalak tégedet, és bővségesen megsokasítom a te magodat int az égnek csillagait, és mint a tenger partján való fövenyet, és a te magod örökség szerinti bírni fogja az ő ellenségeinek kapuit.
Gen.22.18 | És megáldatnak a te magodban a földnek minden nemzetségei, mivelhogy engedtél az én beszédemnek.
Gen.22.19 | Megtére azért Ábrahám az ő szolgáihoz, és felkelének és együtt elmenének Beersebába, mert lakozék Ábrahám Beersebában.
Gen.22.20 | És lett ezeknek utánna hogy megmondák Ábrahámnak: Ám (úgymond) Milkha is szült fiakat Nákhornak a te atyádfiának.
Gen.22.21 | Uzt elsőszülöttét, és Búzt annak attyafiát, és Kémuelt az Árámnak attyát.
Gen.22.22 | Khésedet, Házót, Pildást, Jidláfot és Béthuelt.
Gen.22.23 | Béthuel pedig nemzé Rebekát. E nyolcz fiakat szülé Milkha Nákhornak az Ábrahám attyafiának.
Gen.22.24 | Az ő ágyasa is, kinek neve Reuma vala, szülé néki Tebát, Gakhámot, Thakhást, és Mahakát.

Gen.23.1 | Vala pedig Sárának élete száz huszonhét esztendő; ez esztendők voltak a Sára életének esztendei.
Gen.23.2 | És meghala Sára Kirját-Arba nevű városban (melly most Hebronnak hivattatik) a Kanaánnak tartományában, és béméne Ábrahám hogy síratná és kesergené Sárát.
Gen.23.3 | Felkele azután Ábrahám az ő halottja elől, és szóla a Khét fijainak ezt mondván:
Gen.23.4 | Idegen és jövevény vagyok ti közöttetek: Adjatok nékem temetésre való örökséget közöttetetek, hogy temessem el az én halottamat, ki én előlem elvétetett.
Gen.23.5 | Felelének pedig a Khéth fijai Ábrahámnak mondván őnéki;
Gen.23.6 | Hallgasd meg a mi beszédünket jó uram: Istentől való fejedelem vagy mi közöttünk, a mi temetőhelyeink közzül a melly legtisztességesb, abba temesd el a te halottadat, senki mi közzűlünk meg nem tiltja az ő temetőhelyét, hogy ott ne temetnéd el a te halottadat.
Gen.23.7 | Felkele azért Ábrahám, és meghajtá magát annak a tartománynak népének, tudniillik, a Khét fijainak.
Gen.23.8 | És szóla ő velek ezt mondván: Ha azt akarjátok hogy én eltemessem az én orczám elől elvett halottamat, hallgassatok meg engemet, és esedezzetek én érettem Efron előtt, Sohárnak fija előtt.
Gen.23.9 | Hogy adja nékem a Makpelában kőböl kivágott temetőhelyét; melly az ő mezejének szélében vagyon: igaz árrán adja nékem azt, ti köztetek temetésre való örökségül.
Gen.23.10 | Efron pedig ül vala a Khéth fijai között. Felele azért az Efron Khitteus Ábrahámnak, a Khéth fijai hallásokra mint azoknak tudniillik, a kik bémennek vala az ő városának kapuján, ezt mondván:
Gen.23.11 | Nem úgy szerető uram, halld meg az én szómat: azt a mezőt néked adom, és a melly kőböl vágott temetőhely abban vagyon néked adom, az én nemzetségemből való nép előtt néked adom azt, hogy eltemessed a te halottadat.
Gen.23.12 | Akkor meghajtá magát Ábrahám, annak a tartománynak népe előtt.
Gen.23.13 | És szólítá Efront annak a tartománynak népének hallására, ezt mondván: Ha te vagy az, a ki nékem adod a mezőt, kérlek halld meg beszédemet: megadom a mezőnek árrát, kérlek vedd el tőlem; azután eltemetem ott az én halottamat.
Gen.23.14 | Ismét felele Efron Ábrahámnak, mondván néki:
Gen.23.15 | Szerető uram! hallgasd meg az én beszédemet: A föld négyszáz ezüst siklust ér, én közöttem és te közötted való barátságra nézve, micsoda ez? Azért temesd el a te halottadat.
Gen.23.16 | Engede azért Ábrahám Efronnak és megadá Ábrahám Efronnak mérték szerint azt a pénzt, mellyet mondott vala a Khéth fijainak hallásokra, tudniillik négyszáz ezüst siklusokat, minéműkkel élnek vala a közönséges adásban-vevésben.
Gen.23.17 | És ezenképen az Efron mezeje, melly Makpelában vagyon, melly Mamrénak ellenében vagyon, mind a kőböl vágott temetőhellyel egyben, melly abban vagyon, és minden fákkal mellyek valának a mezőben, és annak egész határában köröskörűl. Ábrahámé lett.
Gen.23.18 | És örökségűl Ábrahámnak adattaték a Khéth fijainak szemek előtt, és mind azoknak szemek előtt, kik az ő városának kapuján bémennek vala.
Gen.23.19 | Azután eltemeté Ábrahám az ő feleségét Sárát a Makpela mezejének kőböl vágott koporsójában Mamré ellenébe, melly most Hebronnak mondatik, Kanaánnak tartományában.
Gen.23.20 | Mindenutánna az a mező és abban való kőkoporsó Ábrahámtól megvétetett volna a Khéth fijaitól örökség szerint való temetőhelynek.

Gen.24.1 | Ábrahám pedig immár vén ember vala és idős, és az Úr mindenekben megáldotta vala Ábrahámot.
Gen.24.2 | Monda azért Ábrahám az ő háza öregebb szolgájának, ki őnéki minden hozzá tartozó jószágával bír vala: Tégyed most a te kezedet az én tomporom alá.
