John.1.1 | Kezdetben vala amaz Íge, és az az Íge vala Istennél, és az az Íge Isten vala.
John.6.11 | Vevé pedig azokat a kenyereket Jézus, és hálákat adván, osztá a tanitványoknak, a tanitványok pedig a leült népnek; hasonlatosképen azokból a halacskákból is, a mennyit akarnak vala.
John.6.12 | Minekutánna pedig eleget ettek volna, monda Jézus az ő tanitványinak; Szedjétek fel a maradék darabokat, h ogy semi el ne vesszen benne.
John.6.13 | Felszedék azért, és megtöltének tizenkét kosarakat darab kenyerekkel, az öt árpakenyérből, melyek maradtak vala azoktól, a kik ettek vala.
John.6.14 | Azok annakokáért mikor látták volna e csudát, melyet Jézus tett vala, ezt mondják vala: Bizony ez ama Próféta, a ki eljövendő vala e világra.
John.6.15 | Jézus azért mikor eszébe vette volna, hogy el akarnának jönni, és őtet elragadván Királylyá tenni, elméne viszontag maga a hegyre.
John.6.16 | Mikor pedig estve lett volna, az ő tanitványai szállának a tengerre.
John.6.17 | És a hajóba bémenvén, akarnak vala menni a tengeren túl Kapernaum felé: immár pedig setét vala, és Jézus nem ment vala ő hozzájok.
John.6.18 | És a tenger a nagy szélnek fuvása miatt háborog vala.
John.6.19 | Mikor azért bémentek volna, mintegy huszonöt vagy harmincz futamatra, látták Jézust járni a tengeren, és a hajóhoz közelgetni, és megrémülének.
John.6.20 | Ő pedig mondanékik: Én vagyok, ne féljetek!
John.6.21 | Bévevék azért őtet örömest a hajóba, és a hajó azonnal eljuta a tartományba, a melybe akarnak vala menni.
John.6.22 | Másodnapon a sokaság, mely a tengeren túl áll vala, mikor látta volna, hogy nincsen ott több hajó annál az egynél, melybe a Jézus tanitványai bémentek vala, és hogy Jézus nem ment volna bé a hajóba az ő tanitványival; hanem csak az ő tánitványai mentek volna el.
John.6.23 | És hogy Tibériásból jöttek volna, más valami hajók a mellé a hely mellé, a hol a kenyereket ették vala az Úr hálaadása után.
John.6.24 | Mikor azért látta volna a sokaság, hogy sem Jézus, sem az ő tanitványai nem volnának ott, ülének ők is hajókra, és menének Kapernaumba, keresvén Jézust.
John.6.25 | És megtalálván őtet a tengeren túl, mondának néki: Mester! mikor jutottál ide?
John.6.26 | Felele nékik Jézus és monda: Bizony bizony mondom néktek: Kerestek engemet, nem hogy láttátok a jeleket, hanem hogy ettetek ama kenyrekben és megtelt vala hasatok.
John.6.27 | Munkálódjatok nem az eledelért a mely elvész, hanem az eledelért, mely megmarad az örök életre, melyet az embernek Fija ád néktek: Mert ezt e végre pecsételte el az Atya, tudniillik az Isten.
John.6.28 | Mondának azért néki: Mit cselekedjünk, hogy az Istennek dolgait cselekedjük?
John.6.29 | Felele Jézus és monda nékik: Ez az isteni cselekedet, hogy hidjetek abban, a kit ő elbocsátott.
John.6.30 | Mondának azért néki: Micsoda jelt mutatsz azért, hogy azt lássuk és hidjünk néked? mit cselekeszel?
John.6.31 | A mi Atyáink ettek Mannát a pusztában, mint meg vagyon irva: Mennyei kenyeret ada nékik, hogy ennének.
John.6.32 | Monda azért Jézus: Bizony bizony mondom néktek: Nem adta Mózes néktek ama mennyei kenyeret, hanem az én Atyám adja néktek amaz igaz mennyei kenyeret.
John.6.33 | Mert az Istennek ama kenyere az, a ki leszállott menyből, és ád életet e világnak.
John.6.34 | Mondának azért néki: uram, ajad nékünk mindenkor e kenyeret:
John.6.35 | Monda pedig nékik Jézus: Én vagyok az életnek ama kenyere; a ki én hozzám jő, semmiképen meg nem éhezik, és a ki hiszen én bennem, meg nem szomjuhozik soha.
John.6.36 | De mondám néktek, hogy láttatok is engem, de ugyan nem hisztek.
John.6.37 | A mit nékem ád az én Atyám, én hozzám jő, és azt, a ki én hozzám jő, semmiképen nem vetem ki;
John.6.38 | Mert leszállottam mennyből, hogy cselekedjem nem az én akaratomat; hanem annak akaratját, a ki engem elküldött.
John.6.39 | E pedig annak akaratja a ki engem elbocsátott, tudniillik az Atyáé, hogy valamit nékem adott, abban semmit el ne veszessek, hanem feltámasszam azt amaz utolsó napon.
John.6.40 | Ez is pedig annak akaratja, a ki engem elbocsátott, hogy minden, valaki látja a Fiút és hiszen ő benne, örök élete legyen, és én feltámasszam azt amaz utolsó napon.
John.6.41 | Zörgölődnek vala azért a Zsidók azon, mivelhogy ezt mondotta vala: Én vagyok ama kenyér, mely a mennyországból szállott alá.
John.6.42 | És mondának vala: nem ez-é ama Jézus, Józsefnek fija, kinek mi ismertük mind attyát s mind annyát? Mimódon mondja azért ő: Mennyből jöttem alá.
John.6.43 | Felele azért Jézus és monda nékik: Ne háborogjatok ti köztetek.
John.6.44 | Senki nem jöhet én hozzám, hanem ha az Atya, a ki engem elbocsátott, vonandja azt: én pedig feltámasztom azt amaz utolsó napon.
John.6.45 | Meg vagyon irva a Prófétáknál: És lesznek, ugymond, mindnyájan Istentől tanittattak: A ki azért az Atyától hallott és tanult, az én hozzám jő.
John.6.46 | Nem hogy az Atyát látta volna valaki, hanem csak az, a ki Istentől vagyon; ez látta az Atyát.
John.6.47 | Bizony bizony mondom néktek: A ki én bennem hiszen, örök élete vagyon annak.
John.6.48 | Én vagyok az életnek ama kenyere.
John.6.49 | A ti atyáitok ettek Mannát a pusztában, és megholtak.
John.6.50 | Ez ama kenyér, a ki mennyből jött alá, hogy a ki abban eszik, meg ne haljon.
John.6.51 | Én vagyok amaz élő kenyér, ki mennyből leszállottam. Ha valaki eszik e kenyérben, él örökké; a kenyér pedig melyet én adok, az én testem, melyet én adok e világ életéért.
John.6.52 | Tusakodnak vala azért a Zsidók egyik a másik ellen, ezt mondván: Mimódon adhatja ez nékünk az ő testét, hogy azt együk?
John.6.53 | Monda azért nékik Jézus: Bizony mondom néktek: Ha nem eszitek az ember Fijának testét, és nem ijándjátok az ő vérét; nem lészen élet ti bennetek.
John.6.54 | A ki eszi az én testemet, és issza az én véremet, örök élete vagyon annak; és én feltámasztom azt amaz utolsó napon:
John.6.55 | Mert az én testem bizony étel, és az én vérem bizony ital.
John.6.56 | A ki eszi az én testemet, és issza az én véremet, az én bennem lakozik, és én is abban.
John.6.57 | Miképen elbocsátott engemet amaz élő Atya, és mint én is élek az Atya által, ugy a ki engemet eszen, él az is én általam.
John.6.58 | Ez ama kenyér, a ki mennyországból jött alá: nem ugy mint a ti atyáitok ettek Mannát és megholtak; a ki e kenyeret ejéndi, él mind örökké.
John.6.59 | Ezeket mondá a zsinagógában, mikor tanitana Kapernaumban.
John.6.60 | Sokan azért az ő tanitványai közzűl ezeket hallván, mondának: Kemény beszéd ez; kicsoda hallgathatja őket?
John.6.61 | Tudván azért Jézus magában, hogy az ő tanitványai ezen háborognának, monda nékik: ez bánta-é meg titeket?
John.6.62 | Ha azért látandjátok az embernek Fiját felmenni oda, a hol először volt, mit mondotok?
John.6.63 | A lélek az, a mely megelevenit, a test nem használ semmit; a beszédek, melyeket én szólok néktek, lélek és élet.
John.6.64 | De vagynak ti közzűletek némellyek, kik nem hisznek: Mert tudja vala Jézus eleitől fogva, kicsodák volnának, a kik nem hisznek vala, és kicsoda árulná el őtet.
John.6.65 | És ezt mondja vala: Azért mondám néktek, hogy senki nem jöhet én hozzám, hanem ha adatik néki az én Atyámtól.
John.6.66 | Az időtől fogva sokan az ő tanitványai közzűl hátra állának, és azután nem járnak vala ő vele.
John.6.67 | Monda azért Jézus a tizenkettőnek: Nemde el akartok-é ti is menni?
John.6.68 | Felele azért néki Simon Péter: Uram, kihez mennénk? örök életnek beszéde vagyon nálad.
John.6.69 | És mi elhittük és megesmértük, hogy te vagy ama Krisztus, az élő Istennek Fija!
John.6.70 | Felele nékik Jézus: Nemde nem tizenketten választálak-é titeket, és mindazáltal eg ti közzűletek ördög.
John.6.71 | Szól vala pedig Júdás Iskáriótesről, Simonnak fijáról: Mert ez árulandó vala el őtet, jóllehet egy volna a tizenkettő közzűl.

John.7.1 | Ezek után jár vala Jézus Galileában: mert nem akar vala Júdeában járni: mivelhogy a Zsidók akarják vala őtet megölni.
John.7.2 | Közel vala pedig a Zsidóknak Sátoros Innepek.
John.7.3 | Mondának azért néki az ő atyafiai: Menj el innét, és menj el Júdeába, hogy a te tanitványid is lássák a te dolgaidat, melyeket cselekeszel;
John.7.4 | Mert senki nem cselekeszik semmit titkon, a ki hires akar lenni. Ha ilyen dolgokat cselekeszel, mutasd meg magadat e világnak;
John.7.5 | Mert az ő atyafiai is nem hisznek vala ő benne.
John.7.6 | Mona azért nékik Jézus: Amaz én időm még el nem jött, a ti időtök pedig mindenkor jelen vagyon.
John.7.7 | Nem gyülölhet titeket e világ, engemet pedig gyűlöl: Met én bizonyságot tészek ő róla, hogy az ő cselekedetei gonoszok.
John.7.8 | Ti menjetek fel a Innepre, én még nem megyek fel az Innepre: mert amaz én időm még nem tölt el.
John.7.9 | Ezeket pedig mikor nékik mondotta volna, marada Galileában.
John.7.10 | Minekutánna pedig felmentek volna az ő attyafiai, ő is felméne az Innepre, de nem nyilván, hanem ugymint titkon.
John.7.11 | A Zsidók azért keresik vala őtet az Innepen, és azt mondják vala: Hol vagyon amaz?
John.7.12 | És a község között nagy zúgolódás vala ő felőle, mert némelyek ezt mondják vala: Jó ember; némelyek ezt mondják vala: Nem, hanem a népnek hitetője.
John.7.13 | Mindazáltal senki nyilván nem szól vala ő felőle, a Zsidóktól való félelem miatt.
John.7.14 | Mikor pedig immár az Innepnek fele elmult volna, felméne Jézus a templomba, és tanit vala.
John.7.15 | És csudálkoznak vala a Zsidók ő rajta, ezt mondván: Mimódon tudja ez az Irásokat, holott nem tanulta azokat?
John.7.16 | Felele nékik Jézus és monda: Az én tudományom nem enyim, hanem azé, a ki engemet elbocsátott.
John.7.17 | A ki akaratja annak akaratját cselekedni, megérti a tudományról, ha Istentől vagyon-é: vagy én magamtól szólok?
John.7.18 | A ki magától szól, a maga saját dicsőségét keresi; a ki pedig keresi annak dicsőségét, a ki őtet elküldötte, ez igaz, és nincsen abban hamisság.
John.7.19 | Nemde nem néktek adta-é Mózes a törvényt, hogy ti közzűletek seki nem tartja meg a törvényt? Miért akartok engemet megölni?
John.7.20 | Felele a sokaság és monda: Ördög vagyon te benned: Kicsoda akar téged megölni?
John.7.21 | Felele Jézus és monda nékik: Egy dolgot cselekedém, és mindnyájan csudálkoztok rajta.
John.7.22 | Maga Mózes adá néktek a korülmetélkedést, (nem hogy Mózestől volna, hanem az Atyáktól) és Szombaton körülmetélitek az embert.
John.7.23 | Hogyha a körülmetélkedést veszi az ember Szombatnapon, hogy mindazáltal a Mózes törvénye meg nem romol, én reám haragusztok, hogy az egész embert meggyógyitottam Szombaton?
John.7.24 | Ne itéljetek külső ábrázat szerint, hanem igaz itélettel itéljetek.
John.7.25 | Mondának vala azért némelyek a Jérusálembeliek közzűl: Nemde nem ez é, a kit meg akarnak ölni?
John.7.26 | Ímé nyilván szól, és semmit nem mernek néki szólni: nemde nem mégismerték-é a Főemberek, hogy bizonyára ez ama Krisztus?
John.7.27 | De jól tudjuk ez honnét való: mikor pedig eljövénd ama Krisztus, senki nem tudhatja honnét való lészen.
John.7.28 | Kiált vala azért Jézus a templomban tanitván, és ezt mondván: Engemet is esmértek, és honnét való legyek azt is tudjátok, és én magamtól nem jöttem; de igaz az, a ki engemet elküldött, kit ti nem esmértek.
John.7.29 | Én pedig esmérem őtet: mert ő tőle vagyok és ő bocsátott engemet.
John.7.30 | Akarják vala azért őtet megfogni: de senki nem vetheté reá a kezét: mert még nem jött vala el amaz ő órája.
John.7.31 | A sokaság közzűl pedig sokan hivének ő benne, és ezt mondják vala: A Krisztus mikor eljő, valjon tehet-é több jeleket azoknál, a melyeket e tett?
John.7.32 | Meghallák a Farizeusok, hogy a község ezeket alattomban szólná ő felőle: és elküldének a Farizeusok, és a Papifejedelmek szolgákat, hogy őtet megfognák.
John.7.33 | Monda azért nékik Jézus: Egy kevés ideig még veletek lészek, azután elmegyek ahoz, a ki engemet elküldött.
John.7.34 | Kerestek engemet, és nem találtok meg: és a hol én lészek, ti oda nem jöhettek.
John.7.35 | Mondának azért a Zsidók magok között: Valjon hová megyen ez, hogy őtet meg nem találhatjuk? nemde azokhoz megyen-é, a kik a Görögök között eloszlattak, és a Görögöket fogja-é tanitani?
John.7.36 | Micsoda beszéd az, a mellyet monda: Kerestek engem, és nem találtok meg engem: a hol én lészek, ti oda nem jöhettek?
John.7.37 | Az Innepnek pedig utolsó nagy napján, megálla Jézus, és kiálta, mondván: Ha valaki szomjúhozik, jöjjön én hozzám, és igyék!
John.7.38 | A ki én bennem hiszen, mint az Irás mondotta, élő viznek folyásai folynak annak hasából.
John.7.39 | Ezt pedig mondja vala a Szent Lélekről, melet vejendők valának az ő benne hivők: mert még nem vala a Szent Lélek, mert Jézus még meg nem dicsőitetett vala.
John.7.40 | Sokan azért a sokaság közzűl, mikor e beszédet hallották volna, ezt mondják vala: Bizony ez ama Próféta.
John.7.41 | Némelyek ezt mondják vala: Ez ama Krisztus. Némelyek pedig ezt mondják vala: Nemde Galileából jő-é el ama Krisztus?
John.7.42 | Nemde nem az Irás mondja-é, hogy a Dávid magvából és Bethlehemnek városából, a hol Dávid lakik vala, jő el ama Krisztus?
John.7.43 | Hasonlás lőn azért a község között ő miatta.
John.7.44 | Némelyek pedig ő közzűlök akarják vala megfogni; de senki nem veté kezeit reá.
John.7.45 | Elmenének azért a szolgáka Papifejedelmekhez és Farizeusokhoz, kik mondának nékik: Miért nem hozátok el őtet?
John.7.46 | Felelének a szolgák: Soha ember ugy nem szólott, mint ez az ember.
John.7.47 | Felelének azért a Farizeusok ő nékik: Nemde ti is elhitettetk-é?
John.7.48 | Nemde a Főemberek közzűl vagy a Farizeussok közzűl hitté-é ő benne valaki?
John.7.49 | De e község, mely nem tudja a törvényt, átkozott.
John.7.50 | Monda nékik Nikodémus, az a ki ő hozzá ment vala éjjel, és azok közzűl egy vala.
John.7.51 | Nemde a mi törvényünk kárhoztat e valakit, hanem ha először annak szavát meghallja, és megérti mit cselekedett?
John.7.52 | Felelének és mondának néki: Nemde te is Galileus vagy-é? tudakozzál róla, és lásd meg, hogy Galileából Próféta nem támadott:
John.7.53 | És kiki elméne a maga házához.

John.8.1 | Jézus pedig elméne az Olajfák hegyére.
John.8.2 | És jó reggel viszontag a templomban jelen vala, és mind a sokaság méne ő hozzá, és ülvén tanitja vala őket.
John.8.3 | Vivének pedig ő hozzá az Irástudók, és a Farizeusok egy asszonyt, kit paráznaságban találtak vala; és mikor azt előállatták volna középben,
John.8.4 | Mondának néki: Mester! Ez asszony találtatott szintén a cselekedeten, mikor paráználkodnék.
John.8.5 | A törvényben pedig Mózes megparancsolta nékünk, hogy az ilyenek kővel verettessenek agyon; te azért mit mondasz?
John.8.6 | Ezt pedig mondják vala kisértvén őtet, hogy őtet vádolhatnák. Jézus pedig aláhajolván, az ujjával ir vala a földön.
John.8.7 | Mikor pedig szorgalmaztatnák a kérdéssel, felegyenesedék, és monda nékik: A ki ti közzűletek bün nélkül való, az vessen először követ ő reá.
John.8.8 | És viszontag lehajolván, a földön ir vala.
John.8.9 | Mikor pedig ezekeet hallották volna, mivelhogy lelkiesméretek vádolja vala őket, egymás után kimenének egyenként, elkezdvén a vénektől mind az utolsóig, és csak egyedül Jézus marada, és az asszonyt középben állván.
John.8.10 | Mikor pedig Jézus felegyenesitette volna magát, és senkit nem látna az asszonynál egyebet, monda néki: Asszony, hol vagynak azok a te vádolóid? senki nem kárhoztat-é téged?
John.8.11 | És az monda: Senki nem Uram! Monda pedig néki Jézus: Én is nem kárhoztatlak téged: eredj el, és többé ne vétkezzél.
John.8.12 | Ismét szóla azért Jézus nékik, mondván: Én vagyok e világnak ama Világossága: a ki követ engem, nem jár a setétben, hanem éleetnek világa lészen annak.
John.8.13 | A Farizeusok azért mondának néki: Te tészes magad felől bizonyságot, a te bizonyságtételed nem igaz!
John.8.14 | Felele Jézus és monda nékik: Ha én magam tészek is magam felől bionyságot, az én bizonyságtételem igaz: mert tudom honnét jöttem, és hová megyek; ti pedig nem tudjátok honnét jöttem, és hová megyek.
John.8.15 | Ti test szerint itéltek, én senkit nem itélek.
John.8.16 | Hogyha itélek is én, az én itéletem igaz: mert én egyedül nem vagyok, hanem én és az Atya, a ki elküldött engem.
John.8.17 | A ti törvénytekben is pedig meg vagyon irva, hogy két embernek bizonyságtétele erős.
John.8.18 | Én vagyok a ki bizonyságot tészek magam felől, és bizonyságot tészen én felőlem, a ki elbocsátott engem, az Atya.
John.8.19 | Mondának vala azért néki: Hol vagyon az a te Atyád? Felele Jézus: Sem engemet nem esmértek, sem az én Atyámat; ha engemet esmértek, az én Atyámat is esmérnétek.
John.8.20 | E beszédeket mondá Jézus a kincstartó helyen, tanitván a templomban, és senki nem fogá meg őtet: mert még el nem jött vala amaz ő órája.
John.8.21 | Monda azért ismét nékik Jézus: Én elmegyek, és kerestek engemet, és a ti büneitekben meghaltok; a hová én megyek, ti oda nem jöhettek.
John.8.22 | Mondának azért a Zsidók: Nemde megöli-é magát, hogy ezt mondja? A hová én megyek, ti oda nem jöhettek?
John.8.23 | Akkor monda nékik: Ti innét alól valók vagytok, én onnét felül való vagyok; ti e világból valók vagytok, én nem vagyok e világból való.
John.8.24 | azért mondám néktek, hogy meghaltok a ti büneitekben. Mert ha nem hiszitek, hogy én vagyok, meghaltok a ti büneitekben.
John.8.25 | Mondának azért néki: Te ki vagy? Akkor monda nékik Jézus: Az vagyok, a minek eleitől fogva mondottam néktek magamat.
John.8.26 | Sokak volnának, a melyeket ti felőletek kellene szólnom és megitélnem; de a ki engemet elbocsátott igaz az, és a melyeket én ő tőle hallottam, azokat szólom e világnak.
John.8.27 | És nem vevék eszekbe, hogy ő az Atyáról szólna nékik.
John.8.28 | Monda azért nékik Jézus: Mikor felmagasztaljátok az embernek Fiját, akkor megesméritek hogy én vagyok, és én magamtól semmit nem cselekeszem, hanem a mint tanitott engem az Atya, azokat szólom.
John.8.29 | Mert a ki engem elbocsátott, én velem vagyon, nem hagyott egyedül engem az Atya: mert én mindenkor azokat cselekeszem, a melyek néki kedvesek.
John.8.30 | És mikor ezeket mondaná, sokan hivének ő benne.
John.8.31 | Monda vala azért Jézus azoknaka Zsidóknak, a kik hittek vala néki: Ha ti megmaradtok az én beszédemben, bizony én tanitványaim lésztek.
John.8.32 | És megesméritek az igazságot, és az igazság szabadosokká tészen titeket.
John.8.33 | Felelének néki: Ábrahám magva vagyunk, és soha senkinek nem szolgáltunk, mimódon mondod te: Ti szabadosok lésztek?
John.8.34 | Felel nékik Jézus: Bizony bizony mondom néktek: Valaki bünt cselekeszik, szolgája a bünnek.
John.8.35 | A szolga pedig nem marad mind örökké a házban; a fiú örökké ott marad.
John.8.36 | Azért ha a fiú megszabadit titeket, bizonnyal szabadosok lésztek.
John.8.37 | Tudom hogy Ábrahám magva vagytok; de engemet meg akartok ölni: mert az én beszédemnek nincsen helye nálatok.
John.8.38 | Én azt szólom, a mit az én Atyámnál láttam, ti is azt cselekeszitek, a mit láttatok a ti atyátoknál.
John.8.39 | Felelének és mondának néki: A mi Atyánk Ábrahám. Monda nékik Jézus: Ha Ábrahám fijai volnátok, az Ábrahám cselekedeteit cselekednétek.
John.8.40 | Most pedig igyekeztek engemet megölni, oly embert, ki igazságot szóltam néktek, melyet hallottam Istentől: Ábrahám ezt nem mivelte.
John.8.41 | Ti a ti atyátoknak cselekedeteit cselekeszitek. Mondának azért néki: Mi paráznaságból nem nemzettünk: egy Atyánk vagyon, tudniillik az Isten.
John.8.42 | Monda azért nékik Jézus: Ha az Isten volna néktek atyátok, szeretnétek engemet: mert én az Istentől származtam és jöttem: mert én magamtól nem jöttem, ő küldött engemet.
John.8.43 | Miért nem esméritek az én szólásomat? Mert nem hallhatjátok az én beszédemet.
John.8.44 | Ti az ördög atyától valók vagytok, és a ti atyátoknak kivánságit akarjátok teljesiteni. Az eleitől fogva ember öldöklő volt, és az igazságban nem állott meg: mert nincsen ő benne igazság. Valamennyiszer hazugságot szól, az ő magájéból szól: mert hazug ő, és hazugságnak attya.
John.8.45 | Ti pedig, mivelhogy én igazságot szólok, miért nem hisztek nékem.
John.8.46 | Kicsoda győzhetne meg engemeet ti közzűletek a bűnről? ha igazságot szólok, miért nem hisztek nékem?
John.8.47 | A ki Istentől vagyon, hallgatja az Isten beszédét; azért nem hallgatjátok ti; mert Istentől nem vagytok.
John.8.48 | Felelének azért a Zsidók és mondának néki: Nem igazán mondjuk-é mi, hogy Samaritánus vagy te, és ördög vagyon benned?
John.8.49 | Felele Jézus: Én bennem ördög nincsen, de tisztelem az én Atyámat, és ti bosszusággal illettek engemet.
John.8.50 | Én pedig nem keresem az én dicsőségemet: vagyon ki keressek és megitélje.
John.8.51 | Bizony bizony mondom néktek: Valaki az én beszédemet megtartándja, soha halált nem lát.
John.8.52 | Mondának azért néki a Zsidók: Most vesszük eszünkbe, hogy ördög vagyon benned. Ábrahám megholt, a Próféták is megholtak; te pedig ezt mondod: A ki az én beszédemet megtartja, a halált soha meg nem kóstolja.
John.8.53 | Nagyobb vagy-é te a mi atyánknál Ábrahámnál, ki megholt? A Próféták is megholtak; kicsodának állitod te magadat?
John.8.54 | Felele Jézus: Ha én dicsőitem magamat, az én dicsőségem semmi; az én Atyám az, a ki engemet megdicsőit, a kit mondotok ti Istenteknek.
John.8.55 | Noha nem esméritek őtet, én pedig esmérem őtet; és ha azt mondándom hogy nem esmérem őtet, hasonlatos hazug lészek hozzátok; de őtet esmérem és aző beszédét megtartom.
John.8.56 | Ábrahám a ti atyáok nagy kivánsággal kivánta látni ezt az én napomat, látta is, és örvendezett.
John.8.57 | Mondának néki azért a Zsidók: ötven esztendőd nincsen még, és Ábrahámot láttad?
John.8.58 | Monda nékik Jézus: Bizony bizony mondom néktek: Minekelőtte Ábrahám vona, én vagyok.
John.8.59 | Ragadozának azért köveket, hogy ő reá hajigálnák: Jézus pedig elrejté magát, és kiméne a templomból, általmenvén ő köztök: és ilyen módon elméne.

John.9.1 | És elmenvén láta egy embert, ki születésétől fogva vak vala.
John.9.2 | És megkérdék őtet az ő tanitványai, mondván: Mester, melyik vétkezett, ez é, vagy ennek szülei, hogy ez vakon születtetnék?
John.9.3 | Felele Jézus: Sem ez nem vétkezett, sem ennek szüléi, hanem szükség volt, hogy az Isten dolgai megjelentessenek ebben.
John.9.4 | Szülség nékem annak cselekedetit cselekednem, a ki engem elbocsátott, mig nappal vagyon; eljő az éjszaka, mellyen senki nem cselekedhetik.
John.9.5 | Mig e világon lejéndek, e világnak Világossága vagyok.
John.9.6 | Ezt mikor mondotta volna, a földre pöke, és az ő nyálából sárt csinála, és a sárt annak a vaknak szemeire kené.
John.9.7 | És monda néki: Menj el, mosdjál meg a Siloám halastóban (mely annyit tészen ha megmagyarázod, mint: Elküldetett.) Elméne azért és megmosdék, és megtére látva.
John.9.8 | A szomszédok azért, és a kik az előtt látták vala azt, hogy vak volna, mondának vala: Nemde nem ez vala-é, a ki ülvén koldul vala?
John.9.9 | Némelyek ezt mondják vala: Ez az, némelyek pedig : Hasonlatos úgymond ahoz. Az pedig ezt mondja vala: Én vagyok az.
John.9.10 | Mondának azért néki: Mimódon nyilatkozának meg a te szemeid?
John.9.11 | Felele az és monda: egy ember a ki Jézusnak mondatik, sárt csinála és az én szemeimet azzal megkené, és monda nékem: Menj el a Siloám halastóra és mosdjál meg. És minekutánna elmentem volna. és megmosdottam volna, az én szemem világa megjöve.
John.9.12 | Mondának azért néki: Hol vagyon az? És monda: Nem tudom.
John.9.13 | Vivék őtet a Farizeusokhoz, azt a ki az előtt vak vala.
John.9.14 | Vala pedig Szombat, mikor Jézus a sárt csinála vala, és a vaknak szemeit megnyitotta vala.
John.9.15 | Ismét azért megkérdék őtet a Farizeusok is, mimódon nyiltak volna meg az ő szemei? És monda nékik: Sárt kent az én szemeimre, és megmosdám, és látok.
John.9.16 | Némellyek azért a Farizeusok közzűl mondnak vala: Ez az ember nincs Istentől; mert nem tartja meg a Szombatot. Némellyek ezt mondják vala: Mimódon tehet bünös ember illyen jeleket? És hasonlás vala ő köztök.
John.9.17 | Ismét mpndának a vaknak: Te mit mondasz a felől, hogy megnyitotta a te szemeidet? És az monda: Próféta az.
John.9.18 | Nem hivék azért a Zsidók az ember felől, hogy vak volt volna, és szemei megnyiltak volna; mignem hivák annak szüléit, annak a kinek szemei megnyiltak vala.
John.9.19 | És megkérdék őket, mondván: Ez é a ti fiaitok, kiről ti azt mondjátok, hogy vakon született volt? mimódon lát azért most?
John.9.20 | Felelének néki annak szülei és mondának: Tudjuk hogy ez a mi fiunk, és hogy vakon született.
John.9.21 | De mimódon lát most, nem tudjuk: vagy kicsoda nyitotta meg az ő szemeit, mi nem tudjuk: ideje vagyon hozzá, magát kérdjétek meg, ő maga szól maga felől.
John.9.22 | Ezeket mondák annak szüléi, mivelhogy félnek vala a Zsidóktól: mert immár elvégezték vala a Zsidók, hogy valaki Krisztusnak vallaná Jézust, a Gyülekezetből kirekesztetnék.
John.9.23 | Azért mondák annak szüléi: Elég ideje vagyon, magát kérdjétek meg.
John.9.24 | Másodszor is szóliták azért az embert, a ki vak volt, és mondának néki: Adj dicsőséget az Istennek; mit tudjuk, hogy ez az ember bűnös.
John.9.25 | Felele azért az, és monda: Azt én nem tudom ha bűnös é; ez egyet tudom, hogy vak voltam, és most látok.
John.9.26 | Mondának pedig néki ismét: Mit cselekedél veled? mimódon nyitá meg a te szemeidet?
John.9.27 | Felele nékik: Immér megmondottam néktek, s nem hallátok! miért akarjátok ismét hallani? nemde ő tanitványai akartok é ti is lenni?
John.9.28 | Megszidalmazák azért azt, és mondának: Te légy ő tanitványa: mi pedig Mózes tanitványai vagyunk.
John.9.29 | Mi tudjuk hogy Isten szólott Mózesnek; ez pedig honnét legyen, nem tudjuk.
John.9.30 | Felele az ember és monda nékik: Bizony csuda ez, hogy nem tudjátok honnét legyen, holott az én szemeimet megnyitotta.
John.9.31 | Tudjuk pedig, hogy az Isten a bűnösöket meg nem hallgatja: de a ki az Istent tiszteli, és annak akaratját cselekeszi, azt hallgatja meg.
John.9.32 | Öröktől fogva nem hallatott, hogy valaki vakon született embernek szemeit megnyitotta volna.
John.9.33 | Ha Isstentől nem volna ez, semmi illyet nem cselekedhetnék.
John.9.34 | Felelének és mondának néki: Te mindenestől bűnben születtél, és te tanitasz é minket? És kiveték őtet a Gyülekezetből.
John.9.35 | Meghallá Jézus hogy azt kivettték volna; és mikor megtalálta volna őtet, mona néki: Te hissz é az Istennek fijában?
John.9.36 | Felele az, és monda: Uram, kicsoda az, hogy hidjek ő benne?
John.9.37 | Monda pedig néki Jézus: Láttad is őtet, és a ki veled szól, az az.
John.9.38 | És az monda: Hiszek, Uram! És imádá őtet.
John.9.39 | És monda Jézus: Hogy itéletet tegyek azért jöttem én e világra, hogy a kik nem látnak, lássanak: és a kik látnak, vakok legyenek.
John.9.40 | Meghallák azért ezeket a Farizeusok közzűl némellyek, kik vele valának, és mondának néki: Nemde mi is vakok vagyunk é?
John.9.41 | Monda nékik Jézus: Ha vakok volnátok, nem volna bűnötök; de mivelhogy ezt mondjátok: Látunk, azért a ti bűnötök megmarad.

John.10.1 | Bizony, bizony mondom néktek: A ki a juhoknak aklokba nem az ajtón megyen bé, hanem másonnét hág bé, lopó és tolvaj az.
John.10.2 | A ki pedig az ajtón megyen bé, a juhoknak pásztora az.
John.10.3 | Ennek megnyitja az ajtót az ajtónálló, és a juhok annak szavát hallják, és az ő juhait neveken nevezi, és azokat kiviszi.
John.10.4 | És mikor kibocsátja az ő juhait, előttök megyen; és a juhok őtet követik; met az ő szavát esmérik.
John.10.5 | Idegen pásztort pedig nem követnek, hanem elfutnak attól: mert nem esmérik az idegeneknek szavokat.
John.10.6 | E példabeszédet mondá nékik Jézus; azok pedig nem érték micsoda volna, a mit nékik szóla.
