Mark.1.1 | Jézus Krisztusnak, az Isten Fijának Evangyéliomának kezdete.
Mark.6.20 | Mert Héródes féli vala Jánost, mivelhogy tudta hogy igaz és szent ember volna, és becsüli valaőtetés az ő intésének hallására sok dolgot cselekeszik vala, és örömest hallgatja őtet,
Mark.6.21 | Mikor azért alkalmatos ideje jött volna, mikor Héródes az ő születése napján az ő Főszolgáinak, a Hadnagyoknak és Galilea Főembereinek vacsorát szerezne:
Mark.6.22 | És bément volna Héródiás leánya és ott tánczolt volna, és az tetszett volna Héródesnek és a vendégeknek, a Király monda a leánynak: Kérj tőlem a mit akarsz és megadom.
Mark.6.23 | És megesküvék néki: Valamit kéréndesz én tőlem, megadom néked, ha országomnak felét kéred is.
Mark.6.24 | És az kimenvén, monda az ő annyának: Mit kérjek? Ama pedig monda: A Keresztelő János fejét.
Mark.6.25 | A leány azért vigan azonnal bémenvén a Királyhoz, azt kéré mondván: Azt akarom, hogy mindjárt hozasd ide nékem egy tálban a Keresztelő János fejét.
Mark.6.26 | A Király pedig igen megszomorodék, mindazáltal az ő esküvéséért és azokért, kik a lakodalomban valának, nem akará annak kérését megvetni.
Mark.6.27 | És a Király azonnal elküldvén a hóhért, megparancsolá, hogy a Keresztelő János fejét előhozná.
Mark.6.28 | Az annakokáért elméne és fejét vevé néki a tömlöczben, és előhozá az ő fejét egy tálban, és adá azt a leánynak, és a leány az ő annyának adá.
Mark.6.29 | És mikor ezt meghallották volna az ő tanitványai, eljövének és elvivék az ő testét, és helyhezteték azt koporsóba.
Mark.6.30 | Az Apostolok pedig haza jövének Jézushoz, és megbeszéllének néki mindeneket, mind mit cselekedtek, mind a mit tanitottak volna.
Mark.6.31 | És monda nékik: Jertek el ti magatok félfelé a pusztába, és nyugodjatok meg egy kevéssé: mert sokan valának a jövők s menők, és ingyen sem ehetnek vala.
Mark.6.32 | Elmenének azért puszta helyre, hajón csak magok.
Mark.6.33 | Látá pedig a sokaság, hogy ők elmenének, és sokan megesmérék őtet, és gylog minden városokból gyülének oda, és eleiket vevék nékik, és hozzá gyűlének.
Mark.6.34 | És kimenvén, látá a nyag sokaságot Jézus, és könyörületességre indula rajtok, mert ollyanok valának mint a pásztor nélkül való juhok: és kezdé őket sok dologra tanitani.
Mark.6.35 | Mikor pedig immár nagy idő volna, hozzá mennének az ő tanitványai, ezt mondván: Puszta ez hely, és immár nagy idő vagyon.
Mark.6.36 | Bocsásd el őket, hogy elmenvén a körülvaló majorokba és falukba, végyenek magoknak kenyeret: mert nincsen mit egyenek.
Mark.6.37 | Ő pedig felelvén, monda nékik: adjatok enniek ti. Akkor mondának néki: Hanemha elmegyünk, hogy vegyünk ezeknek kétszáz pénz árú kenyereket, és nékik adjuk hogy egyenek.
Mark.6.38 | Ő pedig monda nékik: Hány kenyeretek vagyon? menjetek el és lássátok meg. És azok meglátván, mondának: Öt kenyerünmk és két halunk vagyon.
Mark.6.39 | Akkor parancsolá Jézus, hogy mind leültetnék őket a zöld pázsiton, mint szoktak asztalhoz ülni lakodalomban.
Mark.6.40 | Letelepedének azért külön-külön seregenként, százanként és ötvenenként.
Mark.6.41 | És minekutánnak vette volna az öt kenyereket és a két halakat, az égre feltekintvén, hálákat ada, és megszegé a kenyereket, és adá az ő tanitványinak, hogy azok eleibe adnák, és a két halat is elosztá mindennek.
Mark.6.42 | Evének azért mindnyájanm és megelégedének.
Mark.6.43 | És felszedék a maradék darab kenyereket tizenkét teljes kosarakkal és a halakból is.
Mark.6.44 | Valának pedig a kik ettek mintegy ötezer férjfiak.
Mark.6.45 | És azonnal kénszeriti az ő tanitványit hajóba ülni, és elől elmenni Bethsaidába a tulsó partra, mig ő elbocsátaná a sokaságot.
Mark.6.46 | És mikor elbocsátotta volna őket, elméne a hegyre imádkozni.
Mark.6.47 | Mikor pedig késő estve volna, vala a hajó a tnegernek közepén, és ő maga egyedül a földön.
Mark.6.48 | És látá őket, hogy a hajónak evezésében veszekednének, (mert ellenkező szél fú vala) és az éjszakának negyedrészekor hozzájok méne, járván a tengeren, és l akar vala mellőlök elmenni.
Mark.6.49 | Azok pedig mikor látták volna őtet a tengeren járni, álliták lenni valami elmulandó látásnak, és kezdének kiáltani.
Mark.6.50 | (Mert mindnyájan látják vala őtet és megháborodána), de azonnal megszólítá őket, és monda: Bátorságosok legyetek, én vagyok, ne féljetek.
Mark.6.51 | Akkor bémene hozzájok a hajóba, és megálla a szél: és ők magokban annál inkább álmélkodnak és csudálkoznak vala;
Mark.6.52 | Mert nem jutott vala eszekbe az öt kenyereknek csudája, mivelhogy az ő szivek megkeményíttetve vala.
Mark.6.53 | És mikor általmentek volna, a Genezáret földére menének, és jutának a partra.
Mark.6.54 | Akkor mikor kimentek volna a hajóból, azonnal őtet megesmérvén:
Mark.6.55 | Mikor elfutották volna mind az egész vidéket, kezdék nyoszolyákban a beteget széllyel hordozni, a hol hallják vala őtet lenni.
Mark.6.56 | És valahová bémegyen vala a falukba, vagy városokba, vagy majorokba, a betegeket az útczákra teszik és kérik vala őtet, hogy köntösének akár csak prémjét illetnék; és valakik illetik őtet, meggyógyulnak vala.

Mark.7.1 | Akkor gyülének ő hozzá a Farizeusok és némellyek az Írástudók közzűl, kik jöttek vala Jérusálemből.
Mark.7.2 | És mikor látták volna hogy az ő tanitványai közzűl némellyek megfertéztetett (azaz, mosdatlan) kézzel ennének kenyeret, panaszolkodnak vala arról;
Mark.7.3 | Mert a Farizeusok és minden Zsidók nem esznek, hanem ha gyakran megmossák kezeiket, ebben a régi Vén embereknek rendeléseket követvén.
Mark.7.4 | És a piaczról is mikor haza mennek, nem esznek, mig meg nem mosódnak, és sok egyéb dolgok is vagynak, mellyeket vettek, hogy megtartsák, mint poharaknak, korsóknak, rézedényeknek, és nyoszolyáknak mosatásokat.
Mark.7.5 | Azután megkérdék őtet a Farizeusok és az Írástudók: Mi az oka hogy a te tanitványid nem járnak a Vén embernek rendelések szerint, hanem mosdatlan kézzel esznek kenyeret?
Mark.7.6 | Ő pedig felelvén, monda nékik: Bizony igazán jövendölt Ésaiás felőletek képmutatók felől, mint meg vagyon írva: E nép csak ajakakkal tisztel engem, az ő szívek pedig távol vagyon én tőlem.
Mark.7.7 | Hijába tisztelnek pedig engemet, tanítván olly tudományokat, mellyek embereknek parancsolatai;
Mark.7.8 | Mert elhagyván az Isten parancsolatját, az emberi rendelést tartjátok meg, korsóknak és poharaknak mosását; és e féléket egyebeket sokakat cselekesztek.
Mark.7.9 | És monda nékik: Jól vagyon bátor hogy az Isten parancsolatját eltörlitek, hogy a ti rendelésteket tartsátok meg.
Mark.7.10 | Mert Mózes ezt mondja: Tiszteljed atyádat és anyádat: És: Valaki szidalmazza attyát vagy annyát, halállal meghaljon.
Mark.7.11 | Ti pedig ezt mondjátok: Ha valaki ezt mondandja attyának vagy annyának: A melly Korbánt (azaz ajándékot) én felviszek, néked használ, az bűn nélkül való.
Mark.7.12 | És nem engeditek hogy az semmit egyebet cselekedjen az ő attyával vagy annyával.
Mark.7.13 | Eltörülvén az Istennek beszédét a ti rendeléstekkel, mellyet rendeltetek: és ehez hasonlatost sokat cselekesztek.
Mark.7.14 | Azért az egész sokaságot előszólítván, monda nékik: Hallgassatok engem mindnyájan, és értsétek meg.
Mark.7.15 | Nincsen semmi az emberen kivűl, a melly bémenvén az emberbe megfertéztethetné őtet, hanem a mellyek az emberből származnak, azok fertéztetik meg az embert.
Mark.7.16 | És valakinek vagynak fülei a hallásra, hallja.
Mark.7.17 | És mikor házba ment volna bé a sokaság közzűl, megkérdék őtet az ő tanítványai a példabeszéd felől.
Mark.7.18 | Akkor monda nékik: Ti is illyen tudatlanok vagytok é? nem értitetk-é, hogy valami kivűl megyen bé az emberbe, nem fertéztetheti az meg az embert?
Mark.7.19 | Mert nem megyen az embernek szívébe, hanem a hasába, és az árnyékszékre megyen, melly megtisztít minden eledelt.
Mark.7.20 | És ezt mondja vala, hogy a mi az emberből kiszármazik, az fertéztetné meg az embert;
Mark.7.21 | Mert onnét belől az embereknek szívekből származnaka gonosz gondolatok, házasságtörések, paráznaságok, gyilkosságok.
Mark.7.22 | Lopások, fösvénységek, latorságok, álnokság, szemtelenség, gonosz szem, rágalmazás, kevélység, bolondság.
Mark.7.23 | Mind ezek a gonoszságok belől jőnek ki, és megfertéztetik az embert.
Mark.7.24 | És onnét felkelvén, méne Tírusnak és Sídonnak határiba: és házba menvén, nem akarja vala hogy senki őtet megtudná; de nem titkolhatá el magát;
Mark.7.25 | Mert mikor ő felőle hírt hallott volnla egy asszony, kinek leányában tisztátalan lélek vala, eljöve, és arczal lábainál leborúla.
Mark.7.26 | (Vala pedig az asszony pogány, Siró-Fenicziának tartományából való nemzetsége szerint): és kéré őtet, hogy az ördögöt kiüzné az ő leányából.
Mark.7.27 | Jézus pedig monda néki: Engedd meg, hogy megelégedjenek először a fiak! mert nem jó a fiaknak kenyereket elvenni, és a kölyköknek vetni.
Mark.7.28 | És az felele és monda néki: Úgy vagyon Uram! mert a kölykök az asztal alatt a gyermekek morzsalékjokkal szoktak élni.
Mark.7.29 | Akkor monda néki: E beszédért erejd el, az ördög kiment a te leányodból.
Mark.7.30 | És mikor a házához ment volna, úgy találá, hogy az ördög kiment volna, és az ő leánya az ágyon feküdnék.
Mark.7.31 | Akkor megtérvén Tírusnak és Sídonnak határiból, méne Galilea tengere mellé, a tíz városnak határin által.
Mark.7.32 | És hozának néki egy nehezen szóló siketet, és kérik vala őtet, hogy vetné kezét arra.
Mark.7.33 | És mikor azt kivitte volna a félfelé a sokaság közzűl, bocsátá az ő ujjait annak füleibe; és mikor pökött volna, illeté annak nyelvét.
Mark.7.34 | És feltekintvén az égbe, fohászkodék, és monda néki: Effata, azaz, Nyilatkozzál meg.
Mark.7.35 | És azonnal megnyilatkozának annak fülei, és nyelvének kötele megoldaték, és igazán szól vala.
Mark.7.36 | És megtiltá ő tőlök, hogy senkinek ne mondanák; de mennél inkább tiltotta volna tőlök, annál inkább hirdetik vala.
Mark.7.37 | És felette igen álmélkodnak vala, azt mondván: Mindeneket jól cselekedett; azt cselekeszi, hogy mind a siketek halljank, mind a némák szóljanak.

Mark.8.1 | Az napokban, mikor felette nagy sokaság volna ő vele, és nem volna mit ennének, előszólítá Jézus az ő tanítványit, és monda nékik:
Mark.8.2 | Keserűlöm e sokaságot: mert immár harmadnapja, hogy velem vagynak, és nincsen mit egyenek.
Mark.8.3 | Ha éhen bocsátom el őket házokhoz, elfogyatkoznak az úton: mert némellyek ő közzűlök messzünnen jöttek.
Mark.8.4 | Felelének pedig néki az ő tanítványai: Honnét elégíthetné meg itt ezeket valaki eledelle e pusztában?
Mark.8.5 | És megkérdé őket: Hány kenyeretek vagyon? És ők mondának: Hét vagyon.
Mark.8.6 | Akkor megparancsolá a sokaságnak, hogy letelepednék a földre; és kezébe vévén a hét kenyereket, mikor hálákat adott volna, megszegé, és adá az ő tanítványinak, hogy eleikbe adnák, és eleibe adák a sokaságnak.
Mark.8.7 | Vala pedig valami kevés halok is; és mikor hálákat adott volna, megparancsolá, hogy azokat is eleikbe adnák.
Mark.8.8 | Evének azért és megelégedének, és felszedék a megmaradott darab kenyereket, hét kosarakkal.
Mark.8.9 | Valának pedig a kik ettek vala, mintegy négyezeren; és elbocsátá őket.
Mark.8.10 | És azonnal bémenvén a hajóba az ő tanitványival, méne Dalmánuta felé.
Mark.8.11 | És eljövének a Farizeusok és kezdének ő vele versengeni, kérvén tőle mennyei jelt, kisértvén őtet.
Mark.8.12 | És mikor lelkében nagyobb fohászkodot volna, monda: Mi az oka, hogy e nemzetség jelt kiván? Bizony mondom néktek, nem adatik e nemzetségnek jel.
Mark.8.13 | És azokat elhagyván, ismét bémenvén a hajóba, elméne a tulsó partra.
Mark.8.14 | Elfelejtettek vala pedig a tanitványok kenyeret vinni magokkal, és nem vala a hajóban egy kenyereknél több.
Mark.8.15 | Akkor parancsola nékik, mondván: Meglássátok, hogy megoltalmazzátok magatokat a Farizeusoknak kovászoktól és a Hérodes kovászától.
Mark.8.16 | És egymás között vetekednek vala, mondván: Nincsenek velünk kenyerek.
Mark.8.17 | És mikor azt eszébe vette volna Jézus, monda nékik: Mit vetekedtek azon, hogy kenyeretek nincsen? mégis nem veszitek-é eszetekbe, és nincsen-é mégis értelmetek: mégis ostoba - a ti szivetek?
Mark.8.18 | Szemeitek lévén nem láttok-é? és holott füleitek vagynak nem hallotok é? és nem emlékeztek é meg?
Mark.8.19 | Mikor amaz öt kenyereket megszegém az ötezer embernek, hány kosárt hozátok darab kenyerekkel teljeseket? Mondának néki: Tizenkettőt.
Mark.8.20 | Mikor pedig ama hét kenyereket a négyezer embernek megszegém, hány kosarakat hozátok el darab kenyerekkel teljeseket? És mondának: Hetet.
Mark.8.21 | És monda nékik: Mint vagyon hogy ezeket nem értitek?
Mark.8.22 | És méne Betsaidába, és hozának eleibe egy vakot, és kérék őtet hogy illetné azt.
Mark.8.23 | Akkor meegfogván a vaknak kezét, kivié őtet a falun kivűl, és mikor annak szemeire pökött volna, és az ő kezeit reá vetette volna, megkérdé őtet ha látna-é?
Mark.8.24 | Ki mikor az ő szemeit felemelte vona, monda: látom az embereket járni mint valami fákat.
Mark.8.25 | Azután ismét veté kezeit annak szemeire, és felemelteté ismét az emberrel az ő szemeit, és megépület és láta messze és világosan mindeneket.
Mark.8.26 | És házához küldé őtet, mondván: Ama faluba se menj, és a faluban is senkinek ezt me mondjad.
Mark.8.27 | És béméne Jézus az ő tanitványaival egybe Czézáreának faluiba, melly Czézárea Filep Királyról neveztetik; és az úton megkérdé az ő tanitványit, mondván nékik: Kinek mondanak engemet az emberek?
Mark.8.28 | Azok pedig felelének: Kresztelő Jánosnak, némellyek Illyésnek, némellyek pedig egynek a Próféták közzül.
Mark.8.29 | És ő monda nékik: Ti pedig kinek mondotok engemet? Felelvén pedig Péter, monda néki: Te vagy ama Krisztus!
Mark.8.30 | És megfenyegeté őket, hogy senkinek azt ő felőle ne mondanák.
Mark.8.31 | És kezdé őket tanítani, hogy az ember Fijának sokat kellene szenvedni és megvetteetni a Vénektől, a Papifejedelmektől és az Irástudóktól, és meg kellene ölettetnie; és harmadnapra feltámadnia.
Mark.8.32 | És ezt nyilván mondja vala. Akkor Péter megfogván őtet, kezdé dorgálni.
Mark.8.33 | És ő hátrafordulván, és az ő tanitványira tekintvén, megfeddé Pétert, mondván: Eredj el én tőlem Sátán; mert nem vagy bölcs az Isten dolgaiban, hanem az emberekéiben.
Mark.8.34 | És mikor előszólitotta volna a sokaságot az ő tanitványival egybe, monda nékik: Valaki engemet akar követni, tagadja meg magát, vegye fel az ő keresztét, és ugy kövessen engemet:
Mark.8.35 | Mert valaki akarja az ő lelkét megtartani, elveszti azt; valaki pedig az ő lelkét én érettem, és az Evangyéliomért elveszti, az megtartja azt.
Mark.8.36 | Mert mit használ valakinek, ha mind e világot megnyerné is, ha az ő lelkét elveszti?
Mark.8.37 | Avagy micsoda váltságot adhat valaki az ő lelkéért?
Mark.8.38 | Mert valaki a parázuna és bűnös, nemzetség közzűl szégyenli engemet, és az én beszédimet, az embernek Fija is szégyenli azt, mikor eljövénd az ő Attyának dicsőségével, a szent Angyalokkal.

Mark.9.1 | És monda nékik: Bizony mondom néktek, vagynak némellyek ezek közzűl a kik itt állanak, kik addig meg nem kóstolják a halált; mignem meglátják, hogy az Istennek országa eljött hatalommal.
Mark.9.2 | Hatodnappal pedig azután, maga mellé vevé Jézus Pétert, Jakabot és Jánost, és felvivé csak őket egy nagy magas hegyre félfelé, és elváltozék ő előttök.
Mark.9.3 | És az ő ruhái fényessekké lőnek, igen fejérek mint a hó, mellyhez hasonló fejérséget e földön a ruhafestő nem csinálhat.
Mark.9.4 | És megjelenék nékik Illyés Mózessel egybe, kik Jézussal beszélnek vala.
Mark.9.5 | És szólván Péter, monda Jézusnak: Mester! jó volna nékünk itt laknunk; csináljunk azért három hajlékokat, néked egyet, Mózesnek is egyet, Illyésnek is egyet.
Mark.9.6 | Mert nem tudja vala mit szólna: mert megrémültek vala.
Mark.9.7 | És felhő támada, melly őket béfogá, és a felhőből szó adaték, mondván: Ez amaz én szerelmes Fiam, őtet hallgassátok.
Mark.9.8 | És nagy hirtelen, mikor eltekintettek volna, nem látának azután senkit Jézusnál egyebet magokkal.
Mark.9.9 | Mikor pedig a hegyről alászállanának, megparancsolá nékik, hogy senkinek ne mondanák a mit láttak vala, hanem mikor az embernek Fija a halálból feltámadna.
Mark.9.10 | És e dolgot magoknál tarták, egymástól ő köztök arról tudakozván, mi volna az, a halálból feltámadni.
Mark.9.11 | És megkérdék őtet, mondván: Miért mondják az Irástudók, hogy először el kell jőni Illyésnek?
Mark.9.12 | Ő pedig felelvén, monda nékik: Illyés bizonyára először eljövén, mindeneket helyekre állat; de a mint meg vagyon irva az embernek Fija felől, szükség, hogy sokat szenvedjen, és semminek állittassék.
Mark.9.13 | De mondom néktek, hogy Illyés is eljött, és azt cselekedték vele a mit akartak, a mint megiratott ő felőle.
Mark.9.14 | És mikor az ő tanitványihoz ment volna, látá nagy sokaságot azok körűl, és az Irástudókat, kik azokkal versengenek vala.
Mark.9.15 | És azonnal az egész sokaság őtet látván, elálmélkodék, és eleibe menvén, köszönték őtet.
Mark.9.16 | És megkérdé az Irástudókat: Mit versengetek ti magatok között?
Mark.9.17 | És felelvén a sokaság közzűl egy, monda: Mester! az én fiamat ide hoztam te hozzád, kiben néma lélek vagyon.
Mark.9.18 | És valahol megragadja őtet, szaggatja; ő pedig tajtékot túr, a fogait csikorgatja, és elfonnyad; és kérém a te tanítványidat, hogy kiüznék azt, de nem teheték.
Mark.9.19 | Ő pedig felelvén néki, monda: Oh hitetlen nemzetség! Valyon meddig lészek ti veletek? meddig szenvedlek titeket? hozzátok én hozzám azt.
Mark.9.20 | Oda vivék azért azt. Mihelyt pedig Jézus meglátta volna, azonnal a lélek szaggatni kezdé azt, és mikor a földre leesett volna, fetreng vala tajtékot túrván.
Mark.9.21 | És megkérdé Jézus annak attyát: Mennyi ideje, hogy ez esett rajta? Ő pedig monda: Gyermekségétől fogva;
Mark.9.22 | És gyakorta ejti őtet a tűzbe és a vízbe, hogy elveszesse őtet: De ha mit tehetsz, légy segítségűl nékünk: könyörülvén rajtunk!
Mark.9.23 | Jézus pedig monda néki: Ha hiheted azt, mindenek lehetségesek a hivőnek.
Mark.9.24 | A germeknek attya pedig azonnal kiáltván, könyhullatással monda: Hiszek Uram! légy segítségül az én hitetlenségemnek.
Mark.9.25 | Mikor pedig Jézus látta volna, hogy a sokaság mind egyetembe hozzá futna, megdorgálá a tisztátalan lelket, ezt mondván néki: Te néma és siket lélek! én néked parancsolom, menj ki a gyermekből, és többé ne menj belé.
Mark.9.26 | És mikor kiáltott volna a lélek és a gyermeket igen megszaggatta volna, kiméne ő belőle, és a gyermek ollyan lőn mind a holt, úgyannyira, hogy sokan mondanák, hogy megholt volna.
Mark.9.27 | Jézus pedig megfogván annak kezét, felemelé azt, és az felkele.
Mark.9.28 | És mikor házba ment volna bé, megkérdék őtet külön az ő tanítványai: Miért nem üzhettük mi ki ama lelkét?
Mark.9.29 | Jézus pedig monda nékik: Ez illyen ördögöknek nemek nem üzettethetik ki külömben, hanem könyörgés és böjtölés által.
Mark.9.30 | És onnét kimenvén, együtt mennek vala Galileán által; és nem akarja vala Jézus, hogy senki megtudná;
Mark.9.31 | Mert tanítja vala az ő tanítványit, és ezt mondja vala nékik: Az embernek Fija adattatik az embereknek kezekbe, és megölik őtet, de minekutánna megölik, harmadnapon feltámad.
Mark.9.32 | Ők pedig nem értik vala e mondást, és félnek őtet megkérdeni.
Mark.9.33 | Méne azért Kapernaumba, és haza menvén megkérdé őket: Miről vetekedtek vala magatok között az úton?
Mark.9.34 | Ők pedig hallgatának: mert az úton egymás ellen arról vetekednek vala, ki lenne jövendőben ő közöttük legnagyobb.
Mark.9.35 | És mikor leült volna, szólítá a tizenkét tanitványokat, és monda nékik: A ki első akar lenni, mindeneknél utolsóbb legyen, és mindeniteknek szolgája.
Mark.9.36 | És egy kis gyermeket fogván elő, közöttök megállatá, és azt ölébe vévén, monda nékik:
Mark.9.37 | Valaki az ilyen kicsiny gyermekek közzűl egyet béfogad az én nevemben, engemet fogad bé; és valaki engemet béfogadand, nem engem fogad bé, hanem azt, a ki engem elbocsátott.
Mark.9.38 | Felele pedig néki János, mondván: Mester! láttunk egy embert, hogy a te neved által ördögöket üz, ki nem követ minket, és megtiltánk őtet, mivelhogy minket nem követ.
Mark.9.39 | Jézus pedig monda: Ne tiltsátok meg azt, mert senki nincsen olly, ki az én nevem által erőt cselekeszik, hogy könnyen gonoszúl szólhatna én felőlem:
Mark.9.40 | Mert a ki nincsen mi ellenünk, mi melletünk vagyon.
Mark.9.41 | Mert valaki innotok adand néktek, csak egy pohár vizet az én nevemben, azaz, hogy Krisztuséi vagytok, bizony mondom néktek, el nem veszti jutalmát.
Mark.9.42 | És valaki megbotránkoztat egyet e kicsinyek közzűl, a kik én bennem hisznek, jobb volna annak, ha a nyakára egy malomkő köttetnék, és a tengerbe vettetnék.
Mark.9.43 | Hogyha a te kezed megbotránkoztat tégedet, vágd el azt; jobb néked az életre bémenned csonkán inkább, hogynem két kezed lévén a gyehennára menned, a megolthatatlan tűzre.
Mark.9.44 | Hol az ő férgek meg nem hal, és tüzök meg nem oltatik.
Mark.9.45 | És ha a te lábad megbotránkoztat tégedet, vágd el azt; jobb néked sántán bémenned az életre, hogynem két lábad lévén a gyehennára vettetned, a megolthatatlan tűzre.
Mark.9.46 | Hol a férgek meg nem hal, és tüzök meg nem oltatik.
Mark.9.47 | És ha a te szemed megbotárnkoztat tégedet, vájd ki azt; jobb néked vakon bémenned az Isten országába, hogynem két szemel a gyehennának tűzére vettetned.
Mark.9.48 | Hol az ő férgek mge nem hal, és tüzök meg nem oltatik.
Mark.9.49 | Mert kiki tűzzel sózatik meg, és minden áldozat sóval sózatik meg.
Mark.9.50 | Jó a só; ha pedig a só ízetlen lészen, mivel sózzátok azt meg? Legyen ti bennetek só, és ti köztetek egymáshoz legyetek békességesek.

Mark.10.1 | És mikor onnét felkölt volna, méne Júdeának határiba, a Jordánon túl való tartományon által, és gyüle ismét ő hozzá sokaság, és az ő szokása szerint ismét tanítja vala őket.
Mark.10.2 | És a Farizeusok hozzá járulván, megkérdék őtet, ha szabad volna é a férjfiúnak elbocsátani feleségét, kisértvén őtet.
Mark.10.3 | Ő pedig felelvén, monda nékik: Mit parancsolt néktek Mózes?
Mark.10.4 | Azok pedig felelének: Mózes megengedte, hogy elválásról való levelet irjunk, és elbocsássuk feleséginket.
Mark.10.5 | És felelvén Jézus, monda nékik: A ti szíveteknek keménységéért írta Mózes néktek e parancsolatot.
Mark.10.6 | A teremtésnek pedig kezdetiben férjfiat és asszonyt teremtett Isten.
Mark.10.7 | Azokáért elhagyja ember attyát és annyát, és ragaszkodik feleségéhez.
Mark.10.8 | És a kik ketten voltak, egy test lésznek: Azért ezek többé nem kettők, hanem egy test.
Mark.10.9 | A mit azért Isten egybe szerkesztetett, az ember el ne válassza.
Mark.10.10 | És a házban, viszontag az ő tanitványai ugyanezen dolog felől megkérdék őtet.
Mark.10.11 | Ő pedig monda nékik: Valaki elbocsátja az ő feleségét, és mást vejénd, paráználkodik az ellen.
Mark.10.12 | És ha az asszony elhagyja az ő férjét, és máshoz menénd, paráználkodik.
Mark.10.13 | Akkor hozának néki kicsiny gyermekeket, hogy illetné azokat; a tanitványok pedig feddig vala azokat, kik a gyermekeket hozzák vala.
Mark.10.14 | Mellyet mikor látott volna Jézus, megharagvék, és monda nékik: Engedjétek hogy jöjjenek én hozzám a kis gyermekek, és meg ne tiltsátok őket; mert illyeneké az Istennek országa.
Mark.10.15 | Bizony mondom néktek: Valaki úgy nem veszi az Istennek országát mint a kis gyermek, semmiképen nem megyen oda bé.
Mark.10.16 | És mikor azokat ölébe vette volna, kezeit reájok vetvén megáldá őket.
Mark.10.17 | És mikor ki akarna menni hogy útra indulna, mikor egy ember oda futamodott, és lábainál leborult volna, megkérdé őtet: Jó Mester! mit cselekedjem, hogy az örök életet vehessem?
Mark.10.18 | Jézus pedig monda néki: Miért mondasz engem jónak? Nincsen jó több, hanem csak egy, tudniillik az Isten.
Mark.10.19 | Tudod a parancsolatokat: Ne paráználkodjál: Ne ölj: Ne orozz: hamis tanúbizonyságot ne mondj: Senkinek kárt ne tégy; Tiszteljed atádat és anyádat.
Mark.10.20 | Amaz felelvén, monda néki: Mester, mind ezeket megtartottam az én ifjúságomtól fogva!
Mark.10.21 | Jézus pedig re tekintvén, megkedvellé őtet, és monda néki: Egy fogyatkozásod vagyon még: Eredj el, valami marhád vagyon add el, és adjad a szegényeknek, és kincsed lészen mennyben; és jere kövess engem, felvévén a keresztet.
Mark.10.22 | Amaz pedig megszomorodván e beszéden, elméne nagy szomorúsággal: mert sok jószága vala.
Mark.10.23 | És mikor körültekintett volna Jézus, monda az ő tanitványinak: Melly nehezen mennek bé az Istennek országába, a kiknek gazdagságok vagyon!
Mark.10.24 | A tanitványok pedig elálmélkodának ezeken az ő beszédin: Jézus pedig felelvén, ismét monda nékik: Fiaim! melly nehéz dolog azoknak, a kik az ő gazdagságokban biznak, bémenni az Istennek országába!
Mark.10.25 | Könnyebb a tevének az ő fokán általmenni, hogynem a gazdagnak Isten országába menni.
Mark.10.26 | Azok pedig annál is inkább álmélkodnak vala, ezt mondván magokban: Kicsoda idvezülhet tehát?
Mark.10.27 | Reájok tekintvén pedig Jézus, monda: Az embereknél ez lehetetlen, de nem az Istennél: mert Istennél mindenek lehetségesek.
Mark.10.28 | És Péter kezdé néki mondani: Ímé mi mindeneket elhagytuk, és követtünk tégedet.
Mark.10.29 | Felelvén pedig Jézus monda: Bizony mondom néktek, nincsen senki, a ki elhagyandja házát, vagy attyafiait, vagy nénnyeit, hugait, vagy attyát, vagy annyát, vagy feleségét, vagy gyermekeit, vagy szántóföldeit, én érettem és az Evangyéliomért;
Mark.10.30 | A ki száz annyit nem venne mostan ez időben, házakat, attyafiakat, nénnyeit, hugait, annyait, gyermekeket, és szántóföldeket, háborúságokkal egybe, és a jövendő világon örök életet.
Mark.10.31 | Sok elsők pedig utolsók lésznek és az utolsók elsők.
Mark.10.32 | Valának pedig úton, és mennek vala fel Jérusálembe, és Jézus előttök megyen vala; és álmélkodnak és őtet követvén félnek vala. És ő ismét maga mellé vévén a tizenkét tanitványokat, kezdé nékik mondani, a minémű dolgok következnének ő reá.
Mark.10.33 | Ímé ugymond felmegyük Jérusálembe, és az embernek Fija elárultatik a Papifejedelmeknek és az Irástudóknak, és halálra kárhoztatják őtet, és adják őtet a Pogányoknak kezekbe.
Mark.10.34 | És azok megcsúfolják, megostorozzák, mgpökdösik és megölik őtet: de harmadnapon feltámad.
Mark.10.35 | És járulának ő hozzá Jakab és János, a Zebedeus fijai, ezt mondván: Mester! azt akarjuk, hogy a mit tőled kérünk, megadjad nékünk.
Mark.10.36 | Ő pedig monda: Mit akartok, hogy cselekedjem veletek.
Mark.10.37 | Azok pedig mondának néki: Ezt engedjed nékünk, hogy egyikünk jobbkezed felől, a másikunk pedig balkezed felől üljöna te dicsőségedben.
Mark.10.38 | Jézus pedig monda nékik: Nem tudjátok mit kértek. Megihatjátok-é a pohárt, mellyet én megiszom, és a melly keresztséggel én megkeresztelkedem, megkeresztelkedhettek-é azzal.
Mark.10.39 | Azok pedig mondának: Meglehet. Jézus pedig monda nékik: A pohárt, bizony az, hogy megisszátok, mellyet én megiszom; a keresztséggel is a mellyel én keresztelkedem, megkereszteltettek.
Mark.10.40 | De hogy jobbkezem felől és balkezem felől üljetek, nem én adhatom azt, hanem adatik azoknak, a kiknek készittetett.
