Eccl.1.1 | Salamon Prédikatornak a Dávid fijának, Jérusálembeli Királynak beszédei:
Eccl.9.14 | És hogy még az ember is nem tudja az ő idejét; mint a halak, mellyek megfogattatnak a gonosz hálóban, és mint a madarak, mellyek megfogattatnak a tőrben: gonosznak idején, mikor az körűlveszi őket hirtelenséggel.
Eccl.9.15 | Ezt a bölcseséget is láttam e világon és én előttem nagy volt.
Eccl.9.16 | Tudniillik hogy egy kicsiny város volt, és abban kevés emberek voltak és eljött az ellen hatalamas Király, és azt körűlvette, és az ellen nagy erősségeket épített:
Eccl.9.17 | És találtatott abban egy szegény ember, ki bölcs volt, és az ő bölcseségével a várost megszabadította; de senki meg nem emlékezeett arról a szegény emberről.
Eccl.9.18 | Akkor én azt mondám: Jobb a bölcseség az erősségnél; jóllehet a szegénynek bölcsesége utálatos és az ő beszédit nem hallgatják meg:
Eccl.9.19 | Az alázatos bölcseknek beszédeket kell inkább hallgatni, hogynem mint a bolondokkal uralkodónak kiáltását:
Eccl.9.20 | És hogy jobb a bölcseség a hadakozó szerszámoknál; és hogy egy tévelygő sok jót vesz el.
Eccl.9.21 | Miképen a megholt legyek a Patikáriusnak kenetit megbüdösítik: azonképen az ollyan embert, ki a bölcseségért és dicsőségért becsülegtes, meggyalázza egy kicsiny balgatagság.
Eccl.9.22 | A bölcs embernek szíve az ő jobbkezénél vagyon; a golondnak pedig szíve balkezénél.
Eccl.9.23 | Mert a bolond, mikor az úton jár is, az ő szíve balgatag, és mindennek hirdeti, hogy ő bolond.

Eccl.10.1 | Mikor a Fejedelmek haragja felgerjed te ellened, a te helyedeet el ne hagyjad: mert a szelídség sok bűnöket lecsendesít.
Eccl.10.2 | Vagyon egy gonosz, mellyet láttam e világon a tévelygés miatt, melly származik a Fejedelemtől:
Eccl.10.3 | Hogy a bolondságnak nagy méltósága volt, a gazdagok pedig gyalázatban ültek.
Eccl.10.4 | Láttam hogy a szolgák lovakon ültek; a Fejedelmek pedig gyalog mentek a födön, mint a szolgák.
Eccl.10.5 | A ki vermet csinál, abba béesik; és a ki a gyepűt ehányja, megmarattatik a kigyótól.
Eccl.10.6 | A ki a köveket helyekből kihányja, fáradságot szenved azok miatt; a ki hasogatj a fát, veszedelemben forog a miatt!
Eccl.10.7 | Ha a vas megtompúl, és annak éli meg nem kösörültetik, hanem erejét kísértgeti: de a bölcseség minden dolognak igazgatsára nagy előmenetel.
Eccl.10.8 | Ha megharap a kígyó, melly meg nem varázsoltatott, semmi haszna nincsen a varázsló beszédnek.
Eccl.10.9 | A bölcs ember szájának beszédei kedvesek: a bolond pedig a maga ajakaival elveszi magát:
Eccl.10.10 | Az ő szája beszédinek kezdete bolondság, és az ő szája beszédinek vége is balgatagság.
Eccl.10.11 | A bolond szaporitja a szót és ezt mondja: Nem tudja az ember a mi következik, és a mi utnna lészen, kicsoda mondja meg azt néki?
Eccl.10.12 | A bolondnak munkájok elfárasztja őket, úgymint, kik a városba is nem tudnak menni.
Eccl.10.13 | Jaj néked ország, mikor a te Királyod germek; és a te Fejedelmid reggel esznek.
Eccl.10.14 | Boldog vagy te ország, mikor a te Királyod jeles embernek fija, és mikor a te Fejedelmid alkalmatos időben esznek a testnek erejéért, és nem az italért.
Eccl.10.15 | A restség miatt elhanyatlik a ház, és azon restség miatt csepegő a ház.
Eccl.10.16 | Mikor vigasságnak okáért lakodalmat szereznek, és a bor megvídámítja az élőket, és a pénz azt szerzi, hogy mind ezek meglegyenek.
Eccl.10.17 | Még a te gondolatodban is a Királynak gonoszt ne mondj, és a te házadnak titkos részében is gonoszt a gazdagnak ne mondj: mert az égi madár is elviszi a szót, és a szárnyas állat is bévádolná a te beszédedet.

Eccl.11.1 | Vessed a te kenyeredet a víz mellett; mert sok napok mulva megtalálod azt.
Eccl.11.2 | Adj részt hétnek vagy nyolcznak is: mert nem tudod micsoda veszedelem következik a földre.
Eccl.11.3 | Mikor a sűrű fellegek megtelnek, esőt adnak e földre, és ha leeséndik a fa délre, vagy északra; a melly helyre leesik a fa, ott marad.
Eccl.11.4 | A ki a szelet nézi, nem vet az, és a ki a sűrű fellegre néz, nem arat.
Eccl.11.5 | Miképen hogy nem tudod a szélnek útát, és mimódon gyarapodnak a csontok az asszonynak méhében: azonképen nem tudod az Istennek dolgát, mimódon cselekedjék mindeneket.
Eccl.11.6 | Reggel vessed el a te magodat, és estve is ne restelkedjél; mert nem tudod mellyik jobb, ez é vagy amaz, vagy ha mind a kettő jó lészen!
Eccl.11.7 | Jóllehet édes e világ, és jó e mi szemeinkkel néznünk a napot.
Eccl.11.8 | De ha sok esztendeig él is az ember és mind azokban örvendez is: mindazáltal megemlékezzék a setétségnek napjairól, és hogyha ugyan sok is a mi esztendőnk: mindezáltal valami lészen, mind hijábavalóság.

Eccl.12.1 | Örvendezz ifjú a te ifjúságodban és vídámítson meg tégedet a te szíved a te ijfúságodnak idejében, és járj a te szívednek útaiban, és szemeidnek látásiban: de megtudjad, hogy mindezekért az isten tégedet ítéletre vonszon!
Eccl.12.2 | Vesd el a haragot a te szívedből, és vesd el a gonoszt a te testedtől; mert az ijfúság, mint szinte a mi születésünk, hijábavalóság:
Eccl.12.3 | És emékezzél meg a te Teremtődről a te ifjúságodnak idejében, míg a veszedelmnek napjai el nem jőnek, és míg eljőnek az esztendők, mellyekről azt mondjad: Nem szeretem ezeket!
Eccl.12.4 | A míg a nap megsetétedik, a világossággal, a holddal és csillagokkal egybe; és míg a sűrű felhők elérkeznek az eső után.
Eccl.12.5 | A melly időben megmozdulnak a háznak amaz őrizői, és nem bírják magokat az erősek és megállanak az ételnek őrlői, és meghomályosodnak az ablakon kinézők:
Eccl.12.6 | És az ajtók kivül bézárlatnak, a malom zúgásának megállásáért; és mikor felserken, csak a madárkának szavára is, és megszünnek minden éneklő leányok:
Eccl.12.7 | Mikor minden halmocskától félnek, és az úton való botlástól; és mikor a mandolafa megvirágzik, és a sáska megkövéredik, mikor az ő kívánsága megfogyatkozik; és mikor az ember az ő életének utolsó idejére jut, és mikor kerűlnek az utczán a sírók.
Eccl.12.8 | Minekelőtte megrövidülne az ezüst kötél, és megromolna az aranypalaczkocska, és a veder eltörnék a forrásnál, és megtörnék a kerék a kútnál.
Eccl.12.9 | És minekelőtte a por földé legyen mint az előtt volt; a lélek pedig megtérjen Istenhez, a ki adta volt azt.
Eccl.12.10 | Felette nagy hijábavalóságok, azt mondja a Prédikátor, mind ezek hijábavalóságok!
Eccl.12.11 | Annakokáért (mivelhogy a Prédikátor bölcs volt, és a népet tudományra tanította, és tudoakozván írott sok bölcs beszédeket.
Eccl.12.12 | És igyekezett a Prédikátor megtudni sok kívánságos beszédeket, minden igaz írást és igaz beszédeket;
Eccl.12.13 | Mert a bölcseknek beszédeik hasonlatosok a fulánkhoz, és a juhakolnál a földbe erősen levert szegekhez, mellyekre tanított egy pásztor.)
Eccl.12.14 | Mind ezekből, mondom, fiam, intessél meg: A sok könyvek írásának nem volna vége, é a sok könyveknek olvasása fáradságára volna a testnek:
Eccl.12.15 | A dolognak summája ez: Mind ezekeet hallván, az Istent féljed, és az ő parancsolatit megtartsad; met ez az embernek fődolga!
Eccl.12.16 | Mert minden cselekedetet az Isten ítéletre előhoz, minden titkos dologgal, akár jó, akár gonosz legyen az.
