1Chr.1.1 | Adám Seth, Énós.
1Chr.6.44 | Továbbá a Mérári fijai, kik azokkal atyafiasok valának, balkéz felől állnak vala; Etán, Kisi fija, ki Abdi fija, ki Malluk fija.
1Chr.6.45 | Ki Kasábja fija, ki Amásia fija, ki Hilkia fija.
1Chr.6.46 | Ki Amsi fija, ki Báni fija, ki Sémet fija.
1Chr.6.47 | Ki Makhli fija, ki Musi fija, ki Mérári fija, ki Lévi fija.
1Chr.6.48 | Némellyek pedig a Léviták közzűl, kik ezeknek attyokfiai valának, rendeltetnek vala az Isten háza hajlékának egyéb szolgálatjára.
1Chr.6.49 | Áron pedig és az ő fijai az egészen megégetendő áldozatnak oltára mellé, és a füstölő oltár mellé a legszentségesb helynek szolgálatja mellé, és az Izráelnek megszentelésére rendeltetének mind a szerint, valamint Mózes az Isten szolgája megparancsolta vala.
1Chr.6.50 | Áron fijai pedig ezek: Eleázár, ennek fija Fineás, ennek fija Abisún.
1Chr.6.51 | Ennek fija Bukki, ennek fija Uzzi, ennek fija Zerája.
1Chr.6.52 | Ennek fija Merájót, ennek fija Amárja, ennek fija Akhitúb.
1Chr.6.53 | Ennek fija Sádók, ennek fija Ahimaás.
1Chr.6.54 | És ezek az ő lakhelyeik, az ő házok és határok szerint, tudniillik az Áron fijaié a Kéhátiták nemzetsége szerint: mert e jutott volt nékik sors által.
1Chr.6.55 | Adák azért nékik Hebront a Júda földében és a körülte való hostátot.
1Chr.6.56 | De azért a városnak mezeit és annak faluit Kálebnek a Jéfunne fijának.
1Chr.6.57 | Az Áron fijainak azért a Júda városai közzűl adák, a gyilkosok mentségére rendeltetett városokat, Hebront, Libnát és a mellette való hostátot, Jathirt és Esthemoát, és ezeknek is hostátit.
1Chr.6.58 | És Hilent és annak hostátit, és Débirt és annak hostátit.
1Chr.6.59 | Asánt és annak hostátit, és Bethsémest és annak hostátit.
1Chr.6.60 | A Benjámin nemzetségéből: Gébát és annak hostátit; Alémetet és annak hostátit: Anatót várost is és annak hostátit. Ezeknek vala az ő nemzetségek szerint tizenhárom városok.
1Chr.6.61 | A Kéhát több fijainak az egy nemzetségnek cselédjéből, és a félnlemzetségből, tudniillik a Manasse nemzetségének feléből sors által tiz várost adának.
1Chr.6.62 | A Gerson fijainak pedig az ő nemzeségek szerint az Issakhár nemzetségéből, az Áser nemzetségéből, a Nafthali nemzetségéből és a Manasse nemzetségéből Básákban tizenhárom várost.
1Chr.6.63 | A Mérári fijainak az ő nemzetségek szerint, a Rúben nemzetségéből, a Gád nemzetségéből és a Zebulon nemzetségéből sors által tizenkét várost.
1Chr.6.64 | Adának mondom az Izráel fijai a Lévitáknak városokat; azoknak hostátjaikkal egybe.
1Chr.6.65 | (Minekutánna adtak volna sors által a Júda nemzetségéből, a Simeon nemzetségéből és a Benjámin nemzetségéből) bizonyos nevű városokat.
1Chr.6.66 | Először azoknak, kik valának a Kéhát fijainak házoknépe közzűl, (voltak pedig ezeknek városaik és határok az Efraim nemzetségéből.)
1Chr.6.67 | Ezeknek, mondom, adák a mentségre rendeltetett városokat, Sékemet és annak hostátit az Efraim hegyén: Gézert és annak hostátit.
1Chr.6.68 | És Jokmeámot és annak hostáti; Beth-horont és annak hostátit.
1Chr.6.69 | Ajalont és annak hostátit; Gáthrimmont is és annak hostátit.
1Chr.6.70 | A Manasse nemzetségének feléből, Anert és annak hostátit, Bileámot és annak hostátit, a Kéhát megmaradott fijai cselédjének.
1Chr.6.71 | A Gerson fijainak pedig a Manasse félnemzetségéből Gósánt Básánban, és annak hostátit: és Astarotót és annak hostátit:
1Chr.6.72 | Az Isskhár nemzetségéből adák Kédest és annak hostátit; Dobrátot és annak hostátit;
1Chr.6.73 | Rámótot és annak hostátit, Anémet és annak hostátit.
1Chr.6.74 | Az Áser nemzetségéből Mását és annak hostátit, és Abdont és annak hostátit;
1Chr.6.75 | Hukókot és annak hostátit: Réhobot és annak hostátit.
1Chr.6.76 | A Nafthali nemzetségéből Kédest Galileában, és annak hostátit: Hammont és annak hostátit; és Kirjáthaimot és annak hostátit.
1Chr.6.77 | A Mérári megmaradott fijainaka Zebulon nemzetségéből Rimmonót és annak hostátit; s Thábort és annak hostátit.
1Chr.6.78 | A Jordánon túl Jerikó ellenében, a Jordánnak napkelet felől való részében, a Rőben nemzetségéből Bésert a pusztában, és annak hostátit; Jahását és annak hostátit;
1Chr.6.79 | Kedemótot és annak hostátit; Mefaátot és annak hostátit.
1Chr.6.80 | A Gád nemzetségéből Rámótot Gileádban, és annak hostátit; Mahanaimot és annak hostátit.
1Chr.6.81 | Hesbont és annak hostátit; Jaázert és annak hostátit.

1Chr.7.1 | Issakhár fijai: Thóla, Pua, Jásub és Simron, négyen.
1Chr.7.2 | Thóla fijai pedig: Uzzi, Réfája, Jériel, Jakhmai, Jibsán és Sámuel, kik Fejedelmek valának az ő attyaiknak cselédjekben: A Thóla fijai valának igen erős férjfiak az ő nemzetségek szerint, ezeknek pedig számok Dávid Király idejbéen huszonkét ezer és hatszáz vala.
1Chr.7.3 | Az Uzzi fijai; Izráhja; és az Izráhja fijai Mikáel, Obádja, Joel, Issia, öten: kik mind főemberek valának.
1Chr.7.4 | Kikkel valának az ő nemzetségek szerint, az ő attyaiknak cselédjek szerint hadakozó férjfiak harminczhat ezeren: mert sok feleségeik voltak, és azért sok fijaik is.
1Chr.7.5 | ezeknek attyokfiaik is, Issakhárnak egész nemzetsége szerint erős férjfiak valának, nyolczvanhét ezeren szám szerint mindenestől.
1Chr.7.6 | Benjámin fijai: Béla, Béker és Jediáel, hárman.
1Chr.7.7 | Béla fijai: Esbon, Uzzi, Uzziel, Jérimot és Hiri, öt főemberek az ő nemzetségekben igen erősek, kik mikor rendel nemzetségek szerint megszámláltattak, voltak huszonkét ezeren és harmincznégyen.
1Chr.7.8 | Béker fijai: Zémira, Joás, Eliézer, Eljoénai, Omri, Jeremót, Abija, Anatót és Alémet: ezek mindnyájan Béker fijai.
1Chr.7.9 | Szám szerint pedig, az ő nemzetségeknek rendi szerint, az ő attyoknak cselédjekben erős főemberek találtattak húszezeren és kétszázan.
1Chr.7.10 | Továbbá Jédiáel fija: Bilhán; Bilhán fijai: Jéus, Benjámin, Éhud, Kénaána, Zetán, Társis és Ahisahár.
1Chr.7.11 | Ezek mind Jédiael fijai, az ő attyok nemzetségében főemberek és igen erősek, kik tizenhétezeren, és kétszázan mehetnek vala ki a viadalra.
1Chr.7.12 | Ir fijai: Suppim és Huppim: Húsim Ahernek fija.
1Chr.7.13 | Nafthali fijai: Jakhcziel, Gúni, Jéser, Sallum: Bilha fijai.
1Chr.7.14 | Manasse fijai: Asriel, kit szüle az ő felesége. (Az ő ágyastársa pedig a Siriabeli asszony szüle Mákirt, a Gileád attyát.
1Chr.7.15 | Mákir pedig vevé feleségűl Huppimnak és Suppimnak hugát, kinek neve Maáka.) A másiknak neve Sélofhád. A sélofhándnak leányai voltak.
1Chr.7.16 | Maáka a Mákir felesége szüle fiat, kit neveze Péresnek; annak pedig öcssét Séresnek. Ennek fijai: Ulám és Rékem.
1Chr.7.17 | Ulám fija: Bédán. Ezek a Gileád fijai, ki Mákir fija volt, ki Manasse fija volt.
1Chr.7.18 | Az ő huga pedig Moléket szülé Ishodot, Abiézert, és Makhlát, és Sémidát.
1Chr.7.19 | Sémidának fijai voltak: Ahián, Sékem, Likhi és Aniám.
1Chr.7.20 | Efraim fijai pedig: Sútelákh, kinek fija Béred, ennek fija Táhát, ennek fija Elhada, ennek fija Táhát.
1Chr.7.21 | Ennek fija Zábád, ennek fija Sutelákh és Ezer, és Elhád. És megölék ezeket a Gáthbeliek a földnek lakosai; mert alámentek vala, hogy a Gáthbeilieknek barmaikat elhajtanák.
1Chr.7.22 | Efraim azért az ő attyok sokáig siratá őket, kihez elmennek vala az ő attyafiai és őtet vigasztalják vala.
1Chr.7.23 | Béméne azért az ő feleségéhez, ki fogada méhében és szüle fiat: és nevezé Bériának, mivelhogy nagy keserűségben volt volna az ő háznépéért.
1Chr.7.24 | Leányának neve Seére vala, ki megépíté mind az alsó s mind a felső Beth-hóront, Uzen-Seérát is.
1Chr.7.25 | Réfah is ő fija, és Resef, ennek fija Théla, ennek fija Táhán.
1Chr.7.26 | Ennek fija Laadán, ennek fija Ammihud, ennek fija Elisáma.
1Chr.7.27 | Ennek fija Nún, ennek fija Jósué.
1Chr.7.28 | Ezeknek pedig birodalmok és lakóhelyek Béthel és annak falui; napkeletre Naarán, napenyészetre Gézer és ennek falui, Sékem és ennek falui, szintén Gázáig, és ehez tartozó falukig.
1Chr.7.29 | És a Manasse fijai birodalmok mellett birják vala ezekeet: Beth-seánt és ennek faluit, Thanákot és ennek faluit. Megiddot és ennek faluit, Dórt és ennek faluit. Ezekben laktak az Izráel fijának Józsefnek fijai.
1Chr.7.30 | Áser fijai: Jimma, Jisva, Jisvi. Béria: és Sárah az ő hugok.
1Chr.7.31 | Béria fijai: Héber és Malkhiel, ki volt Birzávit attya.
1Chr.7.32 | Héber pedig nemzé Jaflétet, Sómert, Hótámot és Suát az ő hugokat.
1Chr.7.33 | Jaflét fijai: Pásák, Bimhál, Asvát; ezek Jaflét fijai.
1Chr.7.34 | Sómer fijai: Ahi és Róhega, Jehubba és Arám.
1Chr.7.35 | Ennek pedig attyafiának Hélemnek fija vala Sófákh, Jimna, Séles és Amál.
1Chr.7.36 | Sófákh fijai: Suákh, Harnéfer, Suál, Béri és Imra.
1Chr.7.37 | Béser, Hód, Samma, Silsa, Ittrán és Beéra.
1Chr.7.38 | Jéter fijai: Jéfunne, Pispa és Ara.
1Chr.7.39 | Ulla fijai: Ara, Hanniel és Risja.
1Chr.7.40 | Ezek mind Áser fijai főemberek az ő nemzetségekben, válogattattak, erősek a főembereknek is fejek; és megszámláltatván az ő nemzetségeknek rendi szerint viadalra, számok volt huszonhat ezer férjfiak.

1Chr.8.1 | Benjámin pedig nemzé Bélát az ő elsőszülöttét, másodikat Asbélt, harmadikat Akhráhot.
1Chr.8.2 | Negyedik Nóhát, és Ráját ötödiket.
1Chr.8.3 | (Bélának fijai voltak: Adár, Géra és Abihúd.
1Chr.8.4 | Abisua, Naámán, Ahóah.)
1Chr.8.5 | Gérát, Sefufánt és Hurámot.
1Chr.8.6 | Ezek az Ehud fijai: (Ezek voltak főemberek a Géba városban lakó nemzetség között, kiket költöztetének Manahátba.)
1Chr.8.7 | Naámánt és Ahiját, és Gérát elköltözteté: Nemzé pedig Uzzát és Akhihúdot.
1Chr.8.8 | Saharáim pedig nemzé a Moáb mezején, minekutánna azokat elhagyá az ő két feleségétől Húsimtól és Baarától.
1Chr.8.9 | Nemzé, mondom, a Hódes nevű feleségétől Jobábot és Sibját, Mésát és Malkámot.
1Chr.8.10 | Jéust is, Sobját és Mirmát. Ezek az ő fijai; főemberek az ő nemzetségekben.
1Chr.8.11 | Húsimtól nemzé Abitúbot és Elpaált.
1Chr.8.12 | Elpaál fijai: Eber, Miseám és Sémed: E rakatá Onot és Lódót s ennek faluit.
1Chr.8.13 | Béria, Séma, (ezek voltak az Ajalonban lakozók attyaiknak Fejei, és ezek üzték vala el Gáthnak lakóit).
1Chr.8.14 | Ahio pedig, Sasák, Jeremót.
1Chr.8.15 | Zebádia, Arád, Ader,
1Chr.8.16 | Mikáel, Isba, Jóha, Béria fijai.
1Chr.8.17 | Zebádia, Mésullám, Hizki, Héber.
1Chr.8.18 | Ismérai, Izlia és Jobáb; Elpaál fijai.
1Chr.8.19 | Jákim pedig, Zikri, Zabdi,
1Chr.8.20 | Eliénai, Silletai, Eliel:
1Chr.8.21 | Adája, Berája és Simrát, Simei fijai.
1Chr.8.22 | Jispán pedig, Eber, Eliel.
1Chr.8.23 | Abdon, Zikri, Hanán,
1Chr.8.24 | Hanánja, Elám, Anatótija,
1Chr.8.25 | Ifdéja, Pénuel, Sesák fijai,
1Chr.8.26 | Samsérai pedig, Sahárja, Atália.
1Chr.8.27 | Jaarésia, Elia és Zikri, Jérohám fijai.
1Chr.8.28 | Ezek voltak az atyáknak Fejei az ő nemzetségek szerint, és ezek laktak Jérusálemben.
1Chr.8.29 | Gibeonban pedig laktak a Gibeonnak attya, kinek feleségének neve Maáka vala.
1Chr.8.30 | És az elsőszülötte Abdon, azután Súr, Kis, Baál, Nádáb.
1Chr.8.31 | Gédor, Ahio és Zéker,
1Chr.8.32 | És Miklót, a ki nemzé Simámot: Ezek is az ő attyokfiainak ellenekben laktak Jérusálemben, az ő attyokfiaival.
1Chr.8.33 | Nér pedig nemzé Kist: Kis nemzé Sault, Saul nemzé Jónatánt, Malkisuát, Abinádábot és Esbaált.
1Chr.8.34 | Jónatán fija: Méribbaál: Méribbaál nemzé Mikát.
1Chr.8.35 | Mika fijai: Pitón, Mélek, Tárea és Akház.
1Chr.8.36 | Akház nemzé Jehoádát. Jehoáda pedig nemzé Alémetet és Azmávetet, és Zimrit: Zimri nemzé Mósát.
1Chr.8.37 | Mósa pedig Binát, ennek fija Ráfa, ennek fija Elása, ennek fija Asel.
1Chr.8.38 | Továbbá Aselnek voltak hat fijai, kiknek ezek neveik: Azrikám, Bókru, Ismáel, Seárja, Obádia és Hanán, ezek mind Asel fijai.
1Chr.8.39 | Az ő attyafiának Eseknek fijai ezek: Ulám az ő elsőszülötte, Jéus második, és Elifélet harmadik.
1Chr.8.40 | És voltak az Ulám fijai igen erős férjfiak, kézívesek, és sok fiakat és unokákat szaporítnak vala százig és ötvenig: Mind ezek a Benjámin fijai közzűl valók voltak.

1Chr.9.1 | Fejenként azért az Izráel fijai megszámláltatattak vala nemzetségek szerint, a mint meg is irattattak az Izráel és Júdabeli Királyok könyvében, kik az ő sok gonsozságokért Babilóniába vitetének fogságra.
1Chr.9.2 | A kik pedig elein laknak vala az ő jószágaikon s városaikban, ezek: Izráeliták, Papok, Léviták és Nétineusok.
1Chr.9.3 | Mert Jérusálemben laktak a Júda fijai közzűl s Benjámin fijai közzűl. Efraim és Manasse fijai k valók.
1Chr.9.4 | Utái, Ammihúd fija, ki Omri fija, ki Imri fija, ki Báni fija, a Péres fijai közzűl való, ki Júda fija vala.
1Chr.9.5 | A Sláhiták közzűl, Asája, ki elsőszülött vala s ennek fijai.
1Chr.9.6 | A Zérah fijai közzűl: Jéuel és az ő attyafiai hatszázan s kilenczvenen.
1Chr.9.7 | A Benjámin fijai közzűl: Salu, Mésullám fija, ki Hodávia fija, ki Hasénua fija.
1Chr.9.8 | Ibnéja, Jérohám fija, és Ela, Uzzi fija, ki Mikri fija, és Mésullám, Séfátja fija, ki Reuel fija, ki Ibnija fija vala.
1Chr.9.9 | Ezeknek pedig attyokfiai, az ő nemzetségek szerint valának kilenczszázan és ötvenhatan; ezek fejenként igen főemberek vaának az ő attyok háznépe szerint.
1Chr.9.10 | A Papok közzűl is: Jedája, Jéhojárib és Jákin.
1Chr.9.11 | Azária, Hilkia fija, ki Mésullám fija, ki Sádok fija, ki Mérajót fija, ki Ahitubnak az Isten házának főgondviselőjnéek fija vala.
1Chr.9.12 | És Adája Jérohám fija, ki Pashúr fija, ki Malkija fija: Maassai, Adiel fija, ki Jahzéra fija, ki Mésullám fija, ki Mésillémit fija, ki Immer fija.
1Chr.9.13 | Ezeknek attyokfiai az ő attyok háznépe között igen főemberek, ezezr hétszáz hatvanan valának, erősek az Isten háza dogának munkájában.
1Chr.9.14 | A Léviták közzűl Sémája, Hásub fija, ki Azrikám fija, ki Hasábia fija, a Mérári fijai közzűl.
1Chr.9.15 | Bakbakkár, Héres és Galál: és Mattánia a Mika fija, ki Zikri fija, ki Asáf fija vala.
1Chr.9.16 | Obádia a Sémája fija, Galál fija, ki Jéduton fija; és Bérékia, Asa fija, ki Elkána fija: ki lakik vala Nétofáti faluiban.
1Chr.9.17 | Továbbá ajtónállók: Sallum, Akkúb, Talmon, Abimán, és ezeknek attyokfiai: Sallum pedig fő vala.
1Chr.9.18 | És ennek mind ez ideig a Király kapuján vagyon állása napkelet felől, amazok ajtónállók a Lévitáknak rendek szerint.
1Chr.9.19 | Sallum pedig a Kóré fija, ki Ebiásáf fija, ki Kórákh fija, és ennek rokonságai az ő attyának házából valók: tudniillik a Kóriták a szolgálatnak munkájában a Hajlék ajtajának őrizői valának, mint az ő attyaik az Úr seregében őrizték vala a Sátornak bémenetelit.
1Chr.9.20 | Mikor Fineás az Eleázár fija azok előtt járó volna régen, kivel vala az Úr.
1Chr.9.21 | Továbbá Zakariás a Meselémia fija a Gyülekezet sátorára való ajtónak őrizője.
1Chr.9.22 | Mindenestől ezek választott ajtónállók voltak, kétszázan és tizenketten; kik az ő faluikban nemek szerint megszámláltattak volt; kiket Dávid rendelt volt a Sámuel Próféta az ő tisztekben.
1Chr.9.23 | Miképen az ő attyok azért, azonképen a fiak őrizik vala renddel az Úr házának és a sátornak kapuit.
1Chr.9.24 | Négy felé valának az őrizők; napkeletre, napnyugotra, északra és délre.
1Chr.9.25 | És ezeknek attyokfiai, az ő faluikban valának, hogy minden hetednap amazokkal felmennének Jérusálembe bizonyos ideig.
1Chr.9.26 | E négy Lévitákra bízatott vala, mind a kapunállóknak sámok, és őrizik vala a kamarákat és az Isten házának kincsét.
1Chr.9.27 | És az Úrnak háza körűl hálnak vala, mivelhogy az őrzés ő tisztek volna; és minden reggel ők nyitják vala meg az ajtókat.
1Chr.9.28 | És ő közzűlök némellyek az egyházi szolgálatra csinált edényekre viselnek vala gondot; mert mind ki, s mind bé, számán viszik vala azokat.
1Chr.9.29 | Ugyanazok közzűl választattak vala némellyek másféle edényeknek gondviselésére, minden szent edényekhez is, némellyek a zsemlyéhez, borhoz, olajhoz, temjénhez és fűszerszámokhoz.
1Chr.9.30 | A Papok fijai közzűl valók csinálják vala fűszerszámokból a drágakenetet is.
1Chr.9.31 | Továbbá Mattitja a Léviták közzűl való, (ki elsőszülötte a Kóriták közzűl való Sallumnak) a serpenyőkre visel vala gondot.
1Chr.9.32 | A Kéhátiták fijai és azoknak attyokfiai közzűl rendeltettek volt a szent kenyérnek gondviselésére, hogy minden Szombaton megkészítenék azt.
1Chr.9.33 | Ezek közzűl valók valának az éneklők is, a Léviták közzűl az ő attyok cselédjének Fejei, kik szabadosok valának egyéb tiszttől az ő kamarájokban; mert éjjel és nappal szolgálattal tartoznak vala.
1Chr.9.34 | Ezek a Léviták között az ő attyok háznépe közzűl fők voltak az ő nemzetségek szerint, és ezek laktak Jérusálemben.
1Chr.9.35 | Gibeonban pedig laktak, a Gibeon attya Jéhiel, és az ő feleségének neve Maáka.
1Chr.9.36 | Az ő elsőszülött fija Abdon, azután Súr, Kis, Baál, Nér és Nádáb.
1Chr.9.37 | Gédor, Ahió, Zékária és Miklót.
1Chr.9.38 | Miklót pedig nemzé Simámot, s ezek is az ő attyokfiainak ellenekben laktak Jérusálemben az ő attyokfiaival.
1Chr.9.39 | Nér nemzé Kist, Kis pedig nemzé Sault, Saul Jónatánt, Málkisuát, Abinádábot és Esbaált.
1Chr.9.40 | Jónaát fija Méribbaál; és Méribbaál nemzé Mikát.
1Chr.9.41 | Mika fijai: Piton, Mélek és Táréa.
1Chr.9.42 | Akház pedig nemzé Jahrát, Jahra nemzé Alémetet, Azmávetet, Zimrit, Zimri pedig nemzé Mósát.
1Chr.9.43 | Mósa nemzé Bineát, ennek fija Réfája, ennek fija Elása, ennek fija Asel.
1Chr.9.44 | Aselnek voltak hat fijai, kiknek ezek neveik: Azrikám, Bókru, Ismáel, Seárja, Obádia és Hanán: Ezek Asel fijai.

1Chr.10.1 | A filiszteusok pedig hadakoznak vala az Izráel népével, és megfutamodék az Izráel a Filiszteusok előtt, és egynáhányan a sebek miatt is elhullának a Gilboa hegyén.
1Chr.10.2 | Elérék pedig a Filiszteusok Sault és az ő fijait; és megölék a Filiszteusok Jónatánt, Abinádábot és Malkisuát, a Saul fijait.
1Chr.10.3 | És megsúlyosodék Saul ellen a viadal, és találkozának ő reá az ívesek, kik nyilakkal meg is sebesíték őtet.
1Chr.10.4 | És monda Saul az ő fegyverhordozójának: Vond ki fegyveredet, és verj által engem vele: mert ne talán eljőnek e körülmetéletlenek, és megcsúfolnak engemet. Nem akará pedig az ő fegyverhordozója: mert szertelen fél vala: Ragadá ezért Saul a maga fegyverét, és belé bocsátkozék.
1Chr.10.5 | Látván pedig az ő fegyverhordozója, hogy Saul immár megholt volna, ő is a maga fegyverébe bocsátkozék s meghala.
1Chr.10.6 | Meghala azért Saul és az ő három fijai, és egész háznépe is egyetemben meghala.
1Chr.10.7 | Melly dolgot mikor megláttak volna az Izráel fijai, kik laknak vala azon a völgyön, hogy tudniillik ők megfutamodtak volna: és hogy Saul s az ő fijai megholtak volna: pusztán hagyák városaikat és elfutának. Akkor eljövének a Filiszteusok és azokba beszállának.
1Chr.10.8 | Lőn pedig másodnap, eljövének a Filiszteusok, hogy a holtakat megfosszák: és megtalálák Sault és az ő fijait halva feküdvén a Gilboa hegyén.
1Chr.10.9 | És őtet megfosztván, fejét elvevék és fegyvereit, s elküldözék a Filiszteusoknak minden tartományokra köröskörűl, hogy az ő bálványaiknak megmondanák, és a népnek.
1Chr.10.10 | És feltevék az ő fegyvereit az ő isteneiknek templomában: fejét pedig a Dágon kápolnájában feltevék.
1Chr.10.11 | Meghallván pedig mindnyájan a Jábes Gileádbeliek, a miket a Filiszteusok cselekedtek vala Saullal:
1Chr.10.12 | Feltámadának fejenként az erős férjfiak, és elvivék Saulnak és az ő fijainak testeket: és Jábesbe vivén eltemeték azoknak csontjaikat egy tölgyfa alatt Jábesben, s böjtölének hetednapig.
1Chr.10.13 | Meghala azért Saul az ő hamisságáért, mellyel az Urat igen megbántotta vala, azaz, az Úrnak igéje ellen vétkezett vala, mellyet meg nem őrízett vala, és hogy az ördöngöstől is tanácsot kérdett volna.
1Chr.10.14 | És nem kérde tanácsot az Úrtól, emllyért őtet el is veszté, és adá az ő országát Dávidnak az Isai fijának.

1Chr.11.1 | Gyűlének pedig mindnyájan az Izráeliták Dávidhoz Hebronba, mondván: Ímé te csontod és te tested vagyunk.
1Chr.11.2 | Ennekelőtte is, még mikor Saul Király vala is, te viszed vala ki, s te hozod vala bé is az Izráelt: és ezt mondotta a te Urad Istened néked: Te legelteted az én népemet Izráelt, és te lészesz vezér az énm népemen az Izráelen.
1Chr.11.3 | Elmenének azért mindnyájan az Izráelnek Vénei a Királyhoz Hebronba, és szövetséget tőn Dávid velek Hebronban az Úr előtt; és megkenék Dávidot a királyságra az Izráelen, az Úrnak Sámuel által való beszéde szerint.
1Chr.11.4 | Elméne pedig Dávid és az egész Izráel Jérusálembe, ez a Jebus, (hol a föld népének lakosai közzűl való Jebuzeusok laknak vala.)
1Chr.11.5 | És mondának a Jebus lakói Dávidnak: Ide bé nem jösz!. De megvevé Dávid a Sion várát, ez a Dávid városa:
1Chr.11.6 | Mert ezt mondotta vala Dávid: Valaki legelőször a Jebuzeusokat megveréndi, utánnam Fő és Hadnagy lészen. Felméne azért legelőször Joáb a Séruja fija; és lőn Hdnaghgyá.
1Chr.11.7 | Azután lakék Dávid a várban, azért nevezék azt Dávid városának.
1Chr.11.8 | És megépíté Dávid a várost Millótól fogva mind körül: Joáb pedig megépíté a városnak maradékát.
1Chr.11.9 | És szüntelen nevekedik vala Dávid: mert a seregeknek Ura vala ő vele.
1Chr.11.10 | Ezek pedig erős férjfiak közzűl a Hadnagyok, kik Dávid mellett valának, kik erősen forgolódának vele az ő országáért az egész Izráellel, hogy Királlyá választanák őtet az Izráelen, az Úrnak beszéde szerint.
1Chr.11.11 | E pedig az erős férjfiaknak számok, kik Dávid körül valának: Jásobéám, Hakhamoni fija, harmincz férjfiúnak előljárója: ez emelte vala fel az ő kopjáját háromszáz ellen, kiket mind egyszer meg is sebesíte.
1Chr.11.12 | Ezután Eleázár, az Ahóhita Dodó fija; ki a három erősek közzűl vala.
1Chr.11.13 | E vala Dáviddal Pasdamimban, a hová gyültek vala a Filiszteusok viadalra, melly mezőnek darabja árpával vala tele, s a lakos nép elfutott vala a Filiszteusok előtt.
1Chr.11.14 | És megállottak vala ott a darab mezőnek közepén, mellyet meg is szabadítának, és megverék a Filiszteusokat; és az Úr megszabadítá azokat nagy szabad1tással.
1Chr.11.15 | Továbbá mikor alámentek volna hárman a haarmincz Főemberek közzűl Dávidhoz, a kősziklához az Adullám barlangjába; a Filiszteusok pedig tábort járának a Réfaim völgyben.
1Chr.11.16 | (Dávid pedig akkor vala az ő erősségében, és a Filiszteusok hada vala Bethlehemnél.)
1Chr.11.17 | Kíváná Dávid vizet, s monda: Óh ki adhatna nékem innom a Bethlehem kapuja előtt való forrásnak vizéből!
1Chr.11.18 | Általvágák azért a három fő erős férjfiak magokat a Filiszteusok táborán, és vizet merítének a Bethlehem forrásából, melly vala a kapu előtt, és vivék Dávidnak: de nem akara Dávid inni, hanem kitölté azt az Úrnak.
1Chr.11.19 | És monda: Távoztassa el tőlem az én Istenem, hogy ezt cselekedném: Avagy ezeknek véreket innám é meg, kik életeket halálra vetették? Mert ők ezt életek veszedelmével hozták: És semmiképen nem akara inni. Ezt cselekedék a három erős férjfiak.
1Chr.11.20 | És Abasai a Joáb attyafia, ő vala e háromnak előljárójok: e ragadott vala dárdát háromszáz ellen, kiket megsebes1te: és ő híres és nevezetes vala a három között.
1Chr.11.21 | A három közzűl a kettőnél becsületesb vala, azért volt azoknak előljárójok; de azért ő magaaa nem ér vala a hárommal.
1Chr.11.22 | Benája a Jójada fija, erős férjfiúnak fija, ki nagy dolgokat cselekedett vala, és vala Kábséelbeli: ő ölte vala meg a két erős Moábitákat, ugyanez ment vala alá, és megölte vala az oroszlánt a veremben havas időn.
1Chr.11.23 | Ugyanez ölé meg az Égyiptombeli férjfiakat, kinek magassága öt sing vala, és ollya dárda vala az Égyiptombeli férjfiúnak kezében, mint a szövö zugoly. Szembe szállott vala pedig egy pálczával s kiragadá az Égyiptombeli ember kezéből a dárdát, és az ő maga dárdájával általveré.
1Chr.11.24 | Ezeket cselekedte Benája a Jójada fija, ki is vala nevezetes a három erősek között.
1Chr.11.25 | A harmincz közzűl ímé tiszteletes vala ő, de nem ér vala a hárommal; annakokáért Dávid Hadnaggyá tevé őtet, az ő szavát halgató vitézeken.
1Chr.11.26 | A seregnek pedig erősei közzűl valók ezek: Asael a Joáb attyafia; Elhanán, Dódónak fija, ki Bethlehembeli vala.
1Chr.11.27 | Haróritból való Sammót, Pélonból való Héles.
1Chr.11.28 | tékoabeli Hira, Ikkés fija, Anatótbeli Abiézer.
1Chr.11.29 | Húsatbeli Sibbékai, Ahóhitbeli Ilai.
1Chr.11.30 | Nétofátbeli Maharai, Nétofátbeli Héled, Bahána fija.
1Chr.11.31 | Ittai, Ribai fija, a Benjámin fijainak Gibea városokból való; Pirátonbeli Benája.
1Chr.11.32 | Húrai, a Gaás völgyéből való: Arbátbeli Abiel.
1Chr.11.33 | Baharumi Azmávet, Saálbonitbeli Eliáhba.
1Chr.11.34 | Gisonbeli Hásem fijai közzűl, Jónathán, Hararitbeli Ságé fija.
1Chr.11.35 | Hararitbeli Ahiám, Sákár fija: Elifál, Ur fija.
1Chr.11.36 | Mekerátbeli Héfer, Pélonbeli Ahija.
1Chr.11.37 | Kármelből való Hésró, Naárai, Ezbái fija.
1Chr.11.38 | Jóel, Nátán attyafia; Mibhár, Géri fija.
1Chr.11.39 | Sélek, Ammon nemzetségéből való: Berótbeli Naárai, Joábnak ki Séruja fija vala, fegyverhordozója.
1Chr.11.40 | Itrébeli Hira, Itrébeli Gáreb.
1Chr.11.41 | Hitteus Uriás, Zabád, Ahlai fija.
1Chr.11.42 | Hadina, a Rúben nemzetségéből való Siza fija, ki a Rúbenitáknak Hadnagyok vala, és vele harminczan valának.
1Chr.11.43 | Hanán, Maaka fija, és Mitnibeli Jósafát.
