1Cor.1.1 | Pál, hivatala szerint Jézus Krisztusnak Apostola, Istennek akaratjából, és a Sosthénes atyafiú.
1Cor.9.11 | Ha mi néktek lelkieket vetettünk, nagy dolog-é, ha mi a ti testi marháitokat aratjuk?
1Cor.9.12 | Ha egyebek köztetek az ő szabadságoknak hasznát veszik, miért nem inkább mi? De mi nem éltünk e szabadsággal, hanem mindeneket eltürünk, hogy a Krisztus Evangyéliomának folyását ne késlelnénk.
1Cor.9.13 | Avagy nem tudjátok-é, hogy a kik a szent dolgokban munkálódnak a szent helyből élnek; és a kik az oltár körűl forgolódnak, az oltárral együtt vészik el részeket.
1Cor.9.14 | E képen rendelt az Úr is azoknak, kik az Evangyéliomot prédikálják, hogy Evangyéliomból éljenek.
1Cor.9.15 | De én ezek közzűl eggyel sem éltem. Ezeket is pedig nem azért irtam, hogy velem e képen cselekedjenek: mert jobb volna nékem inkább meghalnom, hogynem mint valaki hijábavalóvá tenné az én dicsekedésemet.
1Cor.9.16 | Mert ha prédikálom az Evangyéliomot, azzal nem dicsekedhetem; mert a szükség kénszerit engemet. Jaj pedig nékem, ha az Evangyéliomot nem prédikálom!
1Cor.9.17 | Mert ha akaratom szerint mivelem ezt, jutalmam vagyon; ha akarato ellen mivelem is, sáfárságot bizott Isten én reám.
1Cor.9.18 | Micsoda jutalmam vagyon tehát? Ez, hogy mikor prédikálom az Evangyéliomot, a Krisztusnak Evangyéliomát ingyen valóvá tégyem, hogy az én szabadságommal gonsozúl ne éljek az Evangyéliomnak prédikáltatásában.
1Cor.9.19 | Mert én szabados lévén mindenektől, magamat mindeneknek szolgájokká tettem, hogy többeket nyerhetnék meg.
1Cor.9.20 | És a Zsidók között úgy tartottam magamat mint Zsidó, hogy a Zsidókat megnyerném; azok között, kik a törvény alatt vagynak, úgy viseltem magamat, mintha a törvény alatt volnék, hogy a kik a törvény alatt vagynak, azokat megnyerném.
1Cor.9.21 | A törvény nélkűl valók között, mintha én is törvény nélkűl való volnék, (noha nem vagyok Isten előtt törvény nélkűl való, hanem a Krisztus törvényének alá vettettem,) hogy megnyerném a törvény nélkűl valókat.
1Cor.9.22 | Az erőteleneknek lettem úgy mint erőtelen, hogy az erőteleneket megnyerném: mindeneknek minden lettem, hogy mindenestől fogva valakiket megnyernék.
1Cor.9.23 | Ezt pedig mivelem az Evangyéliomért, hogy az Evangyéliomban a hallgatókkal egybe részem legyen.
1Cor.9.24 | Avagy nem tudjátok-é, hogy a kik a czélban futnak, jóllehet mindnyájan futnak, de egy veszi el a jutalmat? Úgy fussatok azért, hogy a jutalmat elvehessétek.
1Cor.9.25 | A ki pedig a pályafutásban tusakodik, mindenekben magatürtető. Azok ugyan azért, hogy a veszendő koronát elvegyék; mi pedig azért, hogy a rothadatlant.
1Cor.9.26 | Én azért úgy futok, mint nem bizonytalanra; úgy harczolok, mint nem hijába vágván a levegőeget.
1Cor.9.27 | Hanem az én testemet megsanyargatom, és rabság alá adom: hogy valamimódon, holott én prédikálok másoknak, gonosz életű ne legyek.

1Cor.10.1 | Nem akarom pedig hogy ti ezt ne tudjátok, Atyámfiai, hogy a mi Atyáink mindnyájan ama köd alatt voltak, és mindnyájan a tengeren általmentek.
1Cor.10.2 | És mindnyájan a Mózesben megkeresztelkedtek, a ködben és a tengerben.
1Cor.10.3 | És mindnyájan egy lelki eledelt ettek velünk.
1Cor.10.4 | És mindnyájan egy lelki italt ittak: mert ittak a lelki kősziklából, melly őket követi vala, a kőszikla pedig a Krisztus vala.
1Cor.10.5 | De sokat azok közzűl az Isten nem kedvelt: mert a pusztában levágattattak.
1Cor.10.6 | Ezek pedig mi példáink voltak, hogy gonosz dolgokat ne kivánjunk, miképen azok kivántak.
1Cor.10.7 | Bálványimádók se legyetek, mint ő közzűlök némellyek, mint meg vagyon irva: Leüle a nép enni és inni, és felkele játszani.
1Cor.10.8 | Se pedig ne paráználkodjunk, mint azok közzűl némellyek paráználkodtak: és egy napon elestek huszonhárom ezeren.
1Cor.10.9 | Se a Krisztust ne kisértsük, mint ő közzűlök némellyek kisértették, és a kigyók miatt elveszének.
1Cor.10.10 | Se pedig ne zúgolódjatok, miképen ő közzűlök némellyek zúgolódának, és elveszének a pusztitó miatt.
1Cor.10.11 | Mind ezek pedig példában esnek vala rajtok; megirattattak pedig a mi intetésünkre, kikre ez utolsó idők jutottak.
1Cor.10.12 | Azért a ki magának láttatik állani, meglássa, hogy el ne essék.
1Cor.10.13 | Nem egyéb, hanem csak emberi kisértet esett rajtatok; de az Isten igaz, ki nem hágy titeket feljebb kisértetni annál, a mint elszenvedhetitek, sőt a kisértettel egyetemben a szabadulásra útat nyit, hogy azt elszenvedhessétek.
1Cor.10.14 | Azért szerelmesim távoztassátok el a bálványimádást.
1Cor.10.15 | Úgy szólok mint tudósoknak; itéljetek meg ti a mit mondok.
1Cor.10.16 | A háláadásnak pohara, mellyet megszentelünk, avagy nem a Krisztus vérével való közösülésünk-é? A kenyér, mellyet megszegünk, avagy nem a Krisztus testével való közösülésünk-é?
1Cor.10.17 | Mert egy kenyér és egy test vagyunk sokan; mert mindnyájan egy kenyérből eszünk.
1Cor.10.18 | Tekintsétek meg a test szerint való Izráelt: A kik áldozatokban esznek, avagy nincsen-é közök az oltárhoz?
1Cor.10.19 | Mit mondok azért, hogy a bálvány valami volna-é, vagy a bálványoknak áldoztatott valami volna-é?
1Cor.10.20 | Sőt azt mondom, hogy a mit a Pogányok áldoznak, az ördögöknek áldozzák, nem az Istennek; nem akarom pedig hogy ti az ördögöknek közösei legyetek.
1Cor.10.21 | Nem ihatjátok az Úr poharát; és az ördögöknek poharokat; nem lehettek az Úr asztalának, és az ördögök asztaloknak részesei.
1Cor.10.22 | Avagy nem ingereljük-é haragra az Urat? avagy erősbek vagyunk-é ő nálánál?
1Cor.10.23 | Mindenek szabadok nékem: de nem mindenek használnak; mindenek szabadok nékem: de nem mindenek épitenek.
1Cor.10.24 | Senki ne keresse a mi övé, hanem minden azt keresse a mi másé.
1Cor.10.25 | Valamit a mészárszékben árulnak, megegyétek, semmit nem tudakozván felőle a lelkiesméretért.
1Cor.10.26 | Mert az Úré a föld, és annak minden gazdagsága.
1Cor.10.27 | Ha valaki a hitetlenek közzűl titeket elhivánd, és el akartok menni, valamit előtökbe hoznak, megegyétek, semmit nem tudakozván felőle a lelkiesméretért.
1Cor.10.28 | De ha valaki néktek ezt mondja: E bálványoknak áldoztatott, ne egyétek, az emberért a ki azt mondotta és a lelkiesméretért; mert az Úré a föld, és annak minden gazdagsága.
1Cor.10.29 | Nem a te lelkiesméretedért mondom pedig; hanem annak lelkiesméretiért: mert az én szabadságom miért szidalmaztatik másnak lelkiesméretétől?
1Cor.10.30 | És ha én isteni kegyelemből eszem, miért itéltetem azért hitetlennek, a miért én hálákat adok?
1Cor.10.31 | Azért akár esztek, akár isztok, akár mit cselekesztek, mindeneket az Isten dicsőségére miveljetek.
1Cor.10.32 | Meg ne botránkoztassátok vagy a Zsidókat, vagy a Görögöket, vagy az Istennek Gyülekezetét.
1Cor.10.33 | Miképen én is mindenekben mindeneknek kedveskedem, nem keresvén a magam hasznát, hanem sokaknak hasznokat, hogy megtartassanak.

1Cor.11.1 | Legyetek én követőim, mint én is követője vagyok a Krisztusnak.
1Cor.11.2 | Dicsérlek pedig titeket, Atyámfiai, hogy én rólam mindenestől megemlékeztek, és a minémü rendeléseket szabtam köztetek, azokat megtartjátok.
1Cor.11.3 | Akarom pedig hogy ezt tudjátok, hogy a Krisztus minden férjfiúnak feje: az asszonynak pedig feje a férjfiú, a Krisztusnak pedig feje az Isten.
1Cor.11.4 | Minden férjfiú a ki imádkozik, vagy Irást magyaráz béfedett fővel, megrútitja az ő fejét;
1Cor.11.5 | Minden asszony pedig a ki imádkozik vagy Irást magyaráz mezitelen fővel, az ő fejét megrútitja: mert az szinte annyit tészen mintha megberetváltatott volna az ő feje.
1Cor.11.6 | Mert az asszony, ha bé nem fedi az ő fejét, nyirettessék el az ő haja is; hogyha pedig éktelen az asszony fejének megnyirettetni vagy megberetváltatni, fedezze bé az ő fejét.
1Cor.11.7 | Mert a férjfiúnak nem kell béfedni az ő fejét, mivelhogy ő Istennek képe és dicsősége; de az asszony a férjfiú dicsősége.
1Cor.11.8 | Mert nem a férjfiú vagyon az asszonyból, hanem az asszony a férjfiúból.
1Cor.11.9 | Mert nem is a férjfiú teremtetett az asszonyért, hanem az asszony a férjfiúért.
1Cor.11.10 | Azért kell az asszonynak fején lenni a férjfiú hatalmának bizonyságának az Angyalokért.
1Cor.11.11 | Mindazáltal sem a férjfiú nem lehet az asszony nélkűl, sem az asszony a férjfiú nélkűl az Úrnak rendelése szerint:
1Cor.11.12 | Mert miképen hogy az asszony a férjfiúból vagyon: azonképen a férjfiú is az asszony által: mind a ketten pedig Istentől vagynak.
1Cor.11.13 | Magatokban itéljétek meg, hogyha illendő dolog-é az asszonynak mezitelen fővel imádni az Istent?
1Cor.11.14 | Avagy a természet is nem tanit-é meg erre titeket, hogy a férjfiúnak éktelen dolog nagy hajat viselni?
1Cor.11.15 | Az asszonynak az ellen viszontag ékességére vagyon a nagy haj: mert néki feje fedezésére adatott a nagy haj.
1Cor.11.16 | Hogyha valakinek tetszik ezek ellen versengeni, nékünk ollyan szokásunk nincsen, sem az Isten Gyülekezeteinek.
1Cor.11.17 | Ezt pedig tudtotokra adom, hogy nem dicsérlek ebben titeket, hogy nem haszonnal, hanem kárral gyültek egybe.
1Cor.11.18 | Mert először, mikor egybegyültök a Gyülekezetbe, hallom hogy visszavonások vagynak köztetek, valami részre pedig hiszem is.
1Cor.11.19 | Mert szükség lenni hasonlásoknak is köztetek, hogy a kik állhatatosok, azok megesmértessenek ti köztetek.
1Cor.11.20 | Azért mikor egybegyültök azon helyre, ez nem Úr Vacsorájának étele;
1Cor.11.21 | Mert kiki mind az ő saját vacsoráját eszi meg előbb, és az étel közben némelly éhezik, némelly pedig részeg.
1Cor.11.22 | És nincsenek-é házaitok az ételre és italra? Avagy az Istennek Anyaszentegyházát megutáljátok-é, és azokat szégyenititek-é, a kiknek nincsen mit enniek? Mit mondjak néktek? Dicsérjelek é titeket e dologban? Nem dicsérlek.
1Cor.11.23 | Mert én az Úrtól vettem, mellyet néktek előtökbe is adtam: hogy az Úr Jézus, azon éjszakán, mellyen elárultaték, vette a kenyeret.
1Cor.11.24 | És hálákat adván megszegte, és ezt mondotta: Vegyétek, egyétek; ez az én testem, melly ti érettetek megtöretik: ezt cselekedjétek az én emlékezetemre.
1Cor.11.25 | Hasonlatosképen a pohárt is vette, minekutánna vacsorált volna, ezt mondván: E pohár amaz Új testamentom az én vérem által: Ezt cselekedjétek valamennyiszer isszátok, az én emlékezetemre.
1Cor.11.26 | Mert valamennyiszer ejénditek e kenyret, és ijándjátok e pohárt az Úrnak halálát hirdessétek, a mig eljövénd.
1Cor.11.27 | Azért valaki ejéndi a kenyeret, és ijándja az Úrnak poharát méltatlanul, vétekzik az Úr teste és vére ellen.
1Cor.11.28 | Próbálja meg azért minden ember magát, és úgy egyéb abból a kenyérből, és úgy igyék abból a pohárból.
1Cor.11.29 | Met a ki eszik és iszik méltatlanul, itéletet eszik és iszik magának, hogy meg nem becsüli az Úrnak testét.
1Cor.11.30 | Ezért is vagynak ti köztetek sok erőtlenek és betegek, és elaludtak sokan.
1Cor.11.31 | Mert ha mi magunk itélnénk meg magunkat, nem büntettetnénk Istentől:
1Cor.11.32 | De mikor büntettetünk, az Úrtól tanittatunk, hogy e világgal el ne kárhoztassunk.
1Cor.11.33 | Azért Atyámfiai, mikor egybegyültök az ételre, egymást megvárjátok.
1Cor.11.34 | Hogyha valaki éhezik, otthon egyék hogy itéletre ne gyüljetek egybe. A több dolgokat pedig elrendelem, mikor közzétek megyek.

1Cor.12.1 | Továbbá a mi néz a lelki ajándékokra, Atyámfiai, nem akarom, hogy azok felől is tudatlanok legyetek.
1Cor.12.2 | Tudjátok hogy ti Pogányok voltatok, és a néma bálványokhoz ragadtatok vala a mint vitettek vala.
1Cor.12.3 | Azért tudtotokra adom néktek, hogy senki, a ki Istennek Lelke által szól, a Jézust nem átkozza: és senki nem mondhatja a Jézust Úrnak, hanem csak a Szent Lélek által.
1Cor.12.4 | Az ajándékokban pedig külömbség vagyon, de ugyanazon Lélek.
1Cor.12.5 | Az egyházi szolgálatokban is külömbségek vagynak, de ugyanazon Úr.
1Cor.12.6 | És külömbségek vagynak az isteni erőknek ajándékiban is, de ugyanazon egy Isten, ki mind azokat mindenekben cselekeszi.
1Cor.12.7 | Mindennek pedig adatik a Léleknek nyilvánvaló ajándéka, haszonra.
1Cor.12.8 | Mert némellyek az Isten Lelkétől adattatik bölcseségnek beszéde; némellynek pedig tudománynak beszéde, ugyanazon Lélektől.
1Cor.12.9 | Némellynek pedig hit, ugyanazon Lélek által: némellyek pedig gyógyitásnak ajándékai, ugyanazon Lélek által.
1Cor.12.10 | Némellyek pedig isteni erőknek cselekedésére való ajándékok; némellyek pedig jövendőmondás; némellyek pedig a Lelkeknek megválasztatások ajándéka; némellyek pedig külömböző nyelvek nemeinek tudása, némellynek pedig nyelvek magyarázások.
1Cor.12.11 | De mind ezeket cselekeszi ugyanazon egy Lélek, osztogatván ahzokat kiváltképen mindeneknek a mint akarja.
1Cor.12.12 | Mert miképen a test egy, és annak sok tagjai vagynak: az egy testnek minden tagjai pedig noha sokak, mindazáltal azok egy test: ezenképen vagyon a Krisztus is.
1Cor.12.13 | Mert egy Lélek által mi mindnyájan egy testté keresztelkedtünk, akár Zsidók, akár Görögök, akár szolgák, akár szabadosok, és mindnyájan egy ital által lettünk egy lélekké.
1Cor.12.14 | Mert a test nem egy tag, hanem egy tagok.
1Cor.12.15 | Ha ezt mondja a láb: Mivelhogy én nem vagyok kéz, azért nem vagyok a testből való; avagy nem a testből való-é azért?
1Cor.12.16 | És ha ezt mondja a fül: Mivelhogy nem vagyok én szem, nem vagyok a testből való; avagy nem a testből való-é azért?
1Cor.12.17 | Ha az egész test szem, hol a hallás? ha egészen hallás, hol az illatozás?
1Cor.12.18 | De az Isten a tagokat helyheztette egyenként külön-külön a testben, a mint akarta.
1Cor.12.19 | Hogyha mind azok egy tag volnának: hol volna a test?
1Cor.12.20 | De jóllehet a tagok sokak, mindazáltal egy test.
1Cor.12.21 | Nem mondhatja pegig a szem a kéznek: nem szükölködöm nálad nélkül; vagy a fő a lábaknak: nem kelletek ti nékem.
1Cor.12.22 | Sőt sokkal inkább a mellyek a testnek legerőtelenebb tagjainak láttatnak, azok igen szükségesek.
1Cor.12.23 | És a testnek a melly tagjait állitjuk lenni tiszteletleneknek, azoknak nagyobb tisztességet teszünk; és a mellyek mi bennünk éktelenek, azoknak nagyobb ékességek vagyon.
1Cor.12.24 | Mert a mellyek a mi bennünk ékességesek, azoknak nem szükség az ékesség: de az Isten igy mértékelte a testet mind egyetembe, hogy a melly tisztesség nélkűl való volna, annak nagyobb tisztességet adna.
1Cor.12.25 | Hogy ne lgyen hasonlás a testben, hanem a tagok egyenlőképen egymásért szorgalmatosok lévén, a testet táplálják.
1Cor.12.26 | És ha egy tag szenved, minden tagok egyetembe bánkódnak: ha egy tag tisztességgel illettetik, egyetembe örülnek minden tagok.
1Cor.12.27 | Ti pedig a Krisztus teste vagytok és tagjai rész szerint.
1Cor.12.28 | Némellyeket pedig rendelt Isten az Anyaszentegyházban, először Apostolokat, azután Prófétákat, harmadszor Doktorokat: Azután rendelt hatalmasságokat, azután gyógyitásnak ajándékit, szegényeknek segéllőit, községnek igazgatóit, nyelveknek külömböző nemeit.
1Cor.12.29 | Avagy mindnyájan Apostolok-é azok? vagy mindnyájan Próféták-é? Avagy mindnyájan Doktorok-é? vagy mindnyájan hatalmasságok-é?
1Cor.12.30 | Vagyon-é mindeniknek gyógyitásra való ajándéka? valjon mindnyájan szólnak-é külömböző nyelveken? valjon mindnyájan magyaráznak-é Irást?
1Cor.12.31 | De az ollyan ajándékokra igyekezzetek, a mellyek hasznosbak. És még drágalátosb útat mutatok néktek.

1Cor.13.1 | Ha embereknek vagy Angyaloknak nyelveken szólnék is, a szeretet pedig nincsen én bennem, ollyá lettem mint a zengő ércz, és a pengő czimbalom.
1Cor.13.2 | És ha jövendőt tudnék is mondani, és minden titkokat és minden bölcseséget tudnék is; és ha egész hitem volna is, úgyannyira, hogy e hegyeket elvinném helyekről, ha szeretet nincsen én bennem, semmi vagyok.
1Cor.13.3 | És ha minden marhámat a szegények tápláltatásokra költeném is, és ha testemet a tűzre adám is, ha szeretet nincsen bennem, semmit az nem használ nékem.
1Cor.13.4 | A szeretet hosszutürő, kegyes a szeretet, nem irigykedik a szeretet, nem cselekeszik álnokul, nem fuvalkodik fel.
1Cor.13.5 | Nem cselekeszik éktelenül, nem keresi csak az ő maga hsznát, nem gerjed hamar haragra, nem gondol gonoszt.
1Cor.13.6 | Nem örül a hamisságnak, örül pedig az igazságnak.
1Cor.13.7 | Mindeneket elfedez, mindeneket hiszen, mindeneket reményl, mindeneket eltűr.
1Cor.13.8 | A szeretet soha el nem fogy: de a jövendőmondások is eltöröltetnek, a külömböző nyelvek is megszünnek, a tanulásból való esméret is eltöröltetik.
1Cor.13.9 | Mert rész szerint vagyon bennünk az esméret, rész szerint a prófétálás:
1Cor.13.10 | De minekutánna eljövénd a tökéletes teljesség, akkor eltöröltetik a mi rész szerint vagyon.
1Cor.13.11 | Mikor gyermek volnék, úgy szóltam mint gyermek, úgy gondolkodtam mint gyermek, úgy értettem mint gyermek, minekutánna pedig férjfiúvá lettem, elhegytam a gyermekhez illendő dolgokat.
1Cor.13.12 | Mert most látunk tükör által és homályos beszéd által, de akkor szemtől szembe: most rész szerint vagyon bennem az esméret, akkor pedig lészen az esméret úgy, a mint tanitottam.
1Cor.13.13 | Azért most megmarad a hite, a reménység, a szeretet, ez három: ezek között pedig legnagyobb a szeretet.

1Cor.14.1 | Kövessétek a szeretetet, kivánjátok a lelki ajándékokat: de mindennél inkább hogy Irást tudjatok magyarázni.
1Cor.14.2 | Mert a ki nyelveken szól, nem embereknek szól, hanem Istennek: mert senki nem érti, noha Szent Lélek által titkos dolgokat szól.
1Cor.14.3 | A ki pedig Irást magyaráz, az embereknek szól épülésre, intésre és vigasztalásra.
1Cor.14.4 | A ki idegen nyelven szól, magát épiti, a ki pedig Irsát magyaráz, az a Gyülekezetet épiti.
1Cor.14.5 | Jóllehet pedig akarnám ha mindnyájan tudnátok külömböző nyelveken szólni, de inkább, hogy Irást tudnátok magyarázni: mert nagyobb az Irásmagyarázó, hogynem a ki nyelveken szól, hanem ha megmagyarőzza, hogy a Gyülekezet épüljön.
1Cor.14.6 | Ha pedig Atyámfiai, én ti hozzátok mennék és nyelveken szólnék, mit használnék néktek, hanemha szólnék néktek vagy jelenés által, vagy tudomány által, vagy prófétzia által, vagy tanitás által.
1Cor.14.7 | Az oktalan állatok is, a mellyek zengenek, mint a sip vagy hegedű, ha szép választást nem tésznek a zengsében, mimódon érthetjük meg a mit énekelnek vagy a sippal, vagy a hegedűvel?
1Cor.14.8 | Mert ha a trombita bizonytalan zengést tészen, kicsoda készül a harczra?
1Cor.14.9 | Azonképen ti is, ha a ti nyelvetek által bizonyos jegyző szót nem szóltok, mimódon érthetik meg a mit szóltok? csak hijába lészen szólástok.
1Cor.14.10 | Mint példa reá: Ennyi sokféle szólás vagyon e világon, és egy is nincsen értelem nélkűl.
1Cor.14.11 | Hogyha azért nem tudándom a szónak jegyzését, az előtt, a ki nékem szól, idegen nyelven való lészek; és a ki én velem szól, nékem is idegen nyelven szóló lészen.
1Cor.14.12 | Azonképen ti is, mivelhogy a lelki ajándékokat kivánjátok, az Anyaszentegyháznak épületére igyekezzetek, hogy azokban nevekedjetek.
1Cor.14.13 | Annakokáért a ki nyelveken szól, kérje Istent hogy meg is magyarázhassa.
1Cor.14.14 | Mert ha idegen nyelven könyörgök a Gyülekezetben, az Isten Lelke által való indulatom könyörög, de az én könyörgésemnek értelme haszontalan a Gyülekezetnek.
1Cor.14.15 | Micsoda tehát? ha imádkozom a Lélek inditásából, értelemmel is imádkozzam; ha éneklek a Lélek által, értelemmel is énekeljek.
1Cor.14.16 | Mert ha Szent Lélek által hálákat adsz Istennek a Gyülekezetben, a tudatlan ember mimódon mond a te háláadásodra Áment? mert nem tudja mit mondasz.
1Cor.14.17 | Mert te jóllehet jó móddal adsz hálákat, de más nem épül abból.
1Cor.14.18 | Hálákat adok az én Istenemnek, hogy mindnyájatoknál inkább tudok én idegen nyelveken szólni;
1Cor.14.19 | De a Gyülekezetben inkább akarok öt szót szólni értelemmel, hogy egyebeket is tanitsak, hogynem mint tizezer szót szólni idegen nyelvvel.
1Cor.14.20 | Atyámfiai, ne legyetek gyermekek értelemmel; hanem gonoszsággal gyermekek, értelemmel pedig öregek legyetek.
1Cor.14.21 | A törvényben meg vagyon irva: Annakokáért idegen nyelvvel és idegen ajakokkal szólok e népnek, és úgy is nem hallgatnak engemet, ezt mondja az Úr.
1Cor.14.22 | Az idegen nyelvek azért, jelenségek nem a hivőknek, hanem a hitetleneknek: az Irásmagyarázás pedig jelek nem a hitetleneknek, hanem a hivőknek.
1Cor.14.23 | Azért ha egész Gyülekezet egybegyül, és mindnyájan idegen nyelveken szólnak, ha bémennek a tudatlanok vagy a hitetlenek, avagy nem azt mondják-é, hogy bolondságot cselekesztek?
1Cor.14.24 | De ha mindnyájan Irást magyaráznak, ha bémegyen valamelly hitetlen vagy tudatlan, mindenektől megfeddetik, megitéltetik mindenektől.
1Cor.14.25 | És ollyan módon az ő szivének titkai megjelennek annak, és leborúlván arczal, az Istent imádja és hirdeti mindenütt, hogy bizonnyal az Isten lakik ti köztetek.
1Cor.14.26 | Micsoda azért, atyámfiai? Valamikor egybegyültök, némellynek közzűletek dicséretre való éneke vagyon, tudománya vagyon, nyelvekkel való szólásnak ajándéka vagyon, isteni jelentése vagyon, magyarázásra való ajándéka vagyon. Mindenek épülésre legyenek.
1Cor.14.27 | Ha idegen nyelven akar valaki szólni, kettő, vagy legfeljebb három szóljon egymás után; egy pedig megmagyarázza.
1Cor.14.28 | Hogyha nincsen magyarázó, hallgasson a Gyülekezetben: ő magának szóljon pedig és az Istennek.
1Cor.14.29 | Az Irásmagyarázók közzűl is ketten vagy hárman szóljanak, a többi megitéljék.
1Cor.14.30 | Hogyha az Istentől valami másnak jelentetik meg a mellette ülőnek, az első hallgasson.
1Cor.14.31 | Mert egyenként mindnyájan magyarázhatjátok az Irást, hogy mindenek tanuljanak, és vigasztalást végyenek.
1Cor.14.32 | És a magyarázóknak értelmeik, a magyarázóknak itéletek alá vettettek.
1Cor.14.33 | Mert az Isten nem szeretője a visszavonásnak, hanem a békességnek, miképen a szenteknek minden Gyülekezeteikben.
1Cor.14.34 | A ti asszonyi népeitek a Gyülekezetben hallgassanak; mert nem engedtetett nékik az, hogy szóljanak, hanem hogy engedelmesek legyenek, mint a törvény is mondja.
1Cor.14.35 | Hogyha valamit meg akarnak tanulni, otthon kérdjék meg az ő férjeket: mert éktelen dolog asszonynak szólni a Gyülekezetben.
1Cor.14.36 | Avagy ti tőletek származott-é az Isten beszéde? avagy cak ti hozzátok jutott-é?
1Cor.14.37 | Ha valaki láttatik Prófétának lenni, vagy lelki dolgokban tudósnak, végye eszébe, hogy a mellyeket néktek irok, azok az Úrnak parancsolatai.
1Cor.14.38 | A ki pedig tudatlan, ám legyen tudatlan.
1Cor.14.39 | Azért Atyámfiai, erre igyekezzetek, hogy Irást tudjatok magyarázni; és a nyelveken való szólást is meg ne tiltsátok.
1Cor.14.40 | Mindenek pedig ékesen és jó renddel legyenek ti köztetek.

1Cor.15.1 | Imé eszetekbe juttatom néktek, Atyámfiai, az Evangyéliomot, mellyet hirdettem néktek, mellyet bé is vettetek, mellyben állotok is;
1Cor.15.2 | Melly által, ha megtartjátok a minémű beszéddel néktek hirdettem, idvezültök is, hanem ha hijába hittetek.
1Cor.15.3 | Mert erre tanitottalak főképen titeket, mellyet én is tanultam vala, hogy a Krisztus megholt a mi bűneinkért, az Irások szerint.
1Cor.15.4 | És eltemettetett és feltámadott harmadnapon az Irások szerint.
1Cor.15.5 | És megjelent Kéfásnak, azután a tizenkét tanitványoknak.
1Cor.15.6 | Azután megjelent többnek ötszáz Atyafiaknál egszersmind, kik közzűl sokan élnek e mai napig, némellyek pedig elaludtak.
1Cor.15.7 | azután megjelent Jakabnak: azután mind az Apostoloknak.
1Cor.15.8 | Legutolszor pedig mindenek között nékem is mintegy idétlennek megjelent.
1Cor.15.9 | Mert én az Apostolok között legkissebb vagyok: ki nem vagyok méltó arra, hogy Apostolnak neveztessem, azért, mert háborgattam az Isten Anyaszentegyházát.
1Cor.15.10 | De Isten kegelme által vagyok a mi vagyok, és az ő kegyelme én hozzám nem volt hijábavaló, hanem többet munkálódtam hogynem mint mindnyájan azok: de nem én, hanem az Isten kegyelme, a melly én velem vagyon.
1Cor.15.11 | Mind én azért, ind azok igy prédikálunk, és igy hittetek.
1Cor.15.12 | Ha azért úgy prédikáljuk, hogy a Krisztus feltámadott a halálból, mimódon mindják némellyek ti köztetek, hogy nincsen a ahalottaknak feltámadások?
1Cor.15.13 | Mert ha halottaknak feltámadások nincsen; a Krisztus is nem támadott fel.
1Cor.15.14 | Hogyha a Krisztus fel nem támadott, hijábavaló kétség nélkűl a mi prédikálásunk, hijábavaló a ti hitetek is.
1Cor.15.15 | Annakfelette az Istennek hamis tanúinak is találtatunk, mivelhogy az Isten felől illyen bizonyságot tettünk, hogy ő feltámasztotta a Krisztust; kit fel nem támasztott, ha a halottak fel nem támasztatnak.
1Cor.15.16 | Mert ha a halottak fel nem támasztatnak, a Krisztus is nem támasztatott fel.
1Cor.15.17 | Ha pedig a Krisztus fel nem támasztatott, hijábavaló a ti hitetek, még a ti bűneitekben vagytok.
1Cor.15.18 | A kik Krisztusban elaludtak, azok is tehát elvesztek.
1Cor.15.19 | Ha csak e világon hiszünk a Krisztusban, minden embereknél nyavalyásbak vagyunk.
1Cor.15.20 | De a Krisztus feltámadott a halálból: és azoknak, a kik elaludtak, lett első zsengéjek.
1Cor.15.21 | Mert mivelhogy ember által vagyon a halál, a halottaknak feltámadások is ember által vagyon;
1Cor.15.22 | Mert miképen Ádámban mindnyájan meghalnak, azonképen a Krisztusban mindnyájan megelevenittetnek.
1Cor.15.23 | Minden ember pedig az ő rende szerint: Első zsenge a Krisztus, azután a kik a Krisztuséi, az ő eljövetelekor támadnak fel.
1Cor.15.24 | Azután vég lészen, mikor kezéhez adja a Krisztus az országot az Istennek és az Atyának, mikor eltörlénd minden birodalmat, minden hatalmat és erőt.
1Cor.15.25 | Mert kell néki uralkondi, mignem minden ellenségit az ő lábai alá veti Isten.
1Cor.15.26 | Utolszor pedig a mi ellenségünk, a halál eltöröltetik.
1Cor.15.27 | Mert mindeneket vetett Isten az ő lábai alá. Mikor pedig azt mondja az Irás, hogy mindenek az ő birodalmába vettettek, nyilvánvaló dolog, hogy azon kivűl mondja, a ki néki mindeneket birodalmába adott.
1Cor.15.28 | Minekutánna pedig mindenek az ő birodalmába vettetnek, akkor maga a Fiú is annak alá vettetik, a ki néki mindeneket birodalmába adott, hogy az Isten mindenekben minden legyen.
1Cor.15.29 | Mit tésznek tehát azok, a kik megkeresztelkednek úgymint holtak, ha a halottak fel nem támasztatnak? miért keresztelkednek meg tehát, úgymint holtak?
1Cor.15.30 | Mi is minden szempillantásban miért szenvedünk nyomorúságot?
1Cor.15.31 | Mindennap meghalok, a mi dicsekedésünkre esküszöm, melly vagyon nékem a Jézus Krisztusban, a mi Urunkban.
