Matt.1.1 | JÉZUS KRISZTUSNAK, Dávid fijának és Ábrahám fijának nemzetségéről való Könyv.
Matt.7.25 | Mert eljött az eső, eljött az árviz és eljöttek a szelek, megütköztek a házba; de nem romlott el: mert kősziklán épittetett.
Matt.7.26 | És valaki hallja én tőlem e beszédeket, és azokat meg nem tartja: hasonlatos lészena bolond emberhez, ki az ő házát épitette fövenyen.
Matt.7.27 | Mert eljött az eső, eljött az árviz, eljöttek a szelek, megütköztek a házba, és elromlott; és annak romlása lett nagy.
Matt.7.28 | És mikor elvégezte volna Jézus e beszédeket, álmélkodik vala a sokaság az ő tudományán.
Matt.7.29 | Mert tanitja vala őket nagy méltósággal, és nem ugy mint az Irástudók.

Matt.8.1 | Mikor leszállott volna Jézus hegyről, követé őtet nagy sokaság.
Matt.8.2 | És ímé egy bélpoklos eljövén térdre esék ő előtte, és monda: Uram: ha akarod megtisztithatsz engemet.
Matt.8.3 | És kezét Jézus kinyujtván, illeté őtet, és monda: Akarom, tisztulj meg. Azon órában azért eltisztula annak poklossága.
Matt.8.4 | Akkor monda neki Jézus: Meglásd, hogy senkinek ne mondjad; hanem menj el, mutasd meg magadat a Papnak, és vidd fel az ajándékot, mellyet parancsolt Mózes, hogy az legyen nékik bizonyságul.
Matt.8.5 | Bémenvén pedig Jézus Kapernaumba, hozzá méne a Százados, kérvén őtet.
Matt.8.6 | És ezt mondván: uram! az én szolgám otthon mintegy elvettetett fekszik gutaütésben, és felette igen gyötrettetik.
Matt.8.7 | Akkor monda néki Jézus: Elmegyek és meggyógyitom őtet.
Matt.8.8 | És felelvén a Százados, monda; Uram! nem vagyok én arra méltó, hogy az én házamba jöjj, hanem csak szóval parancsolj és meggyógyul az én szolgám.
Matt.8.9 | Mert én is Fejedelemség alá vettetett ember vagyok, és vagynak az én hadnagyságom alatt vitézek; és ha ezt mondom egyiknek: Eredj el, elmegyen; és a másiknak mondom: Jöszte, eljő, és ha mondom szolgámnak: Ezt mívled, azt míveli.
Matt.8.10 | ezeket pedig mikor hallotta volna Jézus elcsudálkozék, és monda az őtet körülvetőknek: Bizony mondom néktek, még az Izráel népe között is nem találtam ilyen nagy hitet.
Matt.8.11 | De mondom néktek, hogy sokan eljőnek napkeletről és napnyugotról, és letelepednek Ábrahámmal, Izsákkal és Jákóbbal a mennyországban.
Matt.8.12 | Ez országnak pedig fijai kivettetnek a kivül való sötétségre, holott lészen sirás és fogaknak csikorgatások.
Matt.8.13 | És monda Jézus a Századosnak: Eredj el, és a te hited szerint legyen néked. És meggyógyula annak szolgája azon órában.
Matt.8.14 | És mikor ment volna Jézus a Péter házába, látá az ő napát feküdni az ágyban hideglelésben.
Matt.8.15 | És illeté az ő kezét, és elhagyá őtet a hideglelés; és felkele, és szolgála nékik.
Matt.8.16 | És mikor estve volna, hozának ő hozzá sok ördöngösöket, és csak beszédével kiüzi vala a tisztátalan lelkeket, és minden betegeket gyógyit vala.
Matt.8.17 | Hogy bételjesednék a mi t Ésaiás Próféta mondott vala, igy szólván: Ő vette el a mi erőtlenségünket, és a mi betegségünekt ő hordozta.
Matt.8.18 | Mikor pedig látta volna Jézus e nagy sokaságot maga körül, parancsolá a hallgatóknak, hogy a Tibériás tengerének tulsó partjára mennének.
Matt.8.19 | És mikor járult volna Jézushoz egy Írásmagyarázó, monda néki: Mester! én te utánnad megyek valahová mégy.
Matt.8.20 | És monda Jézus néki: A rókáknak barlangjok vagyon, az égi madaraknak fészkeke; de az ember Fijának nincsen, fejét holott lehajtsa.
Matt.8.21 | Más az ő tanitványai közzűl monda néki: Uram! engedd meg hogy először menjek el, és temessem el az én atyámat.
Matt.8.22 | Jézus pedig monda néki: Kövess engemet: hadd temessék el a halottak az ő halottjaikat.
Matt.8.23 | És mikor ő a hajóba ült volna, követék őtet az ő tanitványai.
Matt.8.24 | És ímé nagy háború támada a tengeren, annyira, hogy a hajó elborittatnék a haboktól; ő pedig aluszik vala.
Matt.8.25 | És a tanitványok hozzá járulván, felkölték őtet, ezt mondván: uram! tarts meg minket: mert elveszünk.
Matt.8.26 | És monda nékik: Mit féltek óh kicsinhitüek? És felkelvén megdorgálá a szeleket és a tengert; és lőn nagy csendesség.
Matt.8.27 | Az emberek pedig elcsudálkozának, mondván: Kicsoda ez, hogy mind a szelek, mind a tenger engednek néki?
Matt.8.28 | És mikor jutott volna ő a tulsó partra, a Gergezenusok tartományokba; jővének ő eleibe két ördöngösök, a koporsókból kijövén: felette igen kegyetlenek, ugy annyira hogy senki az uton el nem mehetne.
Matt.8.29 | És ímé kiáltnak vala, mondván: Micsoda társalkodásunk vagyon nékünk te veled Jézus Istennek Fija? Jöttél ide hogy minket gyötrenél idő előtt.
Matt.8.30 | És vala távol ő tőlök sok disznóknak serege, melly ott eszik vala.
Matt.8.31 | Az örödögök pedig kérik vala őtet, mondván: Ha kiüzsz minket; engedd meg nékünk, hogy menjünk ama disznóknak seregekbe.
Matt.8.32 | És monda nékik: Menjetek el: Azok pedig kimenvén, menének a disznóknak sregekbe; és ímé az egész sereg disznó, nagy magas helyről nyakrafőre a tengerbe rohana, és a vizbe hala.
Matt.8.33 | A pásztorok pedig elfutának, és a városba bémenvén, hirré adák mind ezeket, és az ördöngösökkel mit cselekedett volna.
Matt.8.34 | És ímé mind az egész város kiméne Jézus eleibe: és mikor látták volna őtet, kérék hogy az ő határokból kimenne.

Matt.9.1 | És bémenvén a hajóba, általméne a tengeren, és méne az ő városába.
Matt.9.2 | És ímé hozának néki egy gutaütött ágyban feküvő embert; és mikor látta volna Jézus azoknak hiteket, monda a gutaütött embernek; Bizzál fiam, megbocsáttattak néked a te bűneid.
Matt.9.3 | És ímé az Írástudók közzűl némellyek mondának ő magokban: E káromlást szól.
Matt.9.4 | És mikor látta volna Jézus azoknak gondolatjokat, monda: miért gondoltok gonoszt a ti sziveitekben;
Matt.9.5 | Mert melyik könnyebb, ezt mondanom-é; megbocsáttattaknéked bűneid; vagy ezt mondanom: Kelj fel, és járj?
Matt.9.6 | Hogy pedig megtudjátok, hogy az ember Fijának vagyon hatalma e földön megbocsátani a bűnöket: (akkor monda a gutaütött embernek:) Kelj fel, vedd fel a te ágyadat, és eredj házadhoz.
Matt.9.7 | Akkor az felkele, és elméne az ő házához.
Matt.9.8 | A sokaság pedig mikor ezt látta volna, elálmélkodék és dicsőité az Istent, hogy ilyen hatalmat adott volna az embereknek.
Matt.9.9 | És mikor Jézus onnét elmenne, láta egy embert ülni az adószedő helyen, kinek neve Máté vala, és monda néki: Kövess engem: És az felkelvén követé őtet.
Matt.9.10 | És ímé lőn, mikor Jézus lakodalomhoz ült volna a Máté házánál, ímé sok Publikánusok és bűnösök jövének hozzá: és együtt Jézussal és az ő tanitványaival letelepedének.
Matt.9.11 | És mikor ezt látták volna a Farizuesok, mondának az ő tanitványinak: Micsoda az oka, hogy ez a ti Mesteretek a Publikánusokkal, és a bűnösökkel eszik?
Matt.9.12 | Jézus pedig mikor ezt hallotta volna, monda nékik: Az egésséges emberek nem szűkölködnek orvos nélkűl, hanem a betegek.
Matt.9.13 | Sőt inkább menjetek el, és tanuljátok meg mi legyen ez a mondás: Irgalmasságot akarok és nem áldozatot: Mert nem jöttem hogy az igazakat hivnám, hanem a bűnösöket a megtérésre.
Matt.9.14 | Akkor jövének ő hozzá a Keresztelő János tanitványai, és mondának: Mi az oka, hogy mi és a Farizeusok sokat böjtölünk; a te tanitványid pedig nem böjtölnek?
Matt.9.15 | És monda nékik Jézus: Valyon böjtölhetnek é a vőlegény ágyasházának fijai, mig velek vagyon a vőlegyén? Eljőnek pedig a napok, mikor elvétetik ő tőlöka vőlegény, és akkor böjtölnek.
Matt.9.16 | Senki pedig nem foldja uj posztó folttal bé a hitvány ruhát; mert annak uj posztó foltja a hitvány ruhát megszakasztja, és azután nagyobb szakadás lészen rajta.
Matt.9.17 | Sem pedig az uj bort nem töltik hitvány tömlőkbe: mert elszakadoznak a tömlők, és a bor kiomol, a tömlők is elvesznek; hanem az uj bort uj tömlőkbe töltik, és mindenik megmarad.
Matt.9.18 | Mikor ezeket mondaná nékik Jézus, ímé egy ember, ki a zsinagógának Fejedelme vala, eljövén térdre esék ő előtte, és monda: Az én leányom mostan holt meg, de jere és vessed a te ekezdet ő reá, és megelevenedik.
Matt.9.19 | Akkor felkelvén Jézus, követé azt az ő tanitványival egybe.
Matt.9.20 | És ímé egy asszony, ki tizenkét esztendőtől fogva vérnek folyását szenvedi vala, hátul járulván illeté az ő ruhájának prémjét.
Matt.9.21 | Mert igy gondolkodik vala magában: Ha csak ruháját illetem is, meggyógyulok.
Matt.9.22 | Jézus pedig megfordulván, és ő reá tekintvén, monda: Bizzál leányom, a te hited téged megtartott. És meggyógyula az asszony az órától fogva.
Matt.9.23 | És mikor jutott volna Jézus a zsinagóga Fejedelmének házához, és látta volna a siposokat, és a háborgó sokaságot.
Matt.9.24 | Monda nékik: Menjetek el innét, mert nem holt meg a leányzó, hanem aluszik. És csúfolják vala őtet.
Matt.9.25 | És mikor kiment volna a sokaság a házból, bémenvén megfogá a leányzónak kezét, és felkele a leányzó.
Matt.9.26 | És elméne e hir mind az egész tartományba.
Matt.9.27 | És mikor elment volna onnét Jézus követék őtet két vakok, kik kiáltnak vala, ezt mondván: Könyörülj rajtunk Dávidnak fija!
Matt.9.28 | Mikor pedig házba ment volna, hozzá menének a két vakok, és monda nékik Jézus: Hiszitek é hogy én megcselekedhetem ezt, a mit kértek: És mondának néki: Hisszük Uram!
Matt.9.29 | Akkor illeté az ő szemeiket, és monda: A ti hitetek szerint legyen néktek.
Matt.9.30 | És megnyilatkozának azoknak szemeik; és keményem megfenyegeté őket Jézus, ezt mondván: Meglássátok, hogy ezt senki meg ne tudja.
Matt.9.31 | De azok kimenvén, elterjeszték az ő hirét mind az egész tartományban.
Matt.9.32 | Mikor pedig azok elmentek volna, ímé hozának néki egy ördöngös néma embert.
Matt.9.33 | És az ördögöt kiüzvén, megszólala a néma, és csudálkozik vala a sokaság, ezt mondván: Soha Izráelben illyen dolog nem volt.
Matt.9.34 | A Farizeusok pedig ezt mondják vala: Az ördögök Fejedelme által űz ördögöket.
Matt.9.35 | És járja vala Jézus mind a városokat és falukat, tanitván az ő zsinagógáikban, és prédikálván az Isten országának Evangyéliomát, és gyógyitván akárminémü betegséget, és akárminémü erőtlenséget a község között.
Matt.9.36 | Mikor látta volna pedig a sokaságot, könyörületességre indula rajtok, hogy elfáradtak volna, és elszéledtek volna, mint a pásztor nélkűl való juhok:
Matt.9.37 | Akkor monda az ő tanitványinak: Az aratásra való gabona bizony hogy sok, de az arató kevés.
Matt.9.38 | Kérjétek azért a gabona aratásának Urát, hogy bocsássa ki az aratókat, az ő gabonájának aratására.

Matt.10.1 | Akkor az ő tizenkét tanitványit előszólitván, ada nékik hatalmat a tisztátalan lelkek ellen, hogy azokat kiűznék, és gyógyitanának minden betegséget és minden erőtlenséget.
Matt.10.2 | A tizenként Apostoloknak pedig neveik ezek: Első Simon, ki mondatik Péternek, és András az ő attyafia; azután Jakab a Zebedeus fija, és János az ő attyafia.
Matt.10.3 | Filep, és Bertalan; Tamás, és ama Máté, ki Publikánus vala; Jakab, Alfeusnak fija, és Lebbeus, ki vezeték nevéről Taddeusnak hivattatik vala.
Matt.10.4 | Kananeabeli Simon, és Júdás Iskáriótes, ki Jézust el is árulá.
Matt.10.5 | E tizenkettő elküldé Jézus, és megparancsolá nékik, mondván: Az útra, melly a Pogányok közzé viszen ne menjetek, és a Samaritánusok városaiba is ne menjetek.
Matt.10.6 | Hanem menjetek inkább az Izráel házának eltévelyedett juhaihoz.
Matt.10.7 | Elmenvén pedig, prédikáljatok, és ezt mondjátok: Elközelitett a mennyeknek országa.
Matt.10.8 | Betegeket gyógyitsatok, poklosokat tisztitsatok, halottakat támasszatok, ördögöket űzzetek; ingyen vettétek, ingyen adjátok.
Matt.10.9 | Ne szerezzetek aranyat, se ezüstöt, se pénzt a ti erszényitekbe.
Matt.10.10 | Se útra való táskát, se két ruhát, se sarut, se pálczát: mert méltó a munkás az ő táplálására.
Matt.10.11 | Valamelly városba pedig vagy faluba bémentek, tudakozzátok meg, ki volna abban méltó, és ott maradjatok mind addig, míg onnét kimentek.
Matt.10.12 | Bémenvén pedig a házba, köszöntsétek a ház népét.
Matt.10.13 | És ha a ház méltó lészen, szálljon a ti békességtek ő reája; hogyha pedig méltó nem lészen, a ti békességtek ti reátok térjen.
Matt.10.14 | És valaki titeket bé nem fogadánd, sem pedig beszédeteket nem hallgatándja, kimenvén a házból vagy a városból, lábaitoknak porát is verjétek le.
Matt.10.15 | Bizony mondom néktek, könnyebben lészen a Sodoma és Gomora földének dolga az ítélet napján, hogynem annak a városnak.
Matt.10.16 | Ímé én elbocsátlak titeket mint a juhokat a farkasok közikbe; legyetek azért okosok mint a kígyók, és szelidek mint a galambok.
Matt.10.17 | Megoltalmazzátok magatokat az emberektől: mert titeket a Bírák székek előtt vádolni fognak, és az ő Gyülekezet etkben titeket megostoroznak.
Matt.10.18 | Sőt Tiszttartók, és Királyok eleikbe vitettek én érettem, hogy legyen az nékik Zsidóknak és a Pogányoknak bizonyságul.
Matt.10.19 | De mikor eleikbe vittetek, ne legyetek szorgalmatosok mimódon és mit szóljatok: mert azon órában megtanittatok arra, mit szóljatok.
Matt.10.20 | Mert ti nem vagytok a kik szólni fogtok, hanem a ti mennyei Atyátoknak Lelke az, a ki szólni fog általatok.
Matt.10.21 | Az atyafi az ő attyafiát halálra adja, és az atya az ő fiát; és támadnak a magzatok az ő szüléikre, és azokat megöletik.
Matt.10.22 | Lésztek azért ti is gyülölségesek mindenek előtt, az én nevemért, de a ki végiglen megáll, megtartatik.
Matt.10.23 | Mikor pedig háborgatnak titeket abban a városban, szaladjatok más városba. Bizony mondom néktek, hogy mind el nem járjátok Izráelnek városit, addig elközelit hozzátok az embernek Fija.
Matt.10.24 | Nem feljebb való a tanitvány a tanitónál, sem a szolga az ő uránál.
Matt.10.25 | Elég a tanitványnak, ha ollyan lészen mint az ő mestere, és a szolgának, ha ollyan lészen mint az ő ura: Ha a gazdát Belzebubnak hivták, sokkal inkább az ő háznépét.
Matt.10.26 | Azért nem féljetek tőlök: mert nincsen semmi olly elrejtetett dolog, mellynek meg nem kell jelentetni, ésnincs olly titok, mellynek meg nem kell tudatni.
Matt.10.27 | A mit néktek a setétben mondok, a világon mondjátok; és a mit fülbe súgva hallotok, a ház feliről prédikáljátok.
Matt.10.28 | És ne féljetek azoktól, kik a testet ölik meg, a lelket pedig nem ölhetik meg; hanem inkább féljetek attól, a ki mind a lelket, mind a testet elvesztheti a gyehennába.
Matt.10.29 | Nemde nem megvehetnek é két verebecskéket egy kis filléren? de mégis csak egy sem esik azok közzűl a földre, a ti Atyátok akaratja nélkűl.
Matt.10.30 | Néktek pedig fejeteknek hajszálai is mind számon vagynak.
Matt.10.31 | Ne féljetek azért, ti sok verebecskéknél drágábbak vagytok.
Matt.10.32 | Valaki azért vallást tészen én rólam az emberek előtt, én is vallást tészek arról az én mennyi Atyám eltőt;
Matt.10.33 | Valaki pedig megtagadánd engemet az emberek előtt, megtagadom én is azt az én mennyei Atyám előtt.
Matt.10.34 | Ne gondoljátok, hogy azért jöttem volna, hogy békességet bocsássak e földre: nem azért jöttem, hogy békességet bocsássak, hanem fegyvert.
Matt.10.35 | Mert jöttem hogy azt cselekedjem, hogy a fiú az ő attyának ellensége legyen, a leányzó az annyának, és a menye az ő napának.
Matt.10.36 | És hogy az embernek ellensége legyen az ő háznépe.
Matt.10.37 | A ki szereti attyát vagy annyát inkább, hogynem engemet, nem méltó az én hozzám: és a ki szereti fiját vagy leányát inkább, hogynem engemet, nem méltó az én hozzám.
Matt.10.38 | És a ki fel nem veszi az ő keresztét, és úgy nem követ engemet hátúl, nem méltó az én hozzám.
Matt.10.39 | A ki megtartja az ő életét, elveszti azt; és a ki elveszti életét én érettem, megtalálja azt.
Matt.10.40 | A ki titeket béfogad, engem fogad bé: és a ki engem béfogad, azt fogadja bé, a ki engemet elbocsátott.
Matt.10.41 | A ki béfogadja a Prófétát Próféta nevébe, a Próféta jutalmát vészi; és a ki az igazat béfogadja igaznak nevébe, az igaznak jutalmát vészi.
Matt.10.42 | És a ki italt ád egynek e kicsinyek közzűl, csak egy pohár hideg vizet tanitványnak nevébe; bizony mondom néktek, nem veszti el annak jutalmát.

Matt.11.1 | És mikor elvégezte volna az ő tizenkét tanitványinak való parancsolását, elméne onnét, hogy tanitana és prédikálna azoknak városaikban.
Matt.11.2 | Keresztelő János pedig, mikor hallotta volna a fogságban a Krisztus cselekedetit, elküldvén kettőt az ő tanitványai közzűl:
Matt.11.3 | Megkérdé azok által: Te vagy é az, a ki eljövendő vala, vagy mást várjunk?
Matt.11.4 | És felelvén Jézus, monda nékik: Menjetek el, és mondjátok meg Jánosnak, a mellyeket hallottok és láttok.
Matt.11.5 | A vakok szemek világát veszik, és a sánták járnak, a poklosok megtisztulnak, és a siketek hallanak, a halottak feltámadnak, és a szegényeknek az Evangyéliom prédikáltatik.
Matt.11.6 | És boldog a ki én bennem meg nem botránkozik.
Matt.11.7 | Mikor pedig azok elmentek volna, kezde Jézus a sokaságnak Keresztelő János felől szólni: Mit látni mentetek volt ki a pusztába? hogy ingadozó nádat lássatok é, melyet a szél hajtogat?
Matt.11.8 | De mit látni mentetek volt ki, hogy gyenge ruhában öltözött embert lássatok é? Ímé a kik gyenge ruhákat viselnek, a Királyok palotáikban vagynak.
Matt.11.9 | De mit látni mentetek volt ki? hogy Prófétát lássatok é? Bizony mondom néktek, nagyobbat láttatok Prófétánál is.
Matt.11.10 | Mert ez az, a kiről meg vagyon irva: Ímé én elbocsátom az én követemet te előtted, ki megtisztitja előtted a te útadat.
Matt.11.11 | Bizony mondom néktek, hogy nem támadott nagyobb Keresztelő Jánosnál az asszonyoktól születtettek közzűl: de a ki legkisebb a mennyeknek országában, nagyobb az ő nálánál.
Matt.11.12 | A Keresztelő János idejétől fogva pedig mind az ideig a mennyeknek országán erőt tésznek, és az erősek kapják azt.
Matt.11.13 | Mert a Próféták mindnyájan, és a törvény, Keresztelő Jánosig prófétáltak.
Matt.11.14 | És ha bé akarjátok venni; ő amaz Ilyés, a ki eljövendő vala.
Matt.11.15 | A kinek vagyon füle a hallásra, hallja.
Matt.11.16 | De mihez hasonlitsam e nemzetséget? Hasonlatos a gyermekekhez, kik a piaczon ülnek, és kiáltanak az ő társaiknak.
Matt.11.17 | És ezt mondják: Sipoltunk néktek, és nem tánczoltatok: siralmas énekeket énekeltünk néktek, és nem sirtatok.
Matt.11.18 | Mert eljött Keresztelő János s nem eszik, s nem iszik, és azt mondják, hogy ördög vagyon benne.
Matt.11.19 | Eljött az embernek Fija, ezsik, és iszik, és ezt mondják felőle: imhol a dobzódó és részeges ember, a fukaroknak és a bünösöknek barátjok. De megigazittatott a bölcsesség az ő fijaitól.
Matt.11.20 | Akkor kezdé Jézus szemekre hányni a városoknak, a melyekben isteni erő által való legtöbb csudákat tett vala, hogy meg nem tértek volna, mondván:
Matt.11.21 | Jaj tenéked Korazin! Jaj tenéked Bethsaida! Mert ha Tírusban és Sídonban azok az isteni erők lettek volna, melyek te benned lettek, régen gyászruházban és hamuban ülvén megtértek volna.
Matt.11.22 | De mondom néktek, hogy könnyebben lészen dolga Tírusnak és Sídonnak az itélet napján, hogynem néktek.
Matt.11.23 | Te is Kapernaum, ki az égig felmagasztaltattál, a pokolig levettetel: mert ha Sodomában azok az isteni erők lettek volna, melyek te benned lettek, mind e mai napig megmaradott volna.
Matt.11.24 | De mondom néktek, hogy a Sodoma földének könnyebben lészen dolga az itélet napján, hogynem néked.
Matt.11.25 | Akkor az időben szóla Jézus, és monda: Hálákat adok néked én Atyám, mennynek és földnek Ura! hogy elrejtetted ezeket a bölcsektől, és az értelmesektől; és azokat megjelentetted a kis gyermekeknek.
Matt.11.26 | Jól vagyon Atyám: mert e volt a te jó kedved.
Matt.11.27 | Mindenek nékem adattak az én Atyámtól; és senki nem esméri a Fiút, hanem csak az Atya: az Atyát is senki nem esméri, hanem a Fiú és a kinek a Fiú meg akarja jelenteni.
Matt.11.28 | Jöjjetek én hozzám mindnyájan kik megfáradtatok és megterheltettetek, és én megnyugosztlak titeket.
Matt.11.29 | Vegyétek fel az én igámat reátok, és tanuljátok meg tőlem, hogy én szelid és alázatos szivü vagyok, és talltok nyugodalmat a ti lelkeiteknek.
Matt.11.30 | Mert az én igám gyönyörüséges, és az én terhem könnyü.

Matt.12.1 | Az időben megyen vala Jézus Szombatnapon a vetések között, az ő tanitványai pedig, mivelhogy megéheztek vala, kezdék szaggatni a buzafejeket, és azokat enni;
Matt.12.2 | A Farizeusok pedig mikor ezt látták volna, mondának néki: Ímé a te tanitványid azt cselekeszik, a mit nem szabad Szombaton cselekedni.
Matt.12.3 | Ő pedig monda nékik: Nem olvastátok é mit cselekedett Dávid, mikor megéhezett volna ő és a kik vele valának?
Matt.12.4 | Mimódon bément az Isten házába és az Isten asztalára tett szent kenyereket megette, melyeket nem vala szabad néki megenni, sem azoknak kik ő vele valának, hanem csak a Papoknak.
Matt.12.5 | Vagy nem olvastátok é a törvényben hogy Szombatnapon a Papok a templomban a Szombatot megtörik és nem vétkeznek?
Matt.12.6 | Mondom pedig néktek, hogy a templomnál nagyobb vagyon itt.
Matt.12.7 | Ha tudnátok mincsoda ez: irgalmasságot kivánok és nem áldozatot; nem kárhoztattátok volna ez ártatlanokat;
Matt.12.8 | Mert a Szombatnak is Ura az embernek Fija.
Matt.12.9 | És elmenvén onnét, méne az ő zsinagógájokba;
Matt.12.10 | És ímé vala ott egy megszáradott kezü ember, és megkérdék őtet, mondván: Szabad é Szomobatnapon gyógyitani? csak hogy vádolhatnák őtet.
Matt.12.11 | Ő pedig monda nékik: Kicsoda az ti közzűletek, a ki, ha egy juha vagyon, és az Szombatnapon a verembe esik, meg nem ragadja és ki nem vonja onnét azt?
Matt.12.12 | Mennyivel drágább pedig az ember a juhnál? Szabad azért Szombatnapokon jót cselekedni.
Matt.12.13 | Akkor monda Jézus az embernek: Nyujtsd ki a te kezedet. És azonnal kinyujtá; és olyan éppé lőn mint a másik.
Matt.12.14 | A Farizeusok pedig kimenvén, tanácsot tartának ő ellene, hogy őtet elvesztenék.
Matt.12.15 | Jézus pedig ezt mikor megérette volna, elméne onnét, és követé őtet nagy sokaság, s mind azokat meggyógyitja vala.
Matt.12.16 | És fenyegeti vala őket, hogy őtet ki ne jelentenék.
Matt.12.17 | Hogy bételjesedjék a mit mondott volt Ésaiás Próféta, ki igy szólott:
Matt.12.18 | Ímé az én szolgám, a kit én választottam; az én szerelmesem, kiben az én lelkem megnyugoszik; az én lelkemet adom ő belé és a Pogánynépeknek prédikál itételet.
Matt.12.19 | Nem verseng és nem kiált, és nem hallja senki az utczákon az ő szavát.
Matt.12.20 | A megtörődött nádat nem rontja el, és a füstölgő gyertyabelet nem oltja el; mignem itéletet tészen diadalommal.
Matt.12.21 | És az ő nevében biznak a Pogányok.
Matt.12.22 | Akkor hozának ő eleibe egy ördöngös vakot és némát: és meggyógyitá azt, annyira hogy a ki vak és néma vala, látna és szólna.
Matt.12.23 | És elálmélkodék az egész sokaság, és ezt mondja vala: Nemde nem ez é Dávidnak ama Fija.
Matt.12.24 | A Farizeusok pedig mikor ezt hallották volna, mondának: Ez nem egyéb által, hanem az ördögök Fejedelme által, a Belzebub által üzi ki az ördögöket.
Matt.12.25 | Jézus pedig mikor azoknak gondolatjokat tudná, monda nékik: Minden ország, valamely magában meghasonlik, elpusztul, és egy város is vagy háznép, a mely meghasonlik magában, meg nem maradhat.
Matt.12.26 | Ha pedig a Sátán a Sátánt üzi ki, ő magában meghasonlott: mimódon állhat meg tehát az ő országa!
Matt.12.27 | És ha én Belzebub által üzöm ki az ördögöket, a ti fijaitok ki által üzik ki azokat? Azért ők itélnek meg titeket.
Matt.12.28 | Hogyha pedig az Isten Lelke által üzöm ki az ördögöket, tehát elérkezett hozzátok az Isten országa.
Matt.12.29 | Mert mimódon mehet bé valaki a hatalmasnak házába és mimódon vethet zsákmányt marhájában, hanem ha először a hatalmast megkötözi; ugy vethet zsákmányt annak házabeli marhájában?
Matt.12.30 | A ki én velem nincsen, én ellenem vagyon az, és a ki én velem együtt nem takar, tékozol az.
Matt.12.31 | Annakokáért mondom néktek, hgoy minden bün és káromlás megbocsáttatik az embereknek; de a Szent Lélek ellen való káromlás nem bocsáttatik meg az embereknek.
Matt.12.32 | És valaki szólánd az embernek Fija ellen, megbocsáttatik néki; de valaki szólánd a Szent Lélek ellen, nem bocsáttatik meg néki sem e világon, sem a máson.
Matt.12.33 | Vagy legyetek jó fák, és teremjetek jó gyümölcsöt, vagy legyetek rothadt fák, és teremjetek hitvány gyümölcsöt: mert a gyümölcsről esmértetik meg a fa.
Matt.12.34 | Mérges kigyók nemzetségei mimódon szólhattok jókat, ha gonoszok vagytok: mert a szivnek teljességéből szól a száj.
Matt.12.35 | A jó ember az ő szivének jó kincséből hoz elő jókat; és a gonosz ember az ő szivének gonosz kincséből hoz elő gonoszokat.
Matt.12.36 | De mondom néktek: Akármi hivalkodó beszédet szóljanak az emberek, számot adnak arról az itélet napján;
Matt.12.37 | Mert a te beszédidből esmértetel igaznak, és a te beszédidből esmértetel hamisnak.
Matt.12.38 | Akkor felelének némellyek néki az Irástudók és a Farizeusok közzűl, mondván: Mester, akarnánk te tőled látni valami jelt.
Matt.12.39 | Ő pedig felelvén, monda nékik: E gonosz és parázna nemzetség jelt kiván, de nem adatik néki egyéb jel, hanem Jónás Prófétának ama jel.
Matt.12.40 | Mert miképen Jónás három éjjel és három nappal volt a czethalnak gyomrában: azonképen az embernek fija, három éjjel és három nappal lészen a földnek gyomrában.
Matt.12.41 | A Ninivébeliek az itélet napján feltámadnak e nemzetséggel egybe, és kárhoztatják ezt, hogy ők megtértek a Jónás prédikálására, és imé nagyobb vagyon ez helyen Jónásnál.
Matt.12.42 | A Délnek Királyné asszonya felkél az itélet napján e nemzetséggel egybe, és kárhoztatja ezt, hogy ő a földnek határiból eljött, hogy hallaná a Salamon bölcseségét, és imé nagyobb vagyon ez helyen Salamonnál.
Matt.12.43 | Mikor pedig a tisztátalan lélek kimegyen valakiből, jár száraz helyeken keresvén nyugodalmat, és nem talál:
Matt.12.44 | Akkor ezt mondja: Megtérek az én házamba, a honnét kijöttem: és mikor oda megyen találja azt üresen, szépen megseperve és ékesitve.
Matt.12.45 | Akkor elmegyen és vészen maga mellé más hétlelkeket, gonoszbakat ő magánál és bémenvén lakoznak ott; és lészen annak az embernek utolsó állapotja gonoszabb az elsőnél: Igy lészen dolga e gonsoz nemzetségnek is.
Matt.12.46 | Mikor peig még szólna a sokaságnak, imé az ő annya és attyafiai állanak vala kivül, akarván ő vele szólni.
Matt.12.47 | És monda néki egy ember: Imé a te anyád és atyádfiai ottkin állanak, és te veled akarnak beszélni.
Matt.12.48 | És ő felelvén, monda annak, a ki néki ezt mondotta vala: Kicsoda az én anyám, és kicsodák az én atyámfiai?
Matt.12.49 | És kinyujtván kezét az ő tanitványira, mona: Ímé ezek az én anyám, és az én atyámfiai;
Matt.12.50 | Mert valaki az én mennyei Atyámnak akaratját cselekeszi, az nékem az én atyámfia, néném és anyám.

Matt.13.1 | Azon napon kimenvén Jézus a házból, leüle a tenger mellett.
Matt.13.2 | És gyüle ő hozzá nagy sokaság, annyira hogy a hajóba kénszerittetnék menni, és ott ülni; az egész sokaság peig a parton fenn áll vala.
Matt.13.3 | És szóla nékik sokat példabeszédek által, mondván: Egy magvető ember kiméne vetni,
Matt.13.4 | És mikor a magot hintené, némelly a mag közzűl esék az útfélre; és eljövének a madarak, és elkapdosák azt.
