Lev.1.1 | Szólítá az Úr Mózest, és beszéle ő vele a gyülekezet sátorából, ezt mondván:
Lev.7.35 | Ez a megkenettetett Áronnak, és az ő megkenettettt fijainak részek az Úrnak tűzzel megemésztendő áldozatiból, a naptól fogva, mellyen parancsolta Mózes hogy szolgálnának a Papitisztben az Úrnak.
Lev.7.36 | Melly részt parancsolt az Úr hogy nékik adnának az Izráel fijai, a melly napon megkente őket Mózes, örökkévaló rendtartás szerint, minden ő utánnok valók között.
Lev.7.37 | Ez az eegészen megégetendő áldozatnak, a Minhának, a bűnért és a vétekért való áldozatnak, a Papok szentelése áldozatjának, és a háláadó-áldozatnak törvénye.
Lev.7.38 | Mellyet parancsolt az Úr Mózesnek a Sinai hegyen, a melly napon parancsolta az Izráel fijainak, hogy áldoznának néki a Sinai hegynek pusztájában.

Lev.8.1 | Szóla az Úr Mózesnek mondván:
Lev.8.2 | Vegyed Áront és az ő fijait vele egyetembe, és az öltözeteket, a kenetnek olaját, és bűnért való áldozatra egy tulkot, két kosokat és egy kosár kovásztalan kenyereket.
Lev.8.3 | És mind az egész sokaságot gyűjtsd egybe, a gyülekezet sátorának ajtaja eleibe.
Lev.8.4 | És a képen cselekedék Mózes, a mint az Úr parancsolta vala néki; és gyüle mind az egész sokaság a gyülekezet sátorának ajtaja eleibe.
Lev.8.5 | Akkor monda Mózes a gyülekezetnek: Ez a dolog, mellyet az Úr parancsolt cselekedni.
Lev.8.6 | És előállatván Mózes Áront és az ő fijait, megmosá őket vízzel.
Lev.8.7 | És felöltöztetvén Áront a szoros ruhába, béövezé őtet az övvel, és azon felűl reá adván a bő selyem ruhát, az Efódot is reá adá, és beövezvén az Efódhoz való övvel, megszorítá őtet.
Lev.8.8 | És az Efódon felűl feltevé a Hósent, és abba téve az Urimot és Thummimot.
Lev.8.9 | Annakutánna feltevé fejébe a süveget, és elől, a süvegen felűl tevé az arnya lánnát, a szent koronát, a mint parancsolta vala az Úr Mózesnek.
Lev.8.10 | Vevé Mózes a kenetnek olaját is, és megkené a szent hajlékot minden benne valóval egybe, hogy megsztelné azokat.
Lev.8.11 | És meghité azzal az oltárt is hétszer, és megkené azt is minden hozzá tartozó szerszámokkal egybe, a mosdót is megkené a talpával egybe, hogy azokat megszentelné.
Lev.8.12 | Az Áron fejér is tölte a kenetnek olajában, és megkené őtet, hogy megszentelné őtet.
Lev.8.13 | Azonképen előállatá Mózes az Áron fijait is, és felöltözteté azokat is az ő öltözetekbe, és beövezé őket az övvel, süveget is tőn fejekbe, a mint az Úr parancsolta vala Mózesnek.
Lev.8.14 | Azután előhoza egy tulkot a bűnért való áldozatra, és Áron az ő fijaival egybe a bűnért való áldozat tulkának fejére tevé az ő kezét.
Lev.8.15 | És minekutánna azt megölte volna, Mózes annak vérében tőn az ő ujjával az oltárnak szarvaira mind körűl, és meegtisztítá az oltárt, és a többi vért tölté az oltárnak fumdamentomára; hogy megszentelné azt minden bűnökből való megtisztulásra.
Lev.8.16 | Azután vevé mind azt a kövérséget, melly annak a bélin vala, és a mája mellett való kövérséget, mind a két veséjét és azoknak kövérségét, és megégeté Mózes azokat az oltáron.
Lev.8.17 | A tulkot pedig, azaz annak bőrét, húsát és ganéját megégeté tűzzel a táboron kivűl, a mint az Úr parancsolta vala Mózesnek.
Lev.8.18 | Azután előhozá az egészen megégetendő áldozatra való kost, és Áron Pap és az ő fijai tevék az ő kezeiket annak fejére.
Lev.8.19 | Mellyet minekutánna megölt volna, Mózes hinté annak vérét az oltárra köröskörűl.
Lev.8.20 | És a kost részekre vagdalván, megégeté Mózes a fejét, a tagjait és a kövérit.
Lev.8.21 | Minekutánna megmosta vona vízzel a bélit és lábait, e képen megégeté Mózes mind az egész kost az oltáron. Az Úr haragja megengesztelésének tűzzel egészen megégettetett jóillatú áldozatja ez, a mint az Úr parancsolta volt Mózesnek.
Lev.8.22 | Azután előhozá a másik kost is, a Papok szentelésének áldozatjára való kost, és tevék Áron és az ő fijai az ő kezeiket annak fejére.
Lev.8.23 | Mellyet mikor megölt vona, vőn Mózes annak vérében, és megkené azzal az Áron jobbfülének gombáját, és jobbkezének és jobblábának nagyobbik ujját.
Lev.8.24 | Előállatá az Áron fijait is, és azoknak is jobbfüleiknek gombáit, és jobbkezeiknek és lábaiknak nagyobbik ujjait megkené Mózes a vérrel, azután a több vért tölté Mózes az oltárra mind körűl.
Lev.8.25 | És minekutánna vette volna annak kövérit, a farkát és egészen a bélin való kövérit, a mája mellett való kövérit, és a két veséit kövérivel egybe, és a jobblapoczkáját.
Lev.8.26 | És a kovásztalan kenyereknek kosarából, melly az Úr előtt vala mikor vett volna egy kovász nélkűl való lepényt, és egy olajos bélest, és egy pogácsát, raká mind azokat a kosnak kövérire és jobblapoczkájára.
Lev.8.27 | És mind ezeket Áronnak és az ő fijainak kezeikre rakván, azokat az Úr előtt velek megíngattatá.
Lev.8.28 | Azután elvévén azokat az ő kezeikból, megégeté azokat az oltáron égőáldozatúl. A Papok szentelésének jóillatú áldozati ezek, mellyek az Úrnak tűzzel megégettettek.
Lev.8.29 | Elvevé pedig Mózes annak a szegyét, mellyet az Úr előtt megingata, mely a Mózes része lőn a megszentelésnek áldozatjából, a mint az Úr parancsolta vala Mózesnek.
Lev.8.30 | Annakutánna Mózes vevé a kenetnek olajában, és a vérben, melly az oltáron vala, és meghinté azokkal Áront és az ő ruháit: az ő fijait, és az ő fijainak ruháikat ő vele együtt: És e képen megszentelé Áront és az ő ruháit; az ő fijait, és az ő fijainak ruháikat ő vele együtt.
Lev.8.31 | Azután meghagyá Mózes Áronnak és az ő fijainak: Főzzétek meg a kosnak húsát a gyülekezet sátorának ajtaja előtt, és ott egyétek meg azt; és e kenyeret, melly a megszentelés kenyereinek kosarában vagyon, miképen megparancsoltam, ezt mondván: Áron és az ő fijai egyék meg azt.
Lev.8.32 | A mi pedig megmarad e húsban és kenyérben, tűzzel égessétek meg.
Lev.8.33 | De a Gyülekezet sátorának ajtaján kivűl ne menjetek hetednapig, mind az napig, mellyen bételjesednek a ti megszenteltetésteknek napjai. Mert hét napokon szenteli meg az Úr a ti szolgálatotokat.
Lev.8.34 | A miképen ma cselekedett, azonképen parancsolta az Úr hogy cselekedjünk, a ti megtisztulástokra.
Lev.8.35 | Azért a gyülekezet sátorának ajtajánál legyetek éjjel és nappal hetednapig, és szorgalmatosan megtartsátok a mit az Úr parancsolt megtartani, hogy meg ne haljatok: mert így parancsolta nékem.
Lev.8.36 | Áron annakokáért és az ő fijai mind a képen cselekedének, a mint az Úr nékik parancsolta valal Mózes álta.

Lev.9.1 | És nyolczadnapon szólítá Mózes Áront és az ő fijait: és az Izráelnek véneit.
Lev.9.2 | És monda Áronnak: Végy egy gyermekded tinót bűnért aló áldozatra, és egy kost egészen megégetendő áldozatra, mellyek épek legyenek, és azokat vigyed az Úr eleibe.
Lev.9.3 | Az Izráel fijainak is szólj, ezt mondván: Vegyetek egy kecskebakot bűnért való áldozatra, és egy esztendős borjút és juhot, épeket, egészen megégetendő áldozatra.
Lev.9.4 | És egy ökröt és kost, hogy azt háláadó-áldozatúl megáldozzátok az Úrnak: és olajos Minhát. Mert ma az Úr megjelenik néktek.
Lev.9.5 | Minekutánna azért megszerzették volna, a mellyeket Mózes parancsolt vala, vivék azokat a gyülekezet sátora eleibe, és mint az egész sokaság előjövén, állának az Úr eleibe.
Lev.9.6 | És monda Mózes: Ez a dolog, mellyet az Úr parancsolt, megcselekedjétek azt, és megjelenik néktek az Úrnak dicsősége.
Lev.9.7 | És monda Mózes Áronnak: Jöjj ide az oltárhoz, és először a te bűnödért való áldozatodat, és a te egészen megégetendő áldozatodat áldozza meg, magadnak és a népnek tisztulására. Azután készítsd el a népnek áldozatját is, és az ő megtisztulásokért áldozzál, a mint az Úr parancsolta.
Lev.9.8 | Áron annakokáért az oltárhoz járulván, megölé az ő borjuját, az ő bűnéért való áldozoatra.
Lev.9.9 | És az Áron fijai ő hozzá vivék annak vérét, és az ő ujjait abba mártván, tőn abból az oltár szarvaira; többiét a vérnek tölté az oltár fundamentomára.
Lev.9.10 | A kövérit pedig a veséit és a mája mellett való kövért megáldozá a bűnért az oltáron, a mint az Úr néki parancsolta vala.
Lev.9.11 | A húsát pedig és bőrét megégeté a táboron kivűl.
Lev.9.12 | Azután megölé az ő egészen megégetendő kosát: kinek mikor az Áron fijai elővitték volnla annak vérét, elhinté azt az oltár körűl.
Lev.9.13 | Hasonlatosképen minekutánna a kosnak tagjait, és fejét, elővitték volna néki, hogy azokat megáldozná az oltáron:
Lev.9.14 | Minekuttánna megmosá annak bélit és lábait, megégeté azokat egészen az oltáron.
Lev.9.15 | Azután kezde a községnek áldozatjához, és először vevé a népbűnének áldozatjáért való bakot, mellyet megölvén megáldozá a bűnért, mint először az ő bűnéért való áldozatot áldozta vala.
Lev.9.16 | Azután előhozá az egészen megégetendő áldozatra való barmokat is, és megáldozá azokat a szokás szerint.
Lev.9.17 | A Minhát is előhozá és abból egy teljes marokkal vévén, megégeté az oltáron a reggeli áldozattól külön.
Lev.9.18 | Ezek felett megölé a népnek háláadó-áldozatjára való ökröt is és a kost, és mikor annak vérét az ő fijai elővitték volna néki, elhinté azt az oltár környékén.
Lev.9.19 | Azután mikor elővitték volna az ökörnek és kosnak kövérit, a farkát, a bélin való kövérséget, a veséit és a máj mellett való kövért;
Lev.9.20 | Helyhezteték a kövérségeket a szegyekre, és megégeté az oltáron a kövérségeket.
Lev.9.21 | De a szegyeket és azoknak jobblapoczkájokat Áron megingatá az Úr előtt, a mint az Úr parancsolta vala Mózesnek.
Lev.9.22 | Ezekután Áron felemelvén az ő kezeit a népre, megáldá őket, és leszálla az oltárról mindekutánna a bűnért való áldozatot, az egészen megégő áldozatot, és a háláadásnak áldozatját elvégezte volna.
Lev.9.23 | Azután méne Mózes Áronnal egybe a gyülekezetnek sátorába, és mikor kijőnének onnét, hogy a népet megáldanák, megjelenék az Úrnak dicsősége mind a sokaságnak.
Lev.9.24 | Mert az Úr elől tűz jöve alá, és megemészté az oltáron az egészen megégetendő áldozatat, és a kövérségeket: mellyet mikor a sokaság látott volna, felkiáltván, arczal leborulának.

Lev.10.1 | Vevék pedig az Áron fijai, Nádáb és Abihú az ő temjénezőjöket, tevének azokba szent; és azon felűl jóillatra való szerszámot, és az Úr elibe vivének idegen tüzet, mellyet nem parancsolt vala nékik az Úr.
Lev.10.2 | Annakokáért tűz jőve ki az Úr elől, és megmetszé azokat és meghalának az Úr előtt.
Lev.10.3 | És mondta Mózes Áronnak: Ez a mit szólott az Úr, ezt mondván: A kik én hozzám közel vagynak, azokban szenteltetem meg, és mind a sokaság előtt megdicsőíttetem.
Lev.10.4 | De Áron semmi nem szóla. És szólítá Mózes Misáelt és Elsafánt, Uzzielnek az Áron attya báttyának fijait, és monda nékik: Jertek, vigyétek ki a ti atyátokfiait a szent helyről a táboron kivűl.
Lev.10.5 | Eljövének azért, és kivivék őke ugyanazo öltözetekben a táboron kívűl, a mint Mózes parancsolta vala.
Lev.10.6 | És monda Mózes Áronnak, és Eleázárnak és Ithamárnak az Áron fijainak: A ti fejeteket meg ne mezítelenítsétek, ruháitokat meg ne szaggassátok, hogy meg ne haljatok, és az egész gyülekezet ellen ne gerjedjen fel az Úr haragja, hanem a ti atyátokfiai, az Izráelnek egész nemzetsége, sírjanak a tűzön, mellyet az Úr gerjesztett.
Lev.10.7 | A gyülekezet sátorának ajtaja elől is el ne távozzatok, hogy megy ne haljatok: mert az Úr kenetének olaja vagyon ti rajtatok. Kik Mózesnek beszéde szerint cselekedének.
Lev.10.8 | És szóla az Úr Áronnak s monda:
Lev.10.9 | Bort és részegítő italt ne igyál te, vagy a te fijaid vele együtt, mikor bé akartok menni a gyülekezet sátorába, hogy meg ne haljatok: örökkévaló szertartás legyen az a ti utánnatok valóknál.
Lev.10.10 | Hogy megválazthassátok a szent dolgokat és állatokat, az egyéb közönséges dolgoktól és állatoktól, a tiszta állatokat a tisztátalanoktól.
Lev.10.11 | És hogy taníthassátok az Izráel fijait mind a törvényekre, a mellyeket az Úr szólott nékik Mózes által.
Lev.10.12 | Szóla pedig Mózes Áronnak, és Eleázárnak és Ithamárnak, az Áron megmaradt fijainak: Vegyétek el a Minhát, melly megmaradt az Úrnak tüzes áldozatiból; és egyétek meg azt kovász nélkül való kenyerekkel ez oltár mellett: mert szentséges állat az.
Lev.10.13 | Azért egyétek azt a szent helyen: mert te jutalmad és a te fijaidnak jutalma az Úrnak tűzzel megemésztetett áldozatiból: mert így parancsolta az Úr.
Lev.10.14 | A megingattatott szegyet pedig, és felemelt lapoczkát megegyétek tiszta helyen, te és a te fijaid és leányid veled együtt: mert néked és a te fijaidnak jutalmul adattak ahzok, az Izráel fijainak háláadó-áldozatjokból.
Lev.10.15 | A felemelt lapoczka és a megingatatott szegy, mellyeket a tűzzel megemésztendő kövérségekkel visznek fel, hogy azokat az Úr előtt mutogassák: a legyen te jutalmad és a te fijaidé örökkévaló törvény szerint, a mint az Úr parancsolta.
Lev.10.16 | És mikor Mózes a bűnért áldoztatott bak felől szorgalmatosan tudakoznék; megérté, hogy a Nádábra és Abihúra szállott tűz emésztette volna meg. Azért felgerjede az ő haragja Eleázár és Ithamár ellen; Áronnak megmaradt fijai ellen, és monda:
Lev.10.17 | Miért nem etteték meg a bűnért való áldozatot a szent helyen? Mert szentséges állat az, holott néktek adta azt az Úr a nép bűnének hordozásáért, és annak eltörléséért, az Úr előtt.
Lev.10.18 | Ímé nem vitetett bé annak az áldozatnak vére a szent hajlékba; azért meg kellett volna ennetek a szent helyen, a mint én parancsoltam vala.
Lev.10.19 | Monda Áron Mózesnek: Ímé ma áldozták meg az ő bűnökért való áldozatot és az egészen megégő áldozatot az Úr előtt, nékem pedig melly nagy keserűségem esék: Ha megettem volna ma a bűnért való áldozatot, valyon kedves lett volna é az Úr előtt;
Lev.10.20 | Mellyet mikor hallott volna Mózes, jóvá hagyá az ő feleletét.

Lev.11.1 | Szóla ismét az Úr Mózesnek és Áronnak, ezt mondván:
Lev.11.2 | Szóljatok az Izráel fijainak ezt mondván: Ezek az állatok mellyeket szabad lészen megennetek, a földnek minden oktalan állati közzűl.
Lev.11.3 | Valamelly állatnak hasadt a körme, és a körme hasadása kettős és kérőt rág az oktalan állatok közzűl, azt megegyétek.
Lev.11.4 | Mindazáltal ezt meg ne egyétek az állatok közzűl, mellyek csak kérőt rágnak, és azok közzűl, mellyeknek csak meghasadt a körmök: a tevék, mert jóllehet kérőt rág, de meghasadt körme nincsen, azért tisztátalan legyen néktek.
Lev.11.5 | A hörcsököt, mert jóllehet kérőt rág, de meghasadt körme nincsen, tisztátalan legyen néktek.
Lev.11.6 | A nyulat, mert jóllehet kérőt rág, de meghasadt körme nincsen, tisztátalan legyen néktek.
Lev.11.7 | A disznót, mert jóllet hasadt a körme és a körme hasadása kettős, de kérőt nem rág; legyen azért néktek tisztátalan.
Lev.11.8 | Ezeknek húsokban ne egyetek, és holttesteket ne illessétek; legyenek néktek tisztátalanok.
Lev.11.9 | Ezt egyétek meg pedig a vizben lakó állatok közzűl: Valamelly állatnak a vizekben, tengerben, a folyóvizekben szárnya és héja vagyon, azt megegyétek.
Lev.11.10 | Valamellynek pedig szárnya és héja nincsen, a tengerben és folyovizekben, mind azok közzűl, mellyek úsznak és élnek a vízben, utálatos legyen néktek.
Lev.11.11 | Annyira utálatosok legyenek néktek, hogy azoknak húsokban ne egyetek, és azoknak holttestek is utálatos legyen ti előttetek.
Lev.11.12 | Valaminek nincsen szrnya vagy héja a vizekben, utálatos legyen ti előttetek.
Lev.11.13 | A szárnyasállatok közzűl legyenek nálatok utálatosok, meg ne egyétek, utálatosok ezek; a keselyű, ölyv, kánya.
Lev.11.14 | A sas és a héjja az ő nemével egybe.
Lev.11.15 | Minden holló az ő nemével egybe.
Lev.11.16 | Strutz, bagoly, kakuk, karvoly az ő nemével egybe.
Lev.11.17 | Éjjeli varjú, hattyú, huhogató bagoly.
Lev.11.18 | Ökörbika, publikán madár, gém.
Lev.11.19 | Eszterág, szarka az ő nemével egybe, büdösbakuk és denevér.
Lev.11.20 | Valamelly szárnyasállat négy lábon jár, utálatos legyen nálatok.
Lev.11.21 | Mindazáltal megegyétek a négy lábon járó szárnyasállatok közzűl az ollyant, mellynek hosszú lábai vagynak, mellyekkel a földön szökdécselhet.
Lev.11.22 | Ezek pedig az ollyan állatok közzűl, mellyeket megegyetek: Arbé az ő nemével, Solhán az ő nemével, Khargol az ő nemével, Khagáb az ő nemével.
Lev.11.23 | Egyéb szárnyasállat, mellynek négy lába vagyon, utálatos legyen nálatok.
Lev.11.24 | És ezekkel megfertéztetik magatokat. Valaki illeténdi azoknak holttesteket, tisztátalan lészen estvéig.
Lev.11.25 | És valaki azoknak holttesteket hordozza, megmossa az ő ruháit, és tisztátalan legyen estvéig.
Lev.11.26 | Minden állat, mellyenk körmén hasadás vagyon, de mindenestől két részre nem hasadt és kérőt nem rág, tisztátalan legyen ti nálatok; valaki illeténdi azt, tisztátalan legyen.
Lev.11.27 | Minden állat, valamelly a négylábú állatok között a tenyerén jár, tisztátalan legyen ti előttetek. Valaki az ollyan állatoknak holttesteket illeténdi, tisztátalan legyen estvéig.
Lev.11.28 | És a ki az ollyan állatoknak holttesteket hordozándja, megmossa az ő ruháit és tisztátalan legyen estvéig: Tisztátalanok legenek azért ti előttetek.
Lev.11.29 | A földön mászó állatok közzűl pedig tisztátalanok legyenek előttetek ezek: A menyét, egér, a béka az ő nemével egybe,
Lev.11.30 | A süldisznó, khaméleon, gyék, csiga és vakandok.
Lev.11.31 | Ezek néktek tisztátalanok minden mászó állatok közzűl: valaki illeténdi azokat, minekutánna meghalnak, tisztátalan legyen estvéig.
Lev.11.32 | És minden állat, valamellyre ezek közzűl valamelly esik az ő holta után, tisztátalan legyen: akár faedény, akár ruha, vagy bőr, vagy zsák lejénd, akármi edény, mellyel az ember valamit cselekeszik: a vízbe tétessék, és tisztátalan legyen estvéig, azután tiszta legyen.
Lev.11.33 | Annakfelette minden cserépedény, valamellybe ezek közzűl valamelly esik valami abban lészen, tisztátalan lészen: és az edényt eltörjétek.
Lev.11.34 | Minden eledel, mellyet meg szoktak enni, tisztátalan lészen, ha a tisztátalan vizet töltik reá; és minden ital, mellyet isznak tisztátalan edényből, tisztátalan lészen.
Lev.11.35 | És minden, valamire esik azoknak holttestek, tisztátalan lészen: akár kemencze, akár vasfazék legyen, eltörettessék, tisztátalanok; azért ti előttetek is tisztátalanok legyenek.
Lev.11.36 | Mindazáltal a forrás, a kút, a vizes tók tiszták lésznek: de a mi azoknak holttesteket illeti, tisztátalan legyen.
Lev.11.37 | Hogyha azoknak hottestek a vetni való magra eséndik, mindazáltal tiszta lészen:
Lev.11.38 | De ha vizet töltenek a vetni való magra, és úgy esik azoknak hottestek abba, tisztátalan legyen előttetek.
Lev.11.39 | Ha az oktalan állatok közzűl valamelly meghalánd, mellyet szoktatok megennei, a ki annak holttestét illeti, tisztátalan lészen estvéig.
Lev.11.40 | A ki peeig eséndik annak holttestében, megmoss az ő ruháit, és legen tisztátalan estvéig: azonképen a ki kiviszi annak holttestét, megmossa ruháit, és tisztátalan legyen estvéig.
Lev.11.41 | Minden állat, melly a földön csúcszmász, utálatos legyen, meg ne egyétek.
Lev.11.42 | Valamelly állat a hasán csúsz, és négy lábon vagy többen jár, a földön csúszómászó minden állatok közzűl, meg ne egyétek azokat: hanem utálatosok legyenek ti előttetek.
Lev.11.43 | Ne fertéztessétek meg magatokat semmi állatnak megételével, melly a földön csúszmász: meg se undokítsátok magatokat azokkal: mert fertelmesek lennétek azoknak megételével.
Lev.11.44 | Mert én vagyok a ti Uratok Istenetek: hogy megszenteljétek magatokat és szentek legyetek, mert én szent vagyok; meg ne fertéztessétek azért magatokat semmi csúszómászó állattal, melly a földön mász.
Lev.11.45 | Mert én vagyok az Úr ki az Égyiptomnak földéből kihoztalak, hogy legyek néktek Istentek. Legyetek azért szentek; mert én szent vagyok.
Lev.11.46 | Ez a törvény a földiállatokról, a szárnyasállatokról, és minden élőállatokról, mellyek a vízben úsznak, és minden élőállatokról, mellyek a földön csúsznak másznak.
Lev.11.47 | Hogy választást tudjatok tenni a tisztátalan és tiszta között, az ollyan állat között, mellyet megesznek, és az ollyan állat között, mellyet meg nem esznek.

Lev.12.1 | Szóla ismét az Úr Mózesnek, és monda:
Lev.12.2 | Szólj az Izráel fijainak, és ezt mondjad: Az asszony minekutánna az ő méhében fogad, ha fiat szülénd, hét napig tisztátalan lészen, a napok szerint, mellyeken az ő rajta való betegség miatt tisztátalan szokott lenni.
Lev.12.3 | Nyolczadnapon pedig a férjfiú magzat testének bőre körúlmetéltessék.
Lev.12.4 | Azután harminchárom napig házában tartóztassa magát a vérből való tisztulásában: semmi szent állatot ne illessen, a szent helyre ne menjen mígnem az ő tisztulásának napjai eltelnek.
Lev.12.5 | Hogyha leányzót szülénd, tisztátalan legyen két hétig, miképen tisztátalan szokott lenni az ő természet szerint való nyavalyája miatt: azután hatvanhat napig házában maradjon a vérből való tisztulásában.
Lev.12.6 | Mikor pedig bételnek az ő tisztulásának napjai, a fiúnak vagy leánynak születése után, vigyen egészen megégetendő áldozatra esztendős bárányt, és galambfiat vagy gerliczét, bűnért való áldozatra, a gyülekezet sátorának ajtaja eleibe a Paphoz.
Lev.12.7 | A ki áldozza meg azt az Úr előtt, és ollyan módon tisztítsa meg azt, és tiszta lészen a vér folyása után. Ez a gyermekszülő asszonynak törvénye, mikor fiat vagy leányt szülénd.
Lev.12.8 | Hogyha nincsen ereje arra, hogy bárányt vinne az áldozatra, vegyen két gerliczét vagy két galambfiat, az egyiket egészen megégetendő áldozatra, a másikat bűnért való áldozatra, és megtisztítja azt a Pap, s tiszta lészen.

Lev.13.1 | Szóla ismét az Úr Mózesnek és Áronnak:
Lev.13.2 | Ha valamelly ember testének bőrén láttatik tarjagosság vagy var, vagy valami fejér szeplő, annyira hogy állíttassék poklosságnak lenni, ez illyen embert vigyék Áron Paphoz, vagy az ő fijai közzűl egy Paphoz.
Lev.13.3 | És mikor megnézi a Pap annak testének bőrén azt a fakadékot, ha abban a szőr elváltohzándik fejérré, és a fakadéknak színe alább lejénd a természet szerint való bőrnél, tehát poklosságnak csapása az: Minekutánna azért azt megnézéndi a Pap, tisztátalannak ítélje azt.
Lev.13.4 | Hogyha a szeplő fejér lejénd az ember testének bőrén és annak színe nem szállott alább a bőrnél, a szőr is rajta fejérré nem változott, az ollyan embert a Pap rekessze külön az emberektől hetednapig.
Lev.13.5 | Azután nézze meg azt a Pap hetednapon, ha az ő ítélete szerint a fakadék azon állapotban vagyon és küljebb nem terjedt a bőrön, ismét rekessze külön azt a Pap hetednapig.
Lev.13.6 | Nézze meg azután a Pap hetednapon másodszor is azt, és ha a fakadék megkisesebbedett és el nem terjedt a bőrön, tisztának ítélje lenni azt a Pap, mert csak fakadék volt: mossa meg ruháit és legyen tiszta.
Lev.13.7 | Hogyha pedig a fakadék elterjedett a búrön, minekutánna a Paptól az ember tisztának ítéltetett, nézze meg azt a Pap újonnan.
Lev.13.8 | Ha azért látja a Pap, hogy a fakadék elterjedt a bőrön, ítélje azt a Pap tisztátalannak, mert poklosság az.
Lev.13.9 | Ha az emberen poklosság fakadánd, vigyék azt a Paphoz.
Lev.13.10 | Kit minekutánnak megtekinténd a Pap, ha a fakadék a bőrön fejér, és azon a szőr fejérré változott, ha valami eleven hús volna is a fakadékban.
Lev.13.11 | Régi megaggodt poklosság az annak testének bőrén; azért tisztátalannak ítélje azt a Pap, és bé ne rekessze, mert nyilvánvaló poklos.
Lev.13.12 | Hogyha min napról napra tejred a poklosság annak bőrén, és a poklosság annak bőrét elfoglalja tetétől fogva talpig, valamelly felől a Pap nézéndi:
Lev.13.13 | Mindekutánna megnézéndi a Pap, hogyha a poklosság mind az egész bőrét elborította, tehát tisztának ítélje azt: mert mivelhogy mindenestől fejérré vált, tiszta azért.
Lev.13.14 | De valamelly nap eleven hús tetszik meg abban, tisztátalan lészen azon napon.
Lev.13.15 | Minekutánna azért meglátándja a Pap az eleven húst, tisztátalannak ítélje az embert: mert az az eleven hús tisztátalan: poklosság az.
Lev.13.16 | De ha az eleven hús megváltozik fejérré, menjen a Paphoz.
Lev.13.17 | És minekutánnak megnézéndi a Pap, ha a fakadék fejérré változott, tehát tisztának ítélje azt a Pap: mert tiszta.
Lev.13.18 | Mikor pedig az ember testének bőrén valami kelevény lejédn, ha az meggyógyúl:
Lev.13.19 | És azután a kelevénynek helyén támad fejér dagadás, vagy fejér szeplő, verhenyős szinű, mutassák meg a Papnak.
Lev.13.20 | És mikor meglátándja a Pap, ha annak színe alább esett a bőrnél, és annak a szőre változott fejérré: tehát azt tisztátalannak ítélje a Pap, poklosság az, a melly megújult a kelevénynek helyén.
Lev.13.21 | Ha pedig, mikor azt a Pap megnézi, nincs abban fejér szőr, és alább nem szállott a bőrnél, hanem megkissebbedett, rekessze külön azt a Pap hetednapig.
Lev.13.22 | Ha a bőrön elterjed, tisztátalannak ítélje azt a Pap: mert poklosság az.
Lev.13.23 | Ha pedig helyén áll az a szeplő, é el nem terjedt, a kelevénynek helye az: azért tisztának ítélje azt a Pap.
Lev.13.24 | Viszontag ha az ember testének bőrén égés lejénd, és lejénd annak meggyógyult helyén fejér, verhenyős szeplő, vagy szinte fejér:
Lev.13.25 | Nézze meg azt a Pap, ha annak szőre fejérré változott a szeplőben, és a színe alább esett a bőrnél, poklosság az, melly az égésnek helyén támadt: azért tisztátalannak ítélje azt a Pap, mert poklosság.
Lev.13.26 | Hogyha pedig, mikor megnézi azt a Pap, nem lészen a szeplőben fejér szőr, és a bőrnél alább nem esett, hanem inkább megkissebbedett: tehát a Pap rekessze külön hetednapig.
Lev.13.27 | Annakutánna mikor megnézi azt a Pap hetednapon, ha elterjedt a bőrön, a Pap ítélje azt tisztátalannak: mert poklosság az.
Lev.13.28 | Ha pedig helyén állánd az a szeplő, és el nem terjedt a bőrön, hanem inkább kissebbedett, az égésből támadt dagadás az; azért tisztának ítélje a Pap, mert az égésnek helye.
Lev.13.29 | Viszontag ha valamelly féjfiúnak vagy asszonynak fakadékja kelénd, vagy a fején, vagy a szakállában:
Lev.13.30 | Nézze meg a Pap azt, és ha nanak színe alább szállott a bőrnél, és abban vagyon sárga vékony szőr: tisztátalannak ítélje a Pap azt, mert var az, a főnek és szakálnak poklossága.
Lev.13.31 | És mikor megtekinti a Pap a varat, ha annak színe alább nem esett a bőrnél és fekete szőr nem lejénd abban, rekessze külön a Pap azt, a ki úgy megvarasodott, hetednapig.
Lev.13.32 | Azután mikor hetednapon megnézi azt a Pap, ha a var el nem terjedett, és nem termett abban sárga szőr, és a varnak színe alább nem esett a bőrnél:
Lev.13.33 | Azt beretválják meg, de a varat el ne beratválják, és másodszor is a varas embert rekessze külön a Pap hetednapig.
Lev.13.34 | Mikor pedig hetednapon megnézi azt a Pap, ha a var el nem terjedt a bőrön, és annak színe alább nem esett a bőrnél, tehát azt tisztának ítélje a Pap, és minekutánna megmosándja ruháit, tiszta lészen.
Lev.13.35 | Ha pedig elterjedt a var a bőrön, az ő tisztulása után:
Lev.13.36 | Nézze meg újonnan a Pap, hogyha elterjedt a bőrön a var, ne gondoljon azzal a Pap, ha sárga szőr nincsen is benne, tisztátalan az.
Lev.13.37 | Hogyha az ő ítélete szerint megállott a var, és fekete színű szőr indult abban, meggyógyult az a var, tiszta ember az; azért tisztának ítélje azt a Pap.
Lev.13.38 | Viszontag mikor a féjfiúnak vagy asszony testének bőrén fejér szeplők indulnak;
Lev.13.39 | Nézze meg a Pap, és ha az ő testeknek bőrén a szeplők fejérednek, és világosok kezdenek lenni, a bőrön támadt fejér var az, és tiszta az ember.
