Exod.1.1 | Ezek pedig az Izráel fiainak nevei, a kik Jákóbbal Égyiptomba menének; kiki az ő házanépével méne:
Exod.8.9 | Mózes pedig monda a Faraónak: Parancsolj velem: mikorra könyörögjek éretted és a te szolgáidért és a te népedért, hogy elpusztuljanak a békák tőled és házaidtól; és csak a folyóvízben maradjanak meg.
Exod.8.10 | Felele a [Faraó:] Holnapra. És monda [Mózes:] A mint kívánod, hogy megtudd, hogy nincs hasonló a mi Urunkhoz Istenünkhöz.
Exod.8.11 | És eltávoznak a békák tőled, meg a te házaidtól, szolgáidtól és a te népedtől; csak a folyóvízben maradnak meg.
Exod.8.12 | És kiméne Mózes és Áron a Faraótól és kiálta Mózes az Úrhoz a békák felől, a melyeket a Faraóra bocsátott vala.
Exod.8.13 | És az Úr Mózes beszéde szerint cselekedék és kiveszének a békák a házakból, udvarokból és mezőkről.
Exod.8.14 | És rakásokba gyűjték azokat össze és a föld megbüszhödék.
Exod.8.15 | S a mint látá a Faraó, hogy baja könnyebbűl, megkeményíté az ő szívét, és nem hallgata reájok, a mint megmondotta vala az Úr.
Exod.8.16 | És szóla az Úr Mózesnek: Mondd Áronnak: Nyujtsd ki a te vessződet és sujtsd meg a föld porát, hogy tetvekké legyen egész Égyiptom földén.
Exod.8.17 | És aképen cselekedének. Áron kinyujtá kezét az ő vesszejével és megsujtá a föld porát, és tetvek lőnek emberen és barmon; a föld minden pora tetvekké lőn egész Égyiptom földén.
Exod.8.18 | És úgy cselekedének az írástudók is az ő varázslásukkal, hogy tetveket hozzanak elő, de nem teheték; és valának a tetvek emberen és barmon.
Exod.8.19 | És mondák az írástudók a Faraónak: Az Isten ujja ez. De kemény maradt a Faraó szíve, és nem hallgata reájok; a mint mondotta vala az Úr.
Exod.8.20 | Az Úr pedig monda Mózesnek: Kelj fel reggel és állj a Faraó eleibe; ímé kimegy a vizek felé, és mondd néki: Ezt mondja az Úr: Bocsásd el az én népemet, hogy szolgáljanak nékem.
Exod.8.21 | Mert ha el nem bocsátod az én népemet, ímé én bocsátok te reád, a te szolgáidra és a te népedre és a te házaidra ártalmas bogarakat, és megtelnek az Égyiptombeliek házai ártalmas bogarakkal és a föld is, a melyen ők vannak.
Exod.8.22 | De különválasztom azon a napon a Gósen földét, a melyen az én népem lakik, hogy ne legyenek ott ártalmas bogarak, azért, hogy megtudd, hogy én vagyok az Úr ezen a földön.
Exod.8.23 | És különbséget tészek az én népem között és a te néped között. Holnap lészen e jelenség.
Exod.8.24 | És aképen cselekedék az Úr; jövének ugyanis ártalmas bogarak a Faraó házára és az ő szolgái házára, és egész Égyiptom földén pusztává lőn a föld az ártalmas bogarak miatt.
Exod.8.25 | És hívatá a Faraó Mózest és Áront és monda: Menjetek, áldozzatok a ti Istenteknek ezen a földön.
Exod.8.26 | Mózes pedig monda: Nincs rendén, hogy úgy cselekedjünk, hogy mi azt áldozzuk az Úrnak a mi Istenünknek, a mi utálatos az Égyiptombeliek előtt: ímé, ha azt áldozzuk az ő szemeik előtt, a mi az Égyiptombelieknek utálatos, nem köveznek-é meg minket?
Exod.8.27 | Háromnapi járó földre megyünk a pusztába és úgy áldozunk a mi Urunknak Istenünknek, a mint megmondja nékünk.
Exod.8.28 | És monda a Faraó: Én elbocsátlak titeket, hogy áldozzatok a ti Uratoknak Istenteknek a pusztában, csak nagyon messze ne távozzatok; imádkozzatok érettem.
Exod.8.29 | Mózes pedig monda: Ímé én kimegyek te tőled és imádkozom az Úrhoz és eltávoznak az ártalmas bogarak a Faraótól és az ő szolgáitól és az ő népétől holnap; csak megint el ne ámítson a Faraó, hogy el ne bocsássa a népet áldozni az Úrnak.
Exod.8.30 | És kiméne Mózes a Faraótól és imádkozék az Úrhoz.
Exod.8.31 | És az Úr Mózes beszéde szerint cselekedék; s eltávozának az ártalmas bogarak a Faraótól, szolgáitól és népétől; egy sem marada.
Exod.8.32 | De a Faraó ezúttal is megkeményíté az ő szívét és nem bocsátá el a népet.

Exod.9.1 | És monda az Úr Mózesnek: Menj a Faraóhoz és beszélj vele: Ezt mondja az Úr, a héberek Istene: Bocsásd el az én népemet, hogy szolgáljanak nékem:
Exod.9.2 | Mert ha nem akarod elbocsátani és tovább is tartóztatod őket:
Exod.9.3 | Ímé az Úr keze lészen a te mezei barmaidon, lovakon, szamarakon, tevéken, ökrökön és juhokon; igen nagy döghalál.
Exod.9.4 | De különbséget tesz az Úr az Izráel barmai között és Égyiptom barmai között, és mindabból, a mi Izráel fiaié, egy sem vész el.
Exod.9.5 | Időt is hagya az Úr, mondván: Holnap cselekszi az Úr ezt a dolgot a földön.
Exod.9.6 | Meg is cselekedé az Úr ezt a dolgot másodnapon, és elhulla Égyiptomnak minden barma, de az Izráel fiainak barma közül egy sem hullott el.
Exod.9.7 | El is külde a Faraó, és ímé egy sem hullt vala el az Izráeliták barma közül: de a Faraó szíve kemény maradt, és nem bocsátá el a népet.
Exod.9.8 | Az Úr pedig monda Mózesnek és Áronnak: Vegyétek tele markaitokat kemenczehamuval, és szórja azt Mózes az ég felé a Faraó szeme láttára.
Exod.9.9 | Hogy porrá legyen Égyiptomnak egész földén, s emberen és barmon hólyagosan fakadó fekéllyé legyen Égyiptomnak egész földén.
Exod.9.10 | Vevének azért kemenczehamut és a Faraó elé állának, és Mózes az ég felé szórá azt; és lőn az emberen és barmon hólyagosan fakadó fekély.
Exod.9.11 | És az írástudók nem állhatnak vala Mózes előtt a fekély miatt; mert fekély vala az írástudókon s mind az Égyiptombelieken.
Exod.9.12 | De az Úr megkeményíté a Faraó szívét, és nem hallgata reájok, a mint megmondotta vala az Úr Mózesnek.
Exod.9.13 | És monda az Úr Mózesnek: Kelj fel reggel és állj a Faraó eleibe és mondd néki: Ezt mondja az Úr, a héberek Istene: Bocsásd el az én népemet, hogy szolgáljanak nékem.
Exod.9.14 | Mert ezúttal minden csapásomat reá bocsátom a te szívedre, a te szolgáidra és a te népedre azért, hogy megtudd, hogy nincs én hozzám hasonló az egész földön.
Exod.9.15 | Mert ha most kinyujtanám kezemet és megvernélek téged és a te népedet döghalállal, akkor kivágattatnál a földről.
Exod.9.16 | Ámde azért tartottalak fenn tégedet, hogy megmutassam néked az én hatalmamat, és hogy hirdessék az én nevemet az egész földön.
Exod.9.17 | Ha tovább is feltartóztatod az én népemet és nem bocsátod el őket:
Exod.9.18 | Ímé holnap ilyenkor igen nagy jégesőt bocsátok, a melyhez hasonló nem volt Égyiptomban az napságtól fogva hogy fundáltatott, mind ez ideig.
Exod.9.19 | Most annakokáért küldj el, hajtasd be barmaidat és mindenedet, valamid a mezőn van; minden ember és barom, a mely a mezőn találtatik és házba nem hajtatik, - jégeső szakad arra, és meghal.
Exod.9.20 | A ki a Faraó szolgái közűl az Úr beszédétől megfélemedék, szolgáit és barmait házakba futtatá.
Exod.9.21 | A ki pedig nem törődék az Úr beszédével, szolgáit és barmát a mezőn hagyá.
Exod.9.22 | Az Úr pedig monda Mózesnek: Nyújtsd ki kezedet az égre, hogy legyen jégeső Égyiptom egész földén az emberre, baromra és a mező minden fűvére, Égyiptom földén.
Exod.9.23 | Kinyujtá azért Mózes az ő vesszejét az égre, az Úr pedig mennydörgést támaszta és jégesőt, és tűz szálla le a földre, és jégesőt bocsáta az Úr Égyiptom földére.
Exod.9.24 | És lőn jégeső, és a tűz egymást éré az igen nagy jégeső közt, a melyhez hasonló nem volt az egész Égyiptom földén, mióta nép lakja.
Exod.9.25 | És elveré a jégeső egész Égyiptom földén mindazt, a mi a mezőn vala, embertől baromig; a mező minden fűvét is elveré a jégeső és a mező minden fáját is egybe rontá.
Exod.9.26 | Csak a Gósen földén, hol Izráel fiai valának, nem volt jégeső.
Exod.9.27 | A Faraó pedig elkülde és hívatá Mózest és Áront, és monda nékik: Vétkeztem ezúttal; az Úr az igaz; én pedig és az én népem gonoszok vagyunk.
Exod.9.28 | Imádkozzatok az Úrhoz, hogy legyen elég a mennydörgés és jégeső, és akkor elbocsátlak titeket és nem maradtok tovább.
Exod.9.29 | Mózes pedig monda néki: Mihelyt kimegyek a városból, felemelem kezeimet az Úrhoz; megszűnnek a mennydörgések és nem lesz többé jégeső, hogy megtudd, hogy az Úré a föld.
Exod.9.30 | De tudom, hogy te és a te szolgáid még nem féltek az Úr Istentől.
Exod.9.31 | A len pedig és az árpa elvereték, mert az árpa kalászos, a len pedig bimbós vala.
Exod.9.32 | De a búza és a tönköly nem vereték el, mert azok késeiek.
Exod.9.33 | És kiméne Mózes a Faraótól a városból és felemelé kezeit az Úrhoz, és megszűnének a mennydörgések s a jégeső és eső sem ömlik vala a földre.
Exod.9.34 | Amint látá a Faraó, hogy megszűnék az eső, meg a jégeső és a mennydörgés, ismét vétkezék és megkeményíté szívét ő és az ő szolgái.
Exod.9.35 | És kemény maradt a Faraó szíve, és nem bocsátá el az Izráel fiait, a mint megmondotta vala az Úr Mózes által.

Exod.10.1 | És monda az Úr Mózesnek: Menj be a Faraóhoz, mert én keményítettem meg az ő szívét és az ő szolgáinak szívét, azért hogy ezeket az én jeleimet megtegyem közöttök.
Exod.10.2 | És azért, hogy elbeszéljed azt a te fiadnak és fiad fiának hallatára, a mit Égyiptomban cselekedtem, és jeleimet, a melyeket rajtok tettem, hogy megtudjátok, hogy én vagyok az Úr.
Exod.10.3 | És beméne Mózes és Áron a Faraóhoz és mondának néki: Ezt mondja az Úr, a héberek Istene: Meddig nem akarod még magadat megalázni én előttem? Bocsásd el az én népemet, hogy szolgáljanak nékem.
Exod.10.4 | Mert ha te nem akarod az én népemet elbocsátani, ímé én holnap sáskát hozok a te határodra.
Exod.10.5 | És elborítja a földnek színét, úgy hogy nem lesz látható a föld, és megemészti a megmenekedett maradékot, a mi megmaradt néktek a jégeső után, és megemészt minden fát, mely néktek sarjadzik a mezőn.
Exod.10.6 | És betöltik a te házaidat, és minden szolgáidnak házát és minden Égyiptombelinek házát, a mit nem láttak a te atyáid, sem a te atyáid atyjai, a mióta e földön vannak mind e mai napig. És megfordula s kiméne a Faraó elől.
Exod.10.7 | A Faraó szolgái pedig mondának őnéki: Meddig lesz még ez mi nékünk romlásunkra? Bocsásd el azokat az embereket, hogy szolgáljanak az Úrnak az ő Istenöknek. Még sem veszed-é eszedbe, hogy elvész Égyiptom?
Exod.10.8 | És visszahozák Mózest és Áront a Faraóhoz s monda ez nékik: Menjetek el, szolgáljatok az Úrnak a ti Istenteknek. Kik s kik azok, a kik elmennek?
Exod.10.9 | Mózes pedig monda: A mi gyermekeinkkel és véneinkkel megyünk, a mi fiainkkal és leányainkkal, juhainkkal és barmainkkal megyünk, mert az Úrnak innepet kell szentelnünk.
Exod.10.10 | Monda azért nékik: Úgy legyen veletek az Úr, a mint elbocsátlak titeket és gyermekeiteket! Vigyázzatok, mert gonoszra igyekeztek.
Exod.10.11 | Nem úgy! menjetek el ti férfiak és szolgáljatok az Úrnak, mert ti is ezt kívántátok. És elűzék őket a Faraó színe elől.
Exod.10.12 | És monda az Úr Mózesnek: Nyújtsd ki a te kezedet Égyiptom földére a sáskáért, hogy jőjjön fel Égyiptom földére és emészsze meg a földnek minden fűvét; mindazt a mit a jégeső meghagyott.
Exod.10.13 | Kinyujtá azért Mózes az ő vesszejét Égyiptom földére, és az Úr egész nap és egész éjjel keleti szelet támaszta a földre. Mire reggel lőn, a keleti szél felhozá a sáskát.
Exod.10.14 | És feljöve a sáska egész Égyiptom földére s nagy sokasággal szálla le Égyiptom egész határára. Annak előtte sem volt olyan sáska s ezután sem lesz olyan.
Exod.10.15 | És elborítá az egész föld színét, és a föld elsötétedék, és megemészté a földnek minden fűvét és a fának minden gyümölcsét, a mit a jégeső meghagyott vala, és semmi zöld sem marada a fán, sem a mezőnek fűvén egész Égyiptom földén.
Exod.10.16 | Akkor a Faraó siete hívatni Mózest és Áront és monda: Vétkeztem az Úr ellen, a ti Istenetek ellen és ti ellenetek.
Exod.10.17 | Most annakokáért bocsásd meg csak ez egyszer az én vétkemet és imádkozzatok az Úrhoz a ti Istentekhez, hogy csak ezt a halált fordítsa el én tőlem.
Exod.10.18 | És kiméne a Faraó elől és imádkozék az Úrhoz.
Exod.10.19 | És fordíta az Úr igen erős nyugoti szelet, és felkapá a sáskát és veté azokat a veres tengerbe; egy sáska sem marada egész Égyiptom határán.
Exod.10.20 | De az Úr megkeményíté a Faraó szívét, és nem bocsátá el az Izráel fiait.
Exod.10.21 | És monda az Úr Mózesnek: Nyujtsd ki a te kezedet az ég felé, hogy legyen setétség Égyiptom földén és pedig tapintható setétség.
Exod.10.22 | És kinyujtá Mózes az ő kezét az ég felé, és lőn sűrű setétség egész Égyiptom földén három napig.
Exod.10.23 | Nem látták egymást, és senki sem kelt fel az ő helyéből három napig; de Izráel minden fiának világosság vala az ő lakhelyében.
Exod.10.24 | Akkor hívatá a Faraó Mózest és monda: Menjetek el, szolgáljatok az Úrnak, csak juhaitok és barmaitok maradjanak; gyermekeitek is elmehetnek véletek.
Exod.10.25 | Mózes pedig monda: Sőt inkább néked kell kezünkbe adnod véres áldozatra és égő-áldozatra valókat, hogy megáldozzuk a mi Urunknak Istenünknek.
Exod.10.26 | És velünk jőnek a mi barmaink is, egy körömnyi sem marad el, mert azokból veszünk, hogy szolgáljunk a mi Urunknak Istenünknek; magunk sem tudjuk, mivel szolgálunk az Úrnak, míg oda nem jutunk.
Exod.10.27 | De az Úr megkeményíté a Faraó szívét, és nem akará őket elbocsátani.
Exod.10.28 | És monda néki a Faraó: Menj el előlem; vigyázz magadra, hogy többé az én orczámat ne lásd; mert a mely napon az én orczámat látod, meghalsz.
Exod.10.29 | Mózes pedig monda: Helyesen szólál. Nem látom többé a te orczádat.

Exod.11.1 | Az Úr pedig monda Mózesnek: Még egy csapást hozok a Faraóra és Égyiptomra; azután elbocsát titeket innen; a mikor mindenestől elbocsát, űzve hajt el titeket innen.
Exod.11.2 | Szólj azért a népnek füle hallatára, hogy kérjenek a férfi az ő férfitársától, az asszony pedig az ő asszonytársától ezüst edényeket és arany edényeket.
Exod.11.3 | Az Úr pedig kedvessé tevé a népet az Égyiptombeliek előtt. A férfiú Mózes is igen nagy vala Égyiptom földén a Faraó szolgái előtt és a nép előtt.
Exod.11.4 | És monda Mózes: Ezt mondja az Úr: Éjfél körűl kimegyek Égyiptomba.
Exod.11.5 | És meghal Égyiptom földén minden elsőszülött, a Faraónak elsőszülöttétől fogva, a ki az ő királyi székében űl, a szolgálónak első szülöttéig, a ki malmot hajt; a baromnak is minden első fajzása.
Exod.11.6 | És nagy jajgatás lesz egész Égyiptom földén, a melyhez hasonló nem volt és hasonló nem lesz többé.
Exod.11.7 | De Izráel fiai közűl az eb sem ölti ki nyelvét senkire, az embertől kezdve a baromig; hogy megtudjátok, hogy különbséget tett az Úr Égyiptom között és Izráel között.
Exod.11.8 | És mindezek a te szolgáid lejönnek hozzám és leborulnak előttem, mondván: Eredj ki te és mind a nép, a mely téged követ, és csak azután megyek el. És nagy haraggal méne ki a Faraó elől.
Exod.11.9 | Az Úr pedig monda Mózesnek: Azért nem hallgat reátok a Faraó, hogy az én csudáim sokasodjanak meg Égyiptom földén.
Exod.11.10 | Mózes pedig és Áron mindezeket a csudákat megtevék a Faraó előtt; de az Úr megkeményíté a Faraó szívét. És nem bocsátá el Izráel fiait az ő földéről.

Exod.12.1 | Szólott vala pedig az Úr Mózesnek és Áronnak Égyiptom földén, mondván:
Exod.12.2 | Ez a hónap legyen néktek a hónapok elseje; első legyen ez néktek az esztendő hónapjai között.
Exod.12.3 | Szóljatok Izráel egész gyűlekezetének, mondván: E hónak tizedikén mindenki vegyen magának egy bárányt az atyáknak háza szerint, házanként egy bárányt.
Exod.12.4 | Hogyha a háznép kevés a bárányhoz, akkor a házához közel való szomszédjával együtt vegyen a lelkek száma szerint; kit-kit ételéhez képest számítsatok a bárányhoz.
Exod.12.5 | A bárány ép, hím, egy esztendős legyen; a juhok közűl vagy a kecskék közűl vegyétek.
Exod.12.6 | És legyen nálatok őrizet alatt e hónap tizennegyedik napjáig, és ölje meg Izráel községének egész gyülekezete estennen.
Exod.12.7 | És vegyenek a vérből, és azokban a házakban, a hol azt megeszik, hintsenek a két ajtófélre és a szemöldökfára.
Exod.12.8 | A húst pedig egyék meg azon éjjel, tűzön sütve, kovásztalan kenyérrel és keserű fűvekkel egyék meg azt.
Exod.12.9 | Ne egyetek abból nyersen, vagy vízben főtten, hanem tűzön sütve, a fejét, lábszáraival és belsejével együtt.
Exod.12.10 | És ne hagyjatok belőle reggelre, vagy a mi megmarad belőle reggelre, tűzzel égessétek meg.
Exod.12.11 | És ilyen módon egyétek azt meg: Derekaitokat felövezve, saruitok lábaitokon és pálczáitok kezetekben, és nagy sietséggel egyétek azt; mert az Úr páskhája az.
Exod.12.12 | Mert általmégyek Égyiptom földén ezen éjszakán és megölök minden elsőszülöttet Égyiptom földén, az embertől kezdve a baromig, és Égyiptom minden istene felett ítéletet tartok, én, az Úr.
Exod.12.13 | És a vér jelül lesz néktek a házakon, a melyekben ti lesztek, s meglátom a vért és elmegyek mellettetek és nem lesz rajtatok a csapás veszedelmetekre, mikor megverem Égyiptom földét.
Exod.12.14 | És legyen ez a nap néktek emlékezetül, és innepnek szenteljétek azt az Úrnak nemzetségről nemzetségre; örök rendtartás szerint ünnepeljétek azt.
Exod.12.15 | Hét napig egyetek kovásztalan kenyeret; még az első napon takarítsátok el a kovászt házaitokból, mert valaki kovászost ejéndik az első naptól fogva a hetedik napig, az olyan lélek irtassék ki Izráelből.
Exod.12.16 | Az első napon pedig szent gyűléstek legyen és a hetedik napon is szent gyűléstek legyen; azokon semmi munkát ne tegyetek, egyedül csak a mi eledelére való minden embernek, azt el lehet készítenetek.
Exod.12.17 | Megtartsátok a kovásztalan kenyér innepét; mert azon a napon hoztam ki a ti seregeiteket Égyiptom földéről; tartsátok meg hát e napot nemzetségről nemzetségre, örök rendtartás szerint.
Exod.12.18 | Az első hónapban, a hónapnak tizennegyedik napján estve egyetek kovásztalan kenyeret, a hónap huszonegyedik napjának estvéjéig.
Exod.12.19 | Hét napon át ne találtassék kovász a ti házaitokban; mert valaki kovászost ejéndik, az a lélek kiirtatik Izráel gyülekezetéből, akár jövevény, akár az ország szülöttje legyen.
Exod.12.20 | Semmi kovászost ne egyetek, minden lakóhelyeteken kovásztalan kenyeret egyetek.
Exod.12.21 | Előhívá tehát Mózes Izráel minden véneit és monda nékik: Fogjatok és vegyetek magatoknak bárányt családaitok szerint és öljétek meg a páskhát.
Exod.12.22 | És vegyetek egy kötés izsópot és mártsátok a vérbe, a mely az edényben van, és hintsétek meg a szemöldökfát és a két ajtófelet abból a vérből, a mely az edényben van; ti közűletek pedig senki se menjen ki az ő házának ajtaján reggelig.
Exod.12.23 | Mikor általmegy az Úr, hogy megverje az Égyiptombelieket és meglátja a vért a szemöldökfán és a két ajtófélen: elmegy az Úr az ajtó mellett és nem engedi, hogy a pusztító bemenjen öldökölni a ti házaitokba.
Exod.12.24 | Megtartsátok azért ezt a dolgot, rendtartás gyanánt, magadnak és fiaidnak mindörökre.
Exod.12.25 | És mikor bementek a földre, melyet az Úr ád néktek, a mint megmondotta vala: akkor tartsátok meg ezt a szertartást.
Exod.12.26 | Mikor pedig a ti fiaitok mondandják néktek: Micsoda ez a ti szertartástok?
Exod.12.27 | Akkor mondjátok: Páskha-áldozat ez az Úrnak, a ki elment az Izráel fiainak házai mellett Égyiptomban, mikor megverte az Égyiptombelieket, a mi házainkat pedig megoltalmazta. És a nép meghajtá magát és leborula.
Exod.12.28 | És menének és úgy cselekedének az Izráel fiai, a mint megparancsolta vala az Úr Mózesnek és Áronnak; úgy cselekedének.
Exod.12.29 | Lőn pedig éjfélkor, hogy megöle az Úr minden elsőszülöttet Égyiptomnak földén, a Faraónak elsőszülöttétől fogva, a ki az ő királyi székiben űl vala, a tömlöczbeli fogolynak elsőszülöttéig és a baromnak is minden első fajzását.
Exod.12.30 | És fölkele a Faraó azon az éjszakán és mind az ő szolgái és egész Égyiptom, és lőn nagy jajgatás Égyiptomban; mert egy ház sem vala, melyben halott ne lett volna.
Exod.12.31 | És hívatá Mózest és Áront éjszaka és monda: Keljetek fel, menjetek ki az én népem közűl, mind ti, mind Izráel fiai és menjetek, szolgáljatok az Úrnak, a mint mondátok.
Exod.12.32 | Juhaitokat is, barmaitokat is vegyétek, a mint mondátok és menjetek el és áldjatok engem is.
Exod.12.33 | És az Égyiptombeliek erősen rajta valának, hogy a népet mentül hamarább kiküldhessék az országból; mert [azt] mondják vala: mindnyájan meghalunk.
Exod.12.34 | És a nép az ő tésztáját, minekelőtte megkelt volna, sütőteknőivel együtt ruhájába kötve, vállára veté.
Exod.12.35 | Az Izráel fiai pedig Mózes beszéde szerint cselekedének és kérének az Égyiptombeliektől ezüst edényeket és arany edényeket, meg ruhákat.
Exod.12.36 | Az Úr pedig kedvessé tette vala a népet az Égyiptombeliek előtt, hogy kérésökre hajlának és kifoszták az Égyiptombelieket.
Exod.12.37 | És elindulának Izráel fiai Rameszeszből Szukhóthba, mintegy hatszáz ezeren gyalog, csupán férfiak a gyermekeken kívül.
Exod.12.38 | Sok elegy nép is méne fel velök; juh is, szarvasmarha is, felette sok barom.
Exod.12.39 | És sütének a tésztából, melyet Égyiptomból hoztak vala, kovásztalan pogácsákat, mert meg nem kelhet vala, mivelhogy kiűzetének Égyiptomból és nem késhetének s még eleséget sem készítének magoknak.
Exod.12.40 | Az Izráel fiainak lakása pedig, a míg Égyiptomban laknak, négyszáz harmincz esztendő vala.
Exod.12.41 | És lőn a négyszáz harmincz esztendő végén, lőn pedig ugyanazon napon, hogy az Úrnak minden serege kijöve Égyiptomnak földéről.
Exod.12.42 | Az Úr tiszteletére rendelt éjszaka ez, a melyen kihozta őket Égyiptom földéről; az Úr tiszteletére rendelt éjszaka Izráel minden fiai előtt nemzetségről nemzetségre.
Exod.12.43 | És monda az Úr Mózesnek és Áronnak: Ez a Páskha rendtartása: Egy idegen származású se egyék abból.
Exod.12.44 | Akárkinek is pénzen vett szolgája akkor egyék abból, ha körűlmetélted.
Exod.12.45 | A zsellér és a béres ne egyék abból.
Exod.12.46 | Egy házban egyék meg; a házból ki ne vígy a húsból, és csontot se törjetek össze abban.
Exod.12.47 | Izráel egész gyülekezete készítse azt.
Exod.12.48 | És ha jövevény tartózkodik nálad, és páskhát akarna készíteni az Úrnak: metéltessék körűl minden férfia, és úgy foghat annak készítéséhez, és legyen olyan, mint az országnak szülötte. Egy körűlmetéletlen se egyék abból.
Exod.12.49 | Egy törvénye legyen az ott születettnek és a jövevénynek, a ki közöttetek tartózkodik.
Exod.12.50 | És Izráel fiai mindnyájan megcselekedék; a mint parancsolta vala az Úr Mózesnek és Áronnak, úgy cselekedének.
Exod.12.51 | Ugyanazon napon hozá ki az Úr az Izráel fiait Égyiptomnak földéről, az ő seregeik szerint.

Exod.13.1 | És szóla az Úr Mózesnek, mondván:
Exod.13.2 | Nékem szentelj minden elsőszülöttet, valami megnyitja az ő anyjának méhét az Izráel fiai között, akár ember, akár barom, enyim legyen az.
Exod.13.3 | És monda Mózes a népnek: Megemlékezzél e napról, melyen kijöttetek Égyiptomból, a szolgálatnak házából; mert hatalmas kézzel hozott ki onnan titeket az Úr; azért ne egyetek kovászost.
Exod.13.4 | Ma mentek ki, az Abib hónapban.
Exod.13.5 | És ha majd bevisz téged az Úr a Kananeusok, meg Khittheusok, meg Emoreusok, meg Khivveusok és Jebuzeusok földére, melyről megesküdött a ti atyáitoknak, hogy néked adja azt a téjjel és mézzel folyó földet: akkor ebben a hónapban végezd ezt a szertartást.
Exod.13.6 | Hét napon át kovásztalan kenyeret egyél, a hetedik napon pedig innepet ülj az Úrnak.
Exod.13.7 | Kovásztalan kenyeret egyél hét napon át, és ne láttassék nálad kovászos kenyér, se kovász ne láttassék a te egész határodban.
Exod.13.8 | És add tudtára a te fiadnak azon a napon, mondván: Ez a miatt van, a mit az Úr cselekedett velem, mikor kijövék Égyiptomból.
Exod.13.9 | És legyen az néked jel gyanánt a te kezeden és emlékezetül a te szemeid előtt azért, hogy az Úr törvénye a te szádban legyen, mert hatalmas kézzel hozott ki téged az Úr Égyiptomból.
Exod.13.10 | Tartsd meg azért ezt a rendelést annak idejében esztendőről esztendőre.
Exod.13.11 | Ha pedig beviénd téged az Úr a Kananeusok földére, a miképen megesküdött néked és a te atyáidnak, és azt néked adándja:
Exod.13.12 | Az Úrnak ajánld fel akkor mindazt, a mi az ő anyjának méhét megnyitja, a baromnak is, a mi néked lesz, minden méhnyitó fajzását; a hímek az Úré.
Exod.13.13 | De a szamárnak minden első fajzását báránynyal váltsd meg; ha pedig meg nem váltod, szegd meg a nyakát. Az embernek is minden elsőszülöttét megváltsd a te fiaid közül.
Exod.13.14 | És ha egykor a te fiad téged megkérdez, mondván: Micsoda ez? akkor mondd néki: Hatalmas kézzel hozott ki minket az Úr Égyiptomból, a szolgálatnak házából.
Exod.13.15 | És lőn, mikor a Faraó megátalkodottan vonakodék minket elbocsátani: megöle az Úr minden elsőszülöttet Égyiptom földén, az ember elsőszülöttétől a barom első fajzásáig; azért áldozok én az Úrnak minden hímet, mely anyja méhét megnyitja, és megváltom az én fiaimnak minden elsőszülöttét.
Exod.13.16 | Legyen azért jel gyanánt a te kezeden és homlok-kötő gyanánt a te szemeid előtt, mert hatalmas kézzel hozott ki minket az Úr Égyiptomból.
Exod.13.17 | És lőn, a mikor elbocsátá a Faraó a népet, nem vivé őket Isten a Filiszteusok földje felé, noha közel vala az; mert monda az Isten: Netalán mást gondol a nép, ha harczot lát, és visszatér Égyiptomba.
Exod.13.18 | Kerülő úton vezeté azért Isten a népet, a veres tenger pusztájának útján; és fölfegyverkezve jövének ki Izráel fiai Égyiptom földéről.
Exod.13.19 | És Mózes elvivé magával a József tetemeit is, mert megesketvén megeskette vala Izráel fiait, mondván: Meglátogatván meglátogat titeket az Isten, akkor az én tetemeimet felvigyétek innen magatokkal.
Exod.13.20 | És elindulának Szukhótból és táborba szállának Ethámban, a puszta szélén.
Exod.13.21 | Az Úr pedig megy vala előttök nappal felhőoszlopban, hogy vezérelje őket az úton, éjjel pedig tűzoszlopban, hogy világítson nékik, hogy éjjel és nappal mehessenek.
Exod.13.22 | Nem távozott el a felhőoszlop nappal, sem a tűzoszlop éjjel a nép elől.

Exod.14.1 | És szóla az Úr Mózesnek, mondván:
Exod.14.2 | Szólj az Izráel fiainak, hogy forduljanak vissza és üssenek tábort Pi- Hahiróth előtt, Migdol között és a tenger között, Baál-Czefón előtt; ezzel átellenben üssetek tábort a tenger mellett.
Exod.14.3 | Majd azt gondolja a Faraó az Izráel fiai felől: Eltévelyedtek ezek e földön; körülfogta őket a puszta.
Exod.14.4 | Én pedig megkeményítem a Faraó szívét, és űzőbe veszi őket, hogy megdicsőíttessem a Faraó által és minden ő serege által és megtudják az Égyiptombeliek, hogy én vagyok az Úr. És úgy cselekedének.
Exod.14.5 | És hírül vivék az égyiptomi királynak, hogy elfutott a nép, és megváltozék a Faraónak és az ő szolgáinak szíve a nép iránt és mondának: Mit cselekedtünk, hogy elbocsátottuk Izráelt a mi szolgálatunkból!
Exod.14.6 | Befogata tehát szekerébe és maga mellé vevé az ő népét.
Exod.14.7 | És vőn hatszáz válogatott szekeret és Égyiptom minden egyéb szekerét és hárman-hárman valának mindeniken.
Exod.14.8 | És megkeményíté az Úr a Faraónak, az égyiptomi királynak szivét, hogy űzőbe vegye az Izráel fiait; Izráel fiai pedig mennek vala nagy hatalommal.
Exod.14.9 | És az Égyiptombeliek utánok nyomulának és elérék őket a tenger mellett, a hol táboroznak vala, a Faraónak minden lova, szekere, meg lovasai és serege Pi-Hahiróth mellett, Baál-Czefón előtt.
