Acts.1.1 | Első könyvemet írtam, Theofilus, mindazokról, a miket kezdett Jézus cselekedni és tanítani,
Acts.7.6 | Szólt pedig az Isten akképen, hogy az ő magva zsellér lészen idegen földön, és szolgálat alá vetik azt, és nyomorgatják, négyszáz esztendeig.
Acts.7.7 | De azt a népet, melynek szolgálnak, én megítélem, monda az Isten: és ezek után kijőnek, és szolgálnak nékem e helyen.
Acts.7.8 | És adta néki a körülmetélés szövetségét: és így nemzé Izsákot, és körülmetélé őt nyolczadnapon; és Izsák Jákóbot, és Jákób a tizenkét pátriárkhát.
Acts.7.9 | A pátriárkhák pedig irígységből eladák Józsefet Égyiptomba; de Isten vele vala,
Acts.7.10 | És megszabadítá őt minden nyomorúságából, és ada néki kedvességet és bölcseséget a Faraó előtt, Égyiptom királya előtt, ki őt Égyiptom fölé és az ő egész háza fölé kormányzóul állatá.
Acts.7.11 | Következék pedig éhség Égyiptom és Kanaán egész földére, és nagy nyomorúság; és nem találnak vala eledelt a mi atyáink.
Acts.7.12 | Mikor pedig meghallotta Jákób, hogy Égyiptomban van gabona, elküldé először a mi atyáinkat.
Acts.7.13 | És második alkalommal fölismerék Józsefet testvérei, és a Faraó megtudá a József nemzetségét.
Acts.7.14 | És József elküldvén, magához hívatá az ő atyját, Jákóbot, és egész hetvenöt lélekből álló nemzetségét.
Acts.7.15 | Leméne azért Jákób Égyiptomba, és meghala ő és a mi atyáink;
Acts.7.16 | És elvitetének Sikembe, és helyheztetének a sírba, melyet Ábrahám vett vala ezüstpénzen, Emmórnak, a Sikem [atyjának] fiaitól.
Acts.7.17 | Mikor pedig elközelgetett az ígéretnek ideje, melyet Isten esküvel ígért Ábrahámnak, megnevekedék a nép és megsokasodék Égyiptomban,
Acts.7.18 | Mindaddig, mígnem más király támada, ki nem ismeri vala Józsefet.
Acts.7.19 | Ez a mi nemzetségünkkel álnokul bánva nyomorgatta a mi atyáinkat, hogy magzataikat kitétesse, hogy életben ne maradjanak.
Acts.7.20 | Akkor születék Mózes, és ékes vala az Isten előtt. Ez három hónapig atyja házában tartaték.
Acts.7.21 | Mikor pedig kitétetett, a Faraó leánya felvevé, és felnevelé őt a saját fia gyanánt.
Acts.7.22 | És Mózes taníttaték az Égyiptombeliek minden bölcseségére; és hatalmas vala beszédben és cselekedetben.
Acts.7.23 | Mikor pedig negyvenéves kora betölt, eszébe jutott, hogy meglátogassa atyjafiait, az Izráel fiait.
Acts.7.24 | És mikor látta, hogy egyik bántalommal illettetik, megoltalmazá, és az égyiptomi embert megölvén, bosszút álla azért, a ki bosszúsággal illettetett.
Acts.7.25 | És azt gondolá, hogy az ő atyjafiai megértik, hogy az Isten az ő keze által ád nékik szabadulást; de azok nem értették meg.
Acts.7.26 | Másnap meg olyankor jelent meg köztük, mikor összevesztek, és inté őket békességre, mondván: Férfiak, testvérek vagytok ti; miért illetitek egymást bosszúsággal?
Acts.7.27 | De az, a ki felebarátját bántalmazta, elutasítá őt magától, mondván: Kicsoda tett téged fejedelemmé és bíróvá mi rajtunk?
Acts.7.28 | Csak nem akarsz engem [is] megölni, miképen megöléd tegnap az égyiptomit?
Acts.7.29 | E beszédre aztán Mózes elfuta és lőn jövevény a Midián földén, a hol két fia születék.
Acts.7.30 | És negyven esztendő elteltével megjelenék néki a Sínai hegy pusztájában az Úrnak angyala csipkebokornak tüzes lángjában.
Acts.7.31 | Mózes pedig mikor meglátta, elcsodálkozék a látáson. Mikor pedig oda méne, hogy megszemlélje, lőn az Úrnak szava ő hozzá:
Acts.7.32 | Én vagyok a te atyáidnak Istene, Ábrahámnak Istene, és Izsáknak Istene, és Jákóbnak Istene. Mózes pedig megrémülvén, nem meré megnézni.
Acts.7.33 | Az Úr pedig monda néki: Oldozd le sarudat lábaidról; mert a hely, a melyen állasz, szent föld.
Acts.7.34 | Látván láttam az én népemnek nyomorúságát, mely Égyiptomban van, és az ő fohászkodásukat meghallgattam, és azért szállottam le, hogy őket megszabadítsam; most azért jőjj, elküldelek téged Égyiptomba.
Acts.7.35 | Ezt a Mózest, a kit megtagadának, mondván: Ki tett téged fejedelemmé és bíróvá? ezt az Isten fejedelmül és szabadítóul küldé angyal keze által, a ki megjelent néki a csipkebokorban.
Acts.7.36 | Ez hozta ki őket, csodákat és jeleket tévén Égyiptomnak földében és a Verestengeren és a pusztában negyven esztendeig.
Acts.7.37 | Ez ama Mózes, ki az Izráel fiainak ezt mondotta: Prófétát támaszt néktek az Úr, a ti Istentek, a ti atyátokfiai közül, mint engem: azt hallgassátok.
Acts.7.38 | Ez az, a ki [ott] volt a gyülekezetben a pusztában a Sinai hegyen vele beszélő angyallal és a mi atyáinkkal: ki élő igéket vőn, hogy nékünk adja;
Acts.7.39 | A kinek nem akartak engedni a mi atyáink, hanem eltaszíták maguktól, és szívökben Égyiptom felé fordulának,
Acts.7.40 | Ezt mondván Áronnak: Csinálj nékünk isteneket, kik előttünk járjanak: mert ez a Mózes, ki minket Égyiptom földéből kihozott, nem tudjuk, mi történt ő vele.
Acts.7.41 | És borjúképet csinálának azokban a napokban, és áldozatot vivének a bálványnak, és gyönyörködének az ő kezeik csinálmányaiban.
Acts.7.42 | Az Isten pedig elfordula, és adá őket, hogy szolgáljanak az ég seregének; a mint meg van írva a próféták könyvében: Vajjon áldozati barmokat és áldozatokat hoztatok-é nékem negyven esztendeig a pusztában, Izráelnek háza?
Acts.7.43 | Sőt inkább hordoztátok a Molok sátorát, és a ti istenteknek, Remfánnak csillagát, a képeket, melyeket csináltatok, hogy azokat imádjátok: elviszlek azért titeket Babilónon túl.
Acts.7.44 | A bizonyságnak sátora a mi atyáinknál volt a pusztában, a mint parancsolta az, a ki mondotta Mózesnek, hogy azt arra a mintára csinálja, melyet látott vala.
Acts.7.45 | Melyet a mi atyáink átvévén, be is hoztak Józsuéval, mikor birodalmukba vették a pogányokat, kiket kiűzött az Isten a mi atyáink színe elől, mind a Dávidnak napjaiig;
Acts.7.46 | Ki kegyelmet talált az Isten előtt, és könyörgött, hogy hajlékot találhasson a Jákób Istenének.
Acts.7.47 | Salamon építe pedig néki házat.
Acts.7.48 | De ama Magasságos nem kézzel csinált templomokban lakik, mint a próféta mondja:
Acts.7.49 | A menny nékem ülőszékem, a föld pedig az én lábaimnak zsámolya; micsoda házat építhettek nékem? azt mondja az Úr, vagy melyik az én nyugodalmamnak helye?
Acts.7.50 | Nem az én kezem csinálta-é mindezeket?
Acts.7.51 | Kemény nyakú és körülmetéletlen szívű és fülű emberek, ti mindenkor a Szent Léleknek ellene igyekeztek, mint atyáitok, ti azonképen.
Acts.7.52 | A próféták közül kit nem üldöztek a ti atyáitok? és megölték azokat, a kik eleve hirdették amaz Igaznak eljövetelét: kinek ti most árulóivá és gyilkosaivá lettetek;
Acts.7.53 | Kik a törvényt angyalok rendelésére vettétek, és nem tartottátok meg.
Acts.7.54 | Mikor pedig ezeket hallották, szívükben dühösködnek és fogaikat csikorgatják vala ő ellene.
Acts.7.55 | Mivel pedig teljes vala Szent Lélekkel, a mennybe függesztvén szemeit, látá Istennek dicsőségét, és Jézust állani az Istennek jobbja felől,
Acts.7.56 | És monda: Ímé látom az egeket megnyilni, és az embernek Fiát az Isten jobbja felől állani.
Acts.7.57 | Felkiáltván pedig nagy fenszóval, füleiket bédugák, és egyakarattal reá rohanának;
Acts.7.58 | És kiűzvén a városon kívül, megkövezék: a tanúbizonyságok pedig felsőruháikat egy Saulus nevezetű ifjú lábaihoz rakták le.
Acts.7.59 | Megkövezék azért Istvánt, ki imádkozik és ezt mondja vala: Uram Jézus, vedd magadhoz az én lelkemet!
Acts.7.60 | Térdre esvén pedig, nagy fenszóval kiálta: Uram, ne tulajdonítsd nékik e bűnt! És ezt mondván, elaluvék.

Acts.8.1 | Saulus pedig szintén javallta az ő megöletését. És támada azon a napon nagy üldözés a jeruzsálemi gyülekezet ellen, és mindnyájan eloszlának Júdeának és Samáriának tájaira, az apostolokat kivéve.
Acts.8.2 | Istvánt pedig eltakaríták kegyes férfiak, és nagy sírást tőnek ő rajta.
Acts.8.3 | Saulus pedig pusztítá az anyaszentegyházat, házról-házra járva, és férfiakat és asszonyokat elővonszolva, tömlöczbe veti vala.
Acts.8.4 | Amazok annakokáért eloszolván, széjjeljártak, hirdetve az ígét.
Acts.8.5 | És Filep lemenvén Samária városába, prédikálja vala nékik a Krisztust.
Acts.8.6 | A sokaság pedig egy szívvel-lélekkel figyelmeze azokra, a miket Filep mondott, hallván és látván a jeleket, melyeket cselekedék.
Acts.8.7 | Mert sokakból, kikben tisztátalan lelkek voltak, nagy hangon kiáltva kimenének; sok gutaütött és sánta pedig meggyógyula.
Acts.8.8 | És lőn nagy öröm abban a városban.
Acts.8.9 | Egy Simon nevű ember pedig már előbb gyakorolta abban a városban az ördögi tudományt és elámította Samária népét, magát valami nagynak állítván:
Acts.8.10 | Kire mindnyájan figyeltek, kicsinytől nagyig, mondván: Ez az Istennek ama nagy ereje!
Acts.8.11 | Azért figyeltek pedig rá, mert sok időn át az ördögi mesterségekkel elámította őket.
Acts.8.12 | De miután hittek Filepnek, a ki az Isten országára és a Jézus Krisztus nevére tartozó örvendetes dolgokat hirdeti vala, megkeresztelkedének mind férfiak, mind asszonyok.
Acts.8.13 | És Simon maga is hűn, és megkeresztelkedvén, Fileppel tarta; és látván, hogy jelek és nagy erők lesznek, álmélkodik vala.
Acts.8.14 | Mikor pedig meghallották a jeruzsálemi apostolok, hogy Samária bevette az Isten ígéjét, elküldék azokhoz Pétert és Jánost;
Acts.8.15 | Kik mikor lementek, könyörögtek érettük, hogy vegyenek Szent Lelket:
Acts.8.16 | Mert még senkire azok közül nem szállott rá, csak meg voltak keresztelve az Úr Jézus nevére.
Acts.8.17 | Akkor kezeiket reájuk veték, és vőnek Szent Lelket.
Acts.8.18 | Mikor pedig látta Simon, hogy az apostolok kézrátétele által adatik a Szent Lélek, megkínálá őket pénzzel,
Acts.8.19 | Mondván: Adjátok nékem is ezt a hatalmat, hogy valakire vetem kezeimet, Szent Lelket vegyen.
Acts.8.20 | De Péter monda néki: A te pénzed veled együtt veszszen el, mivel azt gondoltad, hogy az Istennek ajándéka pénzen megvehető.
Acts.8.21 | Nincsen néked részed, sem örökséged e dologban, mert a te szíved nem igaz az Isten előtt.
Acts.8.22 | Térj meg azért ezen gonoszságodból, és kérjed az Istent, ha talán megbocsáttatik néked szívednek gondolatja.
Acts.8.23 | Mert látom, hogy te keserűséges méregben és álnokságnak kötelékében leledzel.
Acts.8.24 | Felelvén pedig Simon, monda: Könyörögjetek ti énérettem az Úrnak, hogy semmi azokból, a miket mondtatok, reám ne jőjjön.
Acts.8.25 | Azok annakokáért, minekutána bizonyságot tettek, és hirdették az Úrnak ígéjét, megtérének Jeruzsálembe, és a Samaritánusoknak sok falujában prédikálák az evangyéliomot.
Acts.8.26 | Az Úrnak angyala pedig szóla Filepnek, mondván: Kelj fel és menj el dél felé, arra az útra, mely Jeruzsálemből Gázába megy alá. Járatlan ez.
Acts.8.27 | És felkelvén, elméne. És ímé egy szerecsen férfiú, Kandakénak, a szerecsenek királyasszonyának hatalmas komornyikja, ki az ő egész kincstárának felügyelője vala, ki feljött imádkozni Jeruzsálembe;
Acts.8.28 | És visszatérőben volt és az ő szekerén ül vala, és olvasá Ésaiás prófétát.
Acts.8.29 | Monda pedig a Lélek Filepnek: Járulj oda és csatlakozzál ehhez a szekérhez!
Acts.8.30 | Filep azért oda futamodván, hallá, a mint az Ésaiás prófétát olvassa vala. És monda: Vajjon érted-é, a mit olvasol?
Acts.8.31 | Ő pedig monda: Mimódon érthetném, ha csak valaki meg nem magyarázza nékem? És kéré Filepet, hogy felhágván, üljön mellé.
Acts.8.32 | Az írásnak helye pedig, melyet olvasott, ez vala: Mint juh viteték mészárszékre, és mint a bárány az ő nyírője előtt néma, azonképen nem nyitotta fel az ő száját.
Acts.8.33 | Az ő megaláztatásában az ő ítélete elvétetett, az ő nemzetségét pedig kicsoda sorolja el? mert elvétetik a földről az ő élete.
Acts.8.34 | Felelvén pedig a komornyik Filepnek, monda: Kérlek téged, kiről mondja ezt a próféta? Magáról-é, vagy más valakiről?
Acts.8.35 | Filep pedig száját megnyitván, és elkezdvén ezen az íráson, hirdeté néki a Jézust.
Acts.8.36 | Mikor pedig menének az úton, jutának egy vízhez; és monda a komornyik: Ímhol a víz: mi gátol, hogy megkeresztelkedjem?
Acts.8.37 | Filep pedig monda: Ha teljes szívből hiszel, meglehet. Az pedig felelvén, monda: Hiszem, hogy a Jézus Krisztus az Isten Fia.
Acts.8.38 | És megállítá a szekeret; és leszállának mindketten a vízbe, Filep és a komornyik; és megkeresztelé őt.
Acts.8.39 | Mikor pedig a vízből feljöttek, az Úrnak Lelke elragadá Filepet; és többé nem látta őt a komornyik, mert [tovább] méne az ő útján örömmel.
Acts.8.40 | Filep pedig találtaték Azótusban; és széjjeljárva hirdeté az evangyéliomot minden városnak, míglen Czézáreába juta.

Acts.9.1 | Saulus pedig még fenyegetéstől és öldökléstől lihegve az Úrnak tanítványai ellen, elmenvén a főpaphoz,
Acts.9.2 | Kére ő tőle leveleket Damaskusba a zsinagógákhoz, hogy ha talál némelyeket, kik ez útnak követői, akár férfiakat, akár asszonyokat, fogva vigye Jeruzsálembe.
Acts.9.3 | És a mint méne, lőn, hogy közelgete Damaskushoz, és nagy hirtelenséggel fény sugárzá őt körül a mennyből:
Acts.9.4 | És ő leesvén a földre, halla szózatot, mely ezt mondja vala néki: Saul, Saul, mit kergetsz engem?
Acts.9.5 | És monda: Kicsoda vagy, Uram? Az Úr pedig monda: Én vagyok Jézus, a kit te kergetsz: nehéz néked az ösztön ellen rúgódoznod.
Acts.9.6 | Remegve és ámulva monda: Uram, mit akarsz, hogy cselekedjem? Az Úr pedig [monda] néki: Kelj fel és menj be a városba, és majd megmondják néked, mit kell cselekedned.
Acts.9.7 | A vele utazó férfiak pedig némán álltak, hallva ugyan a szót, de senkit sem látva.
Acts.9.8 | Felkele azonban Saulus a földről; de mikor felnyitá szemeit, senkit sem láta, azért kézenfogva vezeték be őt Damaskusba.
Acts.9.9 | És három napig nem látott, és nem evett és nem ivott.
Acts.9.10 | Vala pedig egy tanítvány Damaskusban, névszerint Ananiás, és monda annak az Úr látásban: Ananiás! Az pedig monda: Ímhol vagyok Uram!
Acts.9.11 | Az Úr pedig [monda] néki: Kelj fel és menj el az úgynevezett Egyenes utczába, és keress föl a Júdás házában egy Saulus nevű tárzusi embert, mert ímé imádkozik.
Acts.9.12 | És látá [Saulus] látásban, hogy egy Ananiás nevű férfiú beméne hozzá és kezét reá veté, hogy lásson.
Acts.9.13 | Felele pedig Ananiás: Uram, sok embertől hallottam e férfiú felől, mily sok bosszúsággal illeté a te szenteidet Jeruzsálemben:
Acts.9.14 | És itt [is] hatalma van a főpapoktól, hogy mindazokat megkötözze, kik a te nevedet segítségül hívják.
Acts.9.15 | Monda pedig néki az Úr: Eredj el, mert ő nékem választott edényem, hogy hordozza az én nevemet a pogányok és királyok, és Izráel fiai előtt.
Acts.9.16 | Mert én megmutatom néki, mennyit kell néki az én nevemért szenvedni.
Acts.9.17 | Elméne azért Ananiás és beméne a házba, és kezeit reá vetvén, monda: Saul atyámfia, az Úr küldött engem, Jézus, a ki megjelent néked az úton, melyen jöttél, hogy szemeid megnyiljanak és beteljesedjél Szent Lélekkel.
Acts.9.18 | És azonnal mintegy pikkelyek estek le szemeiről, és mindjárt visszanyeré látását; és felkelvén, megkeresztelkedék;
Acts.9.19 | És miután evett, megerősödék. Vala pedig Saulus a damaskusi tanítványokkal néhány napig.
Acts.9.20 | És azonnal prédikálá a zsinagógákban a Krisztust, hogy ő az Isten Fia.
Acts.9.21 | Álmélkodnak vala pedig mindnyájan, a kik hallák, és mondának: Nem ez-é az, a ki pusztította Jeruzsálemben azokat, a kik ezt a nevet hívják segítségül, és ide is azért jött, hogy őket fogva vigye a főpapokhoz?
Acts.9.22 | Saulus pedig annál inkább erőt vőn, és zavarba hozta a Damaskusban lakó zsidókat, bebizonyítván, hogy ez a Krisztus.
Acts.9.23 | Több nap elteltével azonban a zsidók tanácsot tartának, hogy őt megöljék:
Acts.9.24 | De tudtára esék Saulusnak az ő leselkedésök. És őrizék a kapukat mind nappal, mind éjjel, hogy őt megöljék;
Acts.9.25 | A tanítványok azért vevén őt éjjel, a kőfalon bocsáták alá, leeresztve egy kosárban.
Acts.9.26 | Mikor pedig Saulus Jeruzsálembe ment, a tanítványokhoz próbált csatlakozni; de mindnyájan féltek tőle, nem hivén, hogy ő tanítvány.
Acts.9.27 | Barnabás azonban maga mellé vevén őt, vivé az apostolokhoz, és elbeszélé nékik, mint látta az úton az Urat, és hogy beszélt vele, és mint tanított Damaskusban nagy bátorsággal a Jézus nevében.
Acts.9.28 | És ki- és bejáratos vala köztük Jeruzsálemben:
Acts.9.29 | És nagy bátorsággal tanítván az Úr Jézusnak nevében, beszél, sőt vetekedik vala a görög zsidókkal; azok pedig igyekeznek vala őt megölni.
Acts.9.30 | Megtudván azonban az atyafiak, levivék őt Czézáreába, és elküldék őt Tárzusba.
Acts.9.31 | A gyülekezeteknek tehát egész Júdeában, Galileában és Samariában békességök vala; épülvén és járván az Úrnak félelmében és a Szent Léleknek vígasztalásában, sokasodnak vala.
Acts.9.32 | Lőn pedig, hogy Péter, mikor mindnyájukat bejárá, leméne a Liddában lakozó szentekhez is.
Acts.9.33 | Talála pedig ott egy Éneás nevű embert, ki nyolcz esztendő óta ágyban fekszik vala, ki gutaütött vala.
Acts.9.34 | És monda néki Péter: Éneás, gyógyítson meg téged a Jézus Krisztus: kelj föl, vesd meg magad az ágyadat! És azonnal felkele.
Acts.9.35 | És láták őt mindnyájan, kik laknak vala Liddában és Sáronban, kik megtérének az Úrhoz.
Acts.9.36 | Joppéban pedig vala egy nőtanítvány, névszerint Tábitha, mely megmagyarázva Dorkásnak, [azaz zergének] mondatik: ez gazdag vala jó cselekedetekben és alamizsnákban, melyeket osztogatott.
Acts.9.37 | Lőn pedig azokban a napokban, hogy megbetegedvén, meghala: és miután megmosták őt, kiteríték a felházban.
Acts.9.38 | Mivelhogy pedig Lidda Joppéhoz közel vala, a tanítványok meghallván, hogy Péter ott van, küldének két férfiút ő hozzá, kérve, hogy késedelem nélkül menjen át hozzájuk.
Acts.9.39 | Felkelvén azért Péter, elméne azokkal. Mihelyt oda ére, felvezeték őt a felházba: és elébe állának néki az özvegyasszonyok mindnyájan sírva és mutogatva a ruhákat és öltözeteket, melyeket Dorkás csinált, míg velük együtt volt.
Acts.9.40 | Péter pedig mindenkit kiküldvén, térdre esve imádkozék; és a [holt] testhez fordulván, monda: Tábitha, kelj fel! Az pedig felnyitá szemeit; és meglátván Pétert, felüle.
Acts.9.41 | És az kezét nyújtva néki, felemelé őt; és beszólítván a szenteket és az özvegyasszonyokat, eleikbe állatá őt elevenen.
Acts.9.42 | És tudtára lőn az egész Joppénak; és sokan hivének az Úrban.
Acts.9.43 | És lőn, hogy ő több napig marada Joppéban egy Simon nevű tímárnál.

Acts.10.1 | Vala pedig Czézáreában egy Kornélius nevű férfiú, százados az úgynevezett itáliai seregből.
Acts.10.2 | Jámbor és istenfélő egész házanépével egybe, ki sok alamizsnát osztogat vala a népnek, és szüntelen könyörög vala Istennek.
Acts.10.3 | [Ez] látá látásban világosan, a napnak mintegy kilenczedik órája körül, hogy az Istennek angyala beméne őhozzá, és monda néki: Kornélius!
Acts.10.4 | Ő pedig szemeit reá függesztve és megrémülve monda: Mi az, Uram? Az pedig monda néki: A te könyörgéseid és alamizsnáid felmentek Isten elébe emlékezetnek okáért.
Acts.10.5 | Most azért küldj Joppéba embereket, és hivasd magadhoz Simont, ki neveztetik Péternek;
Acts.10.6 | Ő egy Simon [nevű] tímárnál van szálláson, kinek háza a tenger mellett van. Ő megmondja néked, mit kell cselekedned.
Acts.10.7 | A mint pedig elment az angyal, a ki Kornéliussal beszélt, szólíta kettőt az ő szolgái közül, és egy kegyes vitézt azok közül, kik rendelkezésére állnak vala.
Acts.10.8 | És elmondván nékik mindent, elküldé őket Joppéba.
Acts.10.9 | Másnap pedig, míg azok menének és közelgetének a városhoz, felméne Péter a háznak felső részére imádkozni hat óra tájban.
Acts.10.10 | Megéhezék azonban, és akara enni: míg azonban azok ételt készítének, szálla ő reá elragadtatás;
Acts.10.11 | És látá, hogy az ég megnyilt és leszálla ő hozzá valami edény, mint egy nagy lepedő, négy sarkánál fogva felkötve, és leeresztve a földre:
Acts.10.12 | Melyben valának mindenféle földi négylábú állatok, vadak, csúszómászó állatok és égi madarak.
Acts.10.13 | És szózat lőn ő hozzá: Kelj fel Péter, öljed és egyél!
Acts.10.14 | Péter pedig monda: Semmiképen sem, Uram; mert sohasem ettem semmi közönségest, vagy tisztátalant.
Acts.10.15 | És ismét szózat [lőn] ő hozzá másodszor is: A miket az Isten megtisztított, te ne mondd tisztátalanoknak.
Acts.10.16 | Ez pedig három ízben történt; és ismét felviteték az edény az égbe.
Acts.10.17 | A mint pedig Péter magában tünődék, mi lehet az a látás, a melyet látott, ímé az férfiak, kiket Kornélius küldött, megtudakozván a Simon házát, odaérkezének a kapuhoz,
Acts.10.18 | És bekiáltván megtudakozák, vajjon Simon, ki neveztetik Péternek, ott van-é szálláson?
Acts.10.19 | És a míg Péter a látás felől gondolkodék, monda néki a Lélek: Ímé három férfiú keres téged:
Acts.10.20 | Nosza kelj fel, eredj alá, és minden kételkedés nélkül menj el ő velök: mert én küldöttem őket.
Acts.10.21 | Alámenvén azért Péter a férfiakhoz, kiket Kornélius küldött ő hozzá, monda: Ímé, én vagyok, a kit kerestek: mi dolog az, a miért jöttetek?
Acts.10.22 | Ők pedig mondának: Kornélius százados, igaz és istenfélő férfiú, ki mellett a zsidók egész népe jó bizonyságot tesz, szent angyal által megintetett, hogy hívasson téged házához, és halljon tőled valami dolgokról.
Acts.10.23 | Behíván azért őket, szállására fogadá. Másnap pedig elméne Péter ő velök, és a Joppébeli atyafiak közül is némelyek együtt menének ő vele.
Acts.10.24 | És másnap eljutának Czézáreába. Kornélius pedig várja vala őket, egybegyűjtvén rokonait és jó barátait.
Acts.10.25 | És lőn, hogy a mint Péter beméne, Kornélius elébe menvén, lábaihoz borulva imádá [őt.]
Acts.10.26 | Péter azonban felemelé őt, mondván: Kelj fel; én magam is ember vagyok.
Acts.10.27 | És beszélgetve vele, belépett, és talála sokakat egybegyűlve;
Acts.10.28 | És monda nékik: Ti tudjátok, hogy tilalmas zsidó embernek más nemzetbelivel barátkozni, vagy hozzámenni; de nékem az Isten megmutatá, hogy senkit se mondjak közönséges, vagy tisztátalan embernek:
Acts.10.29 | Annak okáért ellenmondás nélkül el is jöttem, miután meghívattam. Azt kérdem azért, mi okból hivattatok engem?
Acts.10.30 | És Kornélius monda: Negyednaptól fogva mind ez óráig bőjtöltem, és kilencz órakor imádkozám az én házamban; és ímé egy férfiú álla meg előttem fényes ruhában,
Acts.10.31 | És monda: Kornélius, meghallgattatott a te imádságod, és a te alamizsnáid emlékezetbe jutottak Isten előtt.
Acts.10.32 | Küldj el azért Joppéba, és hívasd magadhoz Simont, ki Péternek neveztetik; ez Simon tímár házában van szálláson a tenger mellett: ő, minekutána eljő, szól néked.
Acts.10.33 | Azonnal azért küldöttem hozzád; és te jól tetted, hogy eljöttél. Most azért mi mindnyájan az Isten előtt állunk, hogy meghallgassuk mindazokat, a miket Isten néked parancsolt.
Acts.10.34 | Péter pedig megnyitván száját, monda: Bizonynyal látom, hogy nem személyválogató az Isten;
Acts.10.35 | Hanem minden nemzetben kedves ő előtte, a ki őt féli és igazságot cselekszik.
Acts.10.36 | Azt az ígét, melyet elkülde az Izráel fiainak, hirdetvén békességet a Jézus Krisztus által (ő mindeneknek Ura).
Acts.10.37 | Ti ismeritek azt a dolgot, mely lőn az egész Júdeában, Galileától kezdve, az után a keresztség után, melyet János prédikált,
Acts.10.38 | A názáreti Jézust, mint kené fel őt az Isten Szent Lélekkel és hatalommal, ki széjjeljárt jót tévén és meggyógyítván mindeneket, kik az ördög hatalma alatt voltak; mert az Isten vala ő vele.
Acts.10.39 | És mi vagyunk bizonyságai mindazoknak, a miket mind a zsidóknak tartományában, mind Jeruzsálemben cselekedett; a kit megölének, fára feszítvén.
Acts.10.40 | Ezt az Isten feltámasztá harmadnapon, és megadá, hogy ő megjelenjék nyilván,
Acts.10.41 | Nem az egész népnek, hanem az Istentől eleve választott bizonyságoknak, nékünk, kik együtt ettünk és együtt ittunk ő vele, minekutána feltámadott halottaiból.
Acts.10.42 | És megparancsolta nékünk, hogy hirdessük a népnek, és tegyünk bizonyságot, hogy ő az Istentől rendelt bírája élőknek és holtaknak.
Acts.10.43 | Erről a próféták mind bizonyságot tesznek, hogy bűneinek bocsánatját veszi az ő neve által mindenki, a ki hiszen ő benne.
Acts.10.44 | Mikor még szólá Péter ez ígéket, leszálla a Szent Lélek mindazokra, a kik hallgatják vala e beszédet.
Acts.10.45 | És elálmélkodának a zsidóságból való hívek, mindazok, a kik Péterrel együtt mentek, hogy a pogányokra is kitöltetett a Szent Lélek ajándéka.
Acts.10.46 | Mert hallják vala, hogy ők nyelveken szólnak és magasztalják az Istent. Akkor felele Péter:
Acts.10.47 | Vajjon eltilthatja-é valaki a vizet, hogy ezek meg ne keresztelkedjenek, kik vették a Szent Lelket miképen mi is?
Acts.10.48 | És parancsolá, hogy keresztelkedjenek meg az Úrnak nevében. Akkor kérék őt, hogy maradjon náluk néhány napig.

Acts.11.1 | Meghallák azonban az apostolok és a Júdeában levő atyafiak, hogy a pogányok is bevették az Istennek beszédét.
Acts.11.2 | Mikor azért felment Péter Jeruzsálembe, vetekedének ő vele a zsidóságból valók,
Acts.11.3 | Mondván: Körülmetéletlen emberekhez mentél be, és együtt ettél velük.
Acts.11.4 | Elkezdvén pedig Péter, megmagyarázta nékik rendre, mondván:
Acts.11.5 | Én Joppé városában imádkozám; és láték elragadtatásban egy látást, valami alászálló edényt, mint egy nagy lepedőt, négy sarkánál fogva leeresztve az égből; és egészen hozzám szálla:
Acts.11.6 | Melyre szememet rávetve megnézém, és látám a földi négylábú állatokat, a vadakat és a csúszómászókat és az égi madarakat.
Acts.11.7 | Hallék pedig szót [is], mely ezt mondja vala nékem: Kelj fel Péter, öljed és egyél!
Acts.11.8 | Mondék azonban: Semmiképen sem, Uram; mert soha semmi közönséges vagy tisztátalan nem ment be az én számba.
Acts.11.9 | Felele pedig nékem a szózat másodszor az égből: A miket az Isten megtisztított, te ne mondd tisztátalanoknak.
Acts.11.10 | Ez pedig három ízben történt; és ismét felvonaték az egész az égbe.
Acts.11.11 | És ímé, azonnal három férfiú érkezék a házhoz, melyben valék, kik Czézáreából küldettek én hozzám.
Acts.11.12 | Mondá pedig nékem a Lélek, hogy menjek el velök minden kételkedés nélkül. Eljöve pedig velem ez a hat atyafi is; és bemenénk annak az embernek a házába:
Acts.11.13 | És elbeszélé nékünk, mimódon látta, a mint az angyal megálla az ő házában és ezt mondá néki: Küldj embereket Joppéba, és hívasd magadhoz Simont, ki Péternek neveztetik;
Acts.11.14 | Ő szólni fog hozzád olyan ígéket, melyek által megtartatol te és a te egész házadnépe.
Acts.11.15 | Mikor pedig én elkezdtem szólni, leszálla a Szent Lélek ő reájok, miképen mi reánk is kezdetben.
Acts.11.16 | Megemlékezém pedig az Úrnak ama mondásáról, a mint mondá: János ugyan vízzel keresztelt, ti azonban Szent Lélekkel fogtok megkereszteltetni.
Acts.11.17 | Ha tehát az Isten hasonló ajándékát adta nékik, mint nékünk is, kik hittünk az Úr Jézus Krisztusban, kicsoda voltam én, hogy az Istent eltilthattam volna?
