Matt.1.1 | Jézus Krisztusnak, Dávid fiának, Ábrahám fiának nemzetségéről való könyv.
Matt.8.6 | És ezt mondván: Uram, az én szolgám otthon gutaütötten fekszik, és nagy kínokat szenved.
Matt.8.7 | És monda néki Jézus: Elmegyek és meggyógyítom őt.
Matt.8.8 | És felelvén a százados, monda: Uram, nem vagyok méltó, hogy az én hajlékomba jőjj; hanem csak szólj egy szót, és meggyógyul az én szolgám.
Matt.8.9 | Mert én is hatalmasság alá vetett ember vagyok, és vannak alattam vitézek; és mondom egyiknek: Eredj el, és elmegy; és a másiknak: Jöszte, és eljő; és az én szolgámnak: Tedd ezt, és megteszi.
Matt.8.10 | Jézus pedig, a mikor ezt hallá, elcsodálkozék, és monda az őt követőknek: Bizony mondom néktek, még az Izráelben sem találtam ilyen nagy hitet.
Matt.8.11 | De mondom néktek, hogy sokan eljőnek napkeletről és napnyugatról, és letelepednek Ábrahámmal, Izsákkal és Jákóbbal a mennyek országában:
Matt.8.12 | Ez ország fiai pedig kivettetnek a külső sötétségre; holott lészen sírás és fogaknak csikorgatása.
Matt.8.13 | És monda Jézus a századosnak: Eredj el, és legyen néked a te hited szerint. És meggyógyult annak szolgája abban az órában.
Matt.8.14 | És bemenvén Jézus a Péter házába, látá, hogy annak napa fekszik és lázas.
Matt.8.15 | És illeté annak kezét, és elhagyta őt a láz; és fölkele, és szolgála nékik.
Matt.8.16 | Az est beálltával pedig vivének hozzá sok ördöngőst, és egy szóval kiűzé a tisztátalan lelkeket, és meggyógyít vala minden beteget;
Matt.8.17 | Hogy beteljesedjék, a mit Ésaiás próféta mondott, így szólván: Ő vette el a mi erőtlenségünket, és ő hordozta a mi betegségünket.
Matt.8.18 | Látván pedig Jézus a nagy sokaságot maga körül, parancsolá, hogy menjenek a túlsó partra.
Matt.8.19 | És hozzámenvén egy írástudó, monda néki: Mester, követlek téged, akárhova mégy.
Matt.8.20 | És monda néki Jézus: A rókáknak vagyon barlangjok és az égi madaraknak fészkük; de az ember Fiának nincs hová fejét lehajtani.
Matt.8.21 | Egy másik pedig az ő tanítványai közül monda néki: Uram, engedd meg nékem, hogy előbb elmenjek és eltemessem az én atyámat.
Matt.8.22 | Jézus pedig monda néki: Kövess engem, és hagyd, hogy a halottak temessék el az ő halottaikat.
Matt.8.23 | És mikor a hajóra szállt vala, követék őt az ő tanítványai.
Matt.8.24 | És ímé nagy háborgás lőn a tengeren, annyira, hogy a hajót elborítják vala a hullámok; ő pedig aluszik vala.
Matt.8.25 | És az ő tanítványai hozzámenvén, felkölték őt, mondván: Uram, ments meg minket; mert elveszünk.
Matt.8.26 | És monda nékik: Mit féltek, óh kicsinyhitűek? Ekkor fölkelvén, megdorgálá a szeleket és a tengert, és lőn nagy csendesség.
Matt.8.27 | Az emberek pedig elcsodálkozának, mondván: Kicsoda ez, hogy mind a szelek, mind a tenger engednek néki.
Matt.8.28 | És a mikor eljutott vala a túlsó partra, a Gadarénusok tartományába, két ördöngős ment eléje, a sírboltokból kijövén, igen kegyetlenek, annyira, hogy senki sem mer vala elmenni azon az úton.
Matt.8.29 | És ímé kiáltának mondván: Mi közünk te veled Jézus, Istennek fia? Azért jöttél ide, hogy idő előtt meggyötörj minket?
Matt.8.30 | Tőlük távol pedig egy nagy disznónyáj legelészik vala.
Matt.8.31 | Az ördögök pedig kérik vala őt mondván: Ha kiűzesz minket, engedd meg nékünk, hogy ama disznónyájba mehessünk!
Matt.8.32 | És monda nékik: Menjetek. Azok pedig kimenvén, menének a disznónyájba: és ímé az egész disznónyáj a meredekről a tengerbe rohana, és oda vesze a vízben.
Matt.8.33 | A pásztorok pedig elfutának, és bemenvén a városba hírré adának mindent, azokat is, a mik az ördöngősökkel történtek vala.
Matt.8.34 | És ímé az egész város kiméne Jézus elébe; és mihelyt meglátták, kérék őt, hogy távozzék az ő határukból.

Matt.9.1 | És hajóra szállva átkele, és méne a maga városába.
Matt.9.2 | És ímé hoznak vala hozzá egy ágyban fekvő gutaütött embert. És látva Jézus azoknak hitét, monda a gutaütöttnek: Bízzál fiam! Megbocsáttattak néked a te bűneid.
Matt.9.3 | És ímé némelyek az írástudók közül mondának magukban: Ez káromlást szól.
Matt.9.4 | És Jézus, látva az ő gondolataikat, monda: Miért gondoltok gonoszt a ti szívetekben?
Matt.9.5 | Mert mi könnyebb, ezt mondani-é: Megbocsáttattak néked a te bűneid; vagy ezt mondani: Kelj föl és járj?
Matt.9.6 | Hogy pedig megtudjátok, hogy az ember Fiának van hatalma a földön a bűnöket megbocsátani (ekkor monda a gutaütöttnek): Kelj föl, vedd a te ágyadat, és eredj haza.
Matt.9.7 | És az felkelvén, haza méne.
Matt.9.8 | A sokaság pedig ezt látván, elálmélkodék, és dicsőíté az Istent, hogy ilyen hatalmat adott az embereknek.
Matt.9.9 | És mikor Jézus onnét tovább méne, láta egy embert ülni a vámszedő helyen, a kinek Máté volt a neve, és monda néki: Kövess engem! És az felkelvén, követé őt.
Matt.9.10 | És lőn, a mikor ő letelepedék a házban, ímé sok vámszedő és bűnös jött oda és letelepedtek Jézussal és az ő tanítványaival az asztalhoz.
Matt.9.11 | És látva ezt a farizeusok, mondának az ő tanítványainak: Miért eszik ez a ti Mesteretek a vámszedőkkel és bűnösökkel együtt?
Matt.9.12 | Jézus pedig ezt hallván, monda nékik: Nem az egészségeseknek van szüksége orvosra, hanem a betegeknek.
Matt.9.13 | Elmenvén pedig tanuljátok meg, mi az: Irgalmasságot akarok és nem áldozatot. Mert nem az igazakat hivogatni jöttem, hanem a bűnösöket a megtérésre.
Matt.9.14 | Akkor a János tanítványai jövének hozzá, mondván: Miért hogy mi és a farizeusok sokat bőjtölünk, a te tanítványaid pedig nem bőjtölnek?
Matt.9.15 | És monda nékik Jézus: Vajjon szomorkodhatik-é a násznép a míg velök van a vőlegény? de eljőnek a napok, a mikor elvétetik tőlök a vőlegény, és akkor bőjtölni fognak.
Matt.9.16 | Senki sem vet pedig új posztóból foltot az ócska ruhára; mert a mi azt kitoldaná, még elszakít a ruhából és nagyobb szakadás lesz.
Matt.9.17 | Új bort sem töltenek ó tömlőkbe; máskülönben a tömlők szétszakadoznak, és a bor kiömöl, a tömlők is elvesznek; hanem az új bort új tömlőkbe töltik, és mindkettő megmarad.
Matt.9.18 | Mikor ezeket mondá nékik, ímé egy főember eljövén leborula előtte, mondván: Az én leányom épen most halt meg; de jer, vesd reá kezedet, és megelevenedik.
Matt.9.19 | És felkelvén Jézus követé őt tanítványaival együtt.
Matt.9.20 | És ímé, egy asszony, a ki tizenkét év óta vérfolyásban szenved vala, hozzájárulván hátulról, illeté az ő ruhájának szegélyét.
Matt.9.21 | Mert ezt mondja vala magában: Ha csak ruháját illetem is, meggyógyulok.
Matt.9.22 | Jézus pedig megfordulván és reá tekintvén, monda: Bízzál leányom; a te hited megtartott téged. És meggyógyult az asszony abban az órában.
Matt.9.23 | És Jézus a főember házához érvén, látván a sípolókat és a tolongó sokaságot,
Matt.9.24 | Monda nékik: Menjetek el innen, mert a leányzó nem halt meg, hanem aluszik. És kinevették őt.
Matt.9.25 | Mikor pedig a sokaság eltávolíttaték, bemenvén, megfogá annak kezét, és a leányzó felkelt.
Matt.9.26 | És elterjede ez a hír abban az egész tartományban.
Matt.9.27 | És mikor Jézus tovább ment onnét, két vak követé őt, kiáltozva és ezt mondva: Könyörülj rajtunk, Dávidnak fia!
Matt.9.28 | Mikor pedig beméne a házba, oda menének hozzá a vakok, és monda nékik Jézus: Hiszitek-é, hogy én azt megcselekedhetem? Mondának néki: Igen, Uram.
Matt.9.29 | Akkor illeté az ő szemeiket, mondván: Legyen néktek a ti hitetek szerint.
Matt.9.30 | És megnyilatkozának azoknak szemei; és rájok parancsola Jézus, mondván: Meglássátok, senki meg ne tudja!
Matt.9.31 | Azok pedig kimenvén, elterjeszték az ő hírét abban az egész tartományban.
Matt.9.32 | Mikor pedig azok elmentek vala, ímé egy ördöngős néma embert hozának néki.
Matt.9.33 | És az ördögöt kiűzvén, megszólalt a néma; és a sokaság csudálkozik vala, mondván: Soha nem láttak ilyet Izráelben!
Matt.9.34 | A farizeusok pedig ezt mondják vala: Az ördögök fejedelme által űzi ki az ördögöket.
Matt.9.35 | És körüljárja vala Jézus a városokat mind, és a falvakat, tanítván azoknak zsinagógáiban, és hirdetvén az Isten országának evangyéliomát, és gyógyítván mindenféle betegséget és mindenféle erőtelenséget a nép között.
Matt.9.36 | Mikor pedig látta vala a sokaságot, könyörületességre indula rajtok, mert el voltak gyötörve és szétszórva, mint a pásztor nélkül való juhok.
Matt.9.37 | Akkor monda az ő tanítványainak: Az aratni való sok, de a munkás kevés.
Matt.9.38 | Kérjétek azért az aratásnak Urát, hogy küldjön munkásokat az ő aratásába.

Matt.10.1 | És előszólítván tizenkét tanítványát, hatalmat ada nékik a tisztátalan lelkek felett, hogy kiűzzék azokat, és gyógyítsanak minden betegséget és minden erőtelenséget.
Matt.10.2 | A tizenkét apostol nevei pedig ezek: Első Simon, a kit Péternek hívnak, és András, az ő testvére; Jakab, a Zebedeus fia, és János az ő testvére;
Matt.10.3 | Filep és Bertalan; Tamás és Máté, a vámszedő; Jakab, az Alfeus fia, és Lebbeus, a kit Taddeusnak hívtak;
Matt.10.4 | Simon a kananita, és Judás, az Iskariotes, a ki el is árulta őt.
Matt.10.5 | Ezt a tizenkettőt küldé ki Jézus, és megparancsolá nékik, mondván: Pogányok útjára ne menjetek, és Samaritánusok városába ne menjetek be;
Matt.10.6 | Hanem menjetek inkább Izráel házának eltévelyedett juhaihoz.
Matt.10.7 | Elmenvén pedig prédikáljatok, mondván: Elközelített a mennyeknek országa.
Matt.10.8 | Betegeket gyógyítsatok, poklosokat tisztítsatok, halottakat támasszatok, ördögöket űzzetek. Ingyen vettétek, ingyen adjátok.
Matt.10.9 | Ne szerezzetek aranyat, se ezüstöt, se réz-pénzt a ti erszényetekbe,
Matt.10.10 | Se útitáskát, se két ruhát, se sarut, se pálczát; mert méltó a munkás az ő táplálékára.
Matt.10.11 | A mely városba vagy faluba pedig bementek, tudakozzátok meg, ki abban méltó; és ott maradjatok, a míg tovább mehettek.
Matt.10.12 | Ha pedig bementek a házba, köszöntsétek azt.
Matt.10.13 | És ha méltó a ház, szálljon a ti békességtek reá; ha pedig nem méltó, a ti békességtek rátok térjen vissza.
Matt.10.14 | És ha valaki nem fogad be titeket, és nem hallgatja a ti beszédeteket, mikor kimentek abból a házból, vagy városból, lábaitok porát is verjétek le.
Matt.10.15 | Bizony mondom néktek: Az ítélet napján könnyebb lesz a Sodoma és Gomora földjének dolga, mint annak a városnak.
Matt.10.16 | Ímé, én elbocsátlak titeket, mint juhokat a farkasok közé; legyetek azért okosak mint a kígyók, és szelidek mint a galambok.
Matt.10.17 | De óvakodjatok az emberektől; mert törvényszékekre adnak titeket és az ő gyülekezeteikben megostoroznak titeket;
Matt.10.18 | És helytartók és királyok elé visznek titeket érettem, bizonyságul ő magoknak és a pogányoknak.
Matt.10.19 | De mikor átadnak titeket, ne aggodalmaskodjatok, mi módon vagy mit szóljatok; mert megadatik néktek abban az órában, mit mondjatok.
Matt.10.20 | Mert nem ti vagytok, a kik szóltok, hanem a ti Atyátoknak Lelke az, a ki szól ti bennetek.
Matt.10.21 | Halálra adja pedig testvér testvérét, atya gyermekét; támadnak magzatok szüleik ellen, és megöletik őket.
Matt.10.22 | És gyűlöletesek lesztek, mindenki előtt az én nevemért; de a ki mindvégig megáll, az megtartatik.
Matt.10.23 | Mikor pedig abban a városban üldöznek titeket, szaladjatok a másikba. Mert bizony mondom néktek: be sem járjátok Izráel városait, míg az embernek Fia eljövend.
Matt.10.24 | Nem fölebbvaló a tanítvány a tanítónál, sem a szolga az ő uránál.
Matt.10.25 | Elég a tanítványnak, ha olyan mint a mestere, és a szolga mint az ő Ura. Ha a házigazdát Belzebubnak hívták, mennyivel inkább az ő házanépét?!
Matt.10.26 | Azért ne féljetek tőlök. Mert nincs oly rejtett dolog, a mi napfényre ne jőne; és oly titok, a mi ki ne tudódnék.
Matt.10.27 | A mit néktek a sötétben mondok, a világosságban mondjátok; és a mit fülbe súgva hallotok, a háztetőkről hirdessétek.
Matt.10.28 | És ne féljetek azoktól, a kik a testet ölik meg, a lelket pedig meg nem ölhetik; hanem attól féljetek inkább, a ki mind a lelket, mind a testet elvesztheti a gyehennában.
Matt.10.29 | Nemde, két verebecskét meg lehet venni egy kis fillérért? És egy sem esik azok közül a földre a ti Atyátok akarata nélkül!
Matt.10.30 | Néktek pedig még a fejetek hajszálai is mind számon vannak.
Matt.10.31 | Ne féljetek azért; ti sok verebecskénél drágábbak vagytok.
Matt.10.32 | Valaki azért vallást tesz én rólam az emberek előtt, én is vallást teszek arról az én mennyei Atyám előtt;
Matt.10.33 | A ki pedig megtagad engem az emberek előtt, én is megtagadom azt az én mennyei Atyám előtt.
Matt.10.34 | Ne gondoljátok, hogy azért jöttem, hogy békességet bocsássak e földre; nem azért jöttem, hogy békességet bocsássak, hanem hogy fegyvert.
Matt.10.35 | Mert azért jöttem, hogy meghasonlást támaszszak az ember és az ő atyja, a leány és az ő anyja, a meny és az ő napa közt;
Matt.10.36 | És hogy az embernek ellensége legyen az ő házanépe.
Matt.10.37 | A ki inkább szereti atyját és anyját, hogynem engemet, nem méltó én hozzám; és a ki inkább szereti fiát és leányát, hogynem engemet, nem méltó én hozzám.
Matt.10.38 | És a ki föl nem veszi az ő keresztjét és úgy nem követ engem, nem méltó én hozzám.
Matt.10.39 | A ki megtalálja az ő életét, elveszti azt; és a ki elveszti az ő életét én érettem, megtalálja azt.
Matt.10.40 | A ki titeket befogad, engem fogad be; és a ki engem befogad, azt fogadja be, a ki engem küldött.
Matt.10.41 | A ki befogadja a prófétát próféta nevében, prófétának jutalmát veszi; és a ki befogadja az igazat igaznak nevében, igaznak jutalmát veszi;
Matt.10.42 | És a ki inni ád egynek e kicsinyek közül, csak egy pohár hideg vizet tanítvány nevében, bizony mondom néktek, el nem vesztheti jutalmát.

Matt.11.1 | És lőn, mikor elvégezé Jézus a tizenkét tanítványának adott utasítást, elméne onnan, hogy tanítson és prédikáljon azoknak városaiban.
Matt.11.2 | János pedig, mikor meghallotta a fogságban a Krisztus cselekedeteit, elküldvén kettőt az ő tanítványai közül,
Matt.11.3 | Monda néki: Te vagy-é az, a ki eljövendő, vagy mást várjunk?
Matt.11.4 | És felelvén Jézus, monda nékik: Menjetek el és jelentsétek Jánosnak, a miket hallotok és láttok:
Matt.11.5 | A vakok látnak, és a sánták járnak; a poklosok megtisztulnak és a siketek hallanak; a halottak föltámadnak, és a szegényeknek evangyéliom hirdettetik;
Matt.11.6 | És boldog, a ki én bennem meg nem botránkozik.
Matt.11.7 | Mikor pedig azok elmentek vala, szólni kezde Jézus a sokaságnak Jánosról: Mit látni mentetek ki a pusztába? Nádszálat-é, a mit a szél hajtogat?
Matt.11.8 | Hát mit látni mentetek ki? Puha ruhába öltözött embert-é? Ímé a kik puha ruhákat viselnek, a királyok palotáiban vannak.
Matt.11.9 | Hát mit látni mentetek ki? Prófétát-é? Bizony, mondom néktek, prófétánál is nagyobbat!
Matt.11.10 | Mert ő az, a kiről meg van írva: Ímé én elküldöm az én követemet a te orczád előtt, a ki megkészíti előtted a te útadat.
Matt.11.11 | Bizony mondom néktek: az asszonyoktól szülöttek között nem támadott nagyobb Keresztelő Jánosnál; de a ki legkisebb a mennyeknek országában, nagyobb nálánál.
Matt.11.12 | A Keresztelő János idejétől fogva pedig mind mostanig erőszakoskodnak a mennyek országáért, és az erőszakoskodók ragadják el azt.
Matt.11.13 | Mert a próféták mindnyájan és a törvény Jánosig prófétáltak vala.
Matt.11.14 | És, ha be akarjátok venni, Illés ő, a ki eljövendő vala.
Matt.11.15 | A kinek van füle a hallásra, hallja.
Matt.11.16 | De kihez hasonlítsam ezt a nemzetséget? Hasonlatos a gyermekekhez, a kik a piaczon ülnek, és kiáltoznak az ő társaiknak,
Matt.11.17 | És ezt mondják: Sípoltunk néktek, és nem tánczoltatok; siralmas énekeket énekeltünk néktek, és nem sírtatok.
Matt.11.18 | Mert eljött János, a ki sem eszik, sem iszik, és azt mondják: Ördög van benne.
Matt.11.19 | Eljött az embernek Fia, a ki eszik és iszik, és ezt mondják: Ímé a nagy étü és részeges ember, a vámszedők és bűnösök barátja! És igazoltaték a bölcseség az ő fiaitól.
Matt.11.20 | Ekkor elkezdé szemökre hányni ama városoknak, a melyekben legtöbb csodái lőnek, hogy nem tértek vala meg:
Matt.11.21 | Jaj néked Korazin! Jaj néked Bethsaida! Mert ha Tirusban és Sidonban történnek vala azok a csodák, a melyek bennetek lőnek, rég megtértek volna gyászruhában és hamuban.
Matt.11.22 | De mondom néktek: Tirusnak és Sidonnak könnyebb dolga lesz az ítélet napján, hogynem néktek.
Matt.11.23 | Te is Kapernaum, a ki az égig felmagasztaltattál, a pokolig fogsz megaláztatni; mert ha Sodomában történnek vala azok a csodák, a melyek te benned lőnek, mind e mai napig megmaradt volna.
Matt.11.24 | De mondom néktek, hogy Sodoma földének könnyebb dolga lesz az ítélet napján, hogynem néked.
Matt.11.25 | Abban az időben szólván Jézus, monda: Hálákat adok néked, Atyám, mennynek és földnek Ura, hogy elrejtetted ezeket a bölcsek és az értelmesek elől, és a kisdedeknek megjelentetted.
Matt.11.26 | Igen, Atyám, mert így volt kedves te előtted.
Matt.11.27 | Mindent nékem adott át az én Atyám, és senki sem ismeri a Fiút, csak az Atya; az Atyát sem ismeri senki, csak a Fiú, és a kinek a Fiú akarja megjelenteni.
Matt.11.28 | Jőjjetek én hozzám mindnyájan, a kik megfáradtatok és megterheltettetek, és én megnyugosztlak titeket.
Matt.11.29 | Vegyétek föl magatokra az én igámat, és tanuljátok meg tőlem, hogy én szelid és alázatos szívű vagyok: és nyugalmat találtok a ti lelkeiteknek.
Matt.11.30 | Mert az én igám gyönyörűséges, és az én terhem könnyű.

Matt.12.1 | Abban az időben a vetéseken át haladt Jézus szombatnapon; tanítványai pedig megéheztek, és kezdték a kalászokat tépni és enni.
Matt.12.2 | Látván pedig ezt a farizeusok, mondának néki: Ímé a te tanítványaid azt cselekszik, a mit nem szabad szombatnapon cselekedni.
Matt.12.3 | Ő pedig monda nékik: Nem olvastátok-é, mit cselekedett Dávid, mikor megéhezett vala ő és a kik vele valának?
Matt.12.4 | Hogyan ment be az Isten házába, és ette meg a szentelt kenyereket, a melyeket nem vala szabad megennie néki, sem azoknak, a kik ő vele valának, hanem csak a papoknak?
Matt.12.5 | Vagy nem olvastátok-é a törvényben, hogy szombatnapon megtörik a papok a szombatot a templomban és nem vétkeznek?
Matt.12.6 | Mondom pedig néktek, hogy a templomnál nagyobb van itt.
Matt.12.7 | Ha pedig tudnátok, mi ez: Irgalmasságot akarok és nem áldozatot, nem kárhoztattátok volna az ártatlanokat.
Matt.12.8 | Mert a szombatnak is Ura az embernek Fia.
Matt.12.9 | És távozván onnan, méne az ő zsinagógájukba.
Matt.12.10 | És ímé, vala ott egy elszáradt kezű ember. És megkérdék őt, mondván: Ha szabad-é szombatnapon gyógyítani? hogy vádolhassák őt.
Matt.12.11 | Ő pedig monda nékik: Kicsoda közületek az az ember, a kinek van egy juha, és ha az szombatnapon a verembe esik, meg nem ragadja és ki nem vonja azt?
Matt.12.12 | Mennyivel drágább pedig az ember a juhnál! Szabad tehát szombatnapon jót cselekedni.
Matt.12.13 | Akkor monda annak az embernek: Nyújtsd ki a kezedet. És kinyújtá, és olyan éppé lőn, mint a másik.
Matt.12.14 | A farizeusok pedig kimenvén, tanácsot tartának ellene, hogyan veszíthetnék el őt.
Matt.12.15 | Jézus pedig észrevévén ezt, eltávozék onnan. És követé őt nagy sokaság, és ő meggyógyítja vala mindnyájokat;
Matt.12.16 | És megfenyegeté őket, hogy őt ismertté ne tegyék;
Matt.12.17 | Hogy beteljesedjék Ésaiás próféta mondása, a ki így szólt:
Matt.12.18 | Ímé az én szolgám, a kit választottam; az én szerelmesem, a kiben az én lelkem kedvét lelé; lelkemet adom ő belé, és ítéletet hirdet a pogányoknak.
Matt.12.19 | Nem verseng, és nem kiált; az utczákon senki nem hallja szavát.
Matt.12.20 | A megrepedezett nádat nem töri el, és a pislogó gyertyabelet nem oltja ki, mígnem diadalomra viszi az ítéletet.
Matt.12.21 | És az ő nevében reménykednek majd a pogányok.
Matt.12.22 | Akkor egy vak és néma ördöngőst hoztak ő eléje; és meggyógyítá azt, annyira, hogy a vak és néma mind beszél, mind lát vala.
Matt.12.23 | És elálmélkodék az egész sokaság, és monda: Vajjon nem ez-é Dávidnak ama Fia?
Matt.12.24 | A farizeusok pedig ezt hallván, mondának: Ez nem űzi ki az ördögöket, hanemha Belzebubbal, az ördögök fejedelmével.
Matt.12.25 | Jézus pedig, tudva az ő gondolataikat, monda nékik: Minden ország, a mely magával meghasonlik, elpusztul; és egy város vagy háznép sem állhat meg, a mely meghasonlik magával.
Matt.12.26 | Ha pedig a Sátán a Sátánt űzi ki, önmagával hasonlott meg; mimódon állhat meg tehát az ő országa?
Matt.12.27 | És ha én Belzebub által űzöm ki az ördögöket, a ti fiaitok ki által űzik ki? Azért ők magok lesznek a ti bíráitok.
Matt.12.28 | Ha pedig én Istennek Lelke által űzöm ki az ördögöket, akkor kétség nélkül elérkezett hozzátok az Isten országa.
Matt.12.29 | Avagy mi módon mehet be valaki a hatalmasnak házába és rabolhatja el annak kincseit, hanemha megkötözi előbb a hatalmast és akkor rabolja ki annak házát?
Matt.12.30 | A ki velem nincsen, ellenem van; és a ki velem nem gyűjt, tékozol.
Matt.12.31 | Azt mondom azért néktek: Minden bűn és káromlás megbocsáttatik az embereknek; de a Lélek káromlása nem bocsáttatik meg az embereknek.
Matt.12.32 | Még a ki az ember Fia ellen szól, annak is megbocsáttatik; de a ki a Szent Lélek ellen szól, annak sem ezen, sem a más világon meg nem bocsáttatik.
Matt.12.33 | Vagy legyetek jó fák, és teremjetek jó gyümölcsöt, vagy legyetek romlott fák, és teremjetek romlott gyümölcsöt; mert gyümölcséről ismerik meg a fát.
Matt.12.34 | Mérges kígyóknak fajzatai, mi módon szólhattok jókat, holott gonoszak vagytok? Mert a szívnek teljességéből szól a száj.
Matt.12.35 | A jó ember az ő szívének jó kincseiből hozza elő a jókat; és a gonosz ember az ő szívének gonosz kincseiből hozza elő a gonoszokat.
Matt.12.36 | De mondom néktek: Minden hivalkodó beszédért, a mit beszélnek az emberek, számot adnak majd az ítélet napján.
Matt.12.37 | Mert a te beszédidből ismertetel igaznak, és a te beszédidből ismertetel hamisnak.
Matt.12.38 | Ekkor felelének néki némelyek az írástudók és farizeusok közül, mondván: Mester, jelt akarnánk látni te tőled.
Matt.12.39 | Ő pedig felelvén, monda nékik: E gonosz és parázna nemzetség jelt kiván; és nem adatik jel néki, hanemha Jónás prófétának jele.
Matt.12.40 | Mert a miképen Jónás három éjjel és három nap volt a czethal gyomrában, azonképen az embernek Fia is három nap és három éjjel lesz a föld gyomrában.
Matt.12.41 | Ninive férfiai az ítéletkor együtt támadnak majd fel ezzel a nemzetséggel, és kárhoztatják ezt: mivelhogy ők megtértek a Jónás prédikálására; és ímé nagyobb van itt Jónásnál.
Matt.12.42 | Délnek királyné asszonya felkél majd az ítéletkor e nemzetséggel együtt, és kárhoztatja ezt: mert ő eljött a földnek széléről, hogy hallhassa a Salamon bölcseségét; és ímé, nagyobb van itt Salamonnál.
Matt.12.43 | Mikor pedig a tisztátalan lélek kimegy az emberből, víz nélkül való helyeken jár, nyugalmat keresve, és nem talál:
Matt.12.44 | Akkor ezt mondja: Visszatérek az én házamba, a honnét kijöttem. És oda menvén, üresen, kisöpörve és fölékesítve találja azt.
Matt.12.45 | Akkor elmegy és vesz maga mellé más hét lelket, gonoszabbakat ő magánál, és bemenvén, ott lakoznak; és ennek az embernek utolsó állapotja gonoszabb lesz az elsőnél. Így lesz ezzel a gonosz nemzetséggel is.
Matt.12.46 | Mikor pedig még szóla a sokaságnak, ímé az ő anyja és az ő testvérei állanak vala odakünn, akarván ő vele szólni.
Matt.12.47 | És monda néki valaki: Ímé a te anyád és testvéreid odakünn állanak, és szólni akarnak veled.
Matt.12.48 | Ő pedig felelvén, monda a hozzá szólónak: Kicsoda az én anyám; és kik az én testvéreim?
Matt.12.49 | És kinyujtván kezét az ő tanítványaira, monda: Ímé az én anyám és az én testvéreim!
Matt.12.50 | Mert a ki cselekszi az én mennyei Atyám akaratát, az nékem fitestvérem, nőtestvérem és anyám.

Matt.13.1 | Azon a napon kimenvén Jézus a házból, leüle a tenger mellett.
Matt.13.2 | És nagy sokaság gyülekezék ő hozzá, annyira, hogy ő a hajóba méne leülni; az egész sokaság pedig a parton áll vala.
Matt.13.3 | És sokat beszéle nékik példázatokban, mondván: Ímé kiméne a magvető vetni,
Matt.13.4 | És a mikor ő vet vala, némely mag az útfélre esék; és eljövén a madarak, elkapdosák azt.
Matt.13.5 | Némely pedig a köves helyre esék, a hol nem sok földje vala; és hamar kikele, mivelhogy nem vala mélyen a földben.
Matt.13.6 | De mikor a nap felkelt, elsüle; és mivelhogy gyökere nem vala, elszáradott.
Matt.13.7 | Némely pedig a tövisek közé esék, és a tövisek felnevekedvén, megfojták azt.
Matt.13.8 | Némely pedig a jó földbe esék, és gyümölcsöt terme, némely száz annyit, némely hatvan annyit, némely pedig harmincz annyit.
Matt.13.9 | A kinek van füle a hallásra, hallja.
Matt.13.10 | A tanítványok pedig hozzámenvén, mondának néki: Miért szólasz nékik példázatokban?
Matt.13.11 | Ő pedig felelvén, monda nékik: Mert néktek megadatott, hogy érthessétek a mennyek országának titkait, ezeknek pedig nem adatott meg.
Matt.13.12 | Mert a kinek van, annak adatik, és bővölködik; de a kinek nincs, az is elvétetik tőle, a mije van.
Matt.13.13 | Azért szólok velök példázatokban, mert látván nem látnak, és hallván nem hallanak, sem nem értenek.
Matt.13.14 | És beteljesedék rajtok Ésaiás jövendölése, a mely ezt mondja: Hallván halljatok, és ne értsetek; és látván lássatok, és ne ismerjetek:
Matt.13.15 | Mert megkövéredett e népnek szíve, és füleikkel nehezen hallottak, és szemeiket behunyták; hogy valami módon ne lássanak szemeikkel, és ne halljanak füleikkel, és ne értsenek szívükkel, és meg ne térjenek, és meg ne gyógyítsam őket.
Matt.13.16 | A ti szemeitek pedig boldogok, hogy látnak; és a ti füleitek, hogy hallanak.
Matt.13.17 | Mert bizony mondom néktek, hogy sok próféta és igaz kívánta látni, a miket ti láttok, és nem látták; és hallani, a miket ti hallotok, és nem hallották.
Matt.13.18 | Ti halljátok meg azért a magvető példázatát.
Matt.13.19 | Ha valaki hallja az ígét a mennyeknek országáról és nem érti, eljő a gonosz és elkapja azt, a mi annak szívébe vettetett vala. Ez az, a mely az útfélre esett.
Matt.13.20 | A mely pedig a köves helyre esett, ez az, a ki hallja az ígét, és mindjárt örömmel fogadja;
Matt.13.21 | De nincs gyökere benne, hanem csak ideig való; mihelyt pedig nyomorgatás vagy üldözés támad az íge miatt, azonnal megbotránkozik.
Matt.13.22 | A mely pedig a tövisek közé esett, ez az, a ki hallja az ígét, de e világnak gondja és a gazdagságnak csalárdsága elfojtja az ígét, és gyümölcsöt nem terem.
Matt.13.23 | A mely pedig a jó földbe esett, ez az, a ki hallja és érti az ígét; a ki gyümölcsöt is terem, és terem némely száz annyit, némely hatvan annyit, némely pedig harmincz annyit.
Matt.13.24 | Más példázatot is adott eléjök, mondván: Hasonlatos a mennyeknek országa az emberhez, a ki az ő földébe jó magot vetett;
Matt.13.25 | De mikor az emberek alusznak vala, eljöve az ő ellensége és konkolyt vete a búza közé, és elméne.
Matt.13.26 | Mikor pedig felnevekedék a vetés, és gyümölcsöt terme, akkor meglátszék a konkoly is.
