1Cor.1.1 | Pál, Jézus Krisztusnak Isten akaratából elhívott apostola, és Sosthenes, az atyafi.
1Cor.9.22 | Az erőtleneknek erőtelenné lettem, hogy az erőteleneket megnyerjem. Mindeneknek mindenné lettem, hogy minden módon megtartsak némelyeket.
1Cor.9.23 | Ezt pedig az evangyéliomért mívelem, hogy részestárs legyek abban.
1Cor.9.24 | Nem tudjátok-é, hogy a kik versenypályán futnak, mindnyájan futnak ugyan, de egy veszi el a jutalmat? Úgy fussatok, hogy elvegyétek.
1Cor.9.25 | Mindaz pedig a ki pályafutásban tusakodik, mindenben magatűrtető; azok ugyan, hogy romlandó koszorút nyerjenek, mi pedig romolhatatlant.
1Cor.9.26 | Én azért úgy futok, mint nem bizonytalanra; úgy viaskodom, mint a ki nem levegőt vagdos;
1Cor.9.27 | Hanem megsanyargatom testemet és szolgává teszem; hogy míg másoknak prédikálok, magam valami módon méltatlanná ne legyek.

1Cor.10.1 | Nem akarom pedig, hogy ne tudjátok, atyámfiai, hogy a mi atyáink mindnyájan a felhő alatt voltak, és mindnyájan a tengeren mentek által;
1Cor.10.2 | És mindnyájan Mózesre keresztelkedtek meg a felhőben és a tengerben;
1Cor.10.3 | És mindnyájan egy lelki eledelt ettek;
1Cor.10.4 | És mindnyájan egy lelki italt ittak, mert ittak a lelki kősziklából, a mely követi vala őket, e kőszikla pedig a Krisztus volt.
1Cor.10.5 | De azoknak többségét nem kedvelé az Isten, mert elhullának a pusztában.
1Cor.10.6 | Ezek pedig példáink lőnek, hogy mi ne kívánjunk gonosz dolgokat, a miképen azok kívántak.
1Cor.10.7 | Se bálványimádók ne legyetek, mint azok közül némelyek, a mint meg van írva: Leüle a nép enni és inni, és felkelének játszani.
1Cor.10.8 | Se pedig ne paráználkodjunk mint azok közül paráználkodtak némelyek, és elestek egy napon huszonháromezeren.
1Cor.10.9 | Se a Krisztust ne kísértsük, a mint közülök kísértették némelyek, és elveszének a kígyók miatt.
1Cor.10.10 | Se pedig ne zúgolódjatok, miképen ő közülök zúgolódának némelyek, és elveszének a pusztító által.
1Cor.10.11 | Mindezek pedig példaképen estek rajtok; megírattak pedig a mi tanulságunkra, a kikhez az időknek vége elérkezett.
1Cor.10.12 | Azért a ki azt hiszi, hogy áll, meglássa, hogy el ne essék.
1Cor.10.13 | Nem egyéb, hanem csak emberi kísértés esett rajtatok: de hű az Isten, a ki nem hágy titeket feljebb kísértetni, mint elszenvedhetitek; sőt a kísértéssel egyetemben a kimenekedést is megadja majd, hogy elszenvedhessétek.
1Cor.10.14 | Azért szerelmeseim, kerüljétek a bálványimádást.
1Cor.10.15 | Mint okosokhoz szólok, ítéljétek meg ti, a mit mondok.
1Cor.10.16 | A hálaadásnak pohara, a melyet megáldunk, nem a Krisztus vérével való közösségünk-é? A kenyér, a melyet megszegünk, nem a Krisztus testével való közösségünk-é?
1Cor.10.17 | Mert egy a kenyér, egy test vagyunk sokan; mert mindnyájan az egy kenyérből részesedünk.
1Cor.10.18 | Tekintsétek meg a test szerint való Izráelt! A kik az áldozatokat eszik, avagy nincsenek-é közösségben az oltárral?
1Cor.10.19 | Mit mondok tehát? Hogy a bálvány valami, vagy hogy a bálványáldozat valami?
1Cor.10.20 | Sőt, hogy a mit a pogányok áldoznak, ördögöknek áldozzák és nem Istennek; nem akarom pedig, hogy ti az ördögökkel legyetek közösségben.
1Cor.10.21 | Nem ihatjátok az Úr poharát és az ördögök poharát; nem lehettek az Úr asztalának és az ördögök asztalának részesei.
1Cor.10.22 | Vagy haragra ingereljük az Urat? avagy erősebbek vagyunk-é nálánál?
1Cor.10.23 | Minden szabad nékem, de nem minden használ; minden szabad nékem, de nem minden épít.
1Cor.10.24 | Senki ne keresse, a mi az övé, hanem kiki azt, a mi a másé.
1Cor.10.25 | Mindent, a mit a mészárszékben árulnak, megegyetek, semmit sem tudakozódván a lelkiismeret miatt.
1Cor.10.26 | Mert az Úré a föld és annak teljessége.
1Cor.10.27 | Ha pedig valaki meghív titeket a hitetlenek közül és el akartok menni, mindent, a mit elétek hoznak, megegyetek, semmit sem tudakozódván a lelkiismeret miatt.
1Cor.10.28 | De ha valaki ezt mondja néktek: Ez bálványáldozati hús, ne egyétek meg a miatt, a ki megjelentette, és a lelkiismeretért; mert az Úré a föld és annak teljessége.
1Cor.10.29 | De nem a tulajdon lelkiismeretet értem, hanem a másikét. Mert miért kárhoztassa az én szabadságomat a más lelkiismerete?
1Cor.10.30 | Ha pedig én hálaadással veszek részt, miért káromoltatom azért, a miért én hálákat adok?
1Cor.10.31 | Azért akár esztek, akár isztok, akármit cselekesztek, mindent az Isten dicsőségére míveljetek.
1Cor.10.32 | Meg ne botránkoztassátok se a zsidókat, se a görögöket, se az Isten gyülekezetét.
1Cor.10.33 | Miképen én is mindenkinek mindenben kedvében járok, nem keresvén a magam hasznát, hanem a sokaságét, hogy megtartassanak.

1Cor.11.1 | Legyetek az én követőim, mint én is a Krisztusé.
1Cor.11.2 | Dícsérlek pedig titeket atyámfiai, hogy én rólam mindenben megemlékeztek, és a miképen meghagytam néktek, rendeléseimet megtartjátok.
1Cor.11.3 | Akarom pedig, hogy tudjátok, hogy minden férfiúnak feje a Krisztus; az asszonynak feje pedig a férfiú; a Krisztusnak feje pedig az Isten.
1Cor.11.4 | Minden férfiú, a ki befedett fővel imádkozik avagy prófétál, megcsúfolja az ő fejét.
1Cor.11.5 | Minden asszony pedig, a ki befedetlen fővel imádkozik avagy prófétál, megcsúfolja az ő fejét, mert egy és ugyanaz, mintha megnyiretett volna.
1Cor.11.6 | Mert ha az asszony nem fedi be fejét, nyiretkezzék is meg, hogy ha pedig éktelen dolog asszonynak megnyiretkezni, vagy megberetváltatni, fedezze be az ő fejét.
1Cor.11.7 | Mert a férfiúnak nem kell befednie az ő fejét, mivel ő az Istennek képe és dicsősége; de az asszony a férfiú dicsősége.
1Cor.11.8 | Mert nem a férfiú van az asszonyból, hanem az asszony a férfiúból.
1Cor.11.9 | Mert nem is a férfiú teremtetett az asszonyért, hanem az asszony a férfiúért.
1Cor.11.10 | Ezért kell az asszonynak hatalmi [jelt] viselni a fején az angyalok miatt.
1Cor.11.11 | Mindazáltal sem férfiú nincs asszony nélkül, sem asszony férfiú nélkül az Úrban.
1Cor.11.12 | Mert a miképen az asszony a férfiúból van, azonképen a férfiú is az asszony által, az egész pedig az Istentől.
1Cor.11.13 | Magatokban ítéljétek meg: illendő dolog-é asszonynak fedetlen fővel imádni az Istent?
1Cor.11.14 | Avagy maga a természet is nem arra tanít-é titeket, hogy ha a férfiú nagy hajat visel, csúfsága az néki?
1Cor.11.15 | Az asszonynak pedig, ha nagy haja van, ékesség az néki; mert a haj fátyol gyanánt adatott néki.
1Cor.11.16 | Ha pedig valakinek tetszik versengeni, nekünk olyan szokásunk nincsen, sem az Isten gyülekezeteinek.
1Cor.11.17 | Ezt pedig tudtotokra adván, nem dícsérlek, hogy nem haszonnal, hanem kárral gyűltök egybe.
1Cor.11.18 | Mert először is, mikor egybegyűltök a gyülekezetben, hallom, hogy szakadások vannak köztetek; és valami részben hiszem is.
1Cor.11.19 | Mert szükség, hogy szakadások is legyenek köztetek, hogy a kipróbáltak nyilvánvalókká legyenek ti köztetek.
1Cor.11.20 | Mikor tehát egybegyűltök egyazon helyre, nincs úrvacsorájával való élés:
1Cor.11.21 | Mert kiki az ő saját vacsoráját veszi elő az evésnél; és némely éhezik, némely pedig dőzsöl.
1Cor.11.22 | Hát nincsenek-é házaitok az evésre és ivásra? Avagy az Isten gyülekezetét vetitek-é meg, és azokat szégyenítitek-é meg, a kiknek nincsen? Mit mondjak néktek? Dícsérjelek-é titeket ebben? Nem dícsérlek.
1Cor.11.23 | Mert én az Úrtól vettem, a mit néktek előtökbe is adtam: hogy az Úr Jézus azon az éjszakán, melyen elárultaték, vette a kenyeret,
1Cor.11.24 | És hálákat adván, megtörte és ezt mondotta: Vegyétek, egyétek! Ez az én testem, mely ti érettetek megtöretik; ezt cselekedjétek az én emlékezetemre.
1Cor.11.25 | Hasonlatosképen a pohárt is vette, minekutána vacsorált volna, ezt mondván: E pohár amaz új testamentom az én vérem által; ezt cselekedjétek, valamennyiszer isszátok az én emlékezetemre.
1Cor.11.26 | Mert valamennyiszer eszitek e kenyeret és isszátok e pohárt, az Úrnak halálát hirdessétek, a míg eljövend.
1Cor.11.27 | Azért a ki méltatlanul eszi e kenyeret, vagy issza az Úrnak poharát, vétkezik az Úr teste és vére ellen.
1Cor.11.28 | Próbálja meg azért az ember magát, és úgy egyék abból a kenyérből, és úgy igyék abból a pohárból,
1Cor.11.29 | Mert a ki méltatlanul eszik és iszik, ítéletet eszik és iszik magának, mivelhogy nem becsüli meg az Úrnak testét.
1Cor.11.30 | Ezért van ti köztetek sok erőtlen és beteg, és alusznak sokan.
1Cor.11.31 | Mert ha mi ítélnők magunkat, nem ítéltetnénk el.
1Cor.11.32 | De mikor ítéltetünk, az Úrtól taníttatunk, hogy a világgal együtt el ne kárhoztassunk.
1Cor.11.33 | Azért atyámfiai, mikor egybegyűltök az evésre, egymást megvárjátok.
1Cor.11.34 | Ha pedig valaki éhezik, otthon egyék, hogy ítéletre ne gyűljetek egybe. A többire nézve, majd ha hozzátok megyek, rendelkezem.

1Cor.12.1 | A lelki [ajándékokra] nézve pedig nem akarom, atyámfiai, hogy tudatlanok legyetek.
1Cor.12.2 | Tudjátok, hogy pogányok voltatok, vitetvén, a mint vitettetek, a néma bálványokhoz.
1Cor.12.3 | Azért tudtotokra adom néktek, hogy senki, a ki Istennek Lelke által szól, nem mondja Jézust átkozottnak; és senki sem mondhatja Úrnak Jézust, hanem csak a Szent Lélek által.
1Cor.12.4 | A kegyelmi ajándékokban pedig különbség van, de ugyanaz a Lélek.
1Cor.12.5 | A szolgálatokban is különbség van, de ugyanaz az Úr.
1Cor.12.6 | És különbség van a cselekedetekben is, de ugyanaz az Isten, a ki cselekszi mindezt mindenkiben.
1Cor.12.7 | Mindenkinek azonban haszonra adatik a Léleknek kijelentése.
1Cor.12.8 | Némelyiknek ugyanis bölcseségnek beszéde adatik a Lélek által; másiknak pedig tudománynak beszéde ugyanazon Lélek szerint;
1Cor.12.9 | Egynek hit ugyanazon Lélek által; másnak pedig gyógyítás ajándékai azon egy Lélek által;
1Cor.12.10 | Némelyiknek csodatévő erőknek munkái; némelyiknek meg prófétálás; némelyiknek pedig lelkeknek megítélése; másiknak nyelvek nemei; másnak pedig nyelvek magyarázása;
1Cor.12.11 | De mindezeket egy és ugyanaz a Lélek cselekszi, osztogatván mindenkinek külön, a mint akarja.
1Cor.12.12 | Mert a miképen a test egy és sok tagja van, az egy testnek tagjai pedig, noha sokan vannak, mind egy test, azonképen a Krisztus is.
1Cor.12.13 | Mert hiszen egy Lélek által mi mindnyájan egy testté kereszteltettünk meg, akár zsidók, akár görögök, akár szolgák, akár szabadok; és mindnyájan egy Lélekkel itattattunk meg.
1Cor.12.14 | Mert a test sem egy tag, hanem sok.
1Cor.12.15 | Ha ezt mondaná a láb: mivelhogy nem kéz vagyok, nem vagyok a testből való; avagy nem a testből való-é azért?
1Cor.12.16 | És ha a fül ezt mondaná: mivelhogy nem vagyok szem, nem vagyok a testből való; avagy nem a testből való-é azért?
1Cor.12.17 | Ha az egész test szem, hol a hallás? ha az egész hallás, hol a szaglás?
1Cor.12.18 | Most pedig az Isten elhelyezte a tagokat a testben egyenként mindeniket, a mint akarta.
1Cor.12.19 | Ha pedig az egész egy tag volna hol volna a test?
1Cor.12.20 | Így azonban sok tag [van] ugyan, de egy test.
1Cor.12.21 | Nem mondhatja pedig a szem a kéznek: Nincs rád szükségem; vagy viszont a fej a lábaknak: Nem kelletek nékem.
1Cor.12.22 | Sőt sokkal inkább, a melyek a test legerőtelenebb tagjainak látszanak, azok igen szükségesek:
1Cor.12.23 | És a melyeket a test tisztességtelenebb tagjainak tartunk, azoknak nagyobb tisztességet tulajdonítunk; és a melyek éktelenek bennünk, azok nagyobb ékességben részesülnek;
1Cor.12.24 | A melyek pedig ékesek bennünk, azoknak nincs erre szükségök. De az Isten szerkeszté egybe a testet, az alábbvalónak nagyobb tisztességet adván,
1Cor.12.25 | Hogy ne legyen hasonlás a testben, hanem ugyanarról gondoskodjanak egymásért a tagok.
1Cor.12.26 | És akár szenved egy tag, vele együtt szenvednek a tagok mind; akár tisztességgel illettetik egy tag, vele együtt örülnek a tagok mind.
1Cor.12.27 | Ti pedig a Krisztus teste vagytok, és tagjai rész szerint.
1Cor.12.28 | És pedig némelyeket rendelt az Isten az anyaszentegyházban először apostolokul, másodszor prófétákul, harmadszor tanítókul; azután csodatévő erőket, aztán gyógyításnak ajándékait, gyámolokat, kormányokat, nyelvek nemeit.
1Cor.12.29 | Avagy mindnyájan apostolok-é? Vagy mindnyájan próféták-é? Avagy mindnyájan tanítók-é? Vagy mindnyájan csodatévő erők-é?
1Cor.12.30 | Avagy mindnyájoknak van-é gyógyításra való ajándéka? Vagy mindnyájan szólnak-é nyelveken? Vagy mindnyájan magyaráznak-é?
1Cor.12.31 | Igyekezzetek pedig a hasznosabb ajándékokra. És ezenfelül még egy kiváltképen való útat mutatok néktek.

1Cor.13.1 | Ha embereknek vagy angyaloknak nyelvén szólok is, szeretet pedig nincsen én bennem, olyanná lettem, mint a zengő ércz vagy pengő czimbalom.
1Cor.13.2 | És ha jövendőt tudok is mondani, és minden titkot és minden tudományt ismerek is; és ha egész hitem van is, úgyannyira, hogy hegyeket mozdíthatok ki helyökről, szeretet pedig nincsen én bennem, semmi vagyok.
1Cor.13.3 | És ha vagyonomat mind felétetem is, és ha testemet tűzre adom is, szeretet pedig nincsen én bennem, semmi hasznom abból.
1Cor.13.4 | A szeretet hosszútűrő, kegyes; a szeretet nem irígykedik, a szeretet nem kérkedik, nem fuvalkodik fel.
1Cor.13.5 | Nem cselekszik éktelenül, nem keresi a maga hasznát, nem gerjed haragra, nem rójja fel a gonoszt,
1Cor.13.6 | Nem örül a hamisságnak, de együtt örül az igazsággal;
1Cor.13.7 | Mindent elfedez, mindent hiszen, mindent remél, mindent eltűr.
1Cor.13.8 | A szeretet soha el nem fogy: de legyenek bár jövendőmondások, eltöröltetnek; vagy akár nyelvek, megszünnek; vagy akár ismeret, eltöröltetik.
1Cor.13.9 | Mert rész szerint van bennünk az ismeret, rész szerint a prófétálás:
1Cor.13.10 | De mikor eljő a teljesség, a rész szerint való eltöröltetik.
1Cor.13.11 | Mikor gyermek valék, úgy szóltam, mint gyermek, úgy gondolkodtam, mint gyermek, úgy értettem, mint gyermek: minekutána pedig férfiúvá lettem, elhagytam a gyermekhez illő dolgokat.
1Cor.13.12 | Mert most tükör által homályosan látunk, akkor pedig színről-színre; most rész szerint van bennem az ismeret, akkor pedig úgy ismerek majd, a mint én is megismertettem.
1Cor.13.13 | Most azért megmarad a hit, remény, szeretet, e három; ezek között pedig legnagyobb a szeretet.

1Cor.14.1 | Kövessétek a szeretetet, kívánjátok a lelki [ajándékokat,] leginkább pedig, hogy prófétáljatok.
1Cor.14.2 | Mert a ki nyelveken szól, nem embereknek szól, hanem az Istennek; mert senki sem érti, hanem lélekben beszél titkos dolgokat.
1Cor.14.3 | A ki pedig prófétál, embereknek beszél épülésre, intésre és vígasztalásra.
1Cor.14.4 | A ki nyelveken szól, magát építi; de a ki prófétál, a gyülekezetet építi.
1Cor.14.5 | Szeretném ugyan, ha mindnyájan szólnátok nyelveken, de inkább, hogy prófétálnátok; mert nagyobb a próféta, mint nyelveken szóló, kivévén, ha megmagyarázza, hogy a gyülekezet épüljön.
1Cor.14.6 | Ha már most, atyámfiai, hozzátok megyek, és nyelveken szólok, mit használok néktek, ha vagy kijelentésben, vagy ismeretben, vagy prófétálásban, vagy tanításban nem szólok hozzátok?
1Cor.14.7 | Hiszen ha az élettelen hangszerek, akár fuvola, akár czitera, nem adnak megkülönböztethető hangokat, mimódon ismerjük meg, a mit fuvoláznak vagy cziteráznak?
1Cor.14.8 | Mert ha a trombita bizonytalan zengést tészen, kicsoda készül a harczra?
1Cor.14.9 | Azonképen ti is, ha érthető nyelven nem beszéltek, mimódon értik meg, a mit szóltok? Csak a levegőbe fogtok beszélni.
1Cor.14.10 | Példa mutatja, oly sokféle szólás van a világon, és azok közül egy sem érthetetlen.
1Cor.14.11 | Hogyha azért nem tudom a szónak értelmét, a beszélőnek idegen leszek, és a beszélő is idegen előttem.
1Cor.14.12 | Azonképen ti is, minthogy lelki ajándékokat kívántok, a gyülekezet építésére igyekezzetek, hogy gyarapodjatok.
1Cor.14.13 | Azért a ki nyelveken szól, imádkozzék, hogy megmagyarázza.
1Cor.14.14 | Mert ha nyelvvel könyörgök, a lelkem könyörög, de értelmem gyümölcstelen.
1Cor.14.15 | Hogy van hát? Imádkozom a lélekkel, de imádkozom az értelemmel is; énekelek a lélekkel, de énekelek az értelemmel is.
1Cor.14.16 | Mert ha lélekkel mondasz áldást, az ott lévő avatatlan miképen fog a te hálaadásodra Áment mondani, mikor nem tudja, mit beszélsz?
1Cor.14.17 | Mert jóllehet, te szépen mondasz áldást, de más nem épül abból.
1Cor.14.18 | Hálát adok az én Istenemnek, hogy mindnyájatoknál inkább tudok nyelveken szólni;
1Cor.14.19 | De a gyülekezetben inkább akarok öt szót szólani értelemmel, hogy egyebeket is tanítsak, hogy nem mint tízezer szót nyelveken.
1Cor.14.20 | Atyámfiai, ne legyetek gyermekek értelemben; hanem a gonoszságban legyetek gyermekek, értelemben pedig érettek legyetek.
1Cor.14.21 | A törvényben meg van írva: Idegen nyelveken és idegen ajkakkal szólok e népnek, és így sem hallgatnak rám, azt mondja az Úr.
1Cor.14.22 | A nyelvek tehát jelül vannak, nem a hívőknek, hanem a hitetleneknek; a prófétálás pedig nem a hitetleneknek, hanem a hívőknek.
1Cor.14.23 | Azért ha az egész gyülekezet egybegyűl és mindnyájan nyelveken szólnak, bemenvén az idegenek vagy hitetlenek, nem azt mondják-é, hogy őrjöngtök?
1Cor.14.24 | De ha mindnyájan prófétálnak és bemegy egy hitetlen, vagy avatatlan, az mindenektől megfeddetik, mindenektől megítéltetik,
1Cor.14.25 | És ilyen módon az ő szívének titkai nyilvánvalókká lesznek; és így arczra borulva imádja az Istent, hirdetvén, hogy bizonynyal az Isten lakik ti bennetek.
1Cor.14.26 | Hogy van hát atyámfiai? Mikor egybegyűltök, mindeniteknek van zsoltára, tanítása, nyelve, kijelentése, magyarázata. Mindenek épülésre legyenek.
1Cor.14.27 | Ha valaki nyelveken szól, kettő vagy legfeljebb három legyen, mégpedig egymás után; és egy magyarázza meg:
1Cor.14.28 | Ha pedig nincsen magyarázó, hallgasson a gyülekezetben; hanem magának szóljon és az Istennek.
1Cor.14.29 | A próféták pedig ketten vagy hárman beszéljenek; és a többiek ítéljék meg.
1Cor.14.30 | De ha egy másik ott ülő vesz kijelentést, az első hallgasson.
1Cor.14.31 | Mert egyenként mindnyájan prófétálhattok, hogy mindenki tanuljon, és mindenki vígasztalást vegyen;
1Cor.14.32 | És a prófétalelkek engednek a prófétáknak;
1Cor.14.33 | Mert az Isten nem a visszavonásnak, hanem a békességnek [Istene;] miként a szentek minden gyülekezetében.
1Cor.14.34 | A ti asszonyaitok hallgassanak a gyülekezetekben, mert nincsen megengedve nékik, hogy szóljanak; hanem engedelmesek legyenek, a mint a törvény is mondja.
1Cor.14.35 | Hogyha pedig tanulni akarnak valamit, kérdezzék meg otthon az ő férjüket; mert éktelen dolog asszonynak szólni a gyülekezetben.
1Cor.14.36 | Avagy ti tőletek származott-é az Isten beszéde, avagy csak hozzátok jutott el?
1Cor.14.37 | Ha valaki azt hiszi, hogy ő próféta, vagy lelki ajándék részese, vegye eszébe, hogy a miket néktek írok, az Úr rendeletei azok.
1Cor.14.38 | A ki pedig tudatlan, legyen tudatlan.
1Cor.14.39 | Azért atyámfiai törekedjetek prófétálásra, és a nyelveken szólást se tiltsátok.
1Cor.14.40 | Mindenek ékesen és jó renddel legyenek.

1Cor.15.1 | Eszetekbe juttatom továbbá, atyámfiai, az evangyéliomot, melyet hirdettem néktek, melyet be is vettetek, melyben állotok is,
1Cor.15.2 | A mely által üdvözültök is, ha megtartjátok, a minémű beszéddel hirdettem néktek, hacsak nem hiába lettetek hívőkké.
1Cor.15.3 | Mert azt adtam előtökbe főképen, a mit én is úgy vettem, hogy a Krisztus meghalt a mi bűneinkért az írások szerint;
1Cor.15.4 | És hogy eltemettetett; és hogy feltámadott a harmadik napon az írások szerint;
1Cor.15.5 | És hogy megjelent Kéfásnak; azután a tizenkettőnek;
1Cor.15.6 | Azután megjelent több mint ötszáz atyafinak egyszerre, kik közül a legtöbben mind máig élnek, némelyek azonban el is aludtak;
1Cor.15.7 | Azután megjelent Jakabnak; azután mind az apostoloknak;
1Cor.15.8 | Legutolszor pedig mindenek között, mint egy idétlennek, nékem is megjelent.
1Cor.15.9 | Mert én vagyok a legkisebb az apostolok között, ki nem vagyok méltó, hogy apostolnak neveztessem, mert háborgattam az Istennek anyaszentegyházát.
1Cor.15.10 | De Isten kegyelme által vagyok, a mi vagyok; és az ő hozzám való kegyelme nem lőn hiábavaló; sőt többet munkálkodtam, mint azok mindnyájan de nem én, hanem az Istennek velem való kegyelme.
1Cor.15.11 | Akár én azért, akár azok, így prédikálunk, és így lettetek ti hívőkké.
1Cor.15.12 | Ha azért Krisztusról hirdettetik, hogy a halottak közül feltámadott, mimódon mondják némelyek ti köztetek, hogy nincsen halottak feltámadása?
1Cor.15.13 | Mert ha nincsen halottak feltámadása, akkor Krisztus sem támadott fel.
1Cor.15.14 | Ha pedig Krisztus fel nem támadott, akkor hiábavaló a mi prédikálásunk, de hiábavaló a ti hitetek is.
1Cor.15.15 | Sőt az Isten hamis bizonyságtevőinek is találtatunk, mivelhogy az Isten felől bizonyságot tettünk, hogy feltámasztotta a Krisztust; a kit nem támasztott fel, ha csakugyan nem támadnak fel a halottak.
1Cor.15.16 | Mert ha a halottak fel nem támadnak, a Krisztus sem támadott fel.
1Cor.15.17 | Ha pedig a Krisztus fel nem támadott, hiábavaló a ti hitetek; még bűneitekben vagytok.
1Cor.15.18 | A kik a Krisztusban elaludtak, azok is elvesztek tehát.
1Cor.15.19 | Ha csak ebben az életben reménykedünk a Krisztusban, minden embernél nyomorultabbak vagyunk.
1Cor.15.20 | Ámde Krisztus feltámadott a halottak közül, zsengéjök lőn azoknak, kik elaludtak.
1Cor.15.21 | Miután ugyanis ember által van a halál, szintén ember által van a halottak feltámadása is.
1Cor.15.22 | Mert a miképen Ádámban mindnyájan meghalnak, azonképen a Krisztusban is mindnyájan megeleveníttetnek.
1Cor.15.23 | Mindenki pedig a maga rendje szerint. Első zsenge a Krisztus; azután a kik a Krisztuséi, az ő eljövetelekor.
1Cor.15.24 | Aztán a vég, mikor átadja az országot az Istennek és Atyának; a mikor eltöröl minden birodalmat és minden hatalmat és erőt.
1Cor.15.25 | Mert addig kell néki uralkodnia, mígnem ellenségeit mind lábai alá veti.
1Cor.15.26 | Mint utolsó ellenség töröltetik el a halál.
1Cor.15.27 | Mert mindent az ő lábai alá vetett. Mikor pedig azt mondja, hogy minden alája van vetve, nyilvánvaló, hogy azon kívül, a ki neki mindent alávetett.
1Cor.15.28 | Mikor pedig minden alája vettetett, akkor maga a Fiú is alávettetik annak, a ki neki mindent alávetett, hogy az Isten legyen minden mindenben.
1Cor.15.29 | Különben mit cselekesznek azok, a kik a halottakért keresztelkednek meg, a halottak teljességgel nem támadnak fel? Miért is keresztelkednek meg a halottakért?
1Cor.15.30 | Mi is miért veszélyeztetjük magunkat minden pillanatban?
1Cor.15.31 | Naponként halál révén állok. A veletek való dicsekedésre [mondom,] mely van nékem a Krisztus Jézusban a mi Urunkban.
1Cor.15.32 | Ha csak emberi módon viaskodtam Efézusban a fenevadakkal, mi a hasznom abból, ha a halottak fel nem támadnak? Együnk és igyunk, holnap úgyis meghalunk!
1Cor.15.33 | Ne tévelyegjetek. Jó erkölcsöt megrontanak gonosz társaságok.
1Cor.15.34 | Serkenjetek fel igazán és ne vétkezzetek; mert némelyek nem ismerik Istent; megszégyenítéstekre mondom.
1Cor.15.35 | De mondhatná valaki: Mi módon támadnak fel a halottak? és minémű testtel jönnek ki?
1Cor.15.36 | Balgatag! a mit te vetsz, nem elevenedik meg, hanemha megrothadánd.
1Cor.15.37 | És abban, a mit elvetsz, nem azt a testet veted el, a mely majd kikél, hanem puszta magot, talán búzáét, vagy más egyébét.
1Cor.15.38 | Az Isten pedig testet ád annak, a mint akarta, és pedig mindenféle magnak az ő saját testét.
1Cor.15.39 | Nem minden test azon egy test, hanem más az embereknek teste, más a barmoknak teste, más a halaké, más a madaraké.
1Cor.15.40 | És vannak mennyei testek és földi testek; de más a mennyeiek dicsősége, más a földieké.
1Cor.15.41 | Más a napnak dicsősége és más a holdnak dicsősége és más a csillagok dicsősége; mert csillag a csillagtól különbözik dicsőségre nézve.
1Cor.15.42 | Épenígy a halottak feltámadása is. Elvettetik romlandóságban, feltámasztatik romolhatatlanságban;
1Cor.15.43 | Elvettetik gyalázatosságban, feltámasztatik dicsőségben; elvettetik erőtelenségben, feltámasztatik erőben.
1Cor.15.44 | Elvettetik érzéki test, feltámasztatik lelki test. Van érzéki test, és van lelki test is.
1Cor.15.45 | Így is van megírva: Lőn az első ember, Ádám, élő lélekké; az utolsó Ádám megelevenítő szellemmé.
1Cor.15.46 | De nem a lelki az első, hanem az érzéki, azután a lelki.
1Cor.15.47 | Az első ember földből való, földi; a második ember, az Úr, mennyből való.
1Cor.15.48 | A milyen ama földi, olyanok a földiek is; és a milyen ama mennyei, olyanok a mennyeiek is.
1Cor.15.49 | És a miképen hordtuk a földinek ábrázatját, hordani fogjuk a mennyeinek ábrázatját is.
1Cor.15.50 | Azt pedig állítom atyámfiai, hogy test és vér nem örökölheti Isten országát, sem a romlandóság nem örökli a romolhatatlanságot.
1Cor.15.51 | Ímé titkot mondok néktek. Mindnyájan ugyan nem aluszunk el, de mindnyájan elváltozunk.
1Cor.15.52 | Nagy hirtelen, egy szempillantásban, az utolsó trombitaszóra; mert trombita fog szólni, és a halottak feltámadnak romolhatatlanságban, és mi elváltozunk.
1Cor.15.53 | Mert szükség, hogy ez a romlandó test romolhatatlanságot öltsön magára, és e halandó test halhatatlanságot öltsön magára.
1Cor.15.54 | Mikor pedig ez a romlandó test romolhatatlanságba öltözik, és e halandó halhatatlanságba öltözik, akkor beteljesül amaz ige, mely meg vagyon írva: Elnyeletett a halál diadalra.
1Cor.15.55 | Halál! hol a te fullánkod? Pokol! hol a te diadalmad?
1Cor.15.56 | A halál fullánkja pedig a bűn; a bűn ereje pedig a törvény.
1Cor.15.57 | De hála az Istennek, a ki a diadalmat adja nékünk a mi Urunk Jézus Krisztus által.
1Cor.15.58 | Azért szerelmes atyámfiai erősen álljatok, mozdíthatatlanul, buzgólkodván az Úrnak dolgában mindenkor, tudván, hogy a ti munkátok nem hiábavaló az Úrban.

1Cor.16.1 | Ami a szentek számára való alamizsnát illeti, a miképen Galáczia gyülekezeteinek rendeltem, ti is azonképen cselekedjetek.
1Cor.16.2 | A hétnek első napján mindenitek tegye félre magánál, a mit sikerül összegyűjtenie, hogy ne akkor történjék a gyűjtés, a mikor odamegyek.
1Cor.16.3 | Mikor pedig megérkezem, a kiket javaltok leveleitek által, azokat küldöm el, hogy elvigyék Jeruzsálembe a ti ajándékotokat.
1Cor.16.4 | Ha pedig méltó lesz, hogy én is elmenjek, velem együtt jönnek.
1Cor.16.5 | Elmegyek pedig ti hozzátok, mikor Macedónián általmenéndek: mert Macedónián általmegyek,
1Cor.16.6 | Nálatok azonban talán megmaradok, vagy ott is telelek, hogy ti kísérjetek el, a hová menéndek.
